backend,comparisons,device,difficulty,escalation_rate,evidence_recall,expected_active_kv_tokens,expected_layer_token_kv_states,hard_negative_nodes,hard_negative_noise,logical_tokens,max_budget_rate,measured,measurement_scope,memory_nodes,path_recall,probes,root_recall,search_latency_p50_seconds,search_latency_p95_seconds,seed,task_accuracy,threshold,training_regime
coarse_to_fine,20480,cpu,medium,1.0,1.0,1024.0,2048.0,8,0.04,8388608,1.0,True,oracle-free score-gap controller with planted semantically confusable neighbors,262144,1.0,4,1.0,0.0006463749999996438,0.0007543583000003017,53,1.0,0.03,PRA-native routing surrogate; no LM checkpoint
coarse_to_fine,20480,cpu,medium,1.0,1.0,1024.0,2048.0,8,0.04,8388608,1.0,True,oracle-free score-gap controller with planted semantically confusable neighbors,262144,1.0,4,1.0,0.0006463749999996438,0.0007543583000003017,53,1.0,0.06,PRA-native routing surrogate; no LM checkpoint
coarse_to_fine,20480,cpu,medium,1.0,1.0,1024.0,2048.0,8,0.04,8388608,1.0,True,oracle-free score-gap controller with planted semantically confusable neighbors,262144,1.0,4,1.0,0.0006463749999996438,0.0007543583000003017,53,1.0,0.1,PRA-native routing surrogate; no LM checkpoint
coarse_to_fine,1280,cpu,medium,0.0,1.0,32.0,64.0,8,0.04,32768,0.0,True,oracle-free score-gap controller with planted semantically confusable neighbors,1024,1.0,4,1.0,0.0004542920000005779,0.0004550999999997529,67,1.0,0.0,PRA-native routing surrogate; no LM checkpoint
coarse_to_fine,1280,cpu,medium,1.0,1.0,796.0,1592.0,8,0.04,32768,0.25,True,oracle-free score-gap controller with planted semantically confusable neighbors,1024,1.0,4,1.0,0.0004542920000005779,0.0004550999999997529,67,1.0,0.03,PRA-native routing surrogate; no LM checkpoint
coarse_to_fine,1280,cpu,medium,1.0,1.0,1022.0,2044.0,8,0.04,32768,0.75,True,oracle-free score-gap controller with planted semantically confusable neighbors,1024,1.0,4,1.0,0.0004542920000005779,0.0004550999999997529,67,1.0,0.06,PRA-native routing surrogate; no LM checkpoint
coarse_to_fine,1280,cpu,medium,1.0,1.0,1024.0,2048.0,8,0.04,32768,1.0,True,oracle-free score-gap controller with planted semantically confusable neighbors,1024,1.0,4,1.0,0.0004542920000005779,0.0004550999999997529,67,1.0,0.1,PRA-native routing surrogate; no LM checkpoint
coarse_to_fine,2560,cpu,medium,0.0,1.0,32.0,64.0,8,0.04,131072,0.0,True,oracle-free score-gap controller with planted semantically confusable neighbors,4096,1.0,4,1.0,0.00047500000000066933,0.0005298250000000948,67,1.0,0.0,PRA-native routing surrogate; no LM checkpoint
coarse_to_fine,2560,cpu,medium,1.0,1.0,912.0,1824.0,8,0.04,131072,0.875,True,oracle-free score-gap controller with planted semantically confusable neighbors,4096,1.0,4,1.0,0.00047500000000066933,0.0005298250000000948,67,1.0,0.03,PRA-native routing surrogate; no LM checkpoint
coarse_to_fine,2560,cpu,medium,1.0,1.0,1024.0,2048.0,8,0.04,131072,1.0,True,oracle-free score-gap controller with planted semantically confusable neighbors,4096,1.0,4,1.0,0.00047500000000066933,0.0005298250000000948,67,1.0,0.06,PRA-native routing surrogate; no LM checkpoint
coarse_to_fine,2560,cpu,medium,1.0,1.0,1024.0,2048.0,8,0.04,131072,1.0,True,oracle-free score-gap controller with planted semantically confusable neighbors,4096,1.0,4,1.0,0.00047500000000066933,0.0005298250000000948,67,1.0,0.1,PRA-native routing surrogate; no LM checkpoint
coarse_to_fine,5120,cpu,medium,0.0,1.0,32.0,64.0,8,0.04,524288,0.0,True,oracle-free score-gap controller with planted semantically confusable neighbors,16384,1.0,4,1.0,0.000532959000000055,0.0005716999999998861,67,1.0,0.0,PRA-native routing surrogate; no LM checkpoint
