resource_type,query_id,max_candidates,target_in_candidates,candidate_count,all_candidate_full_tokens,phase_a_selection_tokens,phase_b_selected_full_tokens,progressive_tokens,full_candidate_tokens_avoided,tokens_saved,token_savings_fraction,disclosure_ratio,total_disclosure_ratio
tool,create_issue-h1-en-1,8,1,8,1905,703,240,943,1665,962,0.50498687664042,0.3690288713910761,0.49501312335958003
tool,create_issue-h1-en-1,18,1,18,4235,1567,240,1807,3995,2428,0.5733175914994096,0.37001180637544273,0.4266824085005903
tool,update_issue-h2-en-1,2,1,2,483,179,242,421,241,62,0.12836438923395446,0.37060041407867494,0.8716356107660456
tool,update_issue-h2-en-1,4,1,4,958,352,242,594,716,364,0.37995824634655534,0.3674321503131524,0.6200417536534447
tool,update_issue-h2-en-1,6,1,6,1442,529,242,771,1200,671,0.4653259361997226,0.3668515950069348,0.5346740638002774
tool,update_issue-h2-en-1,8,1,8,1911,702,242,944,1669,967,0.5060177917320774,0.3673469387755102,0.49398220826792255
tool,update_issue-h2-en-1,18,1,18,4235,1567,242,1809,3993,2426,0.5728453364817001,0.37001180637544273,0.4271546635182999
tool,create_report-h2-en-1,2,1,2,482,179,237,416,245,66,0.13692946058091288,0.37136929460580914,0.8630705394190872
tool,create_report-h2-en-1,4,1,4,952,354,237,591,715,361,0.3792016806722689,0.37184873949579833,0.6207983193277311
tool,create_report-h2-en-1,6,1,6,1433,535,237,772,1196,661,0.4612700628053036,0.37334263782274946,0.5387299371946964
tool,create_report-h2-en-1,8,1,8,1891,701,237,938,1654,953,0.5039661554732946,0.3707033315705976,0.49603384452670546
tool,create_report-h2-en-1,18,1,18,4235,1567,237,1804,3998,2431,0.574025974025974,0.37001180637544273,0.42597402597402595
tool,archive_report-h2-en-1,2,1,2,469,172,231,403,238,66,0.14072494669509594,0.36673773987206826,0.8592750533049041
tool,archive_report-h2-en-1,4,1,4,950,353,231,584,719,366,0.38526315789473686,0.37157894736842106,0.6147368421052631
tool,archive_report-h2-en-1,6,1,6,1413,524,231,755,1182,658,0.4656758669497523,0.3708421797593772,0.5343241330502477
tool,archive_report-h2-en-1,8,1,8,1901,704,231,935,1670,966,0.5081536033666492,0.37033140452393476,0.4918463966333509
tool,archive_report-h2-en-1,18,1,18,4235,1567,231,1798,4004,2437,0.5754427390791027,0.37001180637544273,0.4245572609208973
skill,github_issue_triage-test,2,0,2,1180,205,675,880,505,300,0.2542372881355932,0.17372881355932204,0.7457627118644068
skill,github_issue_triage-test,4,0,4,2367,409,675,1084,1692,1283,0.5420363329108576,0.17279256442754543,0.4579636670891424
skill,github_issue_triage-test,8,0,8,5442,833,675,1508,4767,3934,0.7228959941198089,0.15306872473355385,0.27710400588019113
skill,github_issue_triage-test,16,1,16,12355,1646,512,2158,11843,10197,0.825333872925941,0.13322541481181707,0.1746661270740591
skill,github_issue_triage-test,24,1,24,19450,2481,512,2993,18938,16457,0.8461182519280206,0.1275578406169666,0.15388174807197944
