condition,examples,ingestion_ms,native_reuse,physical_context_tokens,regime,seed,selected_native_kv_tokens,supporting_document_coverage,token_f1,total_latency_ms,ttft_ms,visible_prompt_tokens
PRA_SELECTED_CONTEXT_NO_ADAPTOR,15,60.23817513293276,0.0,121.6,WARM,11,0.0,0.8666666666666667,0.09227661227661228,176.33693072324,102.01601412457724,153.6
NO_PRA_STANDARD_RAG,15,61.35971386296054,0.0,119.13333333333334,COLD,23,0.0,0.9333333333333333,0.1096969696969697,177.4508415333306,102.6530303992331,151.13333333333333
NO_PRA_STANDARD_RAG,15,60.647730459459126,0.0,119.13333333333334,WARM,23,0.0,0.9333333333333333,0.1096969696969697,177.64184998814017,102.66675005356471,151.13333333333333
PRA_NATIVE_MEMORY_NO_ADAPTOR,15,62.12071099629005,0.0,121.53333333333333,COLD,23,121.53333333333333,0.8666666666666667,0.09328671328671329,186.6254693324057,106.84730251862977,32.0
PRA_NATIVE_MEMORY_NO_ADAPTOR,15,0.043183270220955215,1.0,121.53333333333333,WARM,23,121.53333333333333,0.8666666666666667,0.09328671328671329,116.91685834666714,37.473608211924635,32.0
PRA_SELECTED_CONTEXT_NO_ADAPTOR,15,59.62426380331939,0.0,121.53333333333333,COLD,23,0.0,0.8666666666666667,0.09328671328671329,180.5161861431164,103.26953600160778,153.53333333333333
PRA_SELECTED_CONTEXT_NO_ADAPTOR,15,60.39540014074495,0.0,121.53333333333333,WARM,23,0.0,0.8666666666666667,0.09328671328671329,179.16148053870225,104.69988340434308,153.53333333333333
NO_PRA_STANDARD_RAG,15,61.086141667328775,0.0,119.13333333333334,COLD,37,0.0,0.9333333333333333,0.10783216783216784,176.00603059787923,101.13369452301413,151.13333333333333
NO_PRA_STANDARD_RAG,15,60.585869604256004,0.0,119.13333333333334,WARM,37,0.0,0.9333333333333333,0.10783216783216784,175.56995841441676,100.58928901950519,151.13333333333333
PRA_NATIVE_MEMORY_NO_ADAPTOR,15,60.691169397129364,0.0,121.66666666666667,COLD,37,121.66666666666667,0.8666666666666667,0.08015540015540015,182.30604699735218,102.85038886358961,32.0
PRA_NATIVE_MEMORY_NO_ADAPTOR,15,0.033147326515366636,1.0,121.66666666666667,WARM,37,121.66666666666667,0.8666666666666667,0.08015540015540015,116.5402113343589,37.02201967050011,32.0
PRA_SELECTED_CONTEXT_NO_ADAPTOR,15,59.66124706513559,0.0,121.66666666666667,COLD,37,0.0,0.8666666666666667,0.08015540015540015,174.26579994692779,99.66417494385193,153.66666666666666
PRA_SELECTED_CONTEXT_NO_ADAPTOR,15,61.60317787434906,0.0,121.66666666666667,WARM,37,0.0,0.8666666666666667,0.08015540015540015,181.56972780125216,102.84717780693124,153.66666666666666
NO_PRA_STANDARD_RAG,15,61.63598326190064,0.0,119.06666666666666,COLD,71,0.0,0.9333333333333333,0.1096969696969697,179.18883032786349,101.51429426235457,151.06666666666666
NO_PRA_STANDARD_RAG,15,60.64661946923783,0.0,119.06666666666666,WARM,71,0.0,0.9333333333333333,0.1096969696969697,176.38544727427265,101.6118527428868,151.06666666666666
PRA_NATIVE_MEMORY_NO_ADAPTOR,15,60.80532500442738,0.0,121.53333333333333,COLD,71,121.53333333333333,0.8666666666666667,0.0942968142968143,181.06622787502906,101.61286393801372,32.0
PRA_NATIVE_MEMORY_NO_ADAPTOR,15,0.03471672534942627,1.0,121.53333333333333,WARM,71,121.53333333333333,0.8666666666666667,0.0942968142968143,116.73959993058816,36.67115279240534,32.0
PRA_SELECTED_CONTEXT_NO_ADAPTOR,15,59.59787793302288,0.0,121.53333333333333,COLD,71,0.0,0.8666666666666667,0.0942968142968143,173.72165593163422,98.66191146041577,153.53333333333333
PRA_SELECTED_CONTEXT_NO_ADAPTOR,15,60.28264440052832,0.0,121.53333333333333,WARM,71,0.0,0.8666666666666667,0.0942968142968143,175.51809427483627,99.63582207371171,153.53333333333333
