phase,dataset,condition,examples,materialized_unique_tokens,kv_reduction_vs_whole,evidence_coverage,evidence_density,gold_mean_token_logprob,gold_mean_logprob_delta_vs_none,gold_mean_logprob_delta_vs_whole,memory_attention_mass,evidence_attention_mass,non_evidence_attention_mass,exact_match,token_f1,normalized_answer_accuracy,ttft_seconds
validation,2wikimultihopqa,M3_radius_0,16,79.625,0.4839456225198413,1.0,1.0,-4.12990578476456,0.517455353459809,0.21403987254598178,0.21647770336130634,0.21647770336130634,0.0,0.25,0.2986111111111111,0.25,0.15730033747968264
validation,2wikimultihopqa,M3_radius_2,16,89.125,0.41793619791666664,1.0,0.883473025801498,-4.199923729058355,0.4474374091660138,0.14402192825218663,0.22714024051674642,0.21139230125118047,0.01574793597592361,0.3125,0.3611111111111111,0.3125,0.15644236875959905
validation,2wikimultihopqa,M3_radius_4,16,98.625,0.3519267733134921,1.0,0.7925466844025222,-4.248333954892587,0.399027183331782,0.0956117024179548,0.25523692840943113,0.20527682223473676,0.049960104277488426,0.3125,0.3611111111111111,0.3125,0.15765771250153193
validation,2wikimultihopqa,M3_radius_8,16,117.1875,0.22208426339285714,1.0,0.6608713943235035,-4.243642949237255,0.40371818898711354,0.10030270807328634,0.31030430126702413,0.1939496447739657,0.11635465922881849,0.3125,0.3611111111111111,0.3125,0.15865431874408387
validation,2wikimultihopqa,M_none,16,0.0,1.0,0.0,0.0,-4.647361138224369,0.0,-0.3034154809138272,nan,nan,nan,0.3125,0.3611111111111111,0.3125,0.14464249373122584
validation,musique,M0_native_gist,16,17.1875,0.9685677187172368,0.0,0.0,-13.806135416030884,-9.05614309757948,-6.700352162122726,0.16577724255616236,0.0,0.16577724255616236,0.0,0.0,0.0,0.4671302749993629
validation,musique,M1_whole_parent,16,547.375,0.0,1.0,0.8582132569519584,-7.105783253908157,-2.3557909354567528,0.0,0.7508788907767406,0.6122162026752319,0.1386626890494621,0.0,0.0125,0.0,0.33925103124784073
validation,musique,M3_radius_0,16,476.25,0.14178674304804167,1.0,1.0,-7.005665510892868,-2.2556731924414635,0.1001177430152893,0.7298062041268817,0.7298062041268817,0.0,0.0,0.015625,0.0,0.42258791251515504
validation,musique,M3_radius_2,16,487.25,0.11964091055049189,1.0,0.9745157571257255,-7.076916739344597,-2.3269244208931923,0.028866514563560486,0.7350861741994906,0.7081554672082088,0.02693070958516078,0.0,0.015625,0.0,0.4177835687514744
validation,musique,M3_radius_4,16,498.1875,0.0975674160159051,1.0,0.9505210441710057,-6.7857634872198105,-2.035771168768406,0.32001976668834686,0.7517211383341679,0.6856014603649133,0.0661196797674555,0.0,0.04375,0.0,0.41589544374437537
validation,musique,M3_radius_8,16,516.5625,0.06066509965354075,1.0,0.9132226382780232,-6.826170831918716,-2.076178513467312,0.2796124219894409,0.7555798144478884,0.6540392884385905,0.10154052615897464,0.0,0.040625,0.0,0.42191849373921286
validation,musique,M_none,16,0.0,1.0,0.0,0.0,-4.749992318451405,0.0,2.3557909354567528,nan,nan,nan,0.0,0.017857142857142856,0.0,0.22479254376230529
