active_fraction,argument_exact,cache_encode_ms,call_exact,call_generation_ms,catalog_size,condition,conditional_continuation_exact,context_fit_rate,end_to_end_success,examples,logical_catalog_tokens,materialized_kv_tokens,native_prompt_tokens,schema_exact,seed,selected_identity_correct,teacher_nll
0.031157817109144545,1.0,0.0,1.0,89.2821625166107,32,direct_selected,1.0,1.0,1.0,8,1356.0,0.0,68.75,1.0,53,1.0,0.001055694347314784
0.0,0.125,0.0,0.125,81.22556254966184,32,disabled_memory,1.0,1.0,0.0,8,1356.0,0.0,26.5,0.125,53,0.0,0.252570447511971
0.031157817109144545,1.0,12.244337558513507,1.0,170.39821253274567,32,discovered_memory,1.0,1.0,1.0,8,1356.0,42.25,26.5,1.0,53,1.0,5.465789558911638e-05
,,,,,32,eager_catalog,,0.0,,8,1356.0,,,,53,,
0.031157817109144545,1.0,11.65136246709153,1.0,172.05048751202412,32,oracle_memory,1.0,1.0,1.0,8,1356.0,42.25,26.5,1.0,53,1.0,5.465789558911638e-05
0.031065634218289086,0.125,12.54098754725419,0.125,175.49673744360916,32,shuffled_memory,1.0,1.0,0.0,8,1356.0,42.125,26.5,0.125,53,0.0,0.592984783874897
0.0077931952100361145,1.0,0.0,1.0,92.61578743462451,128,direct_selected,1.0,1.0,1.0,8,5261.0,0.0,66.25,1.0,53,1.0,0.0021488056265752675
0.0,0.125,0.0,0.125,83.68241248535924,128,disabled_memory,1.0,1.0,0.0,8,5261.0,0.0,25.25,0.125,53,0.0,0.2609198517166078
0.0077931952100361145,0.875,12.626025010831654,0.875,171.98196248500608,128,discovered_memory,1.0,1.0,0.875,8,5261.0,41.0,25.25,1.0,53,1.0,0.10631416054194176
,,,,,128,eager_catalog,,0.0,,8,5261.0,,,,53,,
0.0077931952100361145,0.875,12.752512528095394,0.875,176.97056249016896,128,oracle_memory,1.0,1.0,0.875,8,5261.0,41.0,25.25,1.0,53,1.0,0.10631416054194176
0.007769435468542103,0.0,11.586575041292235,0.0,171.45125003298745,128,shuffled_memory,1.0,1.0,0.0,8,5261.0,40.875,25.25,0.0,53,0.0,0.7191457226872444
0.125,1.0,0.0,1.0,93.11874996637926,8,direct_selected,1.0,1.0,1.0,8,330.0,0.0,66.625,1.0,71,1.0,0.0009951980637197266
0.0,0.375,0.0,0.375,104.72747500170954,8,disabled_memory,1.0,1.0,0.0,8,330.0,0.0,25.375,0.375,71,0.0,0.23178066858963575
0.125,1.0,14.25072507117875,1.0,195.32560001243837,8,discovered_memory,1.0,1.0,1.0,8,330.0,41.25,25.375,1.0,71,1.0,7.083752166181512e-05
1.0,0.25,0.0,0.0,107.33154998160899,8,eager_catalog,1.0,1.0,0.0,8,330.0,0.0,355.375,0.25,71,0.125,0.4383000675588846
0.125,1.0,13.314987561898306,1.0,194.89189994055778,8,oracle_memory,1.0,1.0,1.0,8,330.0,41.25,25.375,1.0,71,1.0,7.083752166181512e-05
0.125,0.125,13.411475025350228,0.125,191.70011245296337,8,shuffled_memory,1.0,1.0,0.0,8,330.0,41.25,25.375,0.125,71,0.0,0.8526985636492554
0.03085735402808574,0.875,0.0,0.875,88.57978752348572,32,direct_selected,1.0,1.0,0.875,8,1353.0,0.0,68.0,1.0,71,1.0,0.012645212860661559
0.0,0.125,0.0,0.125,90.47332499176264,32,disabled_memory,1.0,1.0,0.0,8,1353.0,0.0,26.25,0.125,71,0.0,0.2876813515322283
0.03085735402808574,0.875,12.514925037976354,0.875,171.78243753733113,32,discovered_memory,1.0,1.0,0.875,8,1353.0,41.75,26.25,1.0,71,1.0,0.018004687740813097
,,,,,32,eager_catalog,,0.0,,8,1353.0,,,,71,,
0.03085735402808574,0.875,11.891187488799915,0.875,171.426450018771,32,oracle_memory,1.0,1.0,0.875,8,1353.0,41.75,26.25,1.0,71,1.0,0.018004687740813097
0.030857354028085735,0.25,11.516462487634271,0.25,170.76830001315102,32,shuffled_memory,1.0,1.0,0.0,8,1353.0,41.75,26.25,0.25,71,0.0,0.5877060932798486
0.008027740832224966,0.75,0.0,0.75,88.26040002168156,128,direct_selected,1.0,1.0,0.75,8,5263.0,0.0,68.875,0.875,71,1.0,0.2827477329728936
0.0,0.25,0.0,0.25,88.53979999548756,128,disabled_memory,1.0,1.0,0.0,8,5263.0,0.0,26.625,0.25,71,0.0,0.5659975402231794
0.008027740832224966,0.875,12.357462488580495,0.875,175.43182501685806,128,discovered_memory,1.0,1.0,0.875,8,5263.0,42.25,26.625,1.0,71,1.0,0.3124570820464214
,,,,,128,eager_catalog,,0.0,,8,5263.0,,,,71,,
0.008027740832224966,0.875,12.042687536450103,0.875,171.94331251084805,128,oracle_memory,1.0,1.0,0.875,8,5263.0,42.25,26.625,1.0,71,1.0,0.3124570820464214
0.00795648869466084,0.125,12.214412476168945,0.125,173.31608754466288,128,shuffled_memory,1.0,1.0,0.0,8,5263.0,41.875,26.625,0.125,71,0.0,1.0673134007083718
