split,dataset,example_id,condition,evidence_recall,precision,mrr,ndcg,any_hit,path_completion,missed_evidence,logical_chunks,requested_chunks,resident_chunks,materialized_chunks,materialized_tokens,active_fraction,distractor_requests,routing_ms,gist_index_build_ms,token_index_build_ms,cold_discovery_ms,semantic_comparisons,token_comparisons
validation,hotpotqa,5ae4be5c5542995ad6573e3a,A1_broad_semantic,0.3333333333333333,0.25,0.3333333333333333,0.2521686779156779,1.0,0.0,0.6666666666666667,43,8,43,0,0,0.0,6,1.478099962696433,2.1383001003414392,0.0,3.6164000630378723,43,0
validation,hotpotqa,5ae4be5c5542995ad6573e3a,O1_oracle,0.6666666666666666,1.0,1.0,1.0,1.0,0.0,0.33333333333333337,43,4,43,0,0,0.0,0,0.01700012944638729,2.271600067615509,0.0,2.2886001970618963,0,0
validation,hotpotqa,5abcd77755429965836004ce,B0_gist,0.5,0.5,1.0,0.5855700749881525,1.0,0.0,0.5,61,4,61,0,0,0.0,2,1.294200075790286,3.623599885031581,0.0,4.917799960821867,61,0
validation,hotpotqa,5abcd77755429965836004ce,B1_bm25,0.25,0.25,1.0,0.3903800499921017,1.0,0.0,0.75,61,4,61,0,0,0.0,3,80.70360007695854,2.695899922400713,16.206800006330013,99.60630000568926,61,61
validation,hotpotqa,5abcd77755429965836004ce,B2_exact,0.25,0.25,1.0,0.3903800499921017,1.0,0.0,0.75,61,4,61,0,0,0.0,3,69.6343001909554,3.1194998882710934,24.805900175124407,97.5597002543509,61,61
validation,hotpotqa,5abcd77755429965836004ce,B3_weighted,0.25,0.25,1.0,0.3903800499921017,1.0,0.0,0.75,61,4,61,0,0,0.0,3,74.76879982277751,2.888999879360199,18.938399851322174,96.59619955345988,61,61
validation,hotpotqa,5abcd77755429965836004ce,B4_approx,0.5,0.5,1.0,0.5855700749881525,1.0,0.0,0.5,61,4,61,0,0,0.0,2,75.49910014495254,4.2051998898386955,15.541800064966083,95.24610009975731,61,61
validation,hotpotqa,5abcd77755429965836004ce,H1_union,0.5,0.5,1.0,0.5855700749881525,1.0,0.0,0.5,61,4,61,0,0,0.0,2,56.479099905118346,3.6633999552577734,15.102299861609936,75.24479972198606,61,61
validation,hotpotqa,5abcd77755429965836004ce,H2_token_semantic,0.5,0.5,1.0,0.6366824387328317,1.0,0.0,0.5,61,4,61,0,0,0.0,2,70.80659992061555,3.624000120908022,19.442399963736534,93.87300000526011,61,61
validation,hotpotqa,5abcd77755429965836004ce,H3_semantic_token,0.5,0.5,1.0,0.6366824387328317,1.0,0.0,0.5,61,4,61,0,0,0.0,2,61.49400002323091,4.762599943205714,27.06630015745759,93.32290012389421,61,61
validation,hotpotqa,5abcd77755429965836004ce,H4_cascade,0.25,0.25,1.0,0.3903800499921017,1.0,0.0,0.75,61,4,61,0,0,0.0,3,54.65209996327758,3.3719998318701982,20.552200032398105,78.57629982754588,61,61
validation,hotpotqa,5abcd77755429965836004ce,H5_iterative_hybrid,0.5,0.5,1.0,0.6366824387328317,1.0,0.0,0.5,61,4,61,0,0,0.0,2,153.47379981540143,3.8395000156015158,15.470199985429645,172.7834998164326,183,183
validation,hotpotqa,5abcd77755429965836004ce,A1_broad_semantic,0.5,0.25,1.0,0.5855700749881525,1.0,0.0,0.5,61,8,61,0,0,0.0,6,3.080999944359064,4.867799812927842,0.0,7.948799757286906,61,0
validation,hotpotqa,5abcd77755429965836004ce,O1_oracle,1.0,1.0,1.0,1.0,1.0,1.0,0.0,61,4,61,0,0,0.0,0,0.0320998951792717,4.716599825769663,0.0,4.7486997209489346,0,0
validation,hotpotqa,5ae0d5335542990adbacf674,B0_gist,0.5,0.5,1.0,0.5855700749881525,1.0,0.0,0.5,46,4,46,0,0,0.0,2,1.9101002253592014,3.5291998647153378,0.0,5.439300090074539,46,0
validation,hotpotqa,5ae0d5335542990adbacf674,B1_bm25,0.25,0.25,0.3333333333333333,0.19519002499605084,1.0,0.0,0.75,46,4,46,0,0,0.0,3,28.514400124549866,3.5868999548256397,18.135200021788478,50.23650010116398,46,46
validation,hotpotqa,5ae0d5335542990adbacf674,B2_exact,0.5,0.5,0.3333333333333333,0.36331756126716835,1.0,0.0,0.5,46,4,46,0,0,0.0,2,22.602600045502186,2.2740999702364206,12.380300089716911,37.25700010545552,46,46
validation,hotpotqa,5ae0d5335542990adbacf674,B3_weighted,0.5,0.5,0.3333333333333333,0.36331756126716835,1.0,0.0,0.5,46,4,46,0,0,0.0,2,24.874999886378646,2.2203000262379646,20.132299978286028,47.22759989090264,46,46
validation,hotpotqa,5ae0d5335542990adbacf674,B4_approx,0.5,0.5,0.3333333333333333,0.36331756126716835,1.0,0.0,0.5,46,4,46,0,0,0.0,2,24.264599895104766,2.9588001780211926,11.687600053846836,38.911000126972795,46,46
validation,hotpotqa,5ae0d5335542990adbacf674,H1_union,0.5,0.5,1.0,0.5855700749881525,1.0,0.0,0.5,46,4,46,0,0,0.0,2,37.602099822834134,2.324300119653344,12.928999960422516,52.855399902909994,46,46
validation,hotpotqa,5ae0d5335542990adbacf674,H2_token_semantic,0.5,0.5,1.0,0.6366824387328317,1.0,0.0,0.5,46,4,46,0,0,0.0,2,33.117299899458885,3.6859000101685524,15.90200001373887,52.70519992336631,46,46
validation,hotpotqa,5ae0d5335542990adbacf674,H3_semantic_token,0.5,0.5,1.0,0.6366824387328317,1.0,0.0,0.5,46,4,46,0,0,0.0,2,25.924500077962875,2.336899982765317,14.434300130233169,42.69570019096136,46,46
validation,hotpotqa,5ae0d5335542990adbacf674,H4_cascade,0.5,0.5,1.0,0.5585075862632192,1.0,0.0,0.5,46,4,46,0,0,0.0,2,23.314000107347965,2.295800019055605,13.838700018823147,39.44850014522672,46,46
validation,hotpotqa,5ae0d5335542990adbacf674,H5_iterative_hybrid,0.5,0.5,1.0,0.6366824387328317,1.0,0.0,0.5,46,4,46,0,0,0.0,2,79.43160017021,4.369099857285619,21.12309983931482,104.92379986681044,138,138
validation,hotpotqa,5ae0d5335542990adbacf674,A1_broad_semantic,0.5,0.25,1.0,0.5855700749881525,1.0,0.0,0.5,46,8,46,0,0,0.0,6,2.8307000175118446,2.6948999147862196,0.0,5.525599932298064,46,0
validation,hotpotqa,5ae0d5335542990adbacf674,O1_oracle,1.0,1.0,1.0,1.0,1.0,1.0,0.0,46,4,46,0,0,0.0,0,0.027799978852272034,3.5232999362051487,0.0,3.5510999150574207,0,0
validation,hotpotqa,5a8a1a975542992e4fca8505,B0_gist,0.0,0.0,0.0,0.0,0.0,0.0,1.0,38,4,38,0,0,0.0,4,2.141099888831377,2.850799821317196,0.0,4.991899710148573,38,0
validation,hotpotqa,5a8a1a975542992e4fca8505,B1_bm25,0.0,0.0,0.0,0.0,0.0,0.0,1.0,38,4,38,0,0,0.0,4,35.197699908167124,1.7862000968307257,13.160299975425005,50.144199980422854,38,38
validation,hotpotqa,5a8a1a975542992e4fca8505,B2_exact,0.0,0.0,0.0,0.0,0.0,0.0,1.0,38,4,38,0,0,0.0,4,40.705000050365925,1.9654999487102032,13.225100003182888,55.895600002259016,38,38
validation,hotpotqa,5a8a1a975542992e4fca8505,B3_weighted,0.0,0.0,0.0,0.0,0.0,0.0,1.0,38,4,38,0,0,0.0,4,35.341800190508366,3.1783999875187874,12.005300028249621,50.525500206276774,38,38
