any_evidence,budget,candidate_chunks,chain_completion,condition,dataset,depth,evidence_coverage,exact_evidence_identity,example_id,fraction,frontier_projection,gist_comparisons,materialized_kv_fraction,materialized_kv_tokens,routing_seconds,seed,unique_selected_chunks
1.0,2,40,0.0,chunk_closure_memory_frontier,hotpotqa,2,0.25,0.0,5ab56db7554299494045efc6,0.05,memory,80,0.05035405192761605,64,0.0073979999870061874,11,2
1.0,2,40,0.0,chunk_closure_query_frontier,hotpotqa,2,0.25,0.0,5ab56db7554299494045efc6,0.05,query,80,0.05035405192761605,64,0.006410699978005141,11,2
1.0,4,40,0.0,one_shot,hotpotqa,1,0.25,0.0,5ab56db7554299494045efc6,0.1,memory,40,0.1007081038552321,128,0.008341000007931143,11,4
1.0,4,40,1.0,chunk_closure_memory_frontier,hotpotqa,2,0.5,0.0,5ab56db7554299494045efc6,0.1,memory,120,0.1007081038552321,128,0.011246700014453381,11,4
1.0,4,40,0.0,chunk_closure_query_frontier,hotpotqa,2,0.25,0.0,5ab56db7554299494045efc6,0.1,query,120,0.1007081038552321,128,0.0076209999970160425,11,4
1.0,8,40,0.0,one_shot,hotpotqa,1,0.25,0.0,5ab56db7554299494045efc6,0.2,memory,40,0.2014162077104642,256,0.006957200006581843,11,8
1.0,8,40,1.0,chunk_closure_memory_frontier,hotpotqa,2,0.5,0.0,5ab56db7554299494045efc6,0.2,memory,200,0.2014162077104642,256,0.01649449998512864,11,8
1.0,8,40,0.0,chunk_closure_query_frontier,hotpotqa,2,0.25,0.0,5ab56db7554299494045efc6,0.2,query,200,0.2014162077104642,256,0.014698399987537414,11,8
1.0,12,40,1.0,one_shot,hotpotqa,1,0.75,0.0,5ab56db7554299494045efc6,0.3,memory,40,0.3021243115656963,384,0.00802419998217374,11,12
1.0,12,40,1.0,chunk_closure_memory_frontier,hotpotqa,2,0.75,0.0,5ab56db7554299494045efc6,0.3,memory,280,0.3021243115656963,384,0.026147799973841757,11,12
1.0,12,40,1.0,chunk_closure_query_frontier,hotpotqa,2,0.5,0.0,5ab56db7554299494045efc6,0.3,query,280,0.3021243115656963,384,0.02656369999749586,11,12
0.0,3,48,0.0,one_shot,hotpotqa,1,0.0,0.0,5ab2b863554299295394685a,0.05,memory,48,0.06278613472858077,96,0.005356899986509234,11,3
0.0,3,48,0.0,chunk_closure_memory_frontier,hotpotqa,2,0.0,0.0,5ab2b863554299295394685a,0.05,memory,144,0.06278613472858077,96,0.010433899995405227,11,3
1.0,3,48,0.0,chunk_closure_query_frontier,hotpotqa,2,0.3333333333333333,0.0,5ab2b863554299295394685a,0.05,query,144,0.06278613472858077,96,0.010324299975764006,11,3
0.0,5,48,0.0,one_shot,hotpotqa,1,0.0,0.0,5ab2b863554299295394685a,0.1,memory,48,0.1000654022236756,153,0.004420000012032688,11,5
0.0,5,48,0.0,chunk_closure_memory_frontier,hotpotqa,2,0.0,0.0,5ab2b863554299295394685a,0.1,memory,192,0.10464355788096795,160,0.016867400030605495,11,5
1.0,5,48,0.0,chunk_closure_query_frontier,hotpotqa,2,0.3333333333333333,0.0,5ab2b863554299295394685a,0.1,query,192,0.10464355788096795,160,0.015857999969739467,11,5
1.0,10,48,0.0,one_shot,hotpotqa,1,0.3333333333333333,0.0,5ab2b863554299295394685a,0.2,memory,48,0.20470896010464357,313,0.008379000006243587,11,10
0.0,10,48,0.0,chunk_closure_memory_frontier,hotpotqa,2,0.0,0.0,5ab2b863554299295394685a,0.2,memory,288,0.20470896010464357,313,0.022945000033359975,11,10
1.0,10,48,0.0,chunk_closure_query_frontier,hotpotqa,2,0.3333333333333333,0.0,5ab2b863554299295394685a,0.2,query,288,0.20470896010464357,313,0.01968879997730255,11,10
1.0,15,48,0.0,one_shot,hotpotqa,1,0.3333333333333333,0.0,5ab2b863554299295394685a,0.3,memory,48,0.30935251798561153,473,0.012009500002022833,11,15
1.0,15,48,1.0,chunk_closure_memory_frontier,hotpotqa,2,0.6666666666666666,0.0,5ab2b863554299295394685a,0.3,memory,432,0.30935251798561153,473,0.037218599987681955,11,15
1.0,15,48,1.0,chunk_closure_query_frontier,hotpotqa,2,0.6666666666666666,0.0,5ab2b863554299295394685a,0.3,query,432,0.30935251798561153,473,0.040561100002378225,11,15
1.0,2,36,1.0,one_shot,hotpotqa,1,0.5,0.0,5a710a915542994082a3e504,0.05,memory,36,0.05555555555555555,64,0.004484200035221875,11,2
1.0,2,36,1.0,chunk_closure_memory_frontier,hotpotqa,2,0.5,0.0,5a710a915542994082a3e504,0.05,memory,72,0.05555555555555555,64,0.007203299959655851,11,2
1.0,2,36,1.0,chunk_closure_query_frontier,hotpotqa,2,0.5,0.0,5a710a915542994082a3e504,0.05,query,72,0.05555555555555555,64,0.005539300036616623,11,2
1.0,4,36,1.0,one_shot,hotpotqa,1,0.75,0.0,5a710a915542994082a3e504,0.1,memory,36,0.1111111111111111,128,0.004630399984307587,11,4
1.0,4,36,1.0,chunk_closure_memory_frontier,hotpotqa,2,0.5,0.0,5a710a915542994082a3e504,0.1,memory,108,0.1111111111111111,128,0.010365599999204278,11,4
1.0,4,36,1.0,chunk_closure_query_frontier,hotpotqa,2,0.75,0.0,5a710a915542994082a3e504,0.1,query,108,0.1111111111111111,128,0.008101000043097883,11,4
1.0,8,36,1.0,one_shot,hotpotqa,1,1.0,1.0,5a710a915542994082a3e504,0.2,memory,36,0.2222222222222222,256,0.005935500026680529,11,8
1.0,8,36,1.0,chunk_closure_memory_frontier,hotpotqa,2,0.75,0.0,5a710a915542994082a3e504,0.2,memory,180,0.2222222222222222,256,0.015883999993093312,11,8
1.0,8,36,1.0,chunk_closure_query_frontier,hotpotqa,2,0.75,0.0,5a710a915542994082a3e504,0.2,query,180,0.2222222222222222,256,0.015581800020299852,11,8
1.0,11,36,1.0,one_shot,hotpotqa,1,1.0,1.0,5a710a915542994082a3e504,0.3,memory,36,0.3055555555555556,352,0.007457799976691604,11,11
1.0,11,36,1.0,chunk_closure_memory_frontier,hotpotqa,2,1.0,1.0,5a710a915542994082a3e504,0.3,memory,252,0.3055555555555556,352,0.025112800009083003,11,11
1.0,11,36,1.0,chunk_closure_query_frontier,hotpotqa,2,1.0,1.0,5a710a915542994082a3e504,0.3,query,252,0.3055555555555556,352,0.022607500024605542,11,11
1.0,2,38,0.0,one_shot,hotpotqa,1,0.2,0.0,5adc93a4554299438c868e01,0.05,memory,38,0.053467000835421885,64,0.005310899985488504,11,2
0.0,2,38,0.0,chunk_closure_memory_frontier,hotpotqa,2,0.0,0.0,5adc93a4554299438c868e01,0.05,memory,76,0.053467000835421885,64,0.007986199983861297,11,2
1.0,2,38,0.0,chunk_closure_query_frontier,hotpotqa,2,0.2,0.0,5adc93a4554299438c868e01,0.05,query,76,0.053467000835421885,64,0.008879500033799559,11,2
1.0,4,38,0.0,one_shot,hotpotqa,1,0.2,0.0,5adc93a4554299438c868e01,0.1,memory,38,0.10693400167084377,128,0.004653199983295053,11,4
1.0,4,38,0.0,chunk_closure_memory_frontier,hotpotqa,2,0.2,0.0,5adc93a4554299438c868e01,0.1,memory,114,0.10693400167084377,128,0.010865800024475902,11,4
1.0,4,38,0.0,chunk_closure_query_frontier,hotpotqa,2,0.2,0.0,5adc93a4554299438c868e01,0.1,query,114,0.10693400167084377,128,0.009002900042105466,11,4
1.0,8,38,0.0,one_shot,hotpotqa,1,0.2,0.0,5adc93a4554299438c868e01,0.2,memory,38,0.21386800334168754,256,0.0083087999955751,11,8
1.0,8,38,0.0,chunk_closure_memory_frontier,hotpotqa,2,0.2,0.0,5adc93a4554299438c868e01,0.2,memory,190,0.21386800334168754,256,0.020303299999795854,11,8
1.0,8,38,0.0,chunk_closure_query_frontier,hotpotqa,2,0.2,0.0,5adc93a4554299438c868e01,0.2,query,190,0.21386800334168754,256,0.018462800013367087,11,8
1.0,12,38,0.0,one_shot,hotpotqa,1,0.2,0.0,5adc93a4554299438c868e01,0.3,memory,38,0.30492898913951544,365,0.030078799987677485,11,12
1.0,12,38,0.0,chunk_closure_memory_frontier,hotpotqa,2,0.2,0.0,5adc93a4554299438c868e01,0.3,memory,266,0.3208020050125313,384,0.07506169995758682,11,12
1.0,12,38,0.0,chunk_closure_query_frontier,hotpotqa,2,0.2,0.0,5adc93a4554299438c868e01,0.3,query,266,0.30492898913951544,365,0.048634200007654727,11,12
0.0,7,126,0.0,one_shot,hotpotqa,1,0.0,0.0,5ab7f97a5542991d322237ef,0.05,memory,126,0.055569337633341605,224,0.006005299976095557,11,7
0.0,7,126,0.0,chunk_closure_memory_frontier,hotpotqa,2,0.0,0.0,5ab7f97a5542991d322237ef,0.05,memory,630,0.055569337633341605,224,0.020734599966090173,11,7
0.0,7,126,0.0,chunk_closure_query_frontier,hotpotqa,2,0.0,0.0,5ab7f97a5542991d322237ef,0.05,query,630,0.055569337633341605,224,0.01817190001020208,11,7
1.0,13,126,0.0,one_shot,hotpotqa,1,0.25,0.0,5ab7f97a5542991d322237ef,0.1,memory,126,0.10320019846192012,416,0.011818500002846122,11,13
0.0,13,126,0.0,chunk_closure_memory_frontier,hotpotqa,2,0.0,0.0,5ab7f97a5542991d322237ef,0.1,memory,1008,0.10320019846192012,416,0.03299049998167902,11,13
0.0,13,126,0.0,chunk_closure_query_frontier,hotpotqa,2,0.0,0.0,5ab7f97a5542991d322237ef,0.1,query,1008,0.10320019846192012,416,0.034686399972997606,11,13
1.0,26,126,0.0,one_shot,hotpotqa,1,0.5,0.0,5ab7f97a5542991d322237ef,0.2,memory,126,0.2061523195236914,831,0.02405970002291724,11,26
1.0,26,126,0.0,chunk_closure_memory_frontier,hotpotqa,2,0.5,0.0,5ab7f97a5542991d322237ef,0.2,memory,1764,0.2061523195236914,831,0.11398940003709868,11,26
1.0,26,126,0.0,chunk_closure_query_frontier,hotpotqa,2,0.25,0.0,5ab7f97a5542991d322237ef,0.2,query,1764,0.20640039692384024,832,0.06695160001982003,11,26
1.0,38,126,1.0,one_shot,hotpotqa,1,1.0,1.0,5ab7f97a5542991d322237ef,0.3,memory,126,0.3014140411808484,1215,0.135867600038182,11,38
1.0,38,126,1.0,chunk_closure_memory_frontier,hotpotqa,2,0.75,0.0,5ab7f97a5542991d322237ef,0.3,memory,2520,0.3014140411808484,1215,0.16561280004680157,11,38
1.0,38,126,0.0,chunk_closure_query_frontier,hotpotqa,2,0.5,0.0,5ab7f97a5542991d322237ef,0.3,query,2520,0.3014140411808484,1215,0.1459823000477627,11,38
1.0,2,39,0.0,one_shot,hotpotqa,1,0.25,0.0,5a8888e35542997e5c09a5f6,0.05,memory,39,0.05186385737439222,64,0.0041043999954126775,11,2
1.0,2,39,0.0,chunk_closure_memory_frontier,hotpotqa,2,0.25,0.0,5a8888e35542997e5c09a5f6,0.05,memory,78,0.05186385737439222,64,0.0058524999767541885,11,2
1.0,2,39,0.0,chunk_closure_query_frontier,hotpotqa,2,0.25,0.0,5a8888e35542997e5c09a5f6,0.05,query,78,0.05186385737439222,64,0.006020699976943433,11,2
1.0,4,39,0.0,one_shot,hotpotqa,1,0.25,0.0,5a8888e35542997e5c09a5f6,0.1,memory,39,0.10372771474878444,128,0.004245700023602694,11,4
1.0,4,39,0.0,chunk_closure_memory_frontier,hotpotqa,2,0.5,0.0,5a8888e35542997e5c09a5f6,0.1,memory,117,0.10372771474878444,128,0.01007040002150461,11,4
1.0,4,39,0.0,chunk_closure_query_frontier,hotpotqa,2,0.25,0.0,5a8888e35542997e5c09a5f6,0.1,query,117,0.10372771474878444,128,0.013003800006117672,11,4
1.0,8,39,0.0,one_shot,hotpotqa,1,0.25,0.0,5a8888e35542997e5c09a5f6,0.2,memory,39,0.19611021069692058,242,0.008737500000279397,11,8
1.0,8,39,0.0,chunk_closure_memory_frontier,hotpotqa,2,0.5,0.0,5a8888e35542997e5c09a5f6,0.2,memory,195,0.20745542949756887,256,0.01931109995348379,11,8
1.0,8,39,0.0,chunk_closure_query_frontier,hotpotqa,2,0.5,0.0,5a8888e35542997e5c09a5f6,0.2,query,195,0.20745542949756887,256,0.017300000006798655,11,8
1.0,12,39,0.0,one_shot,hotpotqa,1,0.25,0.0,5a8888e35542997e5c09a5f6,0.3,memory,39,0.29983792544570503,370,0.010146999964490533,11,12
1.0,12,39,0.0,chunk_closure_memory_frontier,hotpotqa,2,0.5,0.0,5a8888e35542997e5c09a5f6,0.3,memory,273,0.31118314424635335,384,0.028434400039259344,11,12
1.0,12,39,0.0,chunk_closure_query_frontier,hotpotqa,2,0.5,0.0,5a8888e35542997e5c09a5f6,0.3,query,273,0.29983792544570503,370,0.0351228000363335,11,12
1.0,3,55,0.0,one_shot,hotpotqa,1,0.2,0.0,5a8c8502554299585d9e36d0,0.05,memory,55,0.055204140310523286,96,0.006063099950551987,11,3
0.0,3,55,0.0,chunk_closure_memory_frontier,hotpotqa,2,0.0,0.0,5a8c8502554299585d9e36d0,0.05,memory,165,0.055204140310523286,96,0.009720199974253774,11,3
0.0,3,55,0.0,chunk_closure_query_frontier,hotpotqa,2,0.0,0.0,5a8c8502554299585d9e36d0,0.05,query,165,0.055204140310523286,96,0.010536500019952655,11,3
1.0,6,55,0.0,one_shot,hotpotqa,1,0.2,0.0,5a8c8502554299585d9e36d0,0.1,memory,55,0.11040828062104657,192,0.005331600026693195,11,6
1.0,6,55,0.0,chunk_closure_memory_frontier,hotpotqa,2,0.2,0.0,5a8c8502554299585d9e36d0,0.1,memory,220,0.11040828062104657,192,0.013802199973724782,11,6
1.0,6,55,0.0,chunk_closure_query_frontier,hotpotqa,2,0.2,0.0,5a8c8502554299585d9e36d0,0.1,query,220,0.11040828062104657,192,0.01264410000294447,11,6
1.0,11,55,0.0,one_shot,hotpotqa,1,0.2,0.0,5a8c8502554299585d9e36d0,0.2,memory,55,0.2024151811385854,352,0.0061987999943085015,11,11
1.0,11,55,0.0,chunk_closure_memory_frontier,hotpotqa,2,0.2,0.0,5a8c8502554299585d9e36d0,0.2,memory,385,0.19033927544565843,331,0.02458269998896867,11,11
1.0,11,55,0.0,chunk_closure_query_frontier,hotpotqa,2,0.2,0.0,5a8c8502554299585d9e36d0,0.2,query,385,0.2024151811385854,352,0.03235649998532608,11,11
1.0,17,55,0.0,one_shot,hotpotqa,1,0.4,0.0,5a8c8502554299585d9e36d0,0.3,memory,55,0.312823461759632,544,0.011358499992638826,11,17
1.0,17,55,0.0,chunk_closure_memory_frontier,hotpotqa,2,0.2,0.0,5a8c8502554299585d9e36d0,0.3,memory,550,0.300747556066705,523,0.04702320002252236,11,17
1.0,17,55,0.0,chunk_closure_query_frontier,hotpotqa,2,0.4,0.0,5a8c8502554299585d9e36d0,0.3,query,550,0.300747556066705,523,0.041377700050361454,11,17
0.0,3,47,0.0,one_shot,hotpotqa,1,0.0,0.0,5a84c4bb5542991dd0999dec,0.05,memory,47,0.06499661475964794,96,0.004136200004722923,11,3
0.0,3,47,0.0,chunk_closure_memory_frontier,hotpotqa,2,0.0,0.0,5a84c4bb5542991dd0999dec,0.05,memory,141,0.06499661475964794,96,0.007974400010425597,11,3
0.0,3,47,0.0,chunk_closure_query_frontier,hotpotqa,2,0.0,0.0,5a84c4bb5542991dd0999dec,0.05,query,141,0.06499661475964794,96,0.007476199942175299,11,3
0.0,5,47,0.0,one_shot,hotpotqa,1,0.0,0.0,5a84c4bb5542991dd0999dec,0.1,memory,47,0.1083276912660799,160,0.00638570002047345,11,5
0.0,5,47,0.0,chunk_closure_memory_frontier,hotpotqa,2,0.0,0.0,5a84c4bb5542991dd0999dec,0.1,memory,188,0.1083276912660799,160,0.0098658999777399,11,5
0.0,5,47,0.0,chunk_closure_query_frontier,hotpotqa,2,0.0,0.0,5a84c4bb5542991dd0999dec,0.1,query,188,0.1083276912660799,160,0.012768199958372861,11,5
0.0,10,47,0.0,one_shot,hotpotqa,1,0.0,0.0,5a84c4bb5542991dd0999dec,0.2,memory,47,0.2166553825321598,320,0.010212099994532764,11,10
0.0,10,47,0.0,chunk_closure_memory_frontier,hotpotqa,2,0.0,0.0,5a84c4bb5542991dd0999dec,0.2,memory,282,0.2166553825321598,320,0.02385539998067543,11,10
0.0,10,47,0.0,chunk_closure_query_frontier,hotpotqa,2,0.0,0.0,5a84c4bb5542991dd0999dec,0.2,query,282,0.2166553825321598,320,0.021359700011089444,11,10
1.0,15,47,0.0,one_shot,hotpotqa,1,0.14285714285714285,0.0,5a84c4bb5542991dd0999dec,0.3,memory,47,0.32498307379823965,480,0.012437700002919883,11,15
0.0,15,47,0.0,chunk_closure_memory_frontier,hotpotqa,2,0.0,0.0,5a84c4bb5542991dd0999dec,0.3,memory,423,0.32498307379823965,480,0.04253350000362843,11,15
1.0,15,47,0.0,chunk_closure_query_frontier,hotpotqa,2,0.2857142857142857,0.0,5a84c4bb5542991dd0999dec,0.3,query,423,0.32498307379823965,480,0.04286760004470125,11,15
1.0,3,50,1.0,one_shot,hotpotqa,1,0.14285714285714285,0.0,5abbd4035542993f40c73bcb,0.05,memory,50,0.06102987921169739,96,0.005654500040691346,11,3
1.0,3,50,1.0,chunk_closure_memory_frontier,hotpotqa,2,0.14285714285714285,0.0,5abbd4035542993f40c73bcb,0.05,memory,150,0.06102987921169739,96,0.011274099990259856,11,3
1.0,3,50,1.0,chunk_closure_query_frontier,hotpotqa,2,0.14285714285714285,0.0,5abbd4035542993f40c73bcb,0.05,query,150,0.06102987921169739,96,0.014366900024469942,11,3
1.0,5,50,1.0,one_shot,hotpotqa,1,0.14285714285714285,0.0,5abbd4035542993f40c73bcb,0.1,memory,50,0.0845518118245391,133,0.00857549998909235,11,5
1.0,5,50,1.0,chunk_closure_memory_frontier,hotpotqa,2,0.14285714285714285,0.0,5abbd4035542993f40c73bcb,0.1,memory,200,0.101716465352829,160,0.015488299948628992,11,5
1.0,5,50,1.0,chunk_closure_query_frontier,hotpotqa,2,0.14285714285714285,0.0,5abbd4035542993f40c73bcb,0.1,query,200,0.0845518118245391,133,0.01163209998048842,11,5
1.0,10,50,1.0,one_shot,hotpotqa,1,0.42857142857142855,0.0,5abbd4035542993f40c73bcb,0.2,memory,50,0.18626827717736807,293,0.007383099989965558,11,10
1.0,10,50,1.0,chunk_closure_memory_frontier,hotpotqa,2,0.5714285714285714,0.0,5abbd4035542993f40c73bcb,0.2,memory,300,0.18626827717736807,293,0.019114699971396476,11,10
1.0,10,50,1.0,chunk_closure_query_frontier,hotpotqa,2,0.42857142857142855,0.0,5abbd4035542993f40c73bcb,0.2,query,300,0.18626827717736807,293,0.01923539995914325,11,10
1.0,15,50,1.0,one_shot,hotpotqa,1,0.5714285714285714,0.0,5abbd4035542993f40c73bcb,0.3,memory,50,0.28798474253019707,453,0.008364600013010204,11,15
1.0,15,50,1.0,chunk_closure_memory_frontier,hotpotqa,2,0.5714285714285714,0.0,5abbd4035542993f40c73bcb,0.3,memory,450,0.28798474253019707,453,0.037918000016361475,11,15
1.0,15,50,1.0,chunk_closure_query_frontier,hotpotqa,2,0.5714285714285714,0.0,5abbd4035542993f40c73bcb,0.3,query,450,0.28798474253019707,453,0.03512449999107048,11,15
0.0,3,55,0.0,one_shot,hotpotqa,1,0.0,0.0,5ae6143f5542996de7b71b2d,0.05,memory,55,0.05476326297775243,96,0.006125499960035086,11,3
0.0,3,55,0.0,chunk_closure_memory_frontier,hotpotqa,2,0.0,0.0,5ae6143f5542996de7b71b2d,0.05,memory,165,0.05476326297775243,96,0.008201199991162866,11,3
0.0,3,55,0.0,chunk_closure_query_frontier,hotpotqa,2,0.0,0.0,5ae6143f5542996de7b71b2d,0.05,query,165,0.05476326297775243,96,0.008500500000081956,11,3
1.0,6,55,0.0,one_shot,hotpotqa,1,0.2,0.0,5ae6143f5542996de7b71b2d,0.1,memory,55,0.10553337136337707,185,0.006392000010237098,11,6
0.0,6,55,0.0,chunk_closure_memory_frontier,hotpotqa,2,0.0,0.0,5ae6143f5542996de7b71b2d,0.1,memory,220,0.10952652595550486,192,0.010656899947207421,11,6
0.0,6,55,0.0,chunk_closure_query_frontier,hotpotqa,2,0.0,0.0,5ae6143f5542996de7b71b2d,0.1,query,220,0.10952652595550486,192,0.012219799973536283,11,6
1.0,11,55,0.0,one_shot,hotpotqa,1,0.2,0.0,5ae6143f5542996de7b71b2d,0.2,memory,55,0.19680547632629777,345,0.007147399999666959,11,11
1.0,11,55,0.0,chunk_closure_memory_frontier,hotpotqa,2,0.2,0.0,5ae6143f5542996de7b71b2d,0.2,memory,385,0.19680547632629777,345,0.027239000017289072,11,11
1.0,11,55,0.0,chunk_closure_query_frontier,hotpotqa,2,0.2,0.0,5ae6143f5542996de7b71b2d,0.2,query,385,0.19680547632629777,345,0.027706699969712645,11,11
1.0,17,55,0.0,one_shot,hotpotqa,1,0.4,0.0,5ae6143f5542996de7b71b2d,0.3,memory,55,0.30633200228180263,537,0.009069999970961362,11,17
1.0,17,55,0.0,chunk_closure_memory_frontier,hotpotqa,2,0.2,0.0,5ae6143f5542996de7b71b2d,0.3,memory,550,0.30633200228180263,537,0.0424572000047192,11,17
1.0,17,55,0.0,chunk_closure_query_frontier,hotpotqa,2,0.2,0.0,5ae6143f5542996de7b71b2d,0.3,query,550,0.30633200228180263,537,0.039218900026753545,11,17
1.0,2,29,0.0,one_shot,hotpotqa,1,0.25,0.0,5a7e513a5542994959419996,0.05,memory,29,0.06964091403699674,64,0.005164399975910783,11,2
0.0,2,29,0.0,chunk_closure_memory_frontier,hotpotqa,2,0.0,0.0,5a7e513a5542994959419996,0.05,memory,58,0.06964091403699674,64,0.008100300037767738,11,2
0.0,2,29,0.0,chunk_closure_query_frontier,hotpotqa,2,0.0,0.0,5a7e513a5542994959419996,0.05,query,58,0.05984766050054407,55,0.007133800012525171,11,2
1.0,3,29,0.0,one_shot,hotpotqa,1,0.25,0.0,5a7e513a5542994959419996,0.1,memory,29,0.09466811751904244,87,0.005698600027244538,11,3
1.0,3,29,0.0,chunk_closure_memory_frontier,hotpotqa,2,0.25,0.0,5a7e513a5542994959419996,0.1,memory,87,0.1044613710554951,96,0.00959189998684451,11,3
1.0,3,29,0.0,chunk_closure_query_frontier,hotpotqa,2,0.25,0.0,5a7e513a5542994959419996,0.1,query,87,0.09466811751904244,87,0.010147800028789788,11,3
1.0,6,29,0.0,one_shot,hotpotqa,1,0.25,0.0,5a7e513a5542994959419996,0.2,memory,29,0.19912948857453755,183,0.00859780004248023,11,6
1.0,6,29,1.0,chunk_closure_memory_frontier,hotpotqa,2,0.5,0.0,5a7e513a5542994959419996,0.2,memory,116,0.19912948857453755,183,0.012906299962196499,11,6
1.0,6,29,0.0,chunk_closure_query_frontier,hotpotqa,2,0.25,0.0,5a7e513a5542994959419996,0.2,query,116,0.19912948857453755,183,0.01346330001251772,11,6
1.0,9,29,1.0,one_shot,hotpotqa,1,0.5,0.0,5a7e513a5542994959419996,0.3,memory,29,0.30359085963003263,279,0.011188800039235502,11,9
1.0,9,29,1.0,chunk_closure_memory_frontier,hotpotqa,2,0.5,0.0,5a7e513a5542994959419996,0.3,memory,174,0.30359085963003263,279,0.02609559998381883,11,9
1.0,9,29,0.0,chunk_closure_query_frontier,hotpotqa,2,0.5,0.0,5a7e513a5542994959419996,0.3,query,174,0.30359085963003263,279,0.019176999980118126,11,9
0.0,3,47,0.0,one_shot,hotpotqa,1,0.0,0.0,5a80d6be55429938b6142206,0.05,memory,47,0.06517311608961303,96,0.005355499975848943,11,3
0.0,3,47,0.0,chunk_closure_memory_frontier,hotpotqa,2,0.0,0.0,5a80d6be55429938b6142206,0.05,memory,141,0.06517311608961303,96,0.008998900011647493,11,3
0.0,3,47,0.0,chunk_closure_query_frontier,hotpotqa,2,0.0,0.0,5a80d6be55429938b6142206,0.05,query,141,0.06517311608961303,96,0.00851030001649633,11,3
0.0,5,47,0.0,one_shot,hotpotqa,1,0.0,0.0,5a80d6be55429938b6142206,0.1,memory,47,0.10862186014935506,160,0.005319599993526936,11,5
0.0,5,47,0.0,chunk_closure_memory_frontier,hotpotqa,2,0.0,0.0,5a80d6be55429938b6142206,0.1,memory,188,0.10862186014935506,160,0.011124400014523417,11,5
0.0,5,47,0.0,chunk_closure_query_frontier,hotpotqa,2,0.0,0.0,5a80d6be55429938b6142206,0.1,query,188,0.10862186014935506,160,0.008516700007021427,11,5
1.0,10,47,0.0,one_shot,hotpotqa,1,0.25,0.0,5a80d6be55429938b6142206,0.2,memory,47,0.19619823489477256,289,0.009595600015018135,11,10
0.0,10,47,0.0,chunk_closure_memory_frontier,hotpotqa,2,0.0,0.0,5a80d6be55429938b6142206,0.2,memory,282,0.2172437202987101,320,0.022168600000441074,11,10
1.0,10,47,0.0,chunk_closure_query_frontier,hotpotqa,2,0.5,0.0,5a80d6be55429938b6142206,0.2,query,282,0.19619823489477256,289,0.026752700039651245,11,10
1.0,15,47,0.0,one_shot,hotpotqa,1,0.5,0.0,5a80d6be55429938b6142206,0.3,memory,47,0.3048200950441276,449,0.01615669997408986,11,15
1.0,15,47,0.0,chunk_closure_memory_frontier,hotpotqa,2,0.25,0.0,5a80d6be55429938b6142206,0.3,memory,423,0.3048200950441276,449,0.03899540001293644,11,15
1.0,15,47,0.0,chunk_closure_query_frontier,hotpotqa,2,0.5,0.0,5a80d6be55429938b6142206,0.3,query,423,0.3048200950441276,449,0.035507499997038394,11,15
