any_evidence,bridge_locality_score,budget_parents,candidate_parents,chain_completion,condition,cross_parent_transitions,dataset,evidence_coverage,exact_evidence_identity,example_id,fraction,local_entropy,local_nodes_activated_per_parent,local_nodes_explored,local_vs_parent_similarity_ratio,materialized_kv_fraction,materialized_kv_tokens,native_qk_comparisons,parent_entropy,path_depth,repeated_parent_transitions,routing_seconds,seed,semantic_gist_comparisons,unique_parents_selected
1.0,0,2,5,0.0,one_shot_parent,0,hotpotqa,0.6666666666666666,0.0,5adc93a4554299438c868e01,0.3,0,0,0,0,0.4277360066833751,512,0,0,1,0,0.004572000005282462,11,5,2
1.0,0,2,5,0.0,parent_closure,0,hotpotqa,0.6666666666666666,0.0,5adc93a4554299438c868e01,0.3,0,0,0,0,0.4277360066833751,512,0,0,2,0,0.008174500020686537,11,10,2
1.0,0.23121455311775208,2,5,0.0,local_gist_closure,1,hotpotqa,0.6666666666666666,0.0,5adc93a4554299438c868e01,0.3,3.6690163612365723,1.0,48,1.2489244575026257,0.4277360066833751,512,0,1.5898622274398804,2,1,0.009662399999797344,11,45,2
1.0,0,2,16,0.0,one_shot_parent,0,hotpotqa,0.5,0.0,5ab7f97a5542991d322237ef,0.1,0,0,0,0,0.11089059786653437,447,0,0,1,0,0.007005700026638806,11,16,2
1.0,0,2,16,0.0,parent_closure,0,hotpotqa,0.5,0.0,5ab7f97a5542991d322237ef,0.1,0,0,0,0,0.11089059786653437,447,0,0,2,0,0.008056299993768334,11,32,2
0.0,0.40385591983795166,2,16,0.0,local_gist_closure,1,hotpotqa,0.0,0.0,5ab7f97a5542991d322237ef,0.1,4.8466668128967285,1.0,136,2.0206111214376934,0.12701562887620937,512,0,2.7628605365753174,2,1,0.014711499970871955,11,144,2
1.0,0,4,16,0.0,one_shot_parent,0,hotpotqa,0.5,0.0,5ab7f97a5542991d322237ef,0.2,0,0,0,0,0.23790622674274373,959,0,0,1,0,0.00492790003772825,11,16,4
1.0,0,4,16,0.0,parent_closure,0,hotpotqa,0.5,0.0,5ab7f97a5542991d322237ef,0.2,0,0,0,0,0.23790622674274373,959,0,0,2,0,0.02113339997595176,11,48,4
1.0,0.3678448498249054,4,16,0.0,local_gist_closure,4,hotpotqa,0.5,0.0,5ab7f97a5542991d322237ef,0.2,4.847231388092041,1.0,272,1.871910301106126,0.23790622674274373,959,0,2.7643399238586426,2,2,0.03300979995401576,11,272,4
1.0,0,5,16,1.0,one_shot_parent,0,hotpotqa,1.0,1.0,5ab7f97a5542991d322237ef,0.3,0,0,0,0,0.3014140411808484,1215,0,0,1,0,0.007033000001683831,11,16,5
1.0,0,5,16,0.0,parent_closure,0,hotpotqa,0.5,0.0,5ab7f97a5542991d322237ef,0.3,0,0,0,0,0.3014140411808484,1215,0,0,2,0,0.010799099982250482,11,64,5
1.0,0.3678448498249054,5,16,0.0,local_gist_closure,9,hotpotqa,0.5,0.0,5ab7f97a5542991d322237ef,0.3,4.847367445627849,1.0,408,1.871910301106126,0.3014140411808484,1215,0,2.764980971813202,2,5,0.04433879995485768,11,400,5
1.0,0,1,5,0.0,one_shot_parent,0,hotpotqa,0.5,0.0,5a8888e35542997e5c09a5f6,0.1,0,0,0,0,0.17017828200972449,210,0,0,1,0,0.004676899989135563,11,5,1
1.0,0,1,5,0.0,parent_closure,0,hotpotqa,0.5,0.0,5a8888e35542997e5c09a5f6,0.1,0,0,0,0,0.17017828200972449,210,0,0,1,0,0.004093799972906709,11,5,1
