chain_completion,complete_oracle,dataset,fraction,materialized_kv_fraction,materialized_kv_tokens,method,native_qk_dot_products,oracle_jaccard,oracle_precision,oracle_recall,routing_seconds,rows,semantic_gist_comparisons
0.2375,0.125,hotpotqa,0.4,0.4353357493091548,695.25,parent_closure,0.0,0.29982142857142857,0.39821428571428574,0.4666666666666667,0.009677051253675018,80,19.375
0.5625,0.5625,qasper,0.05,0.08394920905943531,367.975,local_gist_closure,0.0,0.45,0.475,0.5875,0.013336306254495866,80,245.375
0.6,0.55,qasper,0.05,0.08394920905943531,367.975,native_qk_max_topk_p20,314924.8,0.4541666666666667,0.4875,0.6,0.020295387497753836,80,303.4375
0.5875,0.55,qasper,0.05,0.08395364955677102,368.0,native_qk_top4_topk_p20,314924.8,0.45,0.48125,0.59375,0.021709663749788888,80,303.4375
0.55,0.5375,qasper,0.05,0.08394920905943531,367.975,one_shot_parent,0.0,0.4354166666666667,0.4625,0.56875,0.0053849312513193585,80,18.1875
0.5625,0.5375,qasper,0.05,0.0834372493327002,364.0375,parent_closure,0.0,0.4395833333333333,0.46875,0.575,0.006235454998386558,80,29.0
0.6625,0.6625,qasper,0.1,0.13560320752403152,603.675,local_gist_closure,0.0,0.3833333333333333,0.4,0.7125,0.028063404998829356,80,379.25
0.6375,0.5875,qasper,0.1,0.1364340099817463,607.975,native_qk_max_topk_p20,966201.6,0.33958333333333335,0.35208333333333336,0.6375,0.03399504499611794,80,388.0
0.625,0.575,qasper,0.1,0.13587626693421656,606.25,native_qk_top4_topk_p20,966201.6,0.3375,0.35208333333333336,0.63125,0.03709070875120233,80,388.0
0.7,0.6875,qasper,0.1,0.13496905652304386,596.25,one_shot_parent,0.0,0.3927083333333333,0.4083333333333333,0.7375,0.005340293750487035,80,18.1875
0.7,0.675,qasper,0.1,0.13492453765021833,596.1125,parent_closure,0.0,0.39375,0.4125,0.7375,0.008941438754118281,80,46.0625
0.775,0.7625,qasper,0.2,0.23172774999225684,1042.8625,local_gist_closure,0.0,0.2626225490196078,0.2711458333333333,0.82875,0.04702978250061278,80,540.0
0.7625,0.725,qasper,0.2,0.23116458142024512,1039.775,native_qk_max_topk_p20,1949958.4,0.24958333333333332,0.2558333333333333,0.79375,0.05407344625346013,80,540.0
0.75,0.7125,qasper,0.2,0.23112337785955384,1041.275,native_qk_top4_topk_p20,1949958.4,0.24115196078431372,0.24697916666666667,0.77,0.0601781024983211,80,540.0
0.75,0.7375,qasper,0.2,0.2307262449618377,1035.975,one_shot_parent,0.0,0.25909313725490196,0.26989583333333333,0.8125,0.006537342499359511,80,18.1875
0.7625,0.7375,qasper,0.2,0.2307067640026462,1037.2875,parent_closure,0.0,0.260343137254902,0.27156250000000004,0.81875,0.012063392501295312,80,66.5625
0.8,0.7625,qasper,0.3,0.3362340002116957,1509.1625,local_gist_closure,0.0,0.18422619047619046,0.19040178571428573,0.84375,0.06438919499851181,80,689.375
0.7875,0.75,qasper,0.3,0.33647624802137716,1511.5625,native_qk_max_topk_p20,2971942.4,0.18110119047619047,0.18727678571428572,0.83125,0.07516936875108512,80,689.375
0.775,0.7375,qasper,0.3,0.33665551169632635,1511.6,native_qk_top4_topk_p20,2971942.4,0.17982142857142858,0.1866517857142857,0.82125,0.08471038749703438,80,689.375
0.8125,0.775,qasper,0.3,0.3370090783272818,1512.8625,one_shot_parent,0.0,0.18845238095238095,0.19501488095238095,0.8574999999999999,0.0066406350008037405,80,18.1875
0.7625,0.75,qasper,0.3,0.33665169306282716,1510.9875,parent_closure,0.0,0.18072916666666666,0.18675595238095238,0.825,0.015750667498650728,80,85.625
0.825,0.8,qasper,0.4,0.430279674327223,1936.8,local_gist_closure,0.0,0.15112522742957527,0.15535443722943723,0.8724999999999999,0.08085494125116384,80,833.5
0.825,0.8,qasper,0.4,0.4305081810092197,1938.775,native_qk_max_topk_p20,4045369.6,0.15055414392370914,0.15411931818181818,0.85875,0.09421937499500928,80,833.5
0.825,0.8,qasper,0.4,0.4296045182326482,1934.7375,native_qk_top4_topk_p20,4045369.6,0.15055414392370914,0.15411931818181818,0.85875,0.10606054874442634,80,833.5
0.8375,0.8,qasper,0.4,0.43099234104029926,1937.8,one_shot_parent,0.0,0.1538653812974465,0.1582260101010101,0.87375,0.008327458747953643,80,18.1875
0.8,0.7875,qasper,0.4,0.4310934239130583,1939.9125,parent_closure,0.0,0.14704049422799423,0.15032918470418472,0.85,0.01944018500216771,80,104.0
