partition,query_reconstruction_mode,query_support_mode,facet_type,K_search,rows,identities,edges,seeds,facet_count,candidate_parent_count,successor_candidate_recall,mrr,recall_at_1,recall_at_2,recall_at_3,recall_at_4,recall_at_5,recall_at_6,recall_at_8,recall_at_11,candidate_native_rank,candidate_query_rank,winning_facet_includes_a,query_support_tokens,conceptual_active_parent_count,conceptual_active_parent_count_p95,conceptual_active_parent_count_max,conceptual_active_parent_fraction,materialized_parent_count,materialized_native_kv_tokens,materialized_native_kv_tokens_p95,materialized_native_kv_tokens_max,native_kv_bytes,native_k_candidate_comparisons,semantic_comparisons,search_comparisons,reencoding_time,query_projection_time,candidate_scoring_time,native_search_time,prefill_to_ready_time,prefill_to_ready_time_p95,prefill_to_ready_time_max,memory_projection_time,total_reencoding_peak_gpu_allocated_bytes,total_reencoding_peak_gpu_reserved_bytes,incremental_reencoding_peak_allocated_bytes,routing_peak_gpu_allocated_bytes,routing_peak_gpu_reserved_bytes,incremental_routing_peak_allocated_bytes,cpu_reference_cache_bytes,gpu_reference_cache_bytes,gist_cache_bytes,query_facet_tensor_bytes,projected_parent_cache_bytes,candidate_score_tensor_bytes,h2d_transfer_bytes,oracle_margin
test,memory_then_query,question_only,w2_s1_dynamic,4,35,7,7,5,22.142857142857142,3.857142857142857,1.0,0.4785714285714286,0.22857142857142856,0.37142857142857144,0.6285714285714286,1.0,1.0,1.0,1.0,1.0,2.142857142857143,2.7714285714285714,0.0,22.142857142857142,2.142857142857143,3.0,3.0,0.3768707482993197,0.0,0.0,0.0,0.0,0.0,6523757.714285715,86.28571428571429,6523844.0,0.722722057136707,0.000846139996844743,0.002126417137748961,0.03827207143850891,0.7646042542748286,1.2883804999873973,1.2888523999718018,0.0006375685650190072,1307102354.2857144,1350865481.142857,114986642.28571428,13879954.285714285,277423250.28571427,113883.42857142857,620984671.0,8824066.285714285,23990.85714285714,90697.14285714286,2998.8571428571427,345.14285714285717,8942432.0,-0.12494410659585681
test,memory_then_query,question_only,w2_s1_dynamic,5,35,7,7,5,22.142857142857142,4.428571428571429,1.0,0.4361904761904762,0.17142857142857143,0.37142857142857144,0.6,0.7714285714285715,1.0,1.0,1.0,1.0,2.142857142857143,3.085714285714286,0.0,22.142857142857142,2.142857142857143,3.0,3.0,0.3768707482993197,0.0,0.0,0.0,0.0,0.0,6523757.714285715,101.0,6523858.714285715,0.722722057136707,0.000846139996844743,0.00208731428720057,0.03827207143850891,0.7645651514242803,1.2887237999821082,1.2888618999859318,0.0006375685650190072,1307102354.2857144,1350865481.142857,114986642.28571428,13879954.285714285,277423250.28571427,113883.42857142857,620984671.0,8824066.285714285,23990.85714285714,90697.14285714286,2998.8571428571427,404.0,8942432.0,-0.13158759283167976
test,memory_then_query,question_only,w2_s1_dynamic,6,35,7,7,5,22.142857142857142,4.714285714285714,1.0,0.430952380952381,0.17142857142857143,0.37142857142857144,0.6,0.7428571428571429,0.8857142857142857,1.0,1.0,1.0,2.142857142857143,3.2285714285714286,0.0,22.142857142857142,2.142857142857143,3.0,3.0,0.3768707482993197,0.0,0.0,0.0,0.0,0.0,6523757.714285715,109.85714285714286,6523867.571428572,0.722722057136707,0.000846139996844743,0.002298962858705116,0.03827207143850891,0.7647767999957847,1.2887649000040255,1.2893121999804862,0.0006375685650190072,1307102354.2857144,1350865481.142857,114986642.28571428,13879954.285714285,277423250.28571427,113883.42857142857,620984671.0,8824066.285714285,23990.85714285714,90697.14285714286,2998.8571428571427,439.42857142857144,8942432.0,-0.13158759283167976
test,memory_then_query,question_only,w2_s1_dynamic,8,35,7,7,5,22.142857142857142,4.714285714285714,1.0,0.430952380952381,0.17142857142857143,0.37142857142857144,0.6,0.7428571428571429,0.8857142857142857,1.0,1.0,1.0,2.142857142857143,3.2285714285714286,0.0,22.142857142857142,2.142857142857143,3.0,3.0,0.3768707482993197,0.0,0.0,0.0,0.0,0.0,6523757.714285715,109.85714285714286,6523867.571428572,0.722722057136707,0.000846139996844743,0.002233297146657216,0.03827207143850891,0.7647111342837368,1.2886458999710158,1.2890312999952585,0.0006375685650190072,1307102354.2857144,1350865481.142857,114986642.28571428,13879954.285714285,277423250.28571427,113883.42857142857,620984671.0,8824066.285714285,23990.85714285714,90697.14285714286,2998.8571428571427,439.42857142857144,8942432.0,-0.13158759283167976
test,query_separator_memory,question_and_memory,w2_s1_dynamic,1,35,7,7,5,313.7142857142857,1.0,0.2857142857142857,0.6428571428571429,0.2857142857142857,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.142857142857143,1.7142857142857142,0.2857142857142857,314.7142857142857,2.142857142857143,3.0,3.0,0.3768707482993197,0.0,0.0,0.0,0.0,0.0,6523757.714285715,313.7142857142857,6524071.428571428,0.7259581857111438,0.001397408576615687,0.0016096428568874086,0.03827207143850891,0.7678748771481748,1.2947490999940783,1.2949609000934288,0.0006375685650190072,1308213833.142857,1352663040.0,116098121.14285715,15373970.285714285,277423250.28571427,1607899.4285714286,620984671.0,8824066.285714285,23990.85714285714,1284973.7142857143,2998.8571428571427,1254.857142857143,10136774.857142856,
test,query_separator_memory,question_and_memory,w2_s1_dynamic,11,35,7,7,5,313.7142857142857,4.714285714285714,1.0,0.47809523809523813,0.22857142857142856,0.42857142857142855,0.6571428571428571,0.7714285714285715,0.9714285714285714,1.0,1.0,1.0,2.142857142857143,2.942857142857143,0.9714285714285714,314.7142857142857,2.142857142857143,3.0,3.0,0.3768707482993197,0.0,0.0,0.0,0.0,0.0,6523757.714285715,1421.4285714285713,6525179.142857143,0.7259581857111438,0.001397408576615687,0.002411757146806589,0.03827207143850891,0.768676991438094,1.2949274000129662,1.294946200097911,0.0006375685650190072,1308213833.142857,1352663040.0,116098121.14285715,15373970.285714285,277423250.28571427,1607899.4285714286,620984671.0,8824066.285714285,23990.85714285714,1284973.7142857143,2998.8571428571427,5685.714285714285,10136774.857142856,-0.08819785990885326
test,query_separator_memory,question_and_memory,w2_s1_dynamic,2,35,7,7,5,313.7142857142857,2.0,0.7142857142857143,0.5809523809523809,0.2571428571428571,0.7142857142857143,1.0,1.0,1.0,1.0,1.0,1.0,2.142857142857143,2.0285714285714285,0.7142857142857143,314.7142857142857,2.142857142857143,3.0,3.0,0.3768707482993197,0.0,0.0,0.0,0.0,0.0,6523757.714285715,627.4285714285714,6524385.142857143,0.7259581857111438,0.001397408576615687,0.0018306342934790467,0.03827207143850891,0.7680958685847664,1.2948204000713304,1.2949817000771873,0.0006375685650190072,1308213833.142857,1352663040.0,116098121.14285715,15373970.285714285,277423250.28571427,1607899.4285714286,620984671.0,8824066.285714285,23990.85714285714,1284973.7142857143,2998.8571428571427,2509.714285714286,10136774.857142856,-0.053120686188340184
test,query_separator_memory,question_and_memory,w2_s1_dynamic,3,35,7,7,5,313.7142857142857,3.0,0.8571428571428571,0.5642857142857143,0.3142857142857143,0.5142857142857142,0.8571428571428571,1.0,1.0,1.0,1.0,1.0,2.142857142857143,2.3142857142857145,0.8571428571428571,314.7142857142857,2.142857142857143,3.0,3.0,0.3768707482993197,0.0,0.0,0.0,0.0,0.0,6523757.714285715,941.1428571428571,6524698.857142857,0.7259581857111438,0.001397408576615687,0.002027294285861509,0.03827207143850891,0.7682925285771489,1.2950051000807434,1.295041800069157,0.0006375685650190072,1308213833.142857,1352663040.0,116098121.14285715,15373970.285714285,277423250.28571427,1607899.4285714286,620984671.0,8824066.285714285,23990.85714285714,1284973.7142857143,2998.8571428571427,3764.5714285714284,10136774.857142856,-0.06789108558247486
test,query_separator_memory,question_and_memory,w2_s1_dynamic,4,35,7,7,5,313.7142857142857,3.857142857142857,1.0,0.5333333333333333,0.2857142857142857,0.4857142857142857,0.7142857142857143,1.0,1.0,1.0,1.0,1.0,2.142857142857143,2.5142857142857142,0.9714285714285714,314.7142857142857,2.142857142857143,3.0,3.0,0.3768707482993197,0.0,0.0,0.0,0.0,0.0,6523757.714285715,1179.5714285714287,6524937.285714285,0.7259581857111438,0.001397408576615687,0.0022165371354536285,0.03827207143850891,0.768481771426741,1.2947752000181936,1.2950582000776194,0.0006375685650190072,1308213833.142857,1352663040.0,116098121.14285715,15373970.285714285,277423250.28571427,1607899.4285714286,620984671.0,8824066.285714285,23990.85714285714,1284973.7142857143,2998.8571428571427,4718.285714285715,10136774.857142856,-0.08084067154143537
test,query_separator_memory,question_and_memory,w2_s1_dynamic,5,35,7,7,5,313.7142857142857,4.428571428571429,1.0,0.4828571428571428,0.22857142857142856,0.42857142857142855,0.6857142857142857,0.8,1.0,1.0,1.0,1.0,2.142857142857143,2.857142857142857,0.9714285714285714,314.7142857142857,2.142857142857143,3.0,3.0,0.3768707482993197,0.0,0.0,0.0,0.0,0.0,6523757.714285715,1339.857142857143,6525097.571428572,0.7259581857111438,0.001397408576615687,0.0022728914295190145,0.03827207143850891,0.7685381257208064,1.29507310007466,1.2950772001058795,0.0006375685650190072,1308213833.142857,1352663040.0,116098121.14285715,15373970.285714285,277423250.28571427,1607899.4285714286,620984671.0,8824066.285714285,23990.85714285714,1284973.7142857143,2998.8571428571427,5359.428571428572,10136774.857142856,-0.08819785990885326
