dataset,family,policy,channels,parameter,k_total,n,evidence_recall,complete_recovery,precision,reciprocal_rank,routing_index_bytes,routing_seconds,native_kv_tokens_materialized
2wikimultihopqa,reserved_slots,L+S+QK:L1_S1_QK2_lex1,L+S+QK,"{""L"": 1, ""QK"": 2, ""S"": 1}",4,4,1.0,1.0,0.625,1.0,129316.25,0.16043420002097264,904.0
2wikimultihopqa,reserved_slots,L+S:L2_S2,L+S,"{""L"": 2, ""S"": 2}",4,4,0.8333333333333334,0.75,0.5,1.0,6436.25,0.0005473750061355531,904.0
2wikimultihopqa,rrf,E+QK:RRF,E+QK,c=10,2,4,0.5,0.0,0.625,0.625,126415.5,0.15997802501078695,512.0
2wikimultihopqa,rrf,E+QK:RRF,E+QK,c=10,4,4,1.0,1.0,0.625,0.625,126415.5,0.15997802501078695,904.0
2wikimultihopqa,rrf,E+QK:RRF,E+QK,c=10,8,4,1.0,1.0,0.50625,0.625,126415.5,0.15997802501078695,1224.0
2wikimultihopqa,rrf,E+S+QK:RRF,E+S+QK,c=10,2,4,0.625,0.25,0.75,0.75,127381.0,0.1603889749967493,505.0
2wikimultihopqa,rrf,E+S+QK:RRF,E+S+QK,c=10,4,4,1.0,1.0,0.625,0.75,127381.0,0.1603889749967493,904.0
2wikimultihopqa,rrf,E+S+QK:RRF,E+S+QK,c=10,8,4,1.0,1.0,0.50625,0.75,127381.0,0.1603889749967493,1224.0
2wikimultihopqa,rrf,E+S:RRF,E+S,c=10,2,4,0.41666666666666663,0.0,0.5,0.75,4501.0,0.0005021499819122255,505.0
2wikimultihopqa,rrf,E+S:RRF,E+S,c=10,4,4,0.9166666666666666,0.75,0.5625,0.75,4501.0,0.0005021499819122255,904.0
2wikimultihopqa,rrf,E+S:RRF,E+S,c=10,8,4,0.9166666666666666,0.75,0.475,0.75,4501.0,0.0005021499819122255,1173.75
2wikimultihopqa,rrf,L+E+QK:RRF,L+E+QK,c=10,2,4,0.5,0.0,0.625,0.875,131886.25,0.16011445003096014,505.0
2wikimultihopqa,rrf,L+E+QK:RRF,L+E+QK,c=10,4,4,1.0,1.0,0.625,0.875,131886.25,0.16011445003096014,904.0
2wikimultihopqa,rrf,L+E+QK:RRF,L+E+QK,c=10,8,4,1.0,1.0,0.50625,0.875,131886.25,0.16011445003096014,1224.0
2wikimultihopqa,rrf,L+E+S+QK:RRF,L+E+S+QK,c=10,2,4,0.625,0.25,0.75,0.875,132851.75,0.1605254000169225,505.0
2wikimultihopqa,rrf,L+E+S+QK:RRF,L+E+S+QK,c=10,4,4,0.9166666666666666,0.75,0.5625,0.875,132851.75,0.1605254000169225,904.0
2wikimultihopqa,rrf,L+E+S+QK:RRF,L+E+S+QK,c=10,8,4,1.0,1.0,0.50625,0.875,132851.75,0.1605254000169225,1224.0
2wikimultihopqa,rrf,L+E+S:RRF,L+E+S,c=10,2,4,0.41666666666666663,0.0,0.5,1.0,9971.75,0.0006385750020854175,505.0
2wikimultihopqa,rrf,L+E+S:RRF,L+E+S,c=10,4,4,0.9166666666666666,0.75,0.5625,1.0,9971.75,0.0006385750020854175,955.25
2wikimultihopqa,rrf,L+E+S:RRF,L+E+S,c=10,8,4,1.0,1.0,0.50625,1.0,9971.75,0.0006385750020854175,1224.0
2wikimultihopqa,rrf,L+E:RRF,L+E,c=10,2,4,0.41666666666666663,0.0,0.5,0.875,9006.25,0.0002276250161230564,505.0
2wikimultihopqa,rrf,L+E:RRF,L+E,c=10,4,4,0.9166666666666666,0.75,0.5625,0.875,9006.25,0.0002276250161230564,955.25
2wikimultihopqa,rrf,L+E:RRF,L+E,c=10,8,4,1.0,1.0,0.50625,0.875,9006.25,0.0002276250161230564,1224.0
2wikimultihopqa,rrf,L+QK:RRF,L+QK,c=10,2,4,0.625,0.25,0.75,0.875,128350.75,0.16002325003501028,505.0
2wikimultihopqa,rrf,L+QK:RRF,L+QK,c=10,4,4,1.0,1.0,0.625,0.875,128350.75,0.16002325003501028,904.0
2wikimultihopqa,rrf,L+QK:RRF,L+QK,c=10,8,4,1.0,1.0,0.50625,0.875,128350.75,0.16002325003501028,1224.0
2wikimultihopqa,rrf,L+S+QK:RRF,L+S+QK,c=10,2,4,0.625,0.25,0.75,0.75,129316.25,0.16043420002097264,505.0
2wikimultihopqa,rrf,L+S+QK:RRF,L+S+QK,c=10,4,4,1.0,1.0,0.625,0.75,129316.25,0.16043420002097264,904.0
2wikimultihopqa,rrf,L+S+QK:RRF,L+S+QK,c=10,8,4,1.0,1.0,0.50625,0.75,129316.25,0.16043420002097264,1224.0
2wikimultihopqa,rrf,L+S:RRF,L+S,c=10,2,4,0.41666666666666663,0.0,0.5,0.875,6436.25,0.0005473750061355531,505.0
2wikimultihopqa,rrf,L+S:RRF,L+S,c=10,4,4,0.9166666666666666,0.75,0.5625,0.875,6436.25,0.0005473750061355531,904.0
2wikimultihopqa,rrf,L+S:RRF,L+S,c=10,8,4,0.9166666666666666,0.75,0.475,0.875,6436.25,0.0005473750061355531,1224.0
2wikimultihopqa,rrf,S+QK:RRF,S+QK,c=10,2,4,0.625,0.25,0.75,0.75,123845.5,0.16029777500079945,505.0
2wikimultihopqa,rrf,S+QK:RRF,S+QK,c=10,4,4,0.7916666666666666,0.5,0.5,0.75,123845.5,0.16029777500079945,904.0
2wikimultihopqa,rrf,S+QK:RRF,S+QK,c=10,8,4,1.0,1.0,0.50625,0.75,123845.5,0.16029777500079945,1224.0
2wikimultihopqa,single,E,E,,2,4,0.29166666666666663,0.0,0.375,0.8333333333333334,3535.5,9.119999594986439e-05,512.0
2wikimultihopqa,single,E,E,,4,4,0.9166666666666666,0.75,0.5625,0.8333333333333334,3535.5,9.119999594986439e-05,955.25
2wikimultihopqa,single,E,E,,8,4,1.0,1.0,0.50625,0.8333333333333334,3535.5,9.119999594986439e-05,1224.0
2wikimultihopqa,single,L,L,,2,4,0.5416666666666666,0.25,0.625,1.0,5470.75,0.00013642502017319202,505.0
2wikimultihopqa,single,L,L,,4,4,0.9166666666666666,0.75,0.5625,1.0,5470.75,0.00013642502017319202,955.25
2wikimultihopqa,single,L,L,,8,4,1.0,1.0,0.50625,1.0,5470.75,0.00013642502017319202,1224.0
2wikimultihopqa,single,QK,QK,,2,4,0.625,0.25,0.75,0.75,122880.0,0.1598868250148371,443.25
2wikimultihopqa,single,QK,QK,,4,4,0.9166666666666666,0.75,0.5625,0.75,122880.0,0.1598868250148371,904.0
2wikimultihopqa,single,QK,QK,,8,4,1.0,1.0,0.50625,0.75,122880.0,0.1598868250148371,1224.0
2wikimultihopqa,single,QK8,QK8,,2,4,0.5,0.0,0.625,1.0,15360.0,6.6388820999418385,450.25
2wikimultihopqa,single,QK8,QK8,,4,4,0.9166666666666666,0.75,0.5625,1.0,15360.0,6.6388820999418385,904.0
2wikimultihopqa,single,QK8,QK8,,8,4,1.0,1.0,0.50625,1.0,15360.0,6.6388820999418385,1224.0
2wikimultihopqa,single,S,S,,2,4,0.5416666666666666,0.25,0.625,0.75,965.5,0.0004109499859623611,505.0
2wikimultihopqa,single,S,S,,4,4,0.7083333333333334,0.5,0.4375,0.75,965.5,0.0004109499859623611,904.0
2wikimultihopqa,single,S,S,,8,4,0.9166666666666666,0.75,0.475,0.75,965.5,0.0004109499859623611,1173.75
2wikimultihopqa,single,native_mean,native_mean,,2,4,0.5416666666666666,0.25,0.625,1.0,30720.0,0.046292974962852895,505.0
2wikimultihopqa,single,native_mean,native_mean,,4,4,0.9166666666666666,0.75,0.5625,1.0,30720.0,0.046292974962852895,955.25
2wikimultihopqa,single,native_mean,native_mean,,8,4,0.9166666666666666,0.75,0.475,1.0,30720.0,0.046292974962852895,1224.0
2wikimultihopqa,single,oracle,oracle,,2,4,0.8333333333333333,0.5,1.0,1.0,0.0,0.0,505.0
2wikimultihopqa,single,oracle,oracle,,4,4,1.0,1.0,0.625,1.0,0.0,0.0,955.25
2wikimultihopqa,single,oracle,oracle,,8,4,1.0,1.0,0.50625,1.0,0.0,0.0,1224.0
2wikimultihopqa,union_agreement,E+QK:U2,E+QK,candidate_pool=2,2,4,0.5,0.0,0.625,0.625,126415.5,0.15997802501078695,512.0
2wikimultihopqa,union_agreement,E+QK:U2,E+QK,candidate_pool=4,4,4,1.0,1.0,0.625,0.625,126415.5,0.15997802501078695,904.0
2wikimultihopqa,union_agreement,E+QK:U2,E+QK,candidate_pool=8,8,4,1.0,1.0,0.50625,0.625,126415.5,0.15997802501078695,1224.0
2wikimultihopqa,union_agreement,E+S+QK:U2,E+S+QK,candidate_pool=2,2,4,0.625,0.25,0.75,0.75,127381.0,0.1603889749967493,505.0
2wikimultihopqa,union_agreement,E+S+QK:U2,E+S+QK,candidate_pool=4,4,4,0.9166666666666666,0.75,0.5625,0.75,127381.0,0.1603889749967493,904.0
2wikimultihopqa,union_agreement,E+S+QK:U2,E+S+QK,candidate_pool=8,8,4,1.0,1.0,0.50625,0.75,127381.0,0.1603889749967493,1224.0
2wikimultihopqa,union_agreement,E+S:U2,E+S,candidate_pool=2,2,4,0.41666666666666663,0.0,0.5,0.75,4501.0,0.0005021499819122255,505.0
2wikimultihopqa,union_agreement,E+S:U2,E+S,candidate_pool=4,4,4,0.9166666666666666,0.75,0.5625,0.75,4501.0,0.0005021499819122255,955.25
2wikimultihopqa,union_agreement,E+S:U2,E+S,candidate_pool=8,8,4,0.9166666666666666,0.75,0.475,0.75,4501.0,0.0005021499819122255,1173.75
2wikimultihopqa,union_agreement,L+E+QK:U2,L+E+QK,candidate_pool=2,2,4,0.41666666666666663,0.0,0.5,0.875,131886.25,0.16011445003096014,505.0
2wikimultihopqa,union_agreement,L+E+QK:U2,L+E+QK,candidate_pool=4,4,4,0.9166666666666666,0.75,0.5625,0.875,131886.25,0.16011445003096014,955.25
2wikimultihopqa,union_agreement,L+E+QK:U2,L+E+QK,candidate_pool=8,8,4,1.0,1.0,0.50625,0.875,131886.25,0.16011445003096014,1224.0
2wikimultihopqa,union_agreement,L+E+S+QK:U2,L+E+S+QK,candidate_pool=2,2,4,0.5416666666666666,0.25,0.625,0.875,132851.75,0.1605254000169225,505.0
2wikimultihopqa,union_agreement,L+E+S+QK:U2,L+E+S+QK,candidate_pool=4,4,4,0.9166666666666666,0.75,0.5625,0.875,132851.75,0.1605254000169225,955.25
2wikimultihopqa,union_agreement,L+E+S+QK:U2,L+E+S+QK,candidate_pool=8,8,4,1.0,1.0,0.50625,0.875,132851.75,0.1605254000169225,1224.0
2wikimultihopqa,union_agreement,L+E+S:U2,L+E+S,candidate_pool=2,2,4,0.41666666666666663,0.0,0.5,0.875,9971.75,0.0006385750020854175,505.0
2wikimultihopqa,union_agreement,L+E+S:U2,L+E+S,candidate_pool=4,4,4,0.9166666666666666,0.75,0.5625,0.875,9971.75,0.0006385750020854175,955.25
2wikimultihopqa,union_agreement,L+E+S:U2,L+E+S,candidate_pool=8,8,4,1.0,1.0,0.50625,0.875,9971.75,0.0006385750020854175,1224.0
2wikimultihopqa,union_agreement,L+E:U2,L+E,candidate_pool=2,2,4,0.29166666666666663,0.0,0.375,0.8333333333333334,9006.25,0.0002276250161230564,512.0
2wikimultihopqa,union_agreement,L+E:U2,L+E,candidate_pool=4,4,4,0.9166666666666666,0.75,0.5625,0.875,9006.25,0.0002276250161230564,955.25
2wikimultihopqa,union_agreement,L+E:U2,L+E,candidate_pool=8,8,4,1.0,1.0,0.50625,0.875,9006.25,0.0002276250161230564,1224.0
2wikimultihopqa,union_agreement,L+QK:U2,L+QK,candidate_pool=2,2,4,0.625,0.25,0.75,0.875,128350.75,0.16002325003501028,505.0
2wikimultihopqa,union_agreement,L+QK:U2,L+QK,candidate_pool=4,4,4,1.0,1.0,0.625,0.875,128350.75,0.16002325003501028,904.0
2wikimultihopqa,union_agreement,L+QK:U2,L+QK,candidate_pool=8,8,4,1.0,1.0,0.50625,0.875,128350.75,0.16002325003501028,1224.0
2wikimultihopqa,union_agreement,L+S+QK:U2,L+S+QK,candidate_pool=2,2,4,0.625,0.25,0.75,0.875,129316.25,0.16043420002097264,505.0
2wikimultihopqa,union_agreement,L+S+QK:U2,L+S+QK,candidate_pool=4,4,4,0.9166666666666666,0.75,0.5625,0.75,129316.25,0.16043420002097264,904.0
2wikimultihopqa,union_agreement,L+S+QK:U2,L+S+QK,candidate_pool=8,8,4,1.0,1.0,0.50625,0.75,129316.25,0.16043420002097264,1224.0
2wikimultihopqa,union_agreement,L+S:U2,L+S,candidate_pool=2,2,4,0.41666666666666663,0.0,0.5,0.875,6436.25,0.0005473750061355531,505.0
2wikimultihopqa,union_agreement,L+S:U2,L+S,candidate_pool=4,4,4,0.9166666666666666,0.75,0.5625,0.875,6436.25,0.0005473750061355531,955.25
2wikimultihopqa,union_agreement,L+S:U2,L+S,candidate_pool=8,8,4,0.9166666666666666,0.75,0.475,0.875,6436.25,0.0005473750061355531,1224.0
2wikimultihopqa,union_agreement,S+QK:U2,S+QK,candidate_pool=2,2,4,0.625,0.25,0.75,0.75,123845.5,0.16029777500079945,505.0
2wikimultihopqa,union_agreement,S+QK:U2,S+QK,candidate_pool=4,4,4,0.7916666666666666,0.5,0.5,0.75,123845.5,0.16029777500079945,904.0
2wikimultihopqa,union_agreement,S+QK:U2,S+QK,candidate_pool=8,8,4,1.0,1.0,0.50625,0.75,123845.5,0.16029777500079945,1224.0
2wikimultihopqa,union_round_robin,E+QK:U0,E+QK,,2,4,0.5,0.0,0.625,0.875,126415.5,0.15997802501078695,512.0
2wikimultihopqa,union_round_robin,E+QK:U0,E+QK,,4,4,1.0,1.0,0.625,0.875,126415.5,0.15997802501078695,904.0
2wikimultihopqa,union_round_robin,E+QK:U0,E+QK,,8,4,1.0,1.0,0.50625,0.875,126415.5,0.15997802501078695,1224.0
2wikimultihopqa,union_round_robin,E+S+QK:U0,E+S+QK,,2,4,0.5,0.0,0.625,0.875,127381.0,0.1603889749967493,505.0
2wikimultihopqa,union_round_robin,E+S+QK:U0,E+S+QK,,4,4,0.9166666666666666,0.75,0.5625,0.875,127381.0,0.1603889749967493,904.0
2wikimultihopqa,union_round_robin,E+S+QK:U0,E+S+QK,,8,4,1.0,1.0,0.50625,0.875,127381.0,0.1603889749967493,1224.0
2wikimultihopqa,union_round_robin,E+S:U0,E+S,,2,4,0.41666666666666663,0.0,0.5,0.875,4501.0,0.0005021499819122255,505.0
2wikimultihopqa,union_round_robin,E+S:U0,E+S,,4,4,0.8333333333333334,0.75,0.5,0.875,4501.0,0.0005021499819122255,904.0
2wikimultihopqa,union_round_robin,E+S:U0,E+S,,8,4,1.0,1.0,0.50625,0.875,4501.0,0.0005021499819122255,1224.0
2wikimultihopqa,union_round_robin,L+E+QK:U0,L+E+QK,,2,4,0.5,0.0,0.625,1.0,131886.25,0.16011445003096014,505.0
2wikimultihopqa,union_round_robin,L+E+QK:U0,L+E+QK,,4,4,1.0,1.0,0.625,1.0,131886.25,0.16011445003096014,904.0
2wikimultihopqa,union_round_robin,L+E+QK:U0,L+E+QK,,8,4,1.0,1.0,0.50625,1.0,131886.25,0.16011445003096014,1224.0
2wikimultihopqa,union_round_robin,L+E+S+QK:U0,L+E+S+QK,,2,4,0.5,0.0,0.625,1.0,132851.75,0.1605254000169225,505.0
2wikimultihopqa,union_round_robin,L+E+S+QK:U0,L+E+S+QK,,4,4,0.9166666666666666,0.75,0.5625,1.0,132851.75,0.1605254000169225,904.0
2wikimultihopqa,union_round_robin,L+E+S+QK:U0,L+E+S+QK,,8,4,1.0,1.0,0.50625,1.0,132851.75,0.1605254000169225,1224.0
2wikimultihopqa,union_round_robin,L+E+S:U0,L+E+S,,2,4,0.41666666666666663,0.0,0.5,1.0,9971.75,0.0006385750020854175,505.0
2wikimultihopqa,union_round_robin,L+E+S:U0,L+E+S,,4,4,0.9166666666666666,0.75,0.5625,1.0,9971.75,0.0006385750020854175,904.0
2wikimultihopqa,union_round_robin,L+E+S:U0,L+E+S,,8,4,1.0,1.0,0.50625,1.0,9971.75,0.0006385750020854175,1224.0
2wikimultihopqa,union_round_robin,L+E:U0,L+E,,2,4,0.5416666666666666,0.25,0.625,1.0,9006.25,0.0002276250161230564,505.0
2wikimultihopqa,union_round_robin,L+E:U0,L+E,,4,4,0.9166666666666666,0.75,0.5625,1.0,9006.25,0.0002276250161230564,955.25
2wikimultihopqa,union_round_robin,L+E:U0,L+E,,8,4,1.0,1.0,0.50625,1.0,9006.25,0.0002276250161230564,1224.0
2wikimultihopqa,union_round_robin,L+QK:U0,L+QK,,2,4,0.625,0.25,0.75,1.0,128350.75,0.16002325003501028,505.0
2wikimultihopqa,union_round_robin,L+QK:U0,L+QK,,4,4,1.0,1.0,0.625,1.0,128350.75,0.16002325003501028,904.0
2wikimultihopqa,union_round_robin,L+QK:U0,L+QK,,8,4,1.0,1.0,0.50625,1.0,128350.75,0.16002325003501028,1224.0
2wikimultihopqa,union_round_robin,L+S+QK:U0,L+S+QK,,2,4,0.625,0.25,0.75,1.0,129316.25,0.16043420002097264,505.0
2wikimultihopqa,union_round_robin,L+S+QK:U0,L+S+QK,,4,4,0.9166666666666666,0.75,0.5625,1.0,129316.25,0.16043420002097264,904.0
2wikimultihopqa,union_round_robin,L+S+QK:U0,L+S+QK,,8,4,1.0,1.0,0.50625,1.0,129316.25,0.16043420002097264,1224.0
2wikimultihopqa,union_round_robin,L+S:U0,L+S,,2,4,0.41666666666666663,0.0,0.5,1.0,6436.25,0.0005473750061355531,505.0
2wikimultihopqa,union_round_robin,L+S:U0,L+S,,4,4,0.9166666666666666,0.75,0.5625,1.0,6436.25,0.0005473750061355531,904.0
2wikimultihopqa,union_round_robin,L+S:U0,L+S,,8,4,1.0,1.0,0.50625,1.0,6436.25,0.0005473750061355531,1224.0
2wikimultihopqa,union_round_robin,S+QK:U0,S+QK,,2,4,0.625,0.25,0.75,0.75,123845.5,0.16029777500079945,505.0
2wikimultihopqa,union_round_robin,S+QK:U0,S+QK,,4,4,0.875,0.75,0.5625,0.75,123845.5,0.16029777500079945,904.0
2wikimultihopqa,union_round_robin,S+QK:U0,S+QK,,8,4,1.0,1.0,0.50625,0.75,123845.5,0.16029777500079945,1224.0
hotpotqa,normalized_fusion,E+QK:fusion,E+QK,template=equal,2,4,0.625,0.25,0.625,0.75,88766.25,0.19601062504807487,494.5
hotpotqa,normalized_fusion,E+QK:fusion,E+QK,template=equal,4,4,1.0,1.0,0.5,0.75,88766.25,0.19601062504807487,974.5
hotpotqa,normalized_fusion,E+QK:fusion,E+QK,template=equal,8,4,1.0,1.0,0.38333333333333336,0.75,88766.25,0.19601062504807487,1292.25
hotpotqa,normalized_fusion,E+S+QK:fusion,E+S+QK,template=equal,2,4,0.75,0.5,0.75,0.875,89418.0,0.1963060501147993,512.0
hotpotqa,normalized_fusion,E+S+QK:fusion,E+S+QK,template=equal,4,4,1.0,1.0,0.5,0.875,89418.0,0.1963060501147993,1006.5
hotpotqa,normalized_fusion,E+S+QK:fusion,E+S+QK,template=equal,8,4,1.0,1.0,0.38333333333333336,0.875,89418.0,0.1963060501147993,1292.25
hotpotqa,normalized_fusion,E+S:fusion,E+S,template=equal,2,4,0.75,0.75,0.75,0.8333333333333334,3402.0,0.00044902507215738297,512.0
hotpotqa,normalized_fusion,E+S:fusion,E+S,template=equal,4,4,1.0,1.0,0.5,0.8333333333333334,3402.0,0.00044902507215738297,1006.5
hotpotqa,normalized_fusion,E+S:fusion,E+S,template=equal,8,4,1.0,1.0,0.38333333333333336,0.8333333333333334,3402.0,0.00044902507215738297,1292.25
hotpotqa,normalized_fusion,L+E+QK:fusion,L+E+QK,template=equal,2,4,0.75,0.5,0.75,0.875,93621.25,0.19619180005975068,496.25
hotpotqa,normalized_fusion,L+E+QK:fusion,L+E+QK,template=equal,4,4,1.0,1.0,0.5,0.875,93621.25,0.19619180005975068,974.5
hotpotqa,normalized_fusion,L+E+QK:fusion,L+E+QK,template=equal,8,4,1.0,1.0,0.38333333333333336,0.875,93621.25,0.19619180005975068,1292.25
hotpotqa,normalized_fusion,L+E+S+QK:fusion,L+E+S+QK,template=equal,2,4,0.75,0.5,0.75,0.875,94273.0,0.1964872251264751,496.25
hotpotqa,normalized_fusion,L+E+S+QK:fusion,L+E+S+QK,template=equal,4,4,1.0,1.0,0.5,0.875,94273.0,0.1964872251264751,1006.5
hotpotqa,normalized_fusion,L+E+S+QK:fusion,L+E+S+QK,template=equal,8,4,1.0,1.0,0.38333333333333336,0.875,94273.0,0.1964872251264751,1292.25
