dataset,example_id,parent_index,summary_target_rank,summary_target_recovered_at4,summary_token_count,source_token_count,compression_ratio,alias_reference_available,alias_recall,entity_retained,entity_reference,entity_recall,number_date_retained,number_date_reference,number_date_recall,rare_term_retained,rare_term_reference,rare_term_recall,relation_term_retained,relation_term_reference,relation_term_recall,evidence_key_retained,evidence_key_reference,evidence_key_recall
2wikimultihopqa,04f33eff08fa11ebbdabac1f6bf848b6,1,2,True,32,256,0.125,False,,1,17,0.058823529411764705,0,12,0.0,0,12,0.0,0,1,0.0,0,4,0.0
2wikimultihopqa,04f33eff08fa11ebbdabac1f6bf848b6,2,3,True,32,256,0.125,False,,0,22,0.0,1,12,0.08333333333333333,0,12,0.0,0,4,0.0,0,5,0.0
2wikimultihopqa,04f33eff08fa11ebbdabac1f6bf848b6,3,4,True,32,9,3.5555555555555554,False,,0,0,,0,0,,2,3,0.6666666666666666,0,0,,0,0,
2wikimultihopqa,0bdeb6f80bdc11eba7f7acde48001122,0,2,True,32,256,0.125,False,,0,21,0.0,0,12,0.0,0,12,0.0,0,5,0.0,2,6,0.3333333333333333
2wikimultihopqa,0bdeb6f80bdc11eba7f7acde48001122,3,1,True,32,228,0.14035087719298245,False,,0,21,0.0,0,11,0.0,0,12,0.0,0,3,0.0,3,6,0.5
2wikimultihopqa,0c8a27700bde11eba7f7acde48001122,0,1,True,32,256,0.125,False,,2,10,0.2,0,9,0.0,1,12,0.08333333333333333,0,3,0.0,4,4,1.0
2wikimultihopqa,0c8a27700bde11eba7f7acde48001122,9,14,False,32,256,0.125,False,,2,8,0.25,0,12,0.0,0,12,0.0,0,2,0.0,0,1,0.0
2wikimultihopqa,0c8a27700bde11eba7f7acde48001122,10,5,False,32,256,0.125,False,,0,9,0.0,0,11,0.0,0,12,0.0,0,2,0.0,1,2,0.5
musique,2hop__107905_110222,0,3,True,28,256,0.109375,False,,2,18,0.1111111111111111,4,12,0.3333333333333333,4,12,0.3333333333333333,0,9,0.0,0,9,0.0
musique,2hop__107905_110222,1,7,False,28,256,0.109375,False,,2,9,0.2222222222222222,3,13,0.23076923076923078,2,12,0.16666666666666666,0,6,0.0,0,9,0.0
musique,2hop__107905_110222,3,4,True,28,256,0.109375,False,,2,12,0.16666666666666666,3,11,0.2727272727272727,0,12,0.0,0,9,0.0,0,7,0.0
musique,2hop__115515_779396,2,1,True,28,256,0.109375,False,,5,26,0.19230769230769232,0,6,0.0,0,12,0.0,1,11,0.09090909090909091,3,5,0.6
musique,2hop__115515_779396,10,4,True,28,256,0.109375,False,,5,15,0.3333333333333333,0,7,0.0,3,12,0.25,0,12,0.0,1,4,0.25
musique,2hop__128945_47686,0,8,False,28,256,0.109375,False,,7,16,0.4375,2,12,0.16666666666666666,2,12,0.16666666666666666,1,7,0.14285714285714285,0,2,0.0
musique,2hop__128945_47686,5,5,False,28,256,0.109375,False,,2,18,0.1111111111111111,0,10,0.0,6,12,0.5,0,8,0.0,0,4,0.0
musique,2hop__131951_643670,1,1,True,28,256,0.109375,False,,1,15,0.06666666666666667,0,7,0.0,9,12,0.75,0,4,0.0,3,9,0.3333333333333333
musique,2hop__131951_643670,2,4,True,28,256,0.109375,False,,6,21,0.2857142857142857,0,8,0.0,4,12,0.3333333333333333,0,1,0.0,1,8,0.125
musique,2hop__131951_643670,3,3,True,19,256,0.07421875,False,,5,19,0.2631578947368421,0,4,0.0,1,12,0.08333333333333333,0,8,0.0,0,6,0.0
musique,2hop__133116_533882,0,5,False,28,256,0.109375,False,,9,18,0.5,1,12,0.08333333333333333,9,12,0.75,1,12,0.08333333333333333,1,8,0.125
musique,2hop__133116_533882,2,4,True,28,256,0.109375,False,,5,25,0.2,0,6,0.0,7,12,0.5833333333333334,0,11,0.0,3,8,0.375
musique,2hop__133116_533882,3,1,True,28,256,0.109375,False,,12,18,0.6666666666666666,0,5,0.0,8,12,0.6666666666666666,1,10,0.1,4,7,0.5714285714285714
musique,2hop__13353_85402,0,4,True,28,256,0.109375,False,,6,25,0.24,0,3,0.0,5,12,0.4166666666666667,0,6,0.0,1,8,0.125
musique,2hop__13353_85402,1,1,True,28,256,0.109375,False,,2,27,0.07407407407407407,0,15,0.0,0,12,0.0,1,3,0.3333333333333333,2,2,1.0
musique,2hop__13353_85402,2,7,False,24,256,0.09375,False,,2,16,0.125,4,15,0.26666666666666666,1,12,0.08333333333333333,0,4,0.0,0,3,0.0
musique,2hop__159741_161674,2,11,False,28,256,0.109375,False,,3,8,0.375,1,5,0.2,6,12,0.5,1,11,0.09090909090909091,2,6,0.3333333333333333
musique,2hop__159741_161674,3,2,True,28,256,0.109375,False,,1,9,0.1111111111111111,2,5,0.4,5,12,0.4166666666666667,2,12,0.16666666666666666,3,9,0.3333333333333333
musique,2hop__159741_161674,10,10,False,28,256,0.109375,False,,3,13,0.23076923076923078,2,6,0.3333333333333333,0,12,0.0,1,12,0.08333333333333333,1,8,0.125
musique,2hop__159741_161674,11,5,False,28,165,0.1696969696969697,False,,7,12,0.5833333333333334,0,3,0.0,0,12,0.0,0,11,0.0,2,8,0.25
musique,2hop__16581_16569,1,9,False,28,256,0.109375,False,,4,16,0.25,0,4,0.0,2,12,0.16666666666666666,0,7,0.0,1,7,0.14285714285714285
musique,2hop__16581_16569,2,1,True,25,256,0.09765625,False,,7,19,0.3684210526315789,0,4,0.0,0,12,0.0,1,12,0.08333333333333333,4,8,0.5
musique,2hop__16581_16569,4,8,False,28,256,0.109375,False,,14,26,0.5384615384615384,0,5,0.0,2,12,0.16666666666666666,2,10,0.2,3,9,0.3333333333333333
musique,2hop__16581_16569,5,12,False,28,256,0.109375,False,,3,6,0.5,0,12,0.0,0,12,0.0,0,4,0.0,0,5,0.0
