dataset,example_id,scope,address_views,persistent_bytes,ingestion_seconds,routing_seconds,summary_generation_seconds,summary_embedding_seconds,shared_backing_memory_copies,ingestion_status
qasper,1808.10245:da9c0637623885afaf023a319beee87898948fe9,combined_stack,L+E+QK,217558,0.016062499955296516,0.5705789998173714,0.0,0.0,1,component_sum; QK projection inherited
qasper,1808.10245:da9c0637623885afaf023a319beee87898948fe9,combined_stack,L+E+S+QK,219048,29.011012899922207,0.5708709999453276,28.99495039996691,0.0,1,component_sum; QK projection inherited
qasper,2001.02885:96b07373756d7854bccc3c12e8d41454ab8741f5,single_channel,L,15049,0.0034020000603049994,6.960006430745125e-05,0.0,0.0,1,measured_source_bm25_build
qasper,2001.02885:96b07373756d7854bccc3c12e8d41454ab8741f5,single_channel,E,7298,0.012002400122582912,4.850002005696297e-05,0.0,0.0,1,measured_extract_and_bm25_build
qasper,2001.02885:96b07373756d7854bccc3c12e8d41454ab8741f5,single_channel,S,1235,33.73025829996914,0.0001730998046696186,33.73025829996914,0.0,1,cached_generation_plus_measured_embedding
qasper,2001.02885:96b07373756d7854bccc3c12e8d41454ab8741f5,single_channel,QK,229376,0.0,0.5878290000837296,0.0,0.0,1,inherited_checkpoint_projection_not_remeasured
qasper,2001.02885:96b07373756d7854bccc3c12e8d41454ab8741f5,single_channel,QK8,28672,0.0,12.861717299791053,0.0,0.0,1,inherited_checkpoint_projection_not_remeasured
qasper,2001.02885:96b07373756d7854bccc3c12e8d41454ab8741f5,single_channel,native_mean,57344,0.0,0.0002723999787122011,0.0,0.0,1,inherited_native_features
qasper,2001.02885:96b07373756d7854bccc3c12e8d41454ab8741f5,single_channel,oracle,0,0.0,0.0,0.0,0.0,1,evaluation_identity_control
qasper,2001.02885:96b07373756d7854bccc3c12e8d41454ab8741f5,combined_stack,L+E+QK,251723,0.015404400182887912,0.587947100168094,0.0,0.0,1,component_sum; QK projection inherited
qasper,2001.02885:96b07373756d7854bccc3c12e8d41454ab8741f5,combined_stack,L+E+S+QK,252958,33.745662700152025,0.5881201999727637,33.73025829996914,0.0,1,component_sum; QK projection inherited
qasper,1810.12085:c2cb6c4500d9e02fc9a1bdffd22c3df69655189f,single_channel,L,20428,0.005284599959850311,0.0002989999484270811,0.0,0.0,1,measured_source_bm25_build
qasper,1810.12085:c2cb6c4500d9e02fc9a1bdffd22c3df69655189f,single_channel,E,8346,0.00962579995393753,0.0003035999834537506,0.0,0.0,1,measured_extract_and_bm25_build
qasper,1810.12085:c2cb6c4500d9e02fc9a1bdffd22c3df69655189f,single_channel,S,2161,39.65162990055978,0.0007097998168319464,39.65162990055978,0.0,1,cached_generation_plus_measured_embedding
qasper,1810.12085:c2cb6c4500d9e02fc9a1bdffd22c3df69655189f,single_channel,QK,262144,0.0,0.6388461999595165,0.0,0.0,1,inherited_checkpoint_projection_not_remeasured
qasper,1810.12085:c2cb6c4500d9e02fc9a1bdffd22c3df69655189f,single_channel,QK8,32768,0.0,15.22089680004865,0.0,0.0,1,inherited_checkpoint_projection_not_remeasured
qasper,1810.12085:c2cb6c4500d9e02fc9a1bdffd22c3df69655189f,single_channel,native_mean,65536,0.0,0.0005588000640273094,0.0,0.0,1,inherited_native_features
qasper,1810.12085:c2cb6c4500d9e02fc9a1bdffd22c3df69655189f,single_channel,oracle,0,0.0,0.0,0.0,0.0,1,evaluation_identity_control
qasper,1810.12085:c2cb6c4500d9e02fc9a1bdffd22c3df69655189f,combined_stack,L+E+QK,290918,0.014910399913787842,0.6394487998913974,0.0,0.0,1,component_sum; QK projection inherited
qasper,1810.12085:c2cb6c4500d9e02fc9a1bdffd22c3df69655189f,combined_stack,L+E+S+QK,293079,39.66654030047357,0.6401585997082293,39.65162990055978,0.0,1,component_sum; QK projection inherited
qasper,2003.11562:fc4ae12576ea3a85ea6d150b46938890d63a7d18,single_channel,L,13427,0.0025325000751763582,0.00032029999420046806,0.0,0.0,1,measured_source_bm25_build
qasper,2003.11562:fc4ae12576ea3a85ea6d150b46938890d63a7d18,single_channel,E,6284,0.011026199907064438,9.010010398924351e-05,0.0,0.0,1,measured_extract_and_bm25_build
qasper,2003.11562:fc4ae12576ea3a85ea6d150b46938890d63a7d18,single_channel,S,1192,26.717377800494432,0.0001520998775959015,26.717377800494432,0.0,1,cached_generation_plus_measured_embedding
qasper,2003.11562:fc4ae12576ea3a85ea6d150b46938890d63a7d18,single_channel,QK,180224,0.0,0.5566924000158906,0.0,0.0,1,inherited_checkpoint_projection_not_remeasured
qasper,2003.11562:fc4ae12576ea3a85ea6d150b46938890d63a7d18,single_channel,QK8,22528,0.0,10.854641099926084,0.0,0.0,1,inherited_checkpoint_projection_not_remeasured
qasper,2003.11562:fc4ae12576ea3a85ea6d150b46938890d63a7d18,single_channel,native_mean,45056,0.0,0.0002500000409781933,0.0,0.0,1,inherited_native_features
qasper,2003.11562:fc4ae12576ea3a85ea6d150b46938890d63a7d18,single_channel,oracle,0,0.0,0.0,0.0,0.0,1,evaluation_identity_control
qasper,2003.11562:fc4ae12576ea3a85ea6d150b46938890d63a7d18,combined_stack,L+E+QK,199935,0.013558699982240796,0.5571028001140803,0.0,0.0,1,component_sum; QK projection inherited
qasper,2003.11562:fc4ae12576ea3a85ea6d150b46938890d63a7d18,combined_stack,L+E+S+QK,201127,26.730936500476673,0.5572548999916762,26.717377800494432,0.0,1,component_sum; QK projection inherited
qasper,1912.13337:e97186c51d4af490dba6faaf833d269c8256426c,single_channel,L,42735,0.008878699969500303,0.001223200000822544,0.0,0.0,1,measured_source_bm25_build
qasper,1912.13337:e97186c51d4af490dba6faaf833d269c8256426c,single_channel,E,17932,0.02699930011294782,0.0002429999876767397,0.0,0.0,1,measured_extract_and_bm25_build
