example_id,partition,question_type,chunk_size,overlap,seed,facet_count,parent_id,parent_class,max_facet_score,top2_facet_score,winning_facet,normalized_facet_entropy,facet_concentration,winning_facet_matches_root,root_path_coverage,path_coverage,incremental_coverage,manual_label_reused,boundaries_identical_to_prior
5abbd4035542993f40c73bcb,validation,bridge,64,0,71,45,24,other_discovered,0.15809378027915955,0.15224990248680115,9,0.9996135234832764,0.0003864765167236328,0,0.8062413334846497,0.959636926651001,0.11703884601593018,False,False
5abbd4035542993f40c73bcb,validation,bridge,128,0,11,45,0,other_discovered,-0.07330651581287384,-0.1023806482553482,36,0.9976874589920044,0.0023125410079956055,0,0.8050735592842102,0.8050735592842102,0.0,False,False
5abbd4035542993f40c73bcb,validation,bridge,128,0,11,45,4,oracle_root,0.11626365780830383,0.09349489212036133,39,0.9972013831138611,0.002798616886138916,1,0.8050735592842102,0.8050735592842102,0.0,False,False
5abbd4035542993f40c73bcb,validation,bridge,128,0,11,45,5,oracle_other,-0.10710522532463074,-0.12917634844779968,36,0.9980577826499939,0.0019422173500061035,0,0.8050735592842102,0.8101651668548584,0.005091607570648193,False,False
5abbd4035542993f40c73bcb,validation,bridge,128,0,11,45,6,oracle_other,-0.1576499342918396,-0.17940279841423035,9,0.9988965392112732,0.0011034607887268066,0,0.8050735592842102,0.9953555464744568,0.028426706790924072,False,False
5abbd4035542993f40c73bcb,validation,bridge,128,0,11,45,8,other_discovered,-0.19816899299621582,-0.22429202497005463,36,0.9983647465705872,0.0016352534294128418,0,0.8050735592842102,0.9919155836105347,0.0,False,False
5abbd4035542993f40c73bcb,validation,bridge,128,0,11,45,10,other_discovered,-0.1629648506641388,-0.16507689654827118,39,0.9990755319595337,0.0009244680404663086,1,0.8050735592842102,0.8165560960769653,0.011482536792755127,False,False
5abbd4035542993f40c73bcb,validation,bridge,128,0,11,45,12,other_discovered,0.10385797172784805,0.07538484036922455,35,0.9984164834022522,0.0015835165977478027,0,0.8050735592842102,0.9919155836105347,0.18684202432632446,False,False
5abbd4035542993f40c73bcb,validation,bridge,128,0,23,45,0,other_discovered,0.12750020623207092,0.12482905387878418,35,0.9970003962516785,0.002999603748321533,0,0.9539235234260559,0.9541902542114258,0.00026673078536987305,False,False
5abbd4035542993f40c73bcb,validation,bridge,128,0,23,45,4,oracle_root,0.3889627456665039,0.38531097769737244,0,0.9987714290618896,0.0012285709381103516,1,0.9539235234260559,0.9539235234260559,0.0,False,False
5abbd4035542993f40c73bcb,validation,bridge,128,0,23,45,5,oracle_other,0.22905021905899048,0.20380234718322754,35,0.9975891709327698,0.0024108290672302246,0,0.9539235234260559,0.9603469967842102,0.006423473358154297,False,False
5abbd4035542993f40c73bcb,validation,bridge,128,0,23,45,6,oracle_other,0.07579012215137482,0.06877369433641434,35,0.9984827041625977,0.0015172958374023438,0,0.9539235234260559,0.9970940351486206,0.0,False,False
5abbd4035542993f40c73bcb,validation,bridge,128,0,23,45,8,other_discovered,-0.062145959585905075,-0.06422224640846252,41,0.9984230399131775,0.0015769600868225098,0,0.9539235234260559,0.9970940351486206,0.0,False,False
5abbd4035542993f40c73bcb,validation,bridge,128,0,23,45,10,other_discovered,0.18968939781188965,0.16460886597633362,38,0.9986438155174255,0.0013561844825744629,0,0.9539235234260559,0.9541902542114258,0.0,False,False
5abbd4035542993f40c73bcb,validation,bridge,128,0,23,45,12,other_discovered,0.3376002311706543,0.3331044912338257,34,0.9983542561531067,0.0016457438468933105,0,0.9539235234260559,0.9970940351486206,0.0431705117225647,False,False
5abbd4035542993f40c73bcb,validation,bridge,128,0,37,45,0,other_discovered,-0.10842372477054596,-0.11848949640989304,42,0.9973836541175842,0.0026163458824157715,1,0.7325760722160339,0.7500786781311035,0.01750260591506958,False,False
5abbd4035542993f40c73bcb,validation,bridge,128,0,37,45,4,oracle_root,-0.14111419022083282,-0.16004806756973267,42,0.9994258284568787,0.0005741715431213379,1,0.7325760722160339,0.7325760722160339,0.0,False,False
5abbd4035542993f40c73bcb,validation,bridge,128,0,37,45,5,oracle_other,-0.020754143595695496,-0.023493967950344086,42,0.9977347254753113,0.0022652745246887207,1,0.7325760722160339,0.8151483535766602,0.08257228136062622,False,False
5abbd4035542993f40c73bcb,validation,bridge,128,0,37,45,6,oracle_other,-0.06177562475204468,-0.07120289653539658,42,0.9973991513252258,0.00260084867477417,1,0.7325760722160339,1.0,0.03257232904434204,False,False
5abbd4035542993f40c73bcb,validation,bridge,128,0,37,45,8,other_discovered,-0.14107537269592285,-0.16492049396038055,42,0.997681200504303,0.0023187994956970215,1,0.7325760722160339,1.0,4.172325134277344e-06,False,False
5abbd4035542993f40c73bcb,validation,bridge,128,0,37,45,10,other_discovered,0.005327723920345306,-0.002376277931034565,42,0.9968432188034058,0.0031567811965942383,1,0.7325760722160339,0.8353058099746704,0.10272973775863647,False,False
5abbd4035542993f40c73bcb,validation,bridge,128,0,37,45,12,other_discovered,0.07441604137420654,0.06950461864471436,41,0.9970331192016602,0.0029668807983398438,0,0.7325760722160339,1.0,0.26742392778396606,False,False
5abbd4035542993f40c73bcb,validation,bridge,128,0,53,45,0,other_discovered,0.06416703015565872,0.036816440522670746,35,0.9968347549438477,0.0031652450561523438,1,0.9455502033233643,0.9455502033233643,0.0,False,False
5abbd4035542993f40c73bcb,validation,bridge,128,0,53,45,4,oracle_root,0.2593241333961487,0.20043976604938507,35,0.9975011944770813,0.002498805522918701,1,0.9455502033233643,0.9455502033233643,0.0,False,False
5abbd4035542993f40c73bcb,validation,bridge,128,0,53,45,5,oracle_other,0.14338526129722595,0.0848194807767868,35,0.9975993037223816,0.002400696277618408,1,0.9455502033233643,0.9455502033233643,0.0,False,False
