example_id,partition,question_type,level,chunk_size,overlap,parent_count,oracle_parent_count,later_oracle_parent_count,root_parent_id,root_oracle_fraction,root_contains_all_evidence,root_contains_multiple_groups,root_contains_only_initial_evidence,evidence_group_count,evidence_group_collisions,oracle_parent_ids,evidence_parent_groups,evidence_tokens,source_tokens,feature_index_build_seconds,parent_pooling_seconds,adjacency_build_seconds,native_dot_products,local_pair_count,atomic_local_count,routing_search_cache_bytes,h2d_bytes,h2d_seconds,gpu_baseline_allocated_bytes,peak_gpu_allocated_bytes,peak_gpu_reserved_bytes,native_kv_tokens,materialization_performed
5a8c8502554299585d9e36d0,test,bridge,hard,32,0,55,5,2,35,0.32653061224489793,False,False,True,2,0,34 35 36 39 40,34 35 36;39 40,98,1739,0.21507879998534918,0.005337100010365248,0.20974169997498393,48385936,3025,55,12100,10815640,0.003625800018198788,25059328,102937600,123731968,0,False
5a8c8502554299585d9e36d0,test,bridge,hard,64,0,28,4,2,17,0.336734693877551,False,False,True,2,0,17 18 19 20,17 18;19 20,98,1739,0.2129848999902606,0.0023456999915651977,0.2106391999986954,48385936,3025,55,3136,10815640,0.004170199972577393,24895488,102667264,123731968,0,False
5a8c8502554299585d9e36d0,test,bridge,hard,128,0,14,3,2,8,0.336734693877551,False,False,True,2,1,8 9 10,8 9;9 10,98,1739,0.2130572999594733,0.0015373000060208142,0.2115199999534525,48385936,3025,55,784,10815640,0.003057599999010563,24774144,102543360,123731968,0,False
5a8c8502554299585d9e36d0,test,bridge,hard,256,0,7,2,1,4,0.7244897959183674,False,True,False,2,1,4 5,4;4 5,98,1739,0.21336270007304847,0.0026502000400796533,0.21071250003296882,48385936,3025,55,196,10815640,0.004518000001553446,24713216,102481920,123731968,0,False
5a84c4bb5542991dd0999dec,validation,bridge,hard,16,0,93,12,8,10,0.09248554913294797,False,False,True,3,1,9 10 11 12 82 83 84 85 86 87 88 89,9 10 11 12;82 83 84 85 86;86 87 88 89,173,1477,0.23304469999857247,0.0059557000058703125,0.22708899999270216,34904464,8649,93,34596,9144504,0.0031491999980062246,24683520,55390720,75497472,0,False
5a84c4bb5542991dd0999dec,validation,bridge,hard,32,0,47,7,4,5,0.18497109826589594,False,False,True,3,1,4 5 6 41 42 43 44,4 5 6;41 42 43;43 44,173,1477,0.15901689999736845,0.004242399998474866,0.1547744999988936,34904464,2209,47,8836,9242456,0.003559199976734817,23419904,91708928,100663296,0,False
5a84c4bb5542991dd0999dec,validation,bridge,hard,64,0,24,5,3,2,0.24277456647398843,False,False,True,3,1,2 3 20 21 22,2 3;20 21;21 22,173,1477,0.15876210003625602,0.0026009000139310956,0.15616120002232492,34904464,2209,47,2304,9242456,0.002733199973590672,24871424,91483136,113246208,0,False
5a84c4bb5542991dd0999dec,validation,bridge,hard,128,0,12,3,2,1,0.31213872832369943,False,False,True,3,1,1 10 11,1;10;10 11,173,1477,0.15720080002211034,0.0015116999857127666,0.15568910003639758,34904464,2209,47,576,9242456,0.002497199981007725,23195648,91378688,100663296,0,False
5a84c4bb5542991dd0999dec,validation,bridge,hard,256,0,6,2,1,0,0.31213872832369943,False,False,True,3,1,0 5,0;5;5,173,1477,0.15794279996771365,0.0010676999809220433,0.1568750999867916,34904464,2209,47,144,9242456,0.0037125999806448817,24716800,91326464,113246208,0,False
5abbd4035542993f40c73bcb,validation,bridge,hard,16,0,99,12,9,37,0.09876543209876543,False,False,True,4,2,36 37 38 39 40 41 42 43 44 46 47 48,36 37 38 39;39 40 41;41 42 43 44;46 47 48,162,1573,0.3018292000051588,0.04323489998932928,0.2585943000158295,39589264,9801,99,39204,9734472,0.0035358999739401042,23118336,59044352,65011712,0,False
