example_id,partition,question_type,level,chunk_size,overlap,parent_count,oracle_parent_count,later_oracle_parent_count,root_parent_id,root_oracle_fraction,root_contains_all_evidence,root_contains_multiple_groups,root_contains_only_initial_evidence,evidence_group_count,evidence_group_collisions,oracle_parent_ids,evidence_parent_groups,evidence_tokens,source_tokens
5ab88c075542991b5579efbe,test,bridge,hard,64,0,26,3,1,12,0.3780487804878049,False,False,True,2,0,12 13 18,12 13;18,82,1628
5ab88c075542991b5579efbe,test,bridge,hard,128,0,13,2,1,6,0.524390243902439,False,False,True,2,0,6 9,6;9,82,1628
5ab88c075542991b5579efbe,test,bridge,hard,256,0,7,2,1,3,0.524390243902439,False,False,True,2,0,3 4,3;4,82,1628
5a714b645542994082a3e78b,validation,bridge,hard,16,0,79,7,4,27,0.24242424242424243,False,False,True,2,0,26 27 28 63 64 65 66,26 27 28;63 64 65 66,66,1261
5a714b645542994082a3e78b,validation,bridge,hard,32,0,40,5,3,13,0.3939393939393939,False,False,True,2,0,13 14 31 32 33,13 14;31 32 33,66,1261
5a714b645542994082a3e78b,validation,bridge,hard,64,0,20,4,2,6,0.3939393939393939,False,False,True,2,0,6 7 15 16,6 7;15 16,66,1261
5a714b645542994082a3e78b,validation,bridge,hard,128,0,10,3,2,3,0.4090909090909091,False,False,True,2,0,3 7 8,3;7 8,66,1261
5a714b645542994082a3e78b,validation,bridge,hard,256,0,5,3,2,1,0.4090909090909091,False,False,True,2,0,1 3 4,1;3 4,66,1261
5abce85755429959677d6b3e,validation,bridge,hard,16,0,123,9,5,72,0.13793103448275862,False,False,True,3,1,71 72 73 74 109 110 111 112 113,71 72 73 74;109 110 111;111 112 113,116,1962
5abce85755429959677d6b3e,validation,bridge,hard,32,0,62,6,3,36,0.27586206896551724,False,False,True,3,1,35 36 37 54 55 56,35 36 37;54 55;55 56,116,1962
5abce85755429959677d6b3e,validation,bridge,hard,64,0,31,4,2,18,0.3103448275862069,False,False,True,3,1,17 18 27 28,17 18;27;27 28,116,1962
5abce85755429959677d6b3e,validation,bridge,hard,128,0,16,4,2,9,0.3103448275862069,False,False,True,3,1,8 9 13 14,8 9;13;13 14,116,1962
5abce85755429959677d6b3e,validation,bridge,hard,256,0,8,3,2,4,0.41379310344827586,False,False,True,3,1,4 6 7,4;6;6 7,116,1962
