git_sha,seed,model_tier,position_mode,k_storage_mode,logical_offset_policy,stage,layer_id,native_context,logical_context,position_capacity,overlap_fraction,routing_chunk_size,materialization_budget,maximum_native_operation,dense_counterfactual_tokens,processed_tokens,encoding_cost_ratio,native_k_rmse,native_k_cosine
d36f6775270125cd198543b77dc114e6018ee67a,42,tiny,absolute,post_position,source_relative,offset_overlap_25,1,32,128,192,0.25,32,160,32,128,152,1.1875,0.06101298704743385,0.9968199729919434
d36f6775270125cd198543b77dc114e6018ee67a,42,tiny,absolute,post_position,source_relative,offset_overlap_50,0,32,128,192,0.5,32,160,32,128,176,1.375,0.0,1.0
d36f6775270125cd198543b77dc114e6018ee67a,42,tiny,absolute,post_position,source_relative,offset_overlap_50,1,32,128,192,0.5,32,160,32,128,176,1.375,0.05123095214366913,0.997767448425293
d36f6775270125cd198543b77dc114e6018ee67a,87,tiny,absolute,post_position,reset,reset,0,32,128,192,0.0,32,160,32,128,128,1.0,0.6810677647590637,0.6266626715660095
d36f6775270125cd198543b77dc114e6018ee67a,87,tiny,absolute,post_position,reset,reset,1,32,128,192,0.0,32,160,32,128,128,1.0,0.6860083937644958,0.6219521760940552
d36f6775270125cd198543b77dc114e6018ee67a,87,tiny,absolute,post_position,source_relative,offset,0,32,128,192,0.0,32,160,32,128,128,1.0,0.0,1.0
d36f6775270125cd198543b77dc114e6018ee67a,87,tiny,absolute,post_position,source_relative,offset,1,32,128,192,0.0,32,160,32,128,128,1.0,0.1313890516757965,0.9856649041175842
d36f6775270125cd198543b77dc114e6018ee67a,87,tiny,absolute,post_position,source_relative,offset_overlap_25,0,32,128,192,0.25,32,160,32,128,152,1.1875,0.0,1.0
d36f6775270125cd198543b77dc114e6018ee67a,87,tiny,absolute,post_position,source_relative,offset_overlap_25,1,32,128,192,0.25,32,160,32,128,152,1.1875,0.11868494749069214,0.9882953763008118
d36f6775270125cd198543b77dc114e6018ee67a,87,tiny,absolute,post_position,source_relative,offset_overlap_50,0,32,128,192,0.5,32,160,32,128,176,1.375,0.0,1.0
d36f6775270125cd198543b77dc114e6018ee67a,87,tiny,absolute,post_position,source_relative,offset_overlap_50,1,32,128,192,0.5,32,160,32,128,176,1.375,0.09192955493927002,0.9932301640510559
d36f6775270125cd198543b77dc114e6018ee67a,1,tiny,rope,post_position,reset,reset,0,32,128,,0.0,32,160,32,128,128,1.0,0.6765592098236084,0.5641700029373169
d36f6775270125cd198543b77dc114e6018ee67a,1,tiny,rope,post_position,reset,reset,1,32,128,,0.0,32,160,32,128,128,1.0,0.6320293545722961,0.5509331226348877
d36f6775270125cd198543b77dc114e6018ee67a,1,tiny,rope,post_position,source_relative,offset,0,32,128,,0.0,32,160,32,128,128,1.0,0.0,1.0
d36f6775270125cd198543b77dc114e6018ee67a,1,tiny,rope,post_position,source_relative,offset,1,32,128,,0.0,32,160,32,128,128,1.0,0.15372540056705475,0.9734163284301758
d36f6775270125cd198543b77dc114e6018ee67a,1,tiny,rope,post_position,source_relative,offset_overlap_25,0,32,128,,0.25,32,160,32,128,152,1.1875,0.0,1.0
d36f6775270125cd198543b77dc114e6018ee67a,1,tiny,rope,post_position,source_relative,offset_overlap_25,1,32,128,,0.25,32,160,32,128,152,1.1875,0.0749458447098732,0.992803692817688
d36f6775270125cd198543b77dc114e6018ee67a,1,tiny,rope,post_position,source_relative,offset_overlap_50,0,32,128,,0.5,32,160,32,128,176,1.375,0.0,1.0
d36f6775270125cd198543b77dc114e6018ee67a,1,tiny,rope,post_position,source_relative,offset_overlap_50,1,32,128,,0.5,32,160,32,128,176,1.375,0.06151698902249336,0.9952656030654907
d36f6775270125cd198543b77dc114e6018ee67a,7,tiny,rope,post_position,reset,reset,0,32,128,,0.0,32,160,32,128,128,1.0,0.6267615556716919,0.5526738166809082
d36f6775270125cd198543b77dc114e6018ee67a,7,tiny,rope,post_position,reset,reset,1,32,128,,0.0,32,160,32,128,128,1.0,0.6348811984062195,0.5550026297569275
d36f6775270125cd198543b77dc114e6018ee67a,7,tiny,rope,post_position,source_relative,offset,0,32,128,,0.0,32,160,32,128,128,1.0,0.0,1.0
d36f6775270125cd198543b77dc114e6018ee67a,7,tiny,rope,post_position,source_relative,offset,1,32,128,,0.0,32,160,32,128,128,1.0,0.10048403590917587,0.9869157075881958
d36f6775270125cd198543b77dc114e6018ee67a,7,tiny,rope,post_position,source_relative,offset_overlap_25,0,32,128,,0.25,32,160,32,128,152,1.1875,0.0,1.0
d36f6775270125cd198543b77dc114e6018ee67a,7,tiny,rope,post_position,source_relative,offset_overlap_25,1,32,128,,0.25,32,160,32,128,152,1.1875,0.07173947989940643,0.9937679767608643
d36f6775270125cd198543b77dc114e6018ee67a,7,tiny,rope,post_position,source_relative,offset_overlap_50,0,32,128,,0.5,32,160,32,128,176,1.375,0.0,1.0
d36f6775270125cd198543b77dc114e6018ee67a,7,tiny,rope,post_position,source_relative,offset_overlap_50,1,32,128,,0.5,32,160,32,128,176,1.375,0.05890708416700363,0.9957079887390137
d36f6775270125cd198543b77dc114e6018ee67a,21,tiny,rope,post_position,reset,reset,0,32,128,,0.0,32,160,32,128,128,1.0,0.6046003699302673,0.5741350054740906
d36f6775270125cd198543b77dc114e6018ee67a,21,tiny,rope,post_position,reset,reset,1,32,128,,0.0,32,160,32,128,128,1.0,0.664912223815918,0.5333311557769775
d36f6775270125cd198543b77dc114e6018ee67a,21,tiny,rope,post_position,source_relative,offset,0,32,128,,0.0,32,160,32,128,128,1.0,0.0,1.0
d36f6775270125cd198543b77dc114e6018ee67a,21,tiny,rope,post_position,source_relative,offset,1,32,128,,0.0,32,160,32,128,128,1.0,0.09769647568464279,0.98818039894104
d36f6775270125cd198543b77dc114e6018ee67a,21,tiny,rope,post_position,source_relative,offset_overlap_25,0,32,128,,0.25,32,160,32,128,152,1.1875,0.0,1.0
d36f6775270125cd198543b77dc114e6018ee67a,21,tiny,rope,post_position,source_relative,offset_overlap_25,1,32,128,,0.25,32,160,32,128,152,1.1875,0.06493347138166428,0.9949362277984619
d36f6775270125cd198543b77dc114e6018ee67a,21,tiny,rope,post_position,source_relative,offset_overlap_50,0,32,128,,0.5,32,160,32,128,176,1.375,0.0,1.0
d36f6775270125cd198543b77dc114e6018ee67a,21,tiny,rope,post_position,source_relative,offset_overlap_50,1,32,128,,0.5,32,160,32,128,176,1.375,0.04461948946118355,0.9975458979606628
d36f6775270125cd198543b77dc114e6018ee67a,42,tiny,rope,post_position,reset,reset,0,32,128,,0.0,32,160,32,128,128,1.0,0.6695920825004578,0.5447207689285278
d36f6775270125cd198543b77dc114e6018ee67a,42,tiny,rope,post_position,reset,reset,1,32,128,,0.0,32,160,32,128,128,1.0,0.7166734933853149,0.537366509437561
d36f6775270125cd198543b77dc114e6018ee67a,42,tiny,rope,post_position,source_relative,offset,0,32,128,,0.0,32,160,32,128,128,1.0,0.0,1.0
d36f6775270125cd198543b77dc114e6018ee67a,42,tiny,rope,post_position,source_relative,offset,1,32,128,,0.0,32,160,32,128,128,1.0,0.13965114951133728,0.9812573194503784
d36f6775270125cd198543b77dc114e6018ee67a,42,tiny,rope,post_position,source_relative,offset_overlap_25,0,32,128,,0.25,32,160,32,128,152,1.1875,0.0,1.0
d36f6775270125cd198543b77dc114e6018ee67a,42,tiny,rope,post_position,source_relative,offset_overlap_25,1,32,128,,0.25,32,160,32,128,152,1.1875,0.12826229631900787,0.9829848408699036
d36f6775270125cd198543b77dc114e6018ee67a,42,tiny,rope,post_position,source_relative,offset_overlap_50,0,32,128,,0.5,32,160,32,128,176,1.375,0.0,1.0
d36f6775270125cd198543b77dc114e6018ee67a,42,tiny,rope,post_position,source_relative,offset_overlap_50,1,32,128,,0.5,32,160,32,128,176,1.375,0.07222691923379898,0.995049238204956
d36f6775270125cd198543b77dc114e6018ee67a,87,tiny,rope,post_position,reset,reset,0,32,128,,0.0,32,160,32,128,128,1.0,0.6539717316627502,0.5778087377548218
d36f6775270125cd198543b77dc114e6018ee67a,87,tiny,rope,post_position,reset,reset,1,32,128,,0.0,32,160,32,128,128,1.0,0.7242040038108826,0.516765832901001
d36f6775270125cd198543b77dc114e6018ee67a,87,tiny,rope,post_position,source_relative,offset,0,32,128,,0.0,32,160,32,128,128,1.0,0.0,1.0
d36f6775270125cd198543b77dc114e6018ee67a,87,tiny,rope,post_position,source_relative,offset,1,32,128,,0.0,32,160,32,128,128,1.0,0.19514665007591248,0.9655196070671082
d36f6775270125cd198543b77dc114e6018ee67a,87,tiny,rope,post_position,source_relative,offset_overlap_25,0,32,128,,0.25,32,160,32,128,152,1.1875,0.0,1.0
d36f6775270125cd198543b77dc114e6018ee67a,87,tiny,rope,post_position,source_relative,offset_overlap_25,1,32,128,,0.25,32,160,32,128,152,1.1875,0.14329756796360016,0.9828381538391113
d36f6775270125cd198543b77dc114e6018ee67a,87,tiny,rope,post_position,source_relative,offset_overlap_50,0,32,128,,0.5,32,160,32,128,176,1.375,0.0,1.0
d36f6775270125cd198543b77dc114e6018ee67a,87,tiny,rope,post_position,source_relative,offset_overlap_50,1,32,128,,0.5,32,160,32,128,176,1.375,0.1076672375202179,0.9895926713943481
d36f6775270125cd198543b77dc114e6018ee67a,1,small,absolute,post_position,reset,reset,0,32,128,192,0.0,32,160,32,128,128,1.0,0.6781710386276245,0.61983722448349
