model_tier,position_mode,split_count,seed_count,sa_full_loss_mean,sa_full_loss_std,sa_tail_loss_mean,sa_tail_loss_std,native_all_loss_mean,native_all_loss_std,native_oracle_loss_mean,native_oracle_loss_std,native_routed_loss_mean,native_routed_loss_std,transport_gap_mean,transport_gap_std,rcb_all_mean,rcb_all_std,rcb_oracle_mean,rcb_oracle_std,rcb_routed_mean,rcb_routed_std,active_fraction_all_mean,active_fraction_all_std
tiny,absolute,2,5,0.01049035273026675,0.0019020201760594523,1.4299263825019202,0.5808216829737783,1.429952902098497,0.5808841137178409,1.429952902098497,0.5808841137178409,1.429952902098497,0.5808841137178409,1.41946254936823,0.579884527588593,-6.300827848435846e-06,7.055489840779774e-05,-6.300827848435846e-06,7.055489840779774e-05,-6.300827848435846e-06,7.055489840779774e-05,0.005291005291005291,0.0
tiny,absolute,5,5,0.01049035273026675,0.0019020201760594523,1.4299263825019202,0.5808216829737783,1.2636595718873045,0.9236945776392509,0.07814161845793327,0.03409197567349621,1.9620436754388115,0.9326053913819226,1.2531692191570376,0.9251518779613964,-0.3956329604045202,1.7314536830137897,0.9462422117754283,0.0268832310320102,-0.5018555562977842,0.5503967580746123,0.749731182795699,0.0010919406457843886
tiny,absolute,16,5,0.01049035273026675,0.0019020201760594523,1.4299263825019202,0.5808216829737783,1.8452377585694193,1.3171621032691405,0.10395051140027742,0.0443814397806973,2.2151916176080704,1.2373274022852117,1.8347474058391526,1.3187133279274854,-1.0897372918072605,2.5024664415494917,0.9230929657816358,0.04453257780177181,-1.2903280599861355,2.5014912211643607,0.8986666666666668,0.005306052677022515
tiny,absolute,32,5,0.01049035273026675,0.0019020201760594523,1.4299263825019202,0.5808216829737783,1.9641848754758637,1.4176688069624217,0.13354743585611384,0.0465355495570698,2.5820511962597568,1.2981641810776756,1.953694522745597,1.4192224838109138,-1.2217992855590445,2.649308370908134,0.8976590185718015,0.051817706368722585,-1.5973392673004907,2.596970930513529,1.0,0.0
tiny,absolute,64,5,0.01049035273026675,0.0019020201760594523,1.4299263825019202,0.5808216829737783,1.75191301399221,1.5635636180708448,0.580562237650156,0.16176141792559823,1.9943929439410568,1.2245268527824842,1.7414226612619434,1.565020164146042,-1.1443485349046747,2.9165678721382187,0.4834877015824065,0.3639574537011635,-1.2058555653748626,2.5302860079729057,1.0,0.0
tiny,rope,2,5,0.009220797219313681,0.0014932882304058179,1.5870649991557002,1.2321794545444342,1.5870649991557002,1.2321794545444342,1.5870649991557002,1.2321794545444342,1.5870649991557002,1.2321794545444342,1.5778442019363865,1.2308502001232409,0.0,0.0,0.0,0.0,0.0,0.0,0.005291005291005291,0.0
tiny,rope,5,5,0.009220797219313681,0.0014932882304058179,1.5870649991557002,1.2321794545444342,0.6009929255582392,0.2629561033961109,0.3182937824788193,0.3073687518507944,0.8103694406648476,0.553303403399597,0.5917721283389256,0.26181687777423823,0.4175510946604427,0.3132945593470229,0.44734558260782337,0.653239766568313,0.14625628147973338,0.5358361552254357,0.7505376344086021,0.001555892056826592
tiny,rope,16,5,0.009220797219313681,0.0014932882304058179,1.5870649991557002,1.2321794545444342,0.8366245556933185,0.3885050502019589,0.3775940946303308,0.3515195569251953,2.2382600740219156,1.1880757567009768,0.8274037584740048,0.3872380852464809,0.17061925139513184,0.461543292805114,0.39603349394794074,0.7992301263983593,-1.506041269060677,1.6891299610759194,0.8887619047619048,0.0065541525844134245
tiny,rope,32,5,0.009220797219313681,0.0014932882304058179,1.5870649991557002,1.2321794545444342,0.8603002242433527,0.21715231076321043,0.08542669500069072,0.1385760008740361,2.3324154593671365,1.2372670833460178,0.851079427024039,0.2158284501299008,0.10391930932258256,0.53306230536028,0.9626943732439889,0.05142553903236972,-1.4511770160274204,1.6362713851833155,1.0,0.0
tiny,rope,64,5,0.009220797219313681,0.0014932882304058179,1.5870649991557002,1.2321794545444342,0.6929103364391873,0.22340123077276358,0.06997016590709489,0.07514728867345491,1.3012557275903722,0.6773644077282638,0.6836895392198736,0.22379161543745527,0.1746185820810678,0.6671615254417484,0.9486041337943825,0.03856717647656165,-0.2295157794547154,0.8112854539782496,1.0,0.0
