seed,model_tier,position_mode,strategy,global_positions,overlap_fraction,layer_id,sequence_tokens,encoding_block_tokens,processed_tokens,encoding_cost_ratio,native_k_rmse,native_k_cosine
7,tiny,rope,overlap_global,True,0.25,1,128,32,152,1.1875,0.07669854909181595,0.9931883215904236
7,tiny,rope,overlap_global,True,0.5,0,128,32,176,1.375,0.0,1.0
7,tiny,rope,overlap_global,True,0.5,1,128,32,176,1.375,0.06676863878965378,0.9950919151306152
21,tiny,rope,independent_local,False,0.0,0,128,32,128,1.0,0.5945495963096619,0.5688861608505249
21,tiny,rope,independent_local,False,0.0,1,128,32,128,1.0,0.6781697869300842,0.5324031114578247
21,tiny,rope,independent_global,True,0.0,0,128,32,128,1.0,0.0,1.0
21,tiny,rope,independent_global,True,0.0,1,128,32,128,1.0,0.0947796180844307,0.9901508688926697
21,tiny,rope,overlap_global,True,0.05,0,128,32,134,1.046875,0.0,1.0
21,tiny,rope,overlap_global,True,0.05,1,128,32,134,1.046875,0.0646558329463005,0.9952691197395325
21,tiny,rope,overlap_global,True,0.1,0,128,32,137,1.0703125,0.0,1.0
21,tiny,rope,overlap_global,True,0.1,1,128,32,137,1.0703125,0.0646199956536293,0.9951889514923096
21,tiny,rope,overlap_global,True,0.25,0,128,32,152,1.1875,0.0,1.0
21,tiny,rope,overlap_global,True,0.25,1,128,32,152,1.1875,0.046960778534412384,0.9974204301834106
21,tiny,rope,overlap_global,True,0.5,0,128,32,176,1.375,0.0,1.0
21,tiny,rope,overlap_global,True,0.5,1,128,32,176,1.375,0.04557552561163902,0.9975709319114685
42,tiny,rope,independent_local,False,0.0,0,128,32,128,1.0,0.6476765871047974,0.5425758361816406
42,tiny,rope,independent_local,False,0.0,1,128,32,128,1.0,0.7510092854499817,0.5233901143074036
42,tiny,rope,independent_global,True,0.0,0,128,32,128,1.0,0.0,1.0
42,tiny,rope,independent_global,True,0.0,1,128,32,128,1.0,0.15381191670894623,0.976750910282135
42,tiny,rope,overlap_global,True,0.05,0,128,32,134,1.046875,0.0,1.0
42,tiny,rope,overlap_global,True,0.05,1,128,32,134,1.046875,0.12807072699069977,0.9845921993255615
42,tiny,rope,overlap_global,True,0.1,0,128,32,137,1.0703125,0.0,1.0
42,tiny,rope,overlap_global,True,0.1,1,128,32,137,1.0703125,0.11834002286195755,0.9871643781661987
42,tiny,rope,overlap_global,True,0.25,0,128,32,152,1.1875,0.0,1.0
42,tiny,rope,overlap_global,True,0.25,1,128,32,152,1.1875,0.13471339643001556,0.9833834171295166
42,tiny,rope,overlap_global,True,0.5,0,128,32,176,1.375,0.0,1.0
42,tiny,rope,overlap_global,True,0.5,1,128,32,176,1.375,0.10352995991706848,0.9895296692848206
87,tiny,rope,independent_local,False,0.0,0,128,32,128,1.0,0.6335670948028564,0.5681422352790833
87,tiny,rope,independent_local,False,0.0,1,128,32,128,1.0,0.6709108948707581,0.5404361486434937
87,tiny,rope,independent_global,True,0.0,0,128,32,128,1.0,0.0,1.0
87,tiny,rope,independent_global,True,0.0,1,128,32,128,1.0,0.1525568962097168,0.9771605730056763
87,tiny,rope,overlap_global,True,0.05,0,128,32,134,1.046875,0.0,1.0
87,tiny,rope,overlap_global,True,0.05,1,128,32,134,1.046875,0.10773251205682755,0.9877288341522217
87,tiny,rope,overlap_global,True,0.1,0,128,32,137,1.0703125,0.0,1.0
87,tiny,rope,overlap_global,True,0.1,1,128,32,137,1.0703125,0.1154259517788887,0.9861921668052673
