seed,model_tier,position_mode,example_id,logical_native_ratio,logical_context,native_context,maximum_native_operation,native_limit_violations,direct_tokens,implicit_head_tokens,materialized_memory_tokens,loss,accuracy,disabled_loss,disabled_accuracy
21,small,absolute,synthetic-native-00003,4,768,192,192,0,32,736,160.0,7.547659873962402,0,8.443617820739746,0
21,small,absolute,synthetic-native-00000,8,1536,192,192,0,32,1504,160.0,8.08077335357666,0,8.443617820739746,0
21,small,absolute,synthetic-native-00001,8,1536,192,192,0,32,1504,160.0,8.08774471282959,0,8.443617820739746,0
21,small,absolute,synthetic-native-00002,8,1536,192,192,0,32,1504,160.0,8.044039726257324,0,8.443617820739746,0
21,small,absolute,synthetic-native-00003,8,1536,192,192,0,32,1504,160.0,8.058477401733398,0,8.443617820739746,0
42,small,absolute,synthetic-native-00000,1,192,192,160,0,32,160,160.0,0.0012076949933543801,1,0.0011712603736668825,1
42,small,absolute,synthetic-native-00001,1,192,192,160,0,32,160,160.0,0.0011788808042183518,1,0.0527723990380764,1
42,small,absolute,synthetic-native-00002,1,192,192,160,0,32,160,160.0,0.0011922164121642709,1,0.024556972086429596,1
42,small,absolute,synthetic-native-00003,1,192,192,160,0,32,160,160.0,0.0011966219171881676,1,0.13678066432476044,1
42,small,absolute,synthetic-native-00000,2,384,192,192,0,32,352,160.0,0.001207456924021244,1,1.0355286598205566,0
42,small,absolute,synthetic-native-00001,2,384,192,192,0,32,352,160.0,0.0012732979375869036,1,1.0355286598205566,0
42,small,absolute,synthetic-native-00002,2,384,192,192,0,32,352,160.0,0.0012244831304997206,1,1.0355286598205566,0
42,small,absolute,synthetic-native-00003,2,384,192,192,0,32,352,160.0,0.0012043612077832222,1,1.0355286598205566,0
42,small,absolute,synthetic-native-00000,4,768,192,192,0,32,736,160.0,0.0036200247704982758,1,1.0355286598205566,0
42,small,absolute,synthetic-native-00001,4,768,192,192,0,32,736,160.0,0.003395508276298642,1,1.0355286598205566,0
42,small,absolute,synthetic-native-00002,4,768,192,192,0,32,736,160.0,0.003680481342598796,1,1.0355286598205566,0
42,small,absolute,synthetic-native-00003,4,768,192,192,0,32,736,160.0,0.0034285355359315872,1,1.0355286598205566,0
42,small,absolute,synthetic-native-00000,8,1536,192,192,0,32,1504,160.0,0.00507934158667922,1,1.0355286598205566,0
42,small,absolute,synthetic-native-00001,8,1536,192,192,0,32,1504,160.0,0.0045365747064352036,1,1.0355286598205566,0
42,small,absolute,synthetic-native-00002,8,1536,192,192,0,32,1504,160.0,0.004949816036969423,1,1.0355286598205566,0
42,small,absolute,synthetic-native-00003,8,1536,192,192,0,32,1504,160.0,0.004460148513317108,1,1.0355286598205566,0
87,small,absolute,synthetic-native-00000,1,192,192,160,0,32,160,160.0,0.0018210508860647678,1,0.5415199398994446,1
87,small,absolute,synthetic-native-00001,1,192,192,160,0,32,160,160.0,0.0018039158312603831,1,0.9978808760643005,0
87,small,absolute,synthetic-native-00002,1,192,192,160,0,32,160,160.0,0.0018004650482907891,1,2.608826160430908,0
