seed,model_tier,heads,head_dim,policy,logical_native_ratio,query_position,source_last_position,assigned_last_position,effective_nearest_distance,score_rmse_vs_exact,output_rmse_vs_exact,top_token_agreement_vs_exact,git_sha
7,tiny,4,16,bucketed,8,1536,31,-1536,3072,1.194523811340332,0.2471565306186676,0.0,d36f6775270125cd198543b77dc114e6018ee67a
7,tiny,4,16,remote_past,8,1536,31,768,768,1.4159029722213745,0.32330015301704407,0.0,d36f6775270125cd198543b77dc114e6018ee67a
7,tiny,4,16,exact_logical,16,3072,31,31,3041,0.0,0.0,1.0,d36f6775270125cd198543b77dc114e6018ee67a
7,tiny,4,16,local_chunk,16,3072,31,3071,1,1.5405645370483398,0.3040993809700012,0.0,d36f6775270125cd198543b77dc114e6018ee67a
7,tiny,4,16,clipped,16,3072,31,2880,192,1.8590855598449707,0.3323383033275604,0.0,d36f6775270125cd198543b77dc114e6018ee67a
7,tiny,4,16,log_compressed,16,3072,31,2115,957,1.3585799932479858,0.30938270688056946,0.0,d36f6775270125cd198543b77dc114e6018ee67a
7,tiny,4,16,bucketed,16,3072,31,0,3072,1.2029534578323364,0.26387351751327515,0.0,d36f6775270125cd198543b77dc114e6018ee67a
7,tiny,4,16,remote_past,16,3072,31,2304,768,1.630312204360962,0.32619616389274597,0.0,d36f6775270125cd198543b77dc114e6018ee67a
7,tiny,4,16,exact_logical,32,6144,31,31,6113,0.0,0.0,1.0,d36f6775270125cd198543b77dc114e6018ee67a
7,tiny,4,16,local_chunk,32,6144,31,6143,1,1.4129887819290161,0.287193238735199,0.0,d36f6775270125cd198543b77dc114e6018ee67a
7,tiny,4,16,clipped,32,6144,31,5952,192,1.2645906209945679,0.282619833946228,0.0,d36f6775270125cd198543b77dc114e6018ee67a
7,tiny,4,16,log_compressed,32,6144,31,4993,1151,1.226688265800476,0.29105353355407715,0.25,d36f6775270125cd198543b77dc114e6018ee67a
7,tiny,4,16,bucketed,32,6144,31,-6144,12288,1.1230953931808472,0.27695852518081665,0.0,d36f6775270125cd198543b77dc114e6018ee67a
7,tiny,4,16,remote_past,32,6144,31,5376,768,1.2791303396224976,0.31051623821258545,0.0,d36f6775270125cd198543b77dc114e6018ee67a
21,tiny,4,16,exact_logical,1,192,31,31,161,0.0,0.0,1.0,d36f6775270125cd198543b77dc114e6018ee67a
21,tiny,4,16,local_chunk,1,192,31,191,1,0.9546621441841125,0.17722828686237335,0.0,d36f6775270125cd198543b77dc114e6018ee67a
21,tiny,4,16,clipped,1,192,31,31,161,0.0,0.0,1.0,d36f6775270125cd198543b77dc114e6018ee67a
21,tiny,4,16,log_compressed,1,192,31,31,161,0.0,0.0,1.0,d36f6775270125cd198543b77dc114e6018ee67a
21,tiny,4,16,bucketed,1,192,31,0,192,0.9993157982826233,0.19981463253498077,0.0,d36f6775270125cd198543b77dc114e6018ee67a
21,tiny,4,16,remote_past,1,192,31,31,161,0.0,0.0,1.0,d36f6775270125cd198543b77dc114e6018ee67a
21,tiny,4,16,exact_logical,2,384,31,31,353,0.0,0.0,1.0,d36f6775270125cd198543b77dc114e6018ee67a
21,tiny,4,16,local_chunk,2,384,31,383,1,1.076248049736023,0.21229739487171173,0.0,d36f6775270125cd198543b77dc114e6018ee67a
21,tiny,4,16,clipped,2,384,31,192,192,0.9485785365104675,0.2274772673845291,0.0,d36f6775270125cd198543b77dc114e6018ee67a
21,tiny,4,16,log_compressed,2,384,31,23,361,0.7593196034431458,0.1329999417066574,0.0,d36f6775270125cd198543b77dc114e6018ee67a
21,tiny,4,16,bucketed,2,384,31,-384,768,0.9650312662124634,0.2627701163291931,0.0,d36f6775270125cd198543b77dc114e6018ee67a
21,tiny,4,16,remote_past,2,384,31,-384,768,0.9650312662124634,0.2627701163291931,0.0,d36f6775270125cd198543b77dc114e6018ee67a
21,tiny,4,16,exact_logical,4,768,31,31,737,0.0,0.0,1.0,d36f6775270125cd198543b77dc114e6018ee67a
21,tiny,4,16,local_chunk,4,768,31,767,1,0.9870686531066895,0.21054933965206146,0.0,d36f6775270125cd198543b77dc114e6018ee67a
21,tiny,4,16,clipped,4,768,31,576,192,1.211396336555481,0.2572863698005676,0.0,d36f6775270125cd198543b77dc114e6018ee67a
21,tiny,4,16,log_compressed,4,768,31,203,565,1.0017154216766357,0.26247596740722656,0.0,d36f6775270125cd198543b77dc114e6018ee67a
21,tiny,4,16,bucketed,4,768,31,0,768,1.0059642791748047,0.2608337104320526,0.0,d36f6775270125cd198543b77dc114e6018ee67a
21,tiny,4,16,remote_past,4,768,31,0,768,1.0059642791748047,0.2608337104320526,0.0,d36f6775270125cd198543b77dc114e6018ee67a
21,tiny,4,16,exact_logical,8,1536,31,31,1505,0.0,0.0,1.0,d36f6775270125cd198543b77dc114e6018ee67a
21,tiny,4,16,local_chunk,8,1536,31,1535,1,1.1038074493408203,0.23177915811538696,0.5,d36f6775270125cd198543b77dc114e6018ee67a
21,tiny,4,16,clipped,8,1536,31,1344,192,0.966121256351471,0.2013547271490097,0.25,d36f6775270125cd198543b77dc114e6018ee67a
21,tiny,4,16,log_compressed,8,1536,31,774,762,0.9986496567726135,0.17912894487380981,0.5,d36f6775270125cd198543b77dc114e6018ee67a
21,tiny,4,16,bucketed,8,1536,31,-1536,3072,1.0016227960586548,0.18173393607139587,0.25,d36f6775270125cd198543b77dc114e6018ee67a
21,tiny,4,16,remote_past,8,1536,31,768,768,0.9800799489021301,0.1764606535434723,0.5,d36f6775270125cd198543b77dc114e6018ee67a
21,tiny,4,16,exact_logical,16,3072,31,31,3041,0.0,0.0,1.0,d36f6775270125cd198543b77dc114e6018ee67a
21,tiny,4,16,local_chunk,16,3072,31,3071,1,1.4344626665115356,0.2581784427165985,0.0,d36f6775270125cd198543b77dc114e6018ee67a
21,tiny,4,16,clipped,16,3072,31,2880,192,1.7079052925109863,0.2796420454978943,0.0,d36f6775270125cd198543b77dc114e6018ee67a
21,tiny,4,16,log_compressed,16,3072,31,2115,957,1.0849817991256714,0.23293936252593994,0.0,d36f6775270125cd198543b77dc114e6018ee67a
21,tiny,4,16,bucketed,16,3072,31,0,3072,0.7836902141571045,0.19713447988033295,0.0,d36f6775270125cd198543b77dc114e6018ee67a
21,tiny,4,16,remote_past,16,3072,31,2304,768,1.413759708404541,0.2773294150829315,0.0,d36f6775270125cd198543b77dc114e6018ee67a
21,tiny,4,16,exact_logical,32,6144,31,31,6113,0.0,0.0,1.0,d36f6775270125cd198543b77dc114e6018ee67a
21,tiny,4,16,local_chunk,32,6144,31,6143,1,1.215832233428955,0.2249389886856079,0.0,d36f6775270125cd198543b77dc114e6018ee67a
21,tiny,4,16,clipped,32,6144,31,5952,192,1.129892110824585,0.20016951858997345,0.25,d36f6775270125cd198543b77dc114e6018ee67a
21,tiny,4,16,log_compressed,32,6144,31,4993,1151,1.2430074214935303,0.2542591989040375,0.25,d36f6775270125cd198543b77dc114e6018ee67a
21,tiny,4,16,bucketed,32,6144,31,-6144,12288,1.0106334686279297,0.1879591941833496,0.25,d36f6775270125cd198543b77dc114e6018ee67a
21,tiny,4,16,remote_past,32,6144,31,5376,768,1.1487528085708618,0.23781131207942963,0.25,d36f6775270125cd198543b77dc114e6018ee67a
42,tiny,4,16,exact_logical,1,192,31,31,161,0.0,0.0,1.0,d36f6775270125cd198543b77dc114e6018ee67a
42,tiny,4,16,local_chunk,1,192,31,191,1,1.1556626558303833,0.19930098950862885,0.25,d36f6775270125cd198543b77dc114e6018ee67a
42,tiny,4,16,clipped,1,192,31,31,161,0.0,0.0,1.0,d36f6775270125cd198543b77dc114e6018ee67a
42,tiny,4,16,log_compressed,1,192,31,31,161,0.0,0.0,1.0,d36f6775270125cd198543b77dc114e6018ee67a
42,tiny,4,16,bucketed,1,192,31,0,192,0.9516791105270386,0.15102550387382507,0.25,d36f6775270125cd198543b77dc114e6018ee67a
42,tiny,4,16,remote_past,1,192,31,31,161,0.0,0.0,1.0,d36f6775270125cd198543b77dc114e6018ee67a
42,tiny,4,16,exact_logical,2,384,31,31,353,0.0,0.0,1.0,d36f6775270125cd198543b77dc114e6018ee67a
42,tiny,4,16,local_chunk,2,384,31,383,1,1.1041377782821655,0.2033424973487854,0.0,d36f6775270125cd198543b77dc114e6018ee67a
42,tiny,4,16,clipped,2,384,31,192,192,1.1156185865402222,0.16910943388938904,0.0,d36f6775270125cd198543b77dc114e6018ee67a
42,tiny,4,16,log_compressed,2,384,31,23,361,0.7081456780433655,0.12109582126140594,0.75,d36f6775270125cd198543b77dc114e6018ee67a
42,tiny,4,16,bucketed,2,384,31,-384,768,1.0714658498764038,0.22143946588039398,0.25,d36f6775270125cd198543b77dc114e6018ee67a
42,tiny,4,16,remote_past,2,384,31,-384,768,1.0714658498764038,0.22143946588039398,0.25,d36f6775270125cd198543b77dc114e6018ee67a
42,tiny,4,16,exact_logical,4,768,31,31,737,0.0,0.0,1.0,d36f6775270125cd198543b77dc114e6018ee67a
42,tiny,4,16,local_chunk,4,768,31,767,1,1.1807146072387695,0.26140084862709045,0.25,d36f6775270125cd198543b77dc114e6018ee67a
42,tiny,4,16,clipped,4,768,31,576,192,1.2048989534378052,0.240288645029068,0.0,d36f6775270125cd198543b77dc114e6018ee67a
42,tiny,4,16,log_compressed,4,768,31,203,565,1.0403112173080444,0.24177952110767365,0.0,d36f6775270125cd198543b77dc114e6018ee67a
42,tiny,4,16,bucketed,4,768,31,0,768,0.9245704412460327,0.2327413409948349,0.0,d36f6775270125cd198543b77dc114e6018ee67a
42,tiny,4,16,remote_past,4,768,31,0,768,0.9245704412460327,0.2327413409948349,0.0,d36f6775270125cd198543b77dc114e6018ee67a
42,tiny,4,16,exact_logical,8,1536,31,31,1505,0.0,0.0,1.0,d36f6775270125cd198543b77dc114e6018ee67a
42,tiny,4,16,local_chunk,8,1536,31,1535,1,1.364129662513733,0.2931183874607086,0.0,d36f6775270125cd198543b77dc114e6018ee67a
42,tiny,4,16,clipped,8,1536,31,1344,192,1.2279143333435059,0.2339751273393631,0.25,d36f6775270125cd198543b77dc114e6018ee67a
42,tiny,4,16,log_compressed,8,1536,31,774,762,1.335511326789856,0.272892028093338,0.0,d36f6775270125cd198543b77dc114e6018ee67a
42,tiny,4,16,bucketed,8,1536,31,-1536,3072,1.128255844116211,0.2352326363325119,0.0,d36f6775270125cd198543b77dc114e6018ee67a
42,tiny,4,16,remote_past,8,1536,31,768,768,1.3633158206939697,0.2992335259914398,0.0,d36f6775270125cd198543b77dc114e6018ee67a
42,tiny,4,16,exact_logical,16,3072,31,31,3041,0.0,0.0,1.0,d36f6775270125cd198543b77dc114e6018ee67a
42,tiny,4,16,local_chunk,16,3072,31,3071,1,1.4458593130111694,0.27633821964263916,0.0,d36f6775270125cd198543b77dc114e6018ee67a
42,tiny,4,16,clipped,16,3072,31,2880,192,1.755011796951294,0.32284682989120483,0.0,d36f6775270125cd198543b77dc114e6018ee67a
42,tiny,4,16,log_compressed,16,3072,31,2115,957,1.2612450122833252,0.1826346516609192,0.25,d36f6775270125cd198543b77dc114e6018ee67a
42,tiny,4,16,bucketed,16,3072,31,0,3072,1.0612194538116455,0.3319666385650635,0.25,d36f6775270125cd198543b77dc114e6018ee67a
42,tiny,4,16,remote_past,16,3072,31,2304,768,1.3557713031768799,0.26719599962234497,0.0,d36f6775270125cd198543b77dc114e6018ee67a
42,tiny,4,16,exact_logical,32,6144,31,31,6113,0.0,0.0,1.0,d36f6775270125cd198543b77dc114e6018ee67a
42,tiny,4,16,local_chunk,32,6144,31,6143,1,1.2914527654647827,0.2510935366153717,0.25,d36f6775270125cd198543b77dc114e6018ee67a
42,tiny,4,16,clipped,32,6144,31,5952,192,1.2830511331558228,0.23272652924060822,0.0,d36f6775270125cd198543b77dc114e6018ee67a
42,tiny,4,16,log_compressed,32,6144,31,4993,1151,1.2489811182022095,0.2785354256629944,0.25,d36f6775270125cd198543b77dc114e6018ee67a
42,tiny,4,16,bucketed,32,6144,31,-6144,12288,1.0503486394882202,0.2867337167263031,0.0,d36f6775270125cd198543b77dc114e6018ee67a
42,tiny,4,16,remote_past,32,6144,31,5376,768,1.2607496976852417,0.2683887183666229,0.25,d36f6775270125cd198543b77dc114e6018ee67a
87,tiny,4,16,exact_logical,1,192,31,31,161,0.0,0.0,1.0,d36f6775270125cd198543b77dc114e6018ee67a
87,tiny,4,16,local_chunk,1,192,31,191,1,1.2993818521499634,0.22555629909038544,0.0,d36f6775270125cd198543b77dc114e6018ee67a
87,tiny,4,16,clipped,1,192,31,31,161,0.0,0.0,1.0,d36f6775270125cd198543b77dc114e6018ee67a
87,tiny,4,16,log_compressed,1,192,31,31,161,0.0,0.0,1.0,d36f6775270125cd198543b77dc114e6018ee67a
87,tiny,4,16,bucketed,1,192,31,0,192,1.0955560207366943,0.20994658768177032,0.25,d36f6775270125cd198543b77dc114e6018ee67a
87,tiny,4,16,remote_past,1,192,31,31,161,0.0,0.0,1.0,d36f6775270125cd198543b77dc114e6018ee67a
87,tiny,4,16,exact_logical,2,384,31,31,353,0.0,0.0,1.0,d36f6775270125cd198543b77dc114e6018ee67a
87,tiny,4,16,local_chunk,2,384,31,383,1,1.2987563610076904,0.24221362173557281,0.0,d36f6775270125cd198543b77dc114e6018ee67a
87,tiny,4,16,clipped,2,384,31,192,192,1.3216218948364258,0.22409480810165405,0.25,d36f6775270125cd198543b77dc114e6018ee67a
87,tiny,4,16,log_compressed,2,384,31,23,361,0.9338816404342651,0.1368204951286316,0.5,d36f6775270125cd198543b77dc114e6018ee67a
87,tiny,4,16,bucketed,2,384,31,-384,768,1.1340980529785156,0.23007813096046448,0.0,d36f6775270125cd198543b77dc114e6018ee67a
87,tiny,4,16,remote_past,2,384,31,-384,768,1.1340980529785156,0.23007813096046448,0.0,d36f6775270125cd198543b77dc114e6018ee67a
87,tiny,4,16,exact_logical,4,768,31,31,737,0.0,0.0,1.0,d36f6775270125cd198543b77dc114e6018ee67a
87,tiny,4,16,local_chunk,4,768,31,767,1,1.1841003894805908,0.22340689599514008,0.0,d36f6775270125cd198543b77dc114e6018ee67a
87,tiny,4,16,clipped,4,768,31,576,192,1.449371337890625,0.2535150945186615,0.0,d36f6775270125cd198543b77dc114e6018ee67a
87,tiny,4,16,log_compressed,4,768,31,203,565,1.3036458492279053,0.25603416562080383,0.25,d36f6775270125cd198543b77dc114e6018ee67a
87,tiny,4,16,bucketed,4,768,31,0,768,1.1025854349136353,0.2293519377708435,0.0,d36f6775270125cd198543b77dc114e6018ee67a
87,tiny,4,16,remote_past,4,768,31,0,768,1.1025854349136353,0.2293519377708435,0.0,d36f6775270125cd198543b77dc114e6018ee67a
87,tiny,4,16,exact_logical,8,1536,31,31,1505,0.0,0.0,1.0,d36f6775270125cd198543b77dc114e6018ee67a
87,tiny,4,16,local_chunk,8,1536,31,1535,1,1.6530125141143799,0.25807633996009827,0.0,d36f6775270125cd198543b77dc114e6018ee67a
87,tiny,4,16,clipped,8,1536,31,1344,192,1.1417511701583862,0.1978069543838501,0.25,d36f6775270125cd198543b77dc114e6018ee67a
87,tiny,4,16,log_compressed,8,1536,31,774,762,1.4939650297164917,0.29587340354919434,0.0,d36f6775270125cd198543b77dc114e6018ee67a
87,tiny,4,16,bucketed,8,1536,31,-1536,3072,1.418541669845581,0.27965304255485535,0.0,d36f6775270125cd198543b77dc114e6018ee67a
87,tiny,4,16,remote_past,8,1536,31,768,768,1.4578176736831665,0.2603013813495636,0.0,d36f6775270125cd198543b77dc114e6018ee67a
87,tiny,4,16,exact_logical,16,3072,31,31,3041,0.0,0.0,1.0,d36f6775270125cd198543b77dc114e6018ee67a
87,tiny,4,16,local_chunk,16,3072,31,3071,1,1.5766260623931885,0.34184837341308594,0.0,d36f6775270125cd198543b77dc114e6018ee67a
87,tiny,4,16,clipped,16,3072,31,2880,192,2.0361685752868652,0.39803436398506165,0.0,d36f6775270125cd198543b77dc114e6018ee67a
87,tiny,4,16,log_compressed,16,3072,31,2115,957,1.5109663009643555,0.31253504753112793,0.0,d36f6775270125cd198543b77dc114e6018ee67a
87,tiny,4,16,bucketed,16,3072,31,0,3072,1.017041563987732,0.19274164736270905,0.5,d36f6775270125cd198543b77dc114e6018ee67a
87,tiny,4,16,remote_past,16,3072,31,2304,768,1.632520318031311,0.3580920398235321,0.0,d36f6775270125cd198543b77dc114e6018ee67a
87,tiny,4,16,exact_logical,32,6144,31,31,6113,0.0,0.0,1.0,d36f6775270125cd198543b77dc114e6018ee67a
87,tiny,4,16,local_chunk,32,6144,31,6143,1,1.4787157773971558,0.22190624475479126,0.0,d36f6775270125cd198543b77dc114e6018ee67a
87,tiny,4,16,clipped,32,6144,31,5952,192,1.4760997295379639,0.299360066652298,0.0,d36f6775270125cd198543b77dc114e6018ee67a
87,tiny,4,16,log_compressed,32,6144,31,4993,1151,1.3068218231201172,0.2430236041545868,0.0,d36f6775270125cd198543b77dc114e6018ee67a
87,tiny,4,16,bucketed,32,6144,31,-6144,12288,1.2367966175079346,0.2692071199417114,0.0,d36f6775270125cd198543b77dc114e6018ee67a
87,tiny,4,16,remote_past,32,6144,31,5376,768,1.4320998191833496,0.2641289532184601,0.0,d36f6775270125cd198543b77dc114e6018ee67a
1,small,4,32,exact_logical,1,192,31,31,161,0.0,0.0,1.0,d36f6775270125cd198543b77dc114e6018ee67a
1,small,4,32,local_chunk,1,192,31,191,1,1.6385602951049805,0.2920255661010742,0.0,d36f6775270125cd198543b77dc114e6018ee67a
1,small,4,32,clipped,1,192,31,31,161,0.0,0.0,1.0,d36f6775270125cd198543b77dc114e6018ee67a
1,small,4,32,log_compressed,1,192,31,31,161,0.0,0.0,1.0,d36f6775270125cd198543b77dc114e6018ee67a
1,small,4,32,bucketed,1,192,31,0,192,1.2476764917373657,0.268478125333786,0.75,d36f6775270125cd198543b77dc114e6018ee67a
1,small,4,32,remote_past,1,192,31,31,161,0.0,0.0,1.0,d36f6775270125cd198543b77dc114e6018ee67a
1,small,4,32,exact_logical,2,384,31,31,353,0.0,0.0,1.0,d36f6775270125cd198543b77dc114e6018ee67a
1,small,4,32,local_chunk,2,384,31,383,1,1.3792695999145508,0.28488993644714355,0.0,d36f6775270125cd198543b77dc114e6018ee67a
1,small,4,32,clipped,2,384,31,192,192,1.484411597251892,0.33004799485206604,0.0,d36f6775270125cd198543b77dc114e6018ee67a
1,small,4,32,log_compressed,2,384,31,23,361,1.0195189714431763,0.2669197618961334,0.25,d36f6775270125cd198543b77dc114e6018ee67a
1,small,4,32,bucketed,2,384,31,-384,768,1.202356219291687,0.2671826183795929,0.0,d36f6775270125cd198543b77dc114e6018ee67a
1,small,4,32,remote_past,2,384,31,-384,768,1.202356219291687,0.2671826183795929,0.0,d36f6775270125cd198543b77dc114e6018ee67a
1,small,4,32,exact_logical,4,768,31,31,737,0.0,0.0,1.0,d36f6775270125cd198543b77dc114e6018ee67a
1,small,4,32,local_chunk,4,768,31,767,1,1.3760029077529907,0.23973263800144196,0.25,d36f6775270125cd198543b77dc114e6018ee67a
1,small,4,32,clipped,4,768,31,576,192,1.6925816535949707,0.311592698097229,0.25,d36f6775270125cd198543b77dc114e6018ee67a
1,small,4,32,log_compressed,4,768,31,203,565,1.4304872751235962,0.27475616335868835,0.0,d36f6775270125cd198543b77dc114e6018ee67a
1,small,4,32,bucketed,4,768,31,0,768,1.1183984279632568,0.20439615845680237,0.25,d36f6775270125cd198543b77dc114e6018ee67a
1,small,4,32,remote_past,4,768,31,0,768,1.1183984279632568,0.20439615845680237,0.25,d36f6775270125cd198543b77dc114e6018ee67a
