protocol,case_id,corruption,policy,required_record_recall,required_candidate_recall,candidate_records,selected_records,widened,widening_level,widening_reasons
paper8-task-management-roadmap-v1,linear_dependency-low-s23,missing_dependency_edge,task_adaptive,1.0,1.0,8,8,1,session,metadata_incomplete;insufficient_candidates
paper8-task-management-roadmap-v1,linear_dependency-low-s23,missing_dependency_edge,session,1.0,1.0,8,8,0,none,
paper8-task-management-roadmap-v1,linear_dependency-low-s23,wrong_dependency_edge,task_structural,0.5,0.5,2,2,0,none,
paper8-task-management-roadmap-v1,linear_dependency-low-s23,wrong_dependency_edge,task_adaptive,1.0,1.0,8,8,1,session,metadata_incomplete
paper8-task-management-roadmap-v1,linear_dependency-low-s23,wrong_dependency_edge,session,1.0,1.0,8,8,0,none,
paper8-task-management-roadmap-v1,join-low-s37,clean,task_structural,1.0,1.0,4,4,0,none,
paper8-task-management-roadmap-v1,join-low-s37,clean,task_adaptive,1.0,1.0,4,4,0,none,
paper8-task-management-roadmap-v1,join-low-s37,clean,session,1.0,1.0,8,8,0,none,
paper8-task-management-roadmap-v1,join-low-s37,missing_record_tags,task_structural,1.0,1.0,4,4,0,none,
paper8-task-management-roadmap-v1,join-low-s37,missing_record_tags,task_adaptive,1.0,1.0,8,8,1,session,metadata_incomplete
paper8-task-management-roadmap-v1,join-low-s37,missing_record_tags,session,1.0,1.0,8,8,0,none,
paper8-task-management-roadmap-v1,join-low-s37,stale_record_tags,task_structural,0.0,0.0,1,1,0,none,
paper8-task-management-roadmap-v1,join-low-s37,stale_record_tags,task_adaptive,1.0,1.0,8,8,1,session,metadata_incomplete;insufficient_candidates
paper8-task-management-roadmap-v1,join-low-s37,stale_record_tags,session,1.0,1.0,8,8,0,none,
paper8-task-management-roadmap-v1,join-low-s37,missing_dependency_edge,task_structural,0.0,0.0,1,1,0,none,
paper8-task-management-roadmap-v1,join-low-s37,missing_dependency_edge,task_adaptive,1.0,1.0,8,8,1,session,metadata_incomplete;insufficient_candidates
paper8-task-management-roadmap-v1,join-low-s37,missing_dependency_edge,session,1.0,1.0,8,8,0,none,
paper8-task-management-roadmap-v1,join-low-s37,wrong_dependency_edge,task_structural,0.0,0.0,2,2,0,none,
paper8-task-management-roadmap-v1,join-low-s37,wrong_dependency_edge,task_adaptive,1.0,1.0,8,8,1,session,metadata_incomplete;insufficient_candidates
paper8-task-management-roadmap-v1,join-low-s37,wrong_dependency_edge,session,1.0,1.0,8,8,0,none,
paper8-task-management-roadmap-v1,resumption-low-s53,clean,task_structural,1.0,1.0,1,1,0,none,
paper8-task-management-roadmap-v1,resumption-low-s53,clean,task_adaptive,1.0,1.0,1,1,0,none,
paper8-task-management-roadmap-v1,resumption-low-s53,clean,session,1.0,1.0,8,8,0,none,
paper8-task-management-roadmap-v1,resumption-low-s53,missing_record_tags,task_structural,1.0,1.0,1,1,0,none,
paper8-task-management-roadmap-v1,resumption-low-s53,missing_record_tags,task_adaptive,1.0,1.0,8,8,1,session,metadata_incomplete
paper8-task-management-roadmap-v1,resumption-low-s53,missing_record_tags,session,1.0,1.0,8,8,0,none,
paper8-task-management-roadmap-v1,resumption-low-s53,stale_record_tags,task_structural,0.0,0.0,0,0,0,none,
paper8-task-management-roadmap-v1,resumption-low-s53,stale_record_tags,task_adaptive,1.0,1.0,8,8,1,session,metadata_incomplete;insufficient_candidates
paper8-task-management-roadmap-v1,resumption-low-s53,stale_record_tags,session,1.0,1.0,8,8,0,none,
paper8-task-management-roadmap-v1,resumption-low-s53,missing_dependency_edge,task_structural,1.0,1.0,1,1,0,none,
paper8-task-management-roadmap-v1,resumption-low-s53,missing_dependency_edge,task_adaptive,1.0,1.0,8,8,1,session,metadata_incomplete
paper8-task-management-roadmap-v1,resumption-low-s53,missing_dependency_edge,session,1.0,1.0,8,8,0,none,
paper8-task-management-roadmap-v1,resumption-low-s53,wrong_dependency_edge,task_structural,1.0,1.0,2,2,0,none,
paper8-task-management-roadmap-v1,resumption-low-s53,wrong_dependency_edge,task_adaptive,1.0,1.0,8,8,1,session,metadata_incomplete
paper8-task-management-roadmap-v1,resumption-low-s53,wrong_dependency_edge,session,1.0,1.0,8,8,0,none,
paper8-task-management-roadmap-v1,conflicting_state-low-s71,clean,task_structural,1.0,1.0,1,1,0,none,
paper8-task-management-roadmap-v1,conflicting_state-low-s71,clean,task_adaptive,1.0,1.0,1,1,0,none,
paper8-task-management-roadmap-v1,conflicting_state-low-s71,clean,session,1.0,1.0,8,8,0,none,
paper8-task-management-roadmap-v1,conflicting_state-low-s71,missing_record_tags,task_structural,1.0,1.0,1,1,0,none,
paper8-task-management-roadmap-v1,conflicting_state-low-s71,missing_record_tags,task_adaptive,1.0,1.0,8,8,1,session,metadata_incomplete
paper8-task-management-roadmap-v1,conflicting_state-low-s71,missing_record_tags,session,1.0,1.0,8,8,0,none,
paper8-task-management-roadmap-v1,conflicting_state-low-s71,stale_record_tags,task_structural,0.0,0.0,0,0,0,none,
paper8-task-management-roadmap-v1,conflicting_state-low-s71,stale_record_tags,task_adaptive,1.0,1.0,8,8,1,session,metadata_incomplete;insufficient_candidates
paper8-task-management-roadmap-v1,conflicting_state-low-s71,stale_record_tags,session,1.0,1.0,8,8,0,none,
paper8-task-management-roadmap-v1,conflicting_state-low-s71,missing_dependency_edge,task_structural,1.0,1.0,1,1,0,none,
paper8-task-management-roadmap-v1,conflicting_state-low-s71,missing_dependency_edge,task_adaptive,1.0,1.0,8,8,1,session,metadata_incomplete
paper8-task-management-roadmap-v1,conflicting_state-low-s71,missing_dependency_edge,session,1.0,1.0,8,8,0,none,
paper8-task-management-roadmap-v1,conflicting_state-low-s71,wrong_dependency_edge,task_structural,1.0,1.0,2,2,0,none,
paper8-task-management-roadmap-v1,conflicting_state-low-s71,wrong_dependency_edge,task_adaptive,1.0,1.0,8,8,1,session,metadata_incomplete
paper8-task-management-roadmap-v1,conflicting_state-low-s71,wrong_dependency_edge,session,1.0,1.0,8,8,0,none,
paper8-task-management-roadmap-v1,independent_parallel-medium-s11,clean,task_structural,1.0,1.0,1,1,0,none,
paper8-task-management-roadmap-v1,independent_parallel-medium-s11,clean,task_adaptive,1.0,1.0,1,1,0,none,
paper8-task-management-roadmap-v1,independent_parallel-medium-s11,clean,session,1.0,1.0,8,8,0,none,
paper8-task-management-roadmap-v1,independent_parallel-medium-s11,missing_record_tags,task_structural,1.0,1.0,1,1,0,none,
paper8-task-management-roadmap-v1,independent_parallel-medium-s11,missing_record_tags,task_adaptive,1.0,1.0,8,8,1,session,metadata_incomplete
paper8-task-management-roadmap-v1,independent_parallel-medium-s11,missing_record_tags,session,1.0,1.0,8,8,0,none,
paper8-task-management-roadmap-v1,independent_parallel-medium-s11,stale_record_tags,task_structural,0.0,0.0,0,0,0,none,
paper8-task-management-roadmap-v1,independent_parallel-medium-s11,stale_record_tags,task_adaptive,1.0,1.0,8,8,1,session,metadata_incomplete;insufficient_candidates
paper8-task-management-roadmap-v1,independent_parallel-medium-s11,stale_record_tags,session,1.0,1.0,8,8,0,none,
paper8-task-management-roadmap-v1,independent_parallel-medium-s11,missing_dependency_edge,task_structural,1.0,1.0,1,1,0,none,
paper8-task-management-roadmap-v1,independent_parallel-medium-s11,missing_dependency_edge,task_adaptive,1.0,1.0,8,8,1,session,metadata_incomplete
paper8-task-management-roadmap-v1,independent_parallel-medium-s11,missing_dependency_edge,session,1.0,1.0,8,8,0,none,
paper8-task-management-roadmap-v1,independent_parallel-medium-s11,wrong_dependency_edge,task_structural,1.0,1.0,2,2,0,none,
paper8-task-management-roadmap-v1,independent_parallel-medium-s11,wrong_dependency_edge,task_adaptive,1.0,1.0,8,8,1,session,metadata_incomplete
paper8-task-management-roadmap-v1,independent_parallel-medium-s11,wrong_dependency_edge,session,1.0,1.0,8,8,0,none,
paper8-task-management-roadmap-v1,linear_dependency-medium-s23,clean,task_structural,1.0,1.0,2,2,0,none,
paper8-task-management-roadmap-v1,linear_dependency-medium-s23,clean,task_adaptive,1.0,1.0,2,2,0,none,
paper8-task-management-roadmap-v1,linear_dependency-medium-s23,clean,session,1.0,1.0,8,8,0,none,
paper8-task-management-roadmap-v1,linear_dependency-medium-s23,missing_record_tags,task_structural,1.0,1.0,2,2,0,none,
paper8-task-management-roadmap-v1,linear_dependency-medium-s23,missing_record_tags,task_adaptive,1.0,1.0,8,8,1,session,metadata_incomplete
paper8-task-management-roadmap-v1,linear_dependency-medium-s23,missing_record_tags,session,1.0,1.0,8,8,0,none,
paper8-task-management-roadmap-v1,linear_dependency-medium-s23,stale_record_tags,task_structural,0.0,0.0,0,0,0,none,
paper8-task-management-roadmap-v1,linear_dependency-medium-s23,stale_record_tags,task_adaptive,1.0,1.0,8,8,1,session,metadata_incomplete;insufficient_candidates
paper8-task-management-roadmap-v1,linear_dependency-medium-s23,stale_record_tags,session,1.0,1.0,8,8,0,none,
paper8-task-management-roadmap-v1,linear_dependency-medium-s23,missing_dependency_edge,task_structural,0.5,0.5,1,1,0,none,
paper8-task-management-roadmap-v1,linear_dependency-medium-s23,missing_dependency_edge,task_adaptive,1.0,1.0,8,8,1,session,metadata_incomplete;insufficient_candidates
paper8-task-management-roadmap-v1,linear_dependency-medium-s23,missing_dependency_edge,session,1.0,1.0,8,8,0,none,
paper8-task-management-roadmap-v1,linear_dependency-medium-s23,wrong_dependency_edge,task_structural,0.5,0.5,2,2,0,none,
paper8-task-management-roadmap-v1,linear_dependency-medium-s23,wrong_dependency_edge,task_adaptive,1.0,1.0,8,8,1,session,metadata_incomplete
paper8-task-management-roadmap-v1,linear_dependency-medium-s23,wrong_dependency_edge,session,1.0,1.0,8,8,0,none,
paper8-task-management-roadmap-v1,join-medium-s37,clean,task_structural,1.0,1.0,4,4,0,none,
paper8-task-management-roadmap-v1,join-medium-s37,clean,task_adaptive,1.0,1.0,4,4,0,none,
paper8-task-management-roadmap-v1,join-medium-s37,clean,session,1.0,1.0,8,8,0,none,
paper8-task-management-roadmap-v1,join-medium-s37,missing_record_tags,task_structural,1.0,1.0,4,4,0,none,
paper8-task-management-roadmap-v1,join-medium-s37,missing_record_tags,task_adaptive,1.0,1.0,8,8,1,session,metadata_incomplete
paper8-task-management-roadmap-v1,join-medium-s37,missing_record_tags,session,1.0,1.0,8,8,0,none,
paper8-task-management-roadmap-v1,join-medium-s37,stale_record_tags,task_structural,0.0,0.0,1,1,0,none,
paper8-task-management-roadmap-v1,join-medium-s37,stale_record_tags,task_adaptive,1.0,1.0,8,8,1,session,metadata_incomplete;insufficient_candidates
paper8-task-management-roadmap-v1,join-medium-s37,stale_record_tags,session,1.0,1.0,8,8,0,none,
paper8-task-management-roadmap-v1,join-medium-s37,missing_dependency_edge,task_structural,0.0,0.0,1,1,0,none,
paper8-task-management-roadmap-v1,join-medium-s37,missing_dependency_edge,task_adaptive,1.0,1.0,8,8,1,session,metadata_incomplete;insufficient_candidates
paper8-task-management-roadmap-v1,join-medium-s37,missing_dependency_edge,session,1.0,1.0,8,8,0,none,
paper8-task-management-roadmap-v1,join-medium-s37,wrong_dependency_edge,task_structural,0.0,0.0,2,2,0,none,
paper8-task-management-roadmap-v1,join-medium-s37,wrong_dependency_edge,task_adaptive,1.0,1.0,8,8,1,session,metadata_incomplete;insufficient_candidates
paper8-task-management-roadmap-v1,join-medium-s37,wrong_dependency_edge,session,1.0,1.0,8,8,0,none,
paper8-task-management-roadmap-v1,resumption-medium-s53,clean,task_structural,1.0,1.0,1,1,0,none,
paper8-task-management-roadmap-v1,resumption-medium-s53,clean,task_adaptive,1.0,1.0,1,1,0,none,
paper8-task-management-roadmap-v1,resumption-medium-s53,clean,session,1.0,1.0,8,8,0,none,
paper8-task-management-roadmap-v1,resumption-medium-s53,missing_record_tags,task_structural,1.0,1.0,1,1,0,none,
paper8-task-management-roadmap-v1,resumption-medium-s53,missing_record_tags,task_adaptive,1.0,1.0,8,8,1,session,metadata_incomplete
paper8-task-management-roadmap-v1,resumption-medium-s53,missing_record_tags,session,1.0,1.0,8,8,0,none,
paper8-task-management-roadmap-v1,resumption-medium-s53,stale_record_tags,task_structural,0.0,0.0,0,0,0,none,
paper8-task-management-roadmap-v1,resumption-medium-s53,stale_record_tags,task_adaptive,1.0,1.0,8,8,1,session,metadata_incomplete;insufficient_candidates
paper8-task-management-roadmap-v1,resumption-medium-s53,stale_record_tags,session,1.0,1.0,8,8,0,none,
paper8-task-management-roadmap-v1,resumption-medium-s53,missing_dependency_edge,task_structural,1.0,1.0,1,1,0,none,
paper8-task-management-roadmap-v1,resumption-medium-s53,missing_dependency_edge,task_adaptive,1.0,1.0,8,8,1,session,metadata_incomplete
paper8-task-management-roadmap-v1,resumption-medium-s53,missing_dependency_edge,session,1.0,1.0,8,8,0,none,
paper8-task-management-roadmap-v1,resumption-medium-s53,wrong_dependency_edge,task_structural,1.0,1.0,2,2,0,none,
paper8-task-management-roadmap-v1,resumption-medium-s53,wrong_dependency_edge,task_adaptive,1.0,1.0,8,8,1,session,metadata_incomplete
paper8-task-management-roadmap-v1,resumption-medium-s53,wrong_dependency_edge,session,1.0,1.0,8,8,0,none,
paper8-task-management-roadmap-v1,conflicting_state-medium-s71,clean,task_structural,1.0,1.0,1,1,0,none,
paper8-task-management-roadmap-v1,conflicting_state-medium-s71,clean,task_adaptive,1.0,1.0,1,1,0,none,
paper8-task-management-roadmap-v1,conflicting_state-medium-s71,clean,session,1.0,1.0,8,8,0,none,
paper8-task-management-roadmap-v1,conflicting_state-medium-s71,missing_record_tags,task_structural,1.0,1.0,1,1,0,none,
paper8-task-management-roadmap-v1,conflicting_state-medium-s71,missing_record_tags,task_adaptive,1.0,1.0,8,8,1,session,metadata_incomplete
paper8-task-management-roadmap-v1,conflicting_state-medium-s71,missing_record_tags,session,1.0,1.0,8,8,0,none,
paper8-task-management-roadmap-v1,conflicting_state-medium-s71,stale_record_tags,task_structural,0.0,0.0,0,0,0,none,
paper8-task-management-roadmap-v1,conflicting_state-medium-s71,stale_record_tags,task_adaptive,1.0,1.0,8,8,1,session,metadata_incomplete;insufficient_candidates
paper8-task-management-roadmap-v1,conflicting_state-medium-s71,stale_record_tags,session,1.0,1.0,8,8,0,none,
paper8-task-management-roadmap-v1,conflicting_state-medium-s71,missing_dependency_edge,task_structural,1.0,1.0,1,1,0,none,
paper8-task-management-roadmap-v1,conflicting_state-medium-s71,missing_dependency_edge,task_adaptive,1.0,1.0,8,8,1,session,metadata_incomplete
paper8-task-management-roadmap-v1,conflicting_state-medium-s71,missing_dependency_edge,session,1.0,1.0,8,8,0,none,
paper8-task-management-roadmap-v1,conflicting_state-medium-s71,wrong_dependency_edge,task_structural,1.0,1.0,2,2,0,none,
paper8-task-management-roadmap-v1,conflicting_state-medium-s71,wrong_dependency_edge,task_adaptive,1.0,1.0,8,8,1,session,metadata_incomplete
paper8-task-management-roadmap-v1,conflicting_state-medium-s71,wrong_dependency_edge,session,1.0,1.0,8,8,0,none,
paper8-task-management-roadmap-v1,independent_parallel-high-s11,clean,task_structural,1.0,1.0,1,1,0,none,
paper8-task-management-roadmap-v1,independent_parallel-high-s11,clean,task_adaptive,1.0,1.0,1,1,0,none,
paper8-task-management-roadmap-v1,independent_parallel-high-s11,clean,session,1.0,1.0,8,8,0,none,
paper8-task-management-roadmap-v1,independent_parallel-high-s11,missing_record_tags,task_structural,1.0,1.0,1,1,0,none,
paper8-task-management-roadmap-v1,independent_parallel-high-s11,missing_record_tags,task_adaptive,1.0,1.0,8,8,1,session,metadata_incomplete
paper8-task-management-roadmap-v1,independent_parallel-high-s11,missing_record_tags,session,1.0,1.0,8,8,0,none,
paper8-task-management-roadmap-v1,independent_parallel-high-s11,stale_record_tags,task_structural,0.0,0.0,0,0,0,none,
paper8-task-management-roadmap-v1,independent_parallel-high-s11,stale_record_tags,task_adaptive,1.0,1.0,8,8,1,session,metadata_incomplete;insufficient_candidates
paper8-task-management-roadmap-v1,independent_parallel-high-s11,stale_record_tags,session,1.0,1.0,8,8,0,none,
paper8-task-management-roadmap-v1,independent_parallel-high-s11,missing_dependency_edge,task_structural,1.0,1.0,1,1,0,none,
paper8-task-management-roadmap-v1,independent_parallel-high-s11,missing_dependency_edge,task_adaptive,1.0,1.0,8,8,1,session,metadata_incomplete
paper8-task-management-roadmap-v1,independent_parallel-high-s11,missing_dependency_edge,session,1.0,1.0,8,8,0,none,
paper8-task-management-roadmap-v1,independent_parallel-high-s11,wrong_dependency_edge,task_structural,1.0,1.0,2,2,0,none,
paper8-task-management-roadmap-v1,independent_parallel-high-s11,wrong_dependency_edge,task_adaptive,1.0,1.0,8,8,1,session,metadata_incomplete
paper8-task-management-roadmap-v1,independent_parallel-high-s11,wrong_dependency_edge,session,1.0,1.0,8,8,0,none,
paper8-task-management-roadmap-v1,linear_dependency-high-s23,clean,task_structural,1.0,1.0,2,2,0,none,
paper8-task-management-roadmap-v1,linear_dependency-high-s23,clean,task_adaptive,1.0,1.0,2,2,0,none,
paper8-task-management-roadmap-v1,linear_dependency-high-s23,clean,session,1.0,1.0,8,8,0,none,
paper8-task-management-roadmap-v1,linear_dependency-high-s23,missing_record_tags,task_structural,1.0,1.0,2,2,0,none,
paper8-task-management-roadmap-v1,linear_dependency-high-s23,missing_record_tags,task_adaptive,1.0,1.0,8,8,1,session,metadata_incomplete
paper8-task-management-roadmap-v1,linear_dependency-high-s23,missing_record_tags,session,1.0,1.0,8,8,0,none,
paper8-task-management-roadmap-v1,linear_dependency-high-s23,stale_record_tags,task_structural,0.0,0.0,0,0,0,none,
paper8-task-management-roadmap-v1,linear_dependency-high-s23,stale_record_tags,task_adaptive,1.0,1.0,8,8,1,session,metadata_incomplete;insufficient_candidates
paper8-task-management-roadmap-v1,linear_dependency-high-s23,stale_record_tags,session,1.0,1.0,8,8,0,none,
paper8-task-management-roadmap-v1,linear_dependency-high-s23,missing_dependency_edge,task_structural,0.5,0.5,1,1,0,none,
paper8-task-management-roadmap-v1,linear_dependency-high-s23,missing_dependency_edge,task_adaptive,1.0,1.0,8,8,1,session,metadata_incomplete;insufficient_candidates
paper8-task-management-roadmap-v1,linear_dependency-high-s23,missing_dependency_edge,session,1.0,1.0,8,8,0,none,
paper8-task-management-roadmap-v1,linear_dependency-high-s23,wrong_dependency_edge,task_structural,0.5,0.5,2,2,0,none,
paper8-task-management-roadmap-v1,linear_dependency-high-s23,wrong_dependency_edge,task_adaptive,1.0,1.0,8,8,1,session,metadata_incomplete
paper8-task-management-roadmap-v1,linear_dependency-high-s23,wrong_dependency_edge,session,1.0,1.0,8,8,0,none,
paper8-task-management-roadmap-v1,join-high-s37,clean,task_structural,1.0,1.0,4,4,0,none,
paper8-task-management-roadmap-v1,join-high-s37,clean,task_adaptive,1.0,1.0,4,4,0,none,
paper8-task-management-roadmap-v1,join-high-s37,clean,session,1.0,1.0,8,8,0,none,
paper8-task-management-roadmap-v1,join-high-s37,missing_record_tags,task_structural,1.0,1.0,4,4,0,none,
paper8-task-management-roadmap-v1,join-high-s37,missing_record_tags,task_adaptive,1.0,1.0,8,8,1,session,metadata_incomplete
paper8-task-management-roadmap-v1,join-high-s37,missing_record_tags,session,1.0,1.0,8,8,0,none,
paper8-task-management-roadmap-v1,join-high-s37,stale_record_tags,task_structural,0.0,0.0,1,1,0,none,
paper8-task-management-roadmap-v1,join-high-s37,stale_record_tags,task_adaptive,1.0,1.0,8,8,1,session,metadata_incomplete;insufficient_candidates
paper8-task-management-roadmap-v1,join-high-s37,stale_record_tags,session,1.0,1.0,8,8,0,none,
paper8-task-management-roadmap-v1,join-high-s37,missing_dependency_edge,task_structural,0.0,0.0,1,1,0,none,
paper8-task-management-roadmap-v1,join-high-s37,missing_dependency_edge,task_adaptive,1.0,1.0,8,8,1,session,metadata_incomplete;insufficient_candidates
paper8-task-management-roadmap-v1,join-high-s37,missing_dependency_edge,session,1.0,1.0,8,8,0,none,
paper8-task-management-roadmap-v1,join-high-s37,wrong_dependency_edge,task_structural,0.0,0.0,2,2,0,none,
paper8-task-management-roadmap-v1,join-high-s37,wrong_dependency_edge,task_adaptive,1.0,1.0,8,8,1,session,metadata_incomplete;insufficient_candidates
paper8-task-management-roadmap-v1,join-high-s37,wrong_dependency_edge,session,1.0,1.0,8,8,0,none,
paper8-task-management-roadmap-v1,resumption-high-s53,clean,task_structural,1.0,1.0,1,1,0,none,
paper8-task-management-roadmap-v1,resumption-high-s53,clean,task_adaptive,1.0,1.0,1,1,0,none,
paper8-task-management-roadmap-v1,resumption-high-s53,clean,session,1.0,1.0,8,8,0,none,
paper8-task-management-roadmap-v1,resumption-high-s53,missing_record_tags,task_structural,1.0,1.0,1,1,0,none,
paper8-task-management-roadmap-v1,resumption-high-s53,missing_record_tags,task_adaptive,1.0,1.0,8,8,1,session,metadata_incomplete
paper8-task-management-roadmap-v1,resumption-high-s53,missing_record_tags,session,1.0,1.0,8,8,0,none,
paper8-task-management-roadmap-v1,resumption-high-s53,stale_record_tags,task_structural,0.0,0.0,0,0,0,none,
paper8-task-management-roadmap-v1,resumption-high-s53,stale_record_tags,task_adaptive,1.0,1.0,8,8,1,session,metadata_incomplete;insufficient_candidates
paper8-task-management-roadmap-v1,resumption-high-s53,stale_record_tags,session,1.0,1.0,8,8,0,none,
paper8-task-management-roadmap-v1,resumption-high-s53,missing_dependency_edge,task_structural,1.0,1.0,1,1,0,none,
paper8-task-management-roadmap-v1,resumption-high-s53,missing_dependency_edge,task_adaptive,1.0,1.0,8,8,1,session,metadata_incomplete
paper8-task-management-roadmap-v1,resumption-high-s53,missing_dependency_edge,session,1.0,1.0,8,8,0,none,
paper8-task-management-roadmap-v1,resumption-high-s53,wrong_dependency_edge,task_structural,1.0,1.0,2,2,0,none,
paper8-task-management-roadmap-v1,resumption-high-s53,wrong_dependency_edge,task_adaptive,1.0,1.0,8,8,1,session,metadata_incomplete
paper8-task-management-roadmap-v1,resumption-high-s53,wrong_dependency_edge,session,1.0,1.0,8,8,0,none,
paper8-task-management-roadmap-v1,conflicting_state-high-s71,clean,task_structural,1.0,1.0,1,1,0,none,
paper8-task-management-roadmap-v1,conflicting_state-high-s71,clean,task_adaptive,1.0,1.0,1,1,0,none,
paper8-task-management-roadmap-v1,conflicting_state-high-s71,clean,session,1.0,1.0,8,8,0,none,
paper8-task-management-roadmap-v1,conflicting_state-high-s71,missing_record_tags,task_structural,1.0,1.0,1,1,0,none,
paper8-task-management-roadmap-v1,conflicting_state-high-s71,missing_record_tags,task_adaptive,1.0,1.0,8,8,1,session,metadata_incomplete
paper8-task-management-roadmap-v1,conflicting_state-high-s71,missing_record_tags,session,1.0,1.0,8,8,0,none,
paper8-task-management-roadmap-v1,conflicting_state-high-s71,stale_record_tags,task_structural,0.0,0.0,0,0,0,none,
paper8-task-management-roadmap-v1,conflicting_state-high-s71,stale_record_tags,task_adaptive,1.0,1.0,8,8,1,session,metadata_incomplete;insufficient_candidates
paper8-task-management-roadmap-v1,conflicting_state-high-s71,stale_record_tags,session,1.0,1.0,8,8,0,none,
paper8-task-management-roadmap-v1,conflicting_state-high-s71,missing_dependency_edge,task_structural,1.0,1.0,1,1,0,none,
paper8-task-management-roadmap-v1,conflicting_state-high-s71,missing_dependency_edge,task_adaptive,1.0,1.0,8,8,1,session,metadata_incomplete
paper8-task-management-roadmap-v1,conflicting_state-high-s71,missing_dependency_edge,session,1.0,1.0,8,8,0,none,
paper8-task-management-roadmap-v1,conflicting_state-high-s71,wrong_dependency_edge,task_structural,1.0,1.0,2,2,0,none,
paper8-task-management-roadmap-v1,conflicting_state-high-s71,wrong_dependency_edge,task_adaptive,1.0,1.0,8,8,1,session,metadata_incomplete
paper8-task-management-roadmap-v1,conflicting_state-high-s71,wrong_dependency_edge,session,1.0,1.0,8,8,0,none,
