active_tokens,candidate_records,case_id,cross_task_contamination,detail_depth,estimated_tokens_per_record,family,join_complete,logical_backing_tokens,matched_budget_tokens,materialized_tokens,policy,record_budget,relevant_record_recall,scope_latency_us,seed,selected_records,task_count,useful_precision,widened
126,6,parallel-n8-r6-s53,0.0,selected,24,parallel,1,126,192,144,task_local,8,1.0,2098.799915984273,53,6,8,0.16666666666666666,0
84,6,parallel-n8-r6-s53,0.0,full,48,parallel,1,84,192,192,task_local,4,1.0,1467.1001117676497,53,4,8,0.25,0
63,6,parallel-n8-r6-s53,0.0,native_kv,64,parallel,1,63,192,192,task_local,3,1.0,1412.2999273240566,53,3,8,0.3333333333333333,0
126,6,parallel-n8-r6-s53,0.0,index,4,parallel,1,126,192,24,task_structural,48,1.0,1485.9000220894814,53,6,8,0.16666666666666666,0
126,6,parallel-n8-r6-s53,0.0,compact,12,parallel,1,126,192,72,task_structural,16,1.0,1460.9999489039183,53,6,8,0.16666666666666666,0
126,6,parallel-n8-r6-s53,0.0,selected,24,parallel,1,126,192,144,task_structural,8,1.0,655.6999869644642,53,6,8,0.16666666666666666,0
84,6,parallel-n8-r6-s53,0.0,full,48,parallel,1,84,192,192,task_structural,4,1.0,637.7000827342272,53,4,8,0.25,0
63,6,parallel-n8-r6-s53,0.0,native_kv,64,parallel,1,63,192,192,task_structural,3,1.0,654.2999763041735,53,3,8,0.3333333333333333,0
126,6,parallel-n8-r6-s53,0.0,index,4,parallel,1,126,192,24,task_adaptive,48,1.0,659.3998987227678,53,6,8,0.16666666666666666,0
126,6,parallel-n8-r6-s53,0.0,compact,12,parallel,1,126,192,72,task_adaptive,16,1.0,1216.5999505668879,53,6,8,0.16666666666666666,0
126,6,parallel-n8-r6-s53,0.0,selected,24,parallel,1,126,192,144,task_adaptive,8,1.0,1532.4000269174576,53,6,8,0.16666666666666666,0
84,6,parallel-n8-r6-s53,0.0,full,48,parallel,1,84,192,192,task_adaptive,4,1.0,1624.200027436018,53,4,8,0.25,0
63,6,parallel-n8-r6-s53,0.0,native_kv,64,parallel,1,63,192,192,task_adaptive,3,1.0,3233.0001704394817,53,3,8,0.3333333333333333,0
1008,48,parallel-n8-r6-s71,0.875,index,4,parallel,1,1008,192,192,session,48,1.0,3831.499954685569,71,48,8,0.020833333333333332,0
336,48,parallel-n8-r6-s71,0.875,compact,12,parallel,1,336,192,192,session,16,1.0,2628.1001046299934,71,16,8,0.0625,0
168,48,parallel-n8-r6-s71,0.875,selected,24,parallel,1,168,192,192,session,8,1.0,3827.6000414043665,71,8,8,0.125,0
84,48,parallel-n8-r6-s71,1.0,full,48,parallel,0,84,192,192,session,4,0.0,5588.599946349859,71,4,8,0.0,0
63,48,parallel-n8-r6-s71,1.0,native_kv,64,parallel,0,63,192,192,session,3,0.0,4027.1999314427376,71,3,8,0.0,0
126,6,parallel-n8-r6-s71,0.0,index,4,parallel,1,126,192,24,task_local,48,1.0,1504.0000434964895,71,6,8,0.16666666666666666,0
126,6,parallel-n8-r6-s71,0.0,compact,12,parallel,1,126,192,72,task_local,16,1.0,966.7999111115932,71,6,8,0.16666666666666666,0
