active_tokens,candidate_records,case_id,cross_task_contamination,join_complete,kv_demoted,kv_promoted,policy,relevant_record_recall,scope_latency_us,seed,selected_records,switch_latency_us,task_count,useful_precision,widened,wrong_task_selected
42,6,parallel-n2-r6-s71,0.0,1,128,64,task_local,1.0,748.2999935746193,71,2,21.59993164241314,2,0.5,0,0
42,6,parallel-n2-r6-s71,0.0,1,128,64,task_structural,1.0,1148.9000171422958,71,2,21.59993164241314,2,0.5,0,0
42,6,parallel-n2-r6-s71,0.0,1,128,64,task_adaptive,1.0,836.8000853806734,71,2,21.59993164241314,2,0.5,0,0
42,24,parallel-n4-r6-s11,0.5,1,128,64,session,1.0,2933.099865913391,11,2,14.200108125805855,4,0.5,0,1
42,6,parallel-n4-r6-s11,0.0,1,128,64,task_local,1.0,930.2999824285507,11,2,14.200108125805855,4,0.5,0,0
42,6,parallel-n4-r6-s11,0.0,1,128,64,task_structural,1.0,704.8998959362507,11,2,14.200108125805855,4,0.5,0,0
42,6,parallel-n4-r6-s11,0.0,1,128,64,task_adaptive,1.0,1008.1001091748476,11,2,14.200108125805855,4,0.5,0,0
42,24,parallel-n4-r6-s23,1.0,0,128,64,session,0.0,2744.3000581115484,23,2,34.899916499853134,4,0.0,0,1
42,6,parallel-n4-r6-s23,0.0,1,128,64,task_local,1.0,2107.7999845147133,23,2,34.899916499853134,4,0.5,0,0
42,6,parallel-n4-r6-s23,0.0,1,128,64,task_structural,1.0,1169.6000583469868,23,2,34.899916499853134,4,0.5,0,0
42,6,parallel-n4-r6-s23,0.0,1,128,64,task_adaptive,1.0,924.6999397873878,23,2,34.899916499853134,4,0.5,0,0
42,24,parallel-n4-r6-s37,1.0,0,128,64,session,0.0,2013.1999626755714,37,2,9.600073099136353,4,0.0,0,1
42,6,parallel-n4-r6-s37,0.0,1,128,64,task_local,1.0,1222.0998760312796,37,2,9.600073099136353,4,0.5,0,0
42,6,parallel-n4-r6-s37,0.0,1,128,64,task_structural,1.0,1109.2000640928745,37,2,9.600073099136353,4,0.5,0,0
42,6,parallel-n4-r6-s37,0.0,1,128,64,task_adaptive,1.0,1215.3000570833683,37,2,9.600073099136353,4,0.5,0,0
42,24,parallel-n4-r6-s53,1.0,0,128,64,session,0.0,1626.8999315798283,53,2,9.499955922365189,4,0.0,0,1
42,6,parallel-n4-r6-s53,0.0,1,128,64,task_local,1.0,796.7997808009386,53,2,9.499955922365189,4,0.5,0,0
42,6,parallel-n4-r6-s53,0.0,1,128,64,task_structural,1.0,1863.3999861776829,53,2,9.499955922365189,4,0.5,0,0
42,6,parallel-n4-r6-s53,0.0,1,128,64,task_adaptive,1.0,1101.2000031769276,53,2,9.499955922365189,4,0.5,0,0
42,24,parallel-n4-r6-s71,0.5,1,128,64,session,1.0,2071.2001714855433,71,2,14.499993994832039,4,0.5,0,1
42,6,parallel-n4-r6-s71,0.0,1,128,64,task_local,1.0,943.5000829398632,71,2,14.499993994832039,4,0.5,0,0
42,6,parallel-n4-r6-s71,0.0,1,128,64,task_structural,1.0,922.4999230355024,71,2,14.499993994832039,4,0.5,0,0
42,6,parallel-n4-r6-s71,0.0,1,128,64,task_adaptive,1.0,1219.100086018443,71,2,14.499993994832039,4,0.5,0,0
42,48,parallel-n8-r6-s11,0.5,1,128,64,session,1.0,4762.399941682816,11,2,16.700010746717453,8,0.5,0,1
42,6,parallel-n8-r6-s11,0.0,1,128,64,task_local,1.0,1697.3000019788742,11,2,16.700010746717453,8,0.5,0,0
42,6,parallel-n8-r6-s11,0.0,1,128,64,task_structural,1.0,1510.9998639672995,11,2,16.700010746717453,8,0.5,0,0
42,6,parallel-n8-r6-s11,0.0,1,128,64,task_adaptive,1.0,936.4001452922821,11,2,16.700010746717453,8,0.5,0,0
42,48,parallel-n8-r6-s23,1.0,0,128,64,session,0.0,5727.299954742193,23,2,13.499986380338669,8,0.0,0,1
42,6,parallel-n8-r6-s23,0.0,1,128,64,task_local,1.0,1775.6999004632235,23,2,13.499986380338669,8,0.5,0,0
42,6,parallel-n8-r6-s23,0.0,1,128,64,task_structural,1.0,1680.299872532487,23,2,13.499986380338669,8,0.5,0,0
42,6,parallel-n8-r6-s23,0.0,1,128,64,task_adaptive,1.0,1978.3000461757183,23,2,13.499986380338669,8,0.5,0,0
42,48,parallel-n8-r6-s37,1.0,0,128,64,session,0.0,4787.1998976916075,37,2,41.69996827840805,8,0.0,0,1
42,6,parallel-n8-r6-s37,0.0,1,128,64,task_local,1.0,1558.499876409769,37,2,41.69996827840805,8,0.5,0,0
42,6,parallel-n8-r6-s37,0.0,1,128,64,task_structural,1.0,1550.5999326705933,37,2,41.69996827840805,8,0.5,0,0
42,6,parallel-n8-r6-s37,0.0,1,128,64,task_adaptive,1.0,1961.6000354290009,37,2,41.69996827840805,8,0.5,0,0
42,48,parallel-n8-r6-s53,1.0,0,128,64,session,0.0,4420.200129970908,53,2,16.399892047047615,8,0.0,0,1
42,6,parallel-n8-r6-s53,0.0,1,128,64,task_local,1.0,1557.9001046717167,53,2,16.399892047047615,8,0.5,0,0
42,6,parallel-n8-r6-s53,0.0,1,128,64,task_structural,1.0,1452.2999990731478,53,2,16.399892047047615,8,0.5,0,0
42,6,parallel-n8-r6-s53,0.0,1,128,64,task_adaptive,1.0,1263.400074094534,53,2,16.399892047047615,8,0.5,0,0
42,48,parallel-n8-r6-s71,1.0,0,128,64,session,0.0,3054.399974644184,71,2,14.899997040629387,8,0.0,0,1
42,6,parallel-n8-r6-s71,0.0,1,128,64,task_local,1.0,2408.799948170781,71,2,14.899997040629387,8,0.5,0,0
42,6,parallel-n8-r6-s71,0.0,1,128,64,task_structural,1.0,2541.7001452296972,71,2,14.899997040629387,8,0.5,0,0
42,6,parallel-n8-r6-s71,0.0,1,128,64,task_adaptive,1.0,2424.6000684797764,71,2,14.899997040629387,8,0.5,0,0
42,96,parallel-n16-r6-s11,1.0,0,128,64,session,0.0,11580.100050196052,11,2,87.39996701478958,16,0.0,0,1
42,6,parallel-n16-r6-s11,0.0,1,128,64,task_local,1.0,2470.1999500393867,11,2,87.39996701478958,16,0.5,0,0
42,6,parallel-n16-r6-s11,0.0,1,128,64,task_structural,1.0,3325.5000598728657,11,2,87.39996701478958,16,0.5,0,0
42,6,parallel-n16-r6-s11,0.0,1,128,64,task_adaptive,1.0,3163.4001061320305,11,2,87.39996701478958,16,0.5,0,0
42,96,parallel-n16-r6-s23,1.0,0,128,64,session,0.0,7564.200088381767,23,2,13.00009898841381,16,0.0,0,1
42,6,parallel-n16-r6-s23,0.0,1,128,64,task_local,1.0,4486.499819904566,23,2,13.00009898841381,16,0.5,0,0
42,6,parallel-n16-r6-s23,0.0,1,128,64,task_structural,1.0,2894.800156354904,23,2,13.00009898841381,16,0.5,0,0
42,6,parallel-n16-r6-s23,0.0,1,128,64,task_adaptive,1.0,1803.399994969368,23,2,13.00009898841381,16,0.5,0,0
42,96,parallel-n16-r6-s37,1.0,0,128,64,session,0.0,11150.899808853865,37,2,19.300030544400215,16,0.0,0,1
42,6,parallel-n16-r6-s37,0.0,1,128,64,task_local,1.0,3100.200090557337,37,2,19.300030544400215,16,0.5,0,0
42,6,parallel-n16-r6-s37,0.0,1,128,64,task_structural,1.0,2220.1999090611935,37,2,19.300030544400215,16,0.5,0,0
42,6,parallel-n16-r6-s37,0.0,1,128,64,task_adaptive,1.0,2464.400138705969,37,2,19.300030544400215,16,0.5,0,0
42,96,parallel-n16-r6-s53,1.0,0,128,64,session,0.0,10137.399891391397,53,2,15.400117263197899,16,0.0,0,1
42,6,parallel-n16-r6-s53,0.0,1,128,64,task_local,1.0,1613.8998325914145,53,2,15.400117263197899,16,0.5,0,0
42,6,parallel-n16-r6-s53,0.0,1,128,64,task_structural,1.0,1187.5000782310963,53,2,15.400117263197899,16,0.5,0,0
42,6,parallel-n16-r6-s53,0.0,1,128,64,task_adaptive,1.0,2362.400060519576,53,2,15.400117263197899,16,0.5,0,0
42,96,parallel-n16-r6-s71,1.0,0,128,64,session,0.0,7342.0999106019735,71,2,15.700003132224083,16,0.0,0,1
42,6,parallel-n16-r6-s71,0.0,1,128,64,task_local,1.0,1606.399891898036,71,2,15.700003132224083,16,0.5,0,0
42,6,parallel-n16-r6-s71,0.0,1,128,64,task_structural,1.0,1333.3000242710114,71,2,15.700003132224083,16,0.5,0,0
42,6,parallel-n16-r6-s71,0.0,1,128,64,task_adaptive,1.0,2734.6001006662846,71,2,15.700003132224083,16,0.5,0,0
