dataset,model_tier,method,seed_count,examples_per_seed,mrr_mean,mrr_std,f80_mean,f80_std,f90_mean,f90_std,auc_0_30_mean,auc_0_30_std,r_at_3_mean,r_at_3_std,r_at_8_mean,r_at_8_std,r_at_5pct_mean,r_at_5pct_std,r_at_10pct_mean,r_at_10pct_std,r_at_20pct_mean,r_at_20pct_std,r_at_30pct_mean,r_at_30pct_std,any_r_at_5pct_mean,any_r_at_5pct_std,any_r_at_10pct_mean,any_r_at_10pct_std,any_r_at_20pct_mean,any_r_at_20pct_std,any_r_at_30pct_mean,any_r_at_30pct_std,all_r_at_5pct_mean,all_r_at_5pct_std,all_r_at_10pct_mean,all_r_at_10pct_std,all_r_at_20pct_mean,all_r_at_20pct_std,all_r_at_30pct_mean,all_r_at_30pct_std,router_parameters,router_backbone_percent,routing_dimension,native_hidden_index_bytes,projected_index_bytes,native_detail_kv_bytes,payload_parity_max_abs_error
qasper,small,hidden_cosine,5,13,0.09946216176985408,0.023050673306677094,1.0,0.0,1.0,0.0,0.020512820512820513,0.02544799133497334,0.0,0.0,0.24615384615384617,0.19091805609216703,0.0,0.0,0.0,0.0,0.0,0.0,0.09230769230769231,0.113053372743839,0.0,0.0,0.0,0.0,0.0,0.0,0.09230769230769231,0.113053372743839,0.0,0.0,0.0,0.0,0.0,0.0,0.09230769230769231,0.113053372743839,8192.0,0.572860723236663,32.0,7680.0,1920.0,110592.0,0.0
qasper,small,learned_projection,5,13,0.9846153846153847,0.01884222879063982,0.06666666666666667,0.0,0.06666666666666667,0.0,0.976153846153846,0.008793040102298557,1.0,0.0,1.0,0.0,0.9692307692307693,0.03768445758127964,1.0,0.0,1.0,0.0,1.0,0.0,0.9692307692307693,0.03768445758127964,1.0,0.0,1.0,0.0,1.0,0.0,0.9692307692307693,0.03768445758127964,1.0,0.0,1.0,0.0,1.0,0.0,8192.0,0.572860723236663,32.0,7680.0,1920.0,110592.0,0.0
qasper,small,post_rope_k,5,13,0.5201159951159952,0.1310357766732434,0.4533333333333333,0.09797958971132713,0.49333333333333335,0.08,0.5002564102564102,0.1215054591133494,0.5076923076923077,0.12498520622516861,0.9846153846153847,0.030769230769230747,0.36923076923076925,0.19091805609216703,0.4461538461538462,0.14915938022819472,0.5076923076923077,0.12498520622516861,0.7846153846153847,0.08970695222838926,0.36923076923076925,0.19091805609216703,0.4461538461538462,0.14915938022819472,0.5076923076923077,0.12498520622516861,0.7846153846153847,0.08970695222838926,0.36923076923076925,0.19091805609216703,0.4461538461538462,0.14915938022819472,0.5076923076923077,0.12498520622516861,0.7846153846153847,0.08970695222838926,8192.0,0.572860723236663,32.0,7680.0,1920.0,110592.0,0.0
qasper,small,pre_rope_k,5,13,0.5374786324786325,0.08917500185399946,0.42666666666666664,0.13727506854649335,0.48,0.10666666666666667,0.54,0.09787149593876278,0.5846153846153845,0.15073783032511864,0.9538461538461538,0.03768445758127964,0.36923076923076925,0.1568929081105472,0.5230769230769231,0.07536891516255932,0.5846153846153845,0.15073783032511864,0.7692307692307693,0.14595127662315596,0.36923076923076925,0.1568929081105472,0.5230769230769231,0.07536891516255932,0.5846153846153845,0.15073783032511864,0.7692307692307693,0.14595127662315596,0.36923076923076925,0.1568929081105472,0.5230769230769231,0.07536891516255932,0.5846153846153845,0.15073783032511864,0.7692307692307693,0.14595127662315596,8192.0,0.572860723236663,32.0,7680.0,1920.0,110592.0,0.0
qasper,small,shuffled_projection,5,13,0.11199770315154929,0.028381543322449507,1.0,0.0,1.0,0.0,0.016666666666666666,0.019695245507355408,0.015384615384615385,0.03076923076923077,0.3230769230769231,0.26823993498711834,0.0,0.0,0.0,0.0,0.015384615384615385,0.03076923076923077,0.07692307692307693,0.06880209161537815,0.0,0.0,0.0,0.0,0.015384615384615385,0.03076923076923077,0.07692307692307693,0.06880209161537815,0.0,0.0,0.0,0.0,0.015384615384615385,0.03076923076923077,0.07692307692307693,0.06880209161537815,8192.0,0.572860723236663,32.0,7680.0,1920.0,110592.0,0.0
qasper,tiny,hidden_cosine,5,13,0.3158503462349616,0.18101609161466356,0.8533333333333333,0.29333333333333333,0.8533333333333333,0.29333333333333333,0.3361538461538462,0.2162351947176558,0.43076923076923085,0.2208107706831896,0.5692307692307692,0.2363429460882649,0.13846153846153847,0.17131582654861607,0.24615384615384617,0.22505752058965836,0.43076923076923085,0.2208107706831896,0.5076923076923078,0.28200465815112863,0.13846153846153847,0.17131582654861607,0.24615384615384617,0.22505752058965836,0.43076923076923085,0.2208107706831896,0.5076923076923078,0.28200465815112863,0.13846153846153847,0.17131582654861607,0.24615384615384617,0.22505752058965836,0.43076923076923085,0.2208107706831896,0.5076923076923078,0.28200465815112863,4096.0,0.7922753156721961,32.0,3840.0,1920.0,55296.0,0.0
qasper,tiny,learned_projection,5,13,0.9666666666666666,0.04971979340939824,0.08,0.02666666666666667,0.08,0.02666666666666667,0.9664102564102564,0.025824981152849535,1.0,0.0,1.0,0.0,0.9384615384615385,0.08970695222838923,0.9846153846153847,0.030769230769230747,1.0,0.0,1.0,0.0,0.9384615384615385,0.08970695222838923,0.9846153846153847,0.030769230769230747,1.0,0.0,1.0,0.0,0.9384615384615385,0.08970695222838923,0.9846153846153847,0.030769230769230747,1.0,0.0,1.0,0.0,4096.0,0.7922753156721961,32.0,3840.0,1920.0,55296.0,0.0
qasper,tiny,post_rope_k,5,13,0.6901409701409701,0.26810349981208365,0.38666666666666666,0.34615346628659116,0.49333333333333335,0.4186751591495355,0.6915384615384615,0.2830536965573489,0.7384615384615385,0.273482905148172,0.876923076923077,0.1794139044567785,0.5846153846153846,0.3285254846778865,0.6923076923076923,0.31902217466658034,0.7384615384615385,0.273482905148172,0.8153846153846154,0.226106745487678,0.5846153846153846,0.3285254846778865,0.6923076923076923,0.31902217466658034,0.7384615384615385,0.273482905148172,0.8153846153846154,0.226106745487678,0.5846153846153846,0.3285254846778865,0.6923076923076923,0.31902217466658034,0.7384615384615385,0.273482905148172,0.8153846153846154,0.226106745487678,4096.0,0.7922753156721961,32.0,3840.0,1920.0,55296.0,0.0
qasper,tiny,pre_rope_k,5,13,0.5009995133072056,0.297476299268208,0.5866666666666667,0.3685406656289401,0.72,0.3733333333333333,0.5002564102564102,0.3136384850058927,0.5538461538461539,0.3241739616262381,0.7230769230769231,0.3426316530972321,0.36923076923076925,0.34194016570604413,0.46153846153846156,0.31902217466658034,0.5538461538461539,0.3241739616262381,0.6307692307692307,0.34194016570604413,0.36923076923076925,0.34194016570604413,0.46153846153846156,0.31902217466658034,0.5538461538461539,0.3241739616262381,0.6307692307692307,0.34194016570604413,0.36923076923076925,0.34194016570604413,0.46153846153846156,0.31902217466658034,0.5538461538461539,0.3241739616262381,0.6307692307692307,0.34194016570604413,4096.0,0.7922753156721961,32.0,3840.0,1920.0,55296.0,0.0
qasper,tiny,shuffled_projection,5,13,0.12300861531630762,0.027544016207622164,1.0,0.0,1.0,0.0,0.053846153846153856,0.033085866411702414,0.06153846153846154,0.03076923076923077,0.3076923076923077,0.16135520741079257,0.0,0.0,0.03076923076923077,0.03768445758127967,0.06153846153846154,0.03076923076923077,0.12307692307692308,0.10434353820192721,0.0,0.0,0.03076923076923077,0.03768445758127967,0.06153846153846154,0.03076923076923077,0.12307692307692308,0.10434353820192721,0.0,0.0,0.03076923076923077,0.03768445758127967,0.06153846153846154,0.03076923076923077,0.12307692307692308,0.10434353820192721,4096.0,0.7922753156721961,32.0,3840.0,1920.0,55296.0,0.0
