dataset,model_tier,seed,method,examples,mrr,f80,f90,auc_0_30,r_at_3,r_at_8,router_parameters,router_backbone_percent,routing_dimension,native_hidden_index_bytes,projected_index_bytes,native_detail_kv_bytes,payload_parity_max_abs_error,r_at_5pct,any_r_at_5pct,all_r_at_5pct,kv_at_5pct,r_at_10pct,any_r_at_10pct,all_r_at_10pct,kv_at_10pct,r_at_20pct,any_r_at_20pct,all_r_at_20pct,kv_at_20pct,r_at_30pct,any_r_at_30pct,all_r_at_30pct,kv_at_30pct
hotpotqa,small,1,hidden_cosine,13,0.11782661782661782,1.0,1.0,0.006410256410256409,0.0,0.38461538461538464,8192,0.31375625061280515,32,7680,1920,105865.84615384616,0.0,0.0,0.0,0.0,0.07821862494072811,0.0,0.0,0.0,0.13944248898535386,0.0,0.0,0.0,0.20588703076171513,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.34398406582175844
hotpotqa,small,1,learned_projection,13,0.9615384615384616,0.06666666666666667,0.06666666666666667,0.9653846153846154,1.0,1.0,8192,0.31375625061280515,32,7680,1920,105865.84615384616,0.0,0.9230769230769231,0.9230769230769231,0.9230769230769231,0.053230662761932473,1.0,1.0,1.0,0.11507380614369062,1.0,1.0,1.0,0.1760684740968246,1.0,1.0,1.0,0.3176508577507072
hotpotqa,small,1,shuffled_projection,13,0.1362998112998113,1.0,1.0,0.057692307692307696,0.07692307692307693,0.38461538461538464,8192,0.31375625061280515,32,7680,1920,105865.84615384616,0.0,0.0,0.0,0.0,0.059018005372487074,0.0,0.0,0.0,0.1345995142017535,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.19699353222771007,0.23076923076923078,0.23076923076923078,0.23076923076923078,0.32722936318137263
hotpotqa,small,7,post_rope_k,13,0.8807692307692307,0.06666666666666667,0.26666666666666666,0.8576923076923076,0.8461538461538461,1.0,8192,0.31375625061280515,32,7680,1920,105865.84615384616,0.0,0.8461538461538461,0.8461538461538461,0.8461538461538461,0.05419905277331833,0.8461538461538461,0.8461538461538461,0.8461538461538461,0.10955100203191445,0.8461538461538461,0.8461538461538461,0.8461538461538461,0.16766606327284292,1.0,1.0,1.0,0.3243947772437522
hotpotqa,small,7,pre_rope_k,13,0.7481684981684982,0.5333333333333333,0.5333333333333333,0.7,0.6923076923076923,1.0,8192,0.31375625061280515,32,7680,1920,105865.84615384616,0.0,0.6923076923076923,0.6923076923076923,0.6923076923076923,0.06720614682460674,0.6923076923076923,0.6923076923076923,0.6923076923076923,0.14324355548990303,0.6923076923076923,0.6923076923076923,0.6923076923076923,0.20125300620969738,0.7692307692307693,0.7692307692307693,0.7692307692307693,0.31804022533701554
hotpotqa,small,7,hidden_cosine,13,0.1011016761016761,1.0,1.0,0.0,0.0,0.23076923076923078,8192,0.31375625061280515,32,7680,1920,105865.84615384616,0.0,0.0,0.0,0.0,0.07741805957049813,0.0,0.0,0.0,0.1420126231089714,0.0,0.0,0.0,0.203593649395472,0.0,0.0,0.0,0.34268880011810193
hotpotqa,small,7,learned_projection,13,1.0,0.06666666666666667,0.06666666666666667,0.9833333333333333,1.0,1.0,8192,0.31375625061280515,32,7680,1920,105865.84615384616,0.0,1.0,1.0,1.0,0.056370380187364184,1.0,1.0,1.0,0.13878908006960494,1.0,1.0,1.0,0.20456323186073358,1.0,1.0,1.0,0.31551379267276514
hotpotqa,small,7,shuffled_projection,13,0.14535827420442804,1.0,1.0,0.05128205128205129,0.07692307692307693,0.5384615384615384,8192,0.31375625061280515,32,7680,1920,105865.84615384616,0.0,0.0,0.0,0.0,0.05318022973783196,0.0,0.0,0.0,0.12251518985207614,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.1870847361955724,0.15384615384615385,0.15384615384615385,0.15384615384615385,0.31254901906433036
hotpotqa,small,21,post_rope_k,13,0.41419413919413917,0.5333333333333333,0.5333333333333333,0.4,0.46153846153846156,1.0,8192,0.31375625061280515,32,7680,1920,105865.84615384616,0.0,0.23076923076923078,0.23076923076923078,0.23076923076923078,0.05564148543712728,0.3076923076923077,0.3076923076923077,0.3076923076923077,0.1110608993886446,0.46153846153846156,0.46153846153846156,0.46153846153846156,0.17219980599562887,0.6153846153846154,0.6153846153846154,0.6153846153846154,0.3254684475422881
hotpotqa,small,21,pre_rope_k,13,0.6673992673992674,0.2,0.3333333333333333,0.735897435897436,0.8461538461538461,1.0,8192,0.31375625061280515,32,7680,1920,105865.84615384616,0.0,0.46153846153846156,0.46153846153846156,0.46153846153846156,0.05958065873660515,0.7692307692307693,0.7692307692307693,0.7692307692307693,0.11489493957523514,0.8461538461538461,0.8461538461538461,0.8461538461538461,0.17719406862980308,0.9230769230769231,0.9230769230769231,0.9230769230769231,0.2929616230031443
hotpotqa,small,21,hidden_cosine,13,0.06861087630318399,1.0,1.0,0.0,0.0,0.0,8192,0.31375625061280515,32,7680,1920,105865.84615384616,0.0,0.0,0.0,0.0,0.07782818046823763,0.0,0.0,0.0,0.18058090848029054,0.0,0.0,0.0,0.2666274086990891,0.0,0.0,0.0,0.40724386865021783
hotpotqa,small,21,learned_projection,13,1.0,0.06666666666666667,0.06666666666666667,0.9833333333333333,1.0,1.0,8192,0.31375625061280515,32,7680,1920,105865.84615384616,0.0,1.0,1.0,1.0,0.056370380187364184,1.0,1.0,1.0,0.11335782786893724,1.0,1.0,1.0,0.16910109694329775,1.0,1.0,1.0,0.30854577082287754
hotpotqa,small,21,shuffled_projection,13,0.13226303610918994,1.0,1.0,0.08974358974358976,0.15384615384615385,0.38461538461538464,8192,0.31375625061280515,32,7680,1920,105865.84615384616,0.0,0.0,0.0,0.0,0.059991824818371994,0.0,0.0,0.0,0.1282715083215424,0.15384615384615385,0.15384615384615385,0.15384615384615385,0.20228941252907234,0.15384615384615385,0.15384615384615385,0.15384615384615385,0.34003540217093514
hotpotqa,small,42,post_rope_k,13,0.742948717948718,0.2,0.3333333333333333,0.7717948717948718,0.8461538461538461,1.0,8192,0.31375625061280515,32,7680,1920,105865.84615384616,0.0,0.6153846153846154,0.6153846153846154,0.6153846153846154,0.05228878791793168,0.7692307692307693,0.7692307692307693,0.7692307692307693,0.11018072789989054,0.8461538461538461,0.8461538461538461,0.8461538461538461,0.17482158010141144,0.9230769230769231,0.9230769230769231,0.9230769230769231,0.3203264604574875
hotpotqa,small,42,pre_rope_k,13,0.6576312576312576,0.5333333333333333,1.0,0.6512820512820513,0.6923076923076923,0.8461538461538461,8192,0.31375625061280515,32,7680,1920,105865.84615384616,0.0,0.5384615384615384,0.5384615384615384,0.5384615384615384,0.053802654735835294,0.6923076923076923,0.6923076923076923,0.6923076923076923,0.11429890535923025,0.6923076923076923,0.6923076923076923,0.6923076923076923,0.18207302756688826,0.7692307692307693,0.7692307692307693,0.7692307692307693,0.3129971867123627
hotpotqa,small,42,hidden_cosine,13,0.0781116319577858,1.0,1.0,0.0,0.0,0.07692307692307693,8192,0.31375625061280515,32,7680,1920,105865.84615384616,0.0,0.0,0.0,0.0,0.08796827147782221,0.0,0.0,0.0,0.17642312581742223,0.0,0.0,0.0,0.24005888120367447,0.0,0.0,0.0,0.3625893083536955
hotpotqa,small,42,learned_projection,13,1.0,0.06666666666666667,0.06666666666666667,0.9833333333333333,1.0,1.0,8192,0.31375625061280515,32,7680,1920,105865.84615384616,0.0,1.0,1.0,1.0,0.056370380187364184,1.0,1.0,1.0,0.11930484983465008,1.0,1.0,1.0,0.17529677758346518,1.0,1.0,1.0,0.3028882002082758
hotpotqa,small,42,shuffled_projection,13,0.10552588437203822,1.0,1.0,0.01923076923076923,0.0,0.23076923076923078,8192,0.31375625061280515,32,7680,1920,105865.84615384616,0.0,0.0,0.0,0.0,0.08650376306464638,0.0,0.0,0.0,0.1575344387129579,0.0,0.0,0.0,0.2244020486091063,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.34984490629075865
hotpotqa,small,87,post_rope_k,13,0.27371794871794874,0.5333333333333333,0.5333333333333333,0.2692307692307692,0.3076923076923077,1.0,8192,0.31375625061280515,32,7680,1920,105865.84615384616,0.0,0.0,0.0,0.0,0.06039236111620558,0.3076923076923077,0.3076923076923077,0.3076923076923077,0.11759134735318279,0.3076923076923077,0.3076923076923077,0.3076923076923077,0.19792462480616557,0.6153846153846154,0.6153846153846154,0.6153846153846154,0.3231409217185217
hotpotqa,small,87,pre_rope_k,13,0.39194139194139194,0.5333333333333333,0.5333333333333333,0.3230769230769231,0.3076923076923077,1.0,8192,0.31375625061280515,32,7680,1920,105865.84615384616,0.0,0.23076923076923078,0.23076923076923078,0.23076923076923078,0.06579518876704561,0.3076923076923077,0.3076923076923077,0.3076923076923077,0.13644750235825379,0.3076923076923077,0.3076923076923077,0.3076923076923077,0.20521006591957364,0.46153846153846156,0.46153846153846156,0.46153846153846156,0.312227343819209
hotpotqa,small,87,hidden_cosine,13,0.10964590964590964,1.0,1.0,0.006410256410256409,0.0,0.46153846153846156,8192,0.31375625061280515,32,7680,1920,105865.84615384616,0.0,0.0,0.0,0.0,0.09341723105734254,0.0,0.0,0.0,0.170189737543547,0.0,0.0,0.0,0.23919967816315324,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.37430638109417913
