stage,channel,signal,examples,positives,auroc,auprc,ece,brier,validation_threshold,selective_retained,selective_rejected,selective_coverage,selective_precision,selective_recall,selective_wrong_rejected,selective_correct_rejected
successor,approximate_new_address,referential_consistency_score,68,6,0.5403225806451613,0.14602307225258046,0.45184544405997695,0.34662573218445386,0.5490196078431373,34,34,0.5,0.08823529411764706,0.5,31,3
successor,approximate_new_address,semantic_consistency_of_lexical_candidate,68,6,0.48655913978494625,0.25662421396433027,0.43656286043829284,0.31059321075604396,0.6862745098039216,16,52,0.23529411764705882,0.125,0.3333333333333333,48,4
successor,approximate_new_address,top_candidate_agreement,68,6,0.5860215053763441,0.15024765590803327,0.4927912341407151,0.3830596829273809,0.45098039215686275,51,17,0.75,0.09803921568627451,0.8333333333333334,16,1
successor,bm25_state,top_score,68,4,0.525390625,0.07298534798534799,0.4893310265282584,0.3606814121265575,0.35294117647058826,46,22,0.6764705882352942,0.06521739130434782,0.75,21,1
successor,bm25_state,top1_top2_gap,68,4,0.673828125,0.13646135265700482,0.484717416378316,0.36877784562498606,0.0392156862745098,65,3,0.9558823529411765,0.06153846153846154,1.0,3,0
successor,bm25_state,referential_consistency_score,68,4,0.716796875,0.18309007813651776,0.46337946943483277,0.320086165954271,0.23529411764705882,54,14,0.7941176470588235,0.05555555555555555,0.75,13,1
successor,bm25_state,semantic_consistency_of_lexical_candidate,68,4,0.3125,0.06073503222523745,0.5245098039215685,0.3696146278580636,1.0,0,68,0.0,0.0,0.0,64,4
successor,bm25_state,top_candidate_agreement,68,4,0.611328125,0.12707961972667853,0.6640715109573245,0.5011364407354638,0.6470588235294118,68,0,1.0,0.058823529411764705,1.0,0,0
successor,exact_new_address,top_score,68,8,0.39375,0.15457976666204354,0.5173010380622838,0.480833163715313,0.45098039215686275,60,8,0.8823529411764706,0.11666666666666667,0.875,7,1
successor,exact_new_address,top1_top2_gap,68,8,0.42916666666666664,0.13967967928600358,0.6574394463667823,0.5599090847411632,0.6470588235294118,68,0,1.0,0.11764705882352941,1.0,0,0
successor,exact_new_address,referential_consistency_score,68,8,0.3958333333333333,0.1248321123321123,0.5083621683967705,0.3953626433272271,0.1568627450980392,62,6,0.9117647058823529,0.0967741935483871,0.75,4,2
successor,exact_new_address,semantic_consistency_of_lexical_candidate,68,8,0.4010416666666667,0.11246453580063585,0.4472318339100346,0.3584876857317321,0.3137254901960784,51,17,0.75,0.09803921568627451,0.625,14,3
successor,exact_new_address,top_candidate_agreement,68,8,0.5020833333333333,0.14933164375966662,0.5565167243367937,0.4488884365741683,0.43137254901960786,68,0,1.0,0.11764705882352941,1.0,0,0
successor,hybrid_state,top_score,68,9,0.4934086629001883,0.3270448529399936,0.41205305651672436,0.3024798154555941,0.7058823529411765,13,55,0.19117647058823528,0.15384615384615385,0.2222222222222222,48,7
successor,hybrid_state,top1_top2_gap,68,9,0.3907721280602637,0.14169483377739528,0.515282583621684,0.421461202704842,0.13725490196078433,63,5,0.9264705882352942,0.1111111111111111,0.7777777777777778,3,2
successor,hybrid_state,referential_consistency_score,68,9,0.4340866290018832,0.1409720627966754,0.45934256055363326,0.3745335504443993,0.5098039215686274,38,30,0.5588235294117647,0.13157894736842105,0.5555555555555556,26,4
successor,hybrid_state,semantic_consistency_of_lexical_candidate,68,9,0.5188323917137476,0.3418694135299458,0.36534025374855816,0.3133014451455321,0.6078431372549019,23,45,0.3382352941176471,0.17391304347826086,0.4444444444444444,40,5
successor,hybrid_state,top_candidate_agreement,68,9,0.4566854990583804,0.15745180391282732,0.497116493656286,0.42337788633331064,0.43137254901960786,59,9,0.8676470588235294,0.11864406779661017,0.7777777777777778,7,2
successor,native_semantic,top_score,68,8,0.7041666666666667,0.395905987394958,0.32006920415224915,0.2461949024130991,0.09803921568627451,64,4,0.9411764705882353,0.125,1.0,4,0
successor,native_semantic,top1_top2_gap,68,8,0.43645833333333334,0.14482475476468612,0.31805074971164937,0.249841689847796,0.4117647058823529,25,43,0.36764705882352944,0.12,0.375,38,5
successor,native_semantic,referential_consistency_score,68,8,0.540625,0.18371896302930785,0.3961937716262976,0.31472058258136015,0.2549019607843137,50,18,0.7352941176470589,0.1,0.625,15,3
successor,native_semantic,semantic_consistency_of_lexical_candidate,68,8,0.7041666666666667,0.395905987394958,0.32006920415224915,0.2461949024130991,0.09803921568627451,64,4,0.9411764705882353,0.125,1.0,4,0
successor,native_semantic,top_candidate_agreement,68,8,0.515625,0.15578596210578982,0.5896770472895041,0.47131759278105745,0.5882352941176471,68,0,1.0,0.11764705882352941,1.0,0,0
