protocol,case_id,seed,fan_in,budget_chunks,predecessor_recall,join_complete,selected_native_tokens,candidate_records,model_success,accounting_source
paper8-production-pra-oracle-scope-v1,join-capacity-4-s53,53,4,2,0.25,0,63,5,,encoded_native_chunk_spans
paper8-production-pra-oracle-scope-v1,join-capacity-4-s53,53,4,4,0.75,0,103,5,,encoded_native_chunk_spans
paper8-production-pra-oracle-scope-v1,join-capacity-4-s53,53,4,8,1.0,1,224,5,,encoded_native_chunk_spans
paper8-production-pra-oracle-scope-v1,join-capacity-4-s53,53,4,16,1.0,1,256,5,,encoded_native_chunk_spans
paper8-production-pra-oracle-scope-v1,join-capacity-4-s53,53,4,32,1.0,1,256,5,,encoded_native_chunk_spans
paper8-production-pra-oracle-scope-v1,join-capacity-4-s71,71,4,2,0.25,0,64,5,,encoded_native_chunk_spans
paper8-production-pra-oracle-scope-v1,join-capacity-4-s71,71,4,4,0.75,0,103,5,,encoded_native_chunk_spans
paper8-production-pra-oracle-scope-v1,join-capacity-4-s71,71,4,8,1.0,1,224,5,,encoded_native_chunk_spans
paper8-production-pra-oracle-scope-v1,join-capacity-4-s71,71,4,16,1.0,1,256,5,,encoded_native_chunk_spans
paper8-production-pra-oracle-scope-v1,join-capacity-4-s71,71,4,32,1.0,1,256,5,,encoded_native_chunk_spans
paper8-production-pra-oracle-scope-v1,join-capacity-8-s11,11,8,2,0.125,0,64,9,0,encoded_native_chunk_spans
paper8-production-pra-oracle-scope-v1,join-capacity-8-s11,11,8,4,0.375,0,109,9,0,encoded_native_chunk_spans
paper8-production-pra-oracle-scope-v1,join-capacity-8-s11,11,8,8,0.875,0,197,9,0,encoded_native_chunk_spans
paper8-production-pra-oracle-scope-v1,join-capacity-8-s11,11,8,16,1.0,1,437,9,,encoded_native_chunk_spans
paper8-production-pra-oracle-scope-v1,join-capacity-8-s11,11,8,32,1.0,1,469,9,,encoded_native_chunk_spans
paper8-production-pra-oracle-scope-v1,join-capacity-8-s23,23,8,2,0.125,0,63,9,,encoded_native_chunk_spans
paper8-production-pra-oracle-scope-v1,join-capacity-8-s23,23,8,4,0.375,0,108,9,,encoded_native_chunk_spans
paper8-production-pra-oracle-scope-v1,join-capacity-8-s23,23,8,8,0.875,0,186,9,,encoded_native_chunk_spans
paper8-production-pra-oracle-scope-v1,join-capacity-8-s23,23,8,16,1.0,1,436,9,,encoded_native_chunk_spans
paper8-production-pra-oracle-scope-v1,join-capacity-8-s23,23,8,32,1.0,1,468,9,,encoded_native_chunk_spans
paper8-production-pra-oracle-scope-v1,join-capacity-8-s37,37,8,2,0.125,0,63,9,,encoded_native_chunk_spans
paper8-production-pra-oracle-scope-v1,join-capacity-8-s37,37,8,4,0.375,0,109,9,,encoded_native_chunk_spans
paper8-production-pra-oracle-scope-v1,join-capacity-8-s37,37,8,8,0.875,0,197,9,,encoded_native_chunk_spans
paper8-production-pra-oracle-scope-v1,join-capacity-8-s37,37,8,16,1.0,1,436,9,,encoded_native_chunk_spans
paper8-production-pra-oracle-scope-v1,join-capacity-8-s37,37,8,32,1.0,1,468,9,,encoded_native_chunk_spans
paper8-production-pra-oracle-scope-v1,join-capacity-8-s53,53,8,2,0.125,0,63,9,,encoded_native_chunk_spans
paper8-production-pra-oracle-scope-v1,join-capacity-8-s53,53,8,4,0.375,0,110,9,,encoded_native_chunk_spans
paper8-production-pra-oracle-scope-v1,join-capacity-8-s53,53,8,8,0.875,0,199,9,,encoded_native_chunk_spans
paper8-production-pra-oracle-scope-v1,join-capacity-8-s53,53,8,16,1.0,1,438,9,,encoded_native_chunk_spans
paper8-production-pra-oracle-scope-v1,join-capacity-8-s53,53,8,32,1.0,1,479,9,,encoded_native_chunk_spans
paper8-production-pra-oracle-scope-v1,join-capacity-8-s71,71,8,2,0.125,0,64,9,,encoded_native_chunk_spans
paper8-production-pra-oracle-scope-v1,join-capacity-8-s71,71,8,4,0.375,0,110,9,,encoded_native_chunk_spans
paper8-production-pra-oracle-scope-v1,join-capacity-8-s71,71,8,8,0.875,0,199,9,,encoded_native_chunk_spans
paper8-production-pra-oracle-scope-v1,join-capacity-8-s71,71,8,16,1.0,1,438,9,,encoded_native_chunk_spans
paper8-production-pra-oracle-scope-v1,join-capacity-8-s71,71,8,32,1.0,1,470,9,,encoded_native_chunk_spans
paper8-production-pra-oracle-scope-v1,join-capacity-16-s11,11,16,2,0.0625,0,64,17,,encoded_native_chunk_spans
paper8-production-pra-oracle-scope-v1,join-capacity-16-s11,11,16,4,0.1875,0,126,17,,encoded_native_chunk_spans
paper8-production-pra-oracle-scope-v1,join-capacity-16-s11,11,16,8,0.4375,0,218,17,,encoded_native_chunk_spans
paper8-production-pra-oracle-scope-v1,join-capacity-16-s11,11,16,16,0.8125,0,433,17,,encoded_native_chunk_spans
paper8-production-pra-oracle-scope-v1,join-capacity-16-s11,11,16,32,1.0,1,899,17,,encoded_native_chunk_spans
paper8-production-pra-oracle-scope-v1,join-capacity-16-s23,23,16,2,0.0625,0,63,17,,encoded_native_chunk_spans
paper8-production-pra-oracle-scope-v1,join-capacity-16-s23,23,16,4,0.1875,0,125,17,,encoded_native_chunk_spans
paper8-production-pra-oracle-scope-v1,join-capacity-16-s23,23,16,8,0.4375,0,217,17,,encoded_native_chunk_spans
paper8-production-pra-oracle-scope-v1,join-capacity-16-s23,23,16,16,0.875,0,416,17,,encoded_native_chunk_spans
paper8-production-pra-oracle-scope-v1,join-capacity-16-s23,23,16,32,1.0,1,900,17,,encoded_native_chunk_spans
paper8-production-pra-oracle-scope-v1,join-capacity-16-s37,37,16,2,0.0625,0,63,17,,encoded_native_chunk_spans
paper8-production-pra-oracle-scope-v1,join-capacity-16-s37,37,16,4,0.1875,0,126,17,,encoded_native_chunk_spans
paper8-production-pra-oracle-scope-v1,join-capacity-16-s37,37,16,8,0.4375,0,218,17,,encoded_native_chunk_spans
paper8-production-pra-oracle-scope-v1,join-capacity-16-s37,37,16,16,0.75,0,439,17,,encoded_native_chunk_spans
paper8-production-pra-oracle-scope-v1,join-capacity-16-s37,37,16,32,1.0,1,898,17,,encoded_native_chunk_spans
paper8-production-pra-oracle-scope-v1,join-capacity-16-s53,53,16,2,0.0625,0,63,17,,encoded_native_chunk_spans
paper8-production-pra-oracle-scope-v1,join-capacity-16-s53,53,16,4,0.1875,0,126,17,,encoded_native_chunk_spans
paper8-production-pra-oracle-scope-v1,join-capacity-16-s53,53,16,8,0.4375,0,219,17,,encoded_native_chunk_spans
paper8-production-pra-oracle-scope-v1,join-capacity-16-s53,53,16,16,0.8125,0,441,17,,encoded_native_chunk_spans
paper8-production-pra-oracle-scope-v1,join-capacity-16-s53,53,16,32,1.0,1,903,17,,encoded_native_chunk_spans
paper8-production-pra-oracle-scope-v1,join-capacity-16-s71,71,16,2,0.0625,0,64,17,,encoded_native_chunk_spans
paper8-production-pra-oracle-scope-v1,join-capacity-16-s71,71,16,4,0.1875,0,127,17,,encoded_native_chunk_spans
paper8-production-pra-oracle-scope-v1,join-capacity-16-s71,71,16,8,0.4375,0,219,17,,encoded_native_chunk_spans
paper8-production-pra-oracle-scope-v1,join-capacity-16-s71,71,16,16,0.8125,0,439,17,,encoded_native_chunk_spans
paper8-production-pra-oracle-scope-v1,join-capacity-16-s71,71,16,32,1.0,1,899,17,,encoded_native_chunk_spans
paper8-production-pra-oracle-scope-v1,join-capacity-32-s11,11,32,2,0.03125,0,64,33,,encoded_native_chunk_spans
paper8-production-pra-oracle-scope-v1,join-capacity-32-s11,11,32,4,0.09375,0,126,33,,encoded_native_chunk_spans
paper8-production-pra-oracle-scope-v1,join-capacity-32-s11,11,32,8,0.21875,0,254,33,,encoded_native_chunk_spans
paper8-production-pra-oracle-scope-v1,join-capacity-32-s11,11,32,16,0.46875,0,451,33,,encoded_native_chunk_spans
paper8-production-pra-oracle-scope-v1,join-capacity-32-s11,11,32,32,0.71875,0,932,33,,encoded_native_chunk_spans
paper8-production-pra-oracle-scope-v1,join-capacity-32-s23,23,32,2,0.03125,0,63,33,,encoded_native_chunk_spans
paper8-production-pra-oracle-scope-v1,join-capacity-32-s23,23,32,4,0.09375,0,125,33,,encoded_native_chunk_spans
paper8-production-pra-oracle-scope-v1,join-capacity-32-s23,23,32,8,0.21875,0,253,33,,encoded_native_chunk_spans
paper8-production-pra-oracle-scope-v1,join-capacity-32-s23,23,32,16,0.46875,0,441,33,,encoded_native_chunk_spans
paper8-production-pra-oracle-scope-v1,join-capacity-32-s23,23,32,32,0.75,0,893,33,,encoded_native_chunk_spans
paper8-production-pra-oracle-scope-v1,join-capacity-32-s37,37,32,2,0.03125,0,59,33,,encoded_native_chunk_spans
paper8-production-pra-oracle-scope-v1,join-capacity-32-s37,37,32,4,0.09375,0,122,33,,encoded_native_chunk_spans
paper8-production-pra-oracle-scope-v1,join-capacity-32-s37,37,32,8,0.21875,0,249,33,,encoded_native_chunk_spans
paper8-production-pra-oracle-scope-v1,join-capacity-32-s37,37,32,16,0.46875,0,453,33,,encoded_native_chunk_spans
paper8-production-pra-oracle-scope-v1,join-capacity-32-s37,37,32,32,0.75,0,918,33,,encoded_native_chunk_spans
paper8-production-pra-oracle-scope-v1,join-capacity-32-s53,53,32,2,0.03125,0,63,33,,encoded_native_chunk_spans
paper8-production-pra-oracle-scope-v1,join-capacity-32-s53,53,32,4,0.09375,0,126,33,,encoded_native_chunk_spans
paper8-production-pra-oracle-scope-v1,join-capacity-32-s53,53,32,8,0.21875,0,254,33,,encoded_native_chunk_spans
paper8-production-pra-oracle-scope-v1,join-capacity-32-s53,53,32,16,0.46875,0,454,33,,encoded_native_chunk_spans
paper8-production-pra-oracle-scope-v1,join-capacity-32-s53,53,32,32,0.78125,0,911,33,,encoded_native_chunk_spans
paper8-production-pra-oracle-scope-v1,join-capacity-32-s71,71,32,2,0.03125,0,64,33,,encoded_native_chunk_spans
paper8-production-pra-oracle-scope-v1,join-capacity-32-s71,71,32,4,0.09375,0,123,33,,encoded_native_chunk_spans
paper8-production-pra-oracle-scope-v1,join-capacity-32-s71,71,32,8,0.21875,0,250,33,,encoded_native_chunk_spans
paper8-production-pra-oracle-scope-v1,join-capacity-32-s71,71,32,16,0.46875,0,454,33,,encoded_native_chunk_spans
paper8-production-pra-oracle-scope-v1,join-capacity-32-s71,71,32,32,0.71875,0,940,33,,encoded_native_chunk_spans
