case_id,configuration,scope_condition,chunk_budget,required_record_recall,selected_native_tokens,prompt_tokens,accounting_source
linear_dependency-high-s23,local_deep,PRA_TASK_LOCAL,8,0.5,63,82,production_encoded_chunk_spans
join-high-s37,session_shallow,PRA_SESSION,2,0.3333333333333333,64,82,production_encoded_chunk_spans
join-high-s37,structural_selected,PRA_TASK_STRUCT,4,0.6666666666666666,115,82,production_encoded_chunk_spans
join-high-s37,structural_native,PRA_TASK_STRUCT,8,1.0,218,82,production_encoded_chunk_spans
join-high-s37,local_deep,PRA_TASK_LOCAL,8,0.0,74,82,production_encoded_chunk_spans
resumption-high-s53,session_shallow,PRA_SESSION,2,0.0,64,76,production_encoded_chunk_spans
resumption-high-s53,structural_selected,PRA_TASK_STRUCT,4,1.0,46,76,production_encoded_chunk_spans
resumption-high-s53,structural_native,PRA_TASK_STRUCT,8,1.0,46,76,production_encoded_chunk_spans
resumption-high-s53,local_deep,PRA_TASK_LOCAL,8,1.0,46,76,production_encoded_chunk_spans
conflicting_state-high-s71,session_shallow,PRA_SESSION,2,1.0,64,74,production_encoded_chunk_spans
conflicting_state-high-s71,structural_selected,PRA_TASK_STRUCT,4,1.0,49,74,production_encoded_chunk_spans
conflicting_state-high-s71,structural_native,PRA_TASK_STRUCT,8,1.0,49,74,production_encoded_chunk_spans
conflicting_state-high-s71,local_deep,PRA_TASK_LOCAL,8,1.0,49,74,production_encoded_chunk_spans
