protocol,case_id,seed,scenario,confusability,condition,router,scope_policy,candidate_records,selected_records,required_record_recall,cross_task_contamination,evidence_selected,evidence_materialized,active_native_tokens,routing_seconds,oracle_task_graph,selected_chunks,required_records,evidence_available,prompt_tokens,candidate_native_tokens,requested_native_tokens,routing_index_bytes,resident_detail_kv_bytes,post_materialization_routing_index_bytes,post_materialization_resident_detail_kv_bytes,index_seconds,query_encoding_seconds,materialization_seconds,materialized_bytes,generation_seconds,top_k
paper8-production-pra-oracle-scope-v1,conflicting_state-low-s71,71,conflicting_state,low,PRA_TASK_LOCAL,paper7_native_hybrid,task_local,1,1,1.0,0.0,1,1,0,0.15668149990960956,1,2,1,1,74,50,50,4096,204800,38912,2387968,0.19089580001309514,0.10696869995445013,1.0518012999091297,909,0.0,8
paper8-production-pra-oracle-scope-v1,conflicting_state-low-s71,71,conflicting_state,low,PRA_TASK_STRUCT_LEXICAL,lexical_recency_control,task_structural,1,1,1.0,0.0,1,0,0,0.0005410998128354549,,,,,,,,,,,,,,,,,
paper8-production-pra-oracle-scope-v1,conflicting_state-low-s71,71,conflicting_state,low,PRA_TASK_STRUCT,paper7_native_hybrid,task_structural,1,1,1.0,0.0,1,1,0,0.11121500004082918,1,2,1,1,74,50,50,4096,204800,38912,2412544,0.21736250002868474,0.1704311000648886,1.0782727000769228,909,0.0,8
paper8-production-pra-oracle-scope-v1,independent_parallel-medium-s11,11,independent_parallel,medium,PRA_SESSION_LEXICAL,lexical_recency_control,session,8,8,1.0,0.875,1,0,0,0.00018099998123943806,,,,,,,,,,,,,,,,,
paper8-production-pra-oracle-scope-v1,independent_parallel-medium-s11,11,independent_parallel,medium,PRA_SESSION,paper7_native_hybrid,session,8,7,1.0,0.8571428571428571,1,1,0,0.30657769995741546,1,8,1,1,73,430,252,32768,1761280,202752,12201984,1.8027293998748064,0.18718179990537465,5.588355700019747,4425,0.0,8
paper8-production-pra-oracle-scope-v1,independent_parallel-medium-s11,11,independent_parallel,medium,PRA_TASK_LOCAL_LEXICAL,lexical_recency_control,task_local,1,1,1.0,0.0,1,0,0,0.0002615000121295452,,,,,,,,,,,,,,,,,
paper8-production-pra-oracle-scope-v1,independent_parallel-medium-s11,11,independent_parallel,medium,PRA_TASK_LOCAL,paper7_native_hybrid,task_local,1,1,1.0,0.0,1,1,0,0.1283288998529315,1,2,1,1,73,60,60,4096,245760,38912,2457600,0.1897766999900341,0.15294159995391965,1.0368715000804514,950,0.0,8
paper8-production-pra-oracle-scope-v1,independent_parallel-medium-s11,11,independent_parallel,medium,PRA_TASK_STRUCT_LEXICAL,lexical_recency_control,task_structural,1,1,1.0,0.0,1,0,0,0.001697799889370799,,,,,,,,,,,,,,,,,
paper8-production-pra-oracle-scope-v1,independent_parallel-medium-s11,11,independent_parallel,medium,PRA_TASK_STRUCT,paper7_native_hybrid,task_structural,1,1,1.0,0.0,1,1,0,0.1049838000908494,1,2,1,1,73,60,60,4096,245760,40960,2551808,0.2162180000450462,0.18005319987423718,1.0850902998354286,950,0.0,8
paper8-production-pra-oracle-scope-v1,linear_dependency-medium-s23,23,linear_dependency,medium,PRA_SESSION_LEXICAL,lexical_recency_control,session,8,8,1.0,0.75,1,0,0,0.00032049999572336674,,,,,,,,,,,,,,,,,
paper8-production-pra-oracle-scope-v1,linear_dependency-medium-s23,23,linear_dependency,medium,PRA_SESSION,paper7_native_hybrid,session,8,8,1.0,0.75,1,0,0,0.2763960000593215,1,8,2,0,79,428,256,32768,1753088,212992,12984320,1.9218596001155674,0.17488870001398027,6.125156800029799,4663,0.0,8
paper8-production-pra-oracle-scope-v1,linear_dependency-medium-s23,23,linear_dependency,medium,PRA_TASK_LOCAL_LEXICAL,lexical_recency_control,task_local,1,1,0.5,0.0,0,0,0,0.000282099936157465,,,,,,,,,,,,,,,,,
paper8-production-pra-oracle-scope-v1,linear_dependency-medium-s23,23,linear_dependency,medium,PRA_TASK_LOCAL,paper7_native_hybrid,task_local,1,1,0.5,0.0,0,0,0,0.11495499988086522,1,2,2,0,79,61,61,4096,249856,38912,2441216,0.28918109997175634,0.1709749000146985,1.0524496000725776,946,0.0,8
paper8-production-pra-oracle-scope-v1,linear_dependency-medium-s23,23,linear_dependency,medium,PRA_TASK_STRUCT_LEXICAL,lexical_recency_control,task_structural,2,2,1.0,0.0,1,0,0,0.0002836999483406544,,,,,,,,,,,,,,,,,
paper8-production-pra-oracle-scope-v1,linear_dependency-medium-s23,23,linear_dependency,medium,PRA_TASK_STRUCT,paper7_native_hybrid,task_structural,2,2,1.0,0.0,1,1,0,0.15340870013460517,1,4,2,1,79,110,110,8192,450560,77824,4771840,0.45211529987864196,0.18267620005644858,2.13226559991017,1846,0.0,8
paper8-production-pra-oracle-scope-v1,join-medium-s37,37,join,medium,PRA_SESSION_LEXICAL,lexical_recency_control,session,8,8,1.0,0.5,1,0,0,0.0002758998889476061,,,,,,,,,,,,,,,,,
paper8-production-pra-oracle-scope-v1,join-medium-s37,37,join,medium,PRA_SESSION,paper7_native_hybrid,session,8,6,0.3333333333333333,0.6666666666666666,0,0,0,0.25550359999760985,1,8,3,0,79,422,250,32768,1728512,198656,12005376,1.6689153001643717,0.1855401999782771,5.24567690002732,4201,0.0,8
paper8-production-pra-oracle-scope-v1,join-medium-s37,37,join,medium,PRA_TASK_LOCAL_LEXICAL,lexical_recency_control,task_local,1,1,0.0,0.0,0,0,0,0.0003948998637497425,,,,,,,,,,,,,,,,,
paper8-production-pra-oracle-scope-v1,join-medium-s37,37,join,medium,PRA_TASK_LOCAL,paper7_native_hybrid,task_local,1,1,0.0,0.0,0,0,0,0.14767970005050302,1,2,3,0,79,61,61,4096,249856,40960,2523136,0.2094785999506712,0.13780379993841052,1.0845484999008477,947,0.0,8
paper8-production-pra-oracle-scope-v1,join-medium-s37,37,join,medium,PRA_TASK_STRUCT_LEXICAL,lexical_recency_control,task_structural,4,4,1.0,0.0,1,0,0,0.00043020001612603664,,,,,,,,,,,,,,,,,
paper8-production-pra-oracle-scope-v1,join-medium-s37,37,join,medium,PRA_TASK_STRUCT,paper7_native_hybrid,task_structural,4,4,1.0,0.0,1,1,0,0.20656840014271438,1,8,3,1,79,210,210,16384,860160,151552,9388032,0.8757706000469625,0.18086710013449192,4.12980469991453,3603,0.0,8
paper8-production-pra-oracle-scope-v1,resumption-medium-s53,53,resumption,medium,PRA_SESSION_LEXICAL,lexical_recency_control,session,8,8,1.0,0.875,1,0,0,0.00018860003910958767,,,,,,,,,,,,,,,,,
paper8-production-pra-oracle-scope-v1,resumption-medium-s53,53,resumption,medium,PRA_SESSION,paper7_native_hybrid,session,8,6,1.0,0.8333333333333334,1,1,0,0.24199020001105964,1,8,1,1,73,429,233,32768,1757184,192512,11726848,1.8023387999273837,0.17622380005195737,5.1250135998707265,4119,0.0,8
paper8-production-pra-oracle-scope-v1,resumption-medium-s53,53,resumption,medium,PRA_TASK_LOCAL_LEXICAL,lexical_recency_control,task_local,1,1,1.0,0.0,1,0,0,0.0002888001035898924,,,,,,,,,,,,,,,,,
paper8-production-pra-oracle-scope-v1,resumption-medium-s53,53,resumption,medium,PRA_TASK_LOCAL,paper7_native_hybrid,task_local,1,1,1.0,0.0,1,1,0,0.12037450005300343,1,2,1,1,73,44,44,4096,180224,36864,2150400,0.24152879999019206,0.16762489988468587,0.9576263998169452,871,0.0,8
paper8-production-pra-oracle-scope-v1,resumption-medium-s53,53,resumption,medium,PRA_TASK_STRUCT_LEXICAL,lexical_recency_control,task_structural,1,1,1.0,0.0,1,0,0,0.0002998998388648033,,,,,,,,,,,,,,,,,
paper8-production-pra-oracle-scope-v1,resumption-medium-s53,53,resumption,medium,PRA_TASK_STRUCT,paper7_native_hybrid,task_structural,1,1,1.0,0.0,1,1,0,0.0853957999497652,1,2,1,1,73,44,44,4096,180224,36864,2199552,0.2270050998777151,0.19809409999288619,0.9929082999005914,871,0.0,8
paper8-production-pra-oracle-scope-v1,conflicting_state-medium-s71,71,conflicting_state,medium,PRA_SESSION_LEXICAL,lexical_recency_control,session,8,8,1.0,0.875,1,0,0,0.00022799987345933914,,,,,,,,,,,,,,,,,
paper8-production-pra-oracle-scope-v1,conflicting_state-medium-s71,71,conflicting_state,medium,PRA_SESSION,paper7_native_hybrid,session,8,6,1.0,0.8333333333333334,1,0,0,0.3012734001968056,1,8,1,0,74,431,253,32768,1765376,198656,12029952,1.809734599897638,0.1756374998949468,5.096692000050098,4283,0.0,8
paper8-production-pra-oracle-scope-v1,conflicting_state-medium-s71,71,conflicting_state,medium,PRA_TASK_LOCAL_LEXICAL,lexical_recency_control,task_local,1,1,1.0,0.0,1,0,0,0.00033510010689496994,,,,,,,,,,,,,,,,,
paper8-production-pra-oracle-scope-v1,conflicting_state-medium-s71,71,conflicting_state,medium,PRA_TASK_LOCAL,paper7_native_hybrid,task_local,1,1,1.0,0.0,1,1,0,0.12572470004670322,1,2,1,1,74,49,49,4096,200704,38912,2428928,0.19995949999429286,0.15334880002774298,1.0831063999794424,909,0.0,8
paper8-production-pra-oracle-scope-v1,conflicting_state-medium-s71,71,conflicting_state,medium,PRA_TASK_STRUCT_LEXICAL,lexical_recency_control,task_structural,1,1,1.0,0.0,1,0,0,0.0005479000974446535,,,,,,,,,,,,,,,,,
paper8-production-pra-oracle-scope-v1,conflicting_state-medium-s71,71,conflicting_state,medium,PRA_TASK_STRUCT,paper7_native_hybrid,task_structural,1,1,1.0,0.0,1,1,0,0.1392573998309672,1,2,1,1,74,49,49,4096,200704,38912,2416640,0.1968008999247104,0.12867100001312792,1.1009881999343634,909,0.0,8
paper8-production-pra-oracle-scope-v1,independent_parallel-high-s11,11,independent_parallel,high,PRA_SESSION_LEXICAL,lexical_recency_control,session,8,8,1.0,0.875,1,0,0,0.00025100004859268665,,,,,,,,,,,,,,,,,
paper8-production-pra-oracle-scope-v1,independent_parallel-high-s11,11,independent_parallel,high,PRA_SESSION,paper7_native_hybrid,session,8,6,1.0,0.8333333333333334,1,0,0,0.3120741001330316,1,8,1,0,76,443,232,32768,1814528,194560,11857920,1.7866956999059767,0.16945069981738925,5.197447299957275,4150,0.0,8
paper8-production-pra-oracle-scope-v1,independent_parallel-high-s11,11,independent_parallel,high,PRA_TASK_LOCAL_LEXICAL,lexical_recency_control,task_local,1,1,1.0,0.0,1,0,0,0.00040900008752942085,,,,,,,,,,,,,,,,,
paper8-production-pra-oracle-scope-v1,independent_parallel-high-s11,11,independent_parallel,high,PRA_TASK_LOCAL,paper7_native_hybrid,task_local,1,1,1.0,0.0,1,1,0,0.11443860013969243,1,2,1,1,76,64,64,4096,262144,40960,2572288,0.2513814000412822,0.21072880015708506,1.1358533001039177,975,0.0,8
paper8-production-pra-oracle-scope-v1,independent_parallel-high-s11,11,independent_parallel,high,PRA_TASK_STRUCT_LEXICAL,lexical_recency_control,task_structural,1,1,1.0,0.0,1,0,0,0.0004539000801742077,,,,,,,,,,,,,,,,,
paper8-production-pra-oracle-scope-v1,independent_parallel-high-s11,11,independent_parallel,high,PRA_TASK_STRUCT,paper7_native_hybrid,task_structural,1,1,1.0,0.0,1,1,0,0.1357827999163419,1,2,1,1,76,64,64,4096,262144,40960,2560000,0.22588479984551668,0.1457197000272572,1.1206276998855174,975,0.0,8
paper8-production-pra-oracle-scope-v1,linear_dependency-high-s23,23,linear_dependency,high,PRA_SESSION_LEXICAL,lexical_recency_control,session,8,8,1.0,0.75,1,0,0,0.0002258999738842249,,,,,,,,,,,,,,,,,
paper8-production-pra-oracle-scope-v1,linear_dependency-high-s23,23,linear_dependency,high,PRA_SESSION,paper7_native_hybrid,session,8,6,1.0,0.6666666666666666,1,0,0,0.30926029989495873,1,8,2,0,82,444,231,32768,1818624,192512,11849728,1.9221095000393689,0.1879847999662161,5.2611941001378,4146,0.0,8
paper8-production-pra-oracle-scope-v1,linear_dependency-high-s23,23,linear_dependency,high,PRA_TASK_LOCAL_LEXICAL,lexical_recency_control,task_local,1,1,0.5,0.0,0,0,0,0.000273900106549263,,,,,,,,,,,,,,,,,
paper8-production-pra-oracle-scope-v1,linear_dependency-high-s23,23,linear_dependency,high,PRA_TASK_LOCAL,paper7_native_hybrid,task_local,1,1,0.5,0.0,0,0,0,0.13006999995559454,1,2,2,0,82,63,63,4096,258048,38912,2457600,0.2314512999728322,0.16195080010220408,1.0731436000205576,975,0.0,8
paper8-production-pra-oracle-scope-v1,linear_dependency-high-s23,23,linear_dependency,high,PRA_TASK_STRUCT_LEXICAL,lexical_recency_control,task_structural,2,2,1.0,0.0,1,0,0,0.00027139997109770775,,,,,,,,,,,,,,,,,
paper8-production-pra-oracle-scope-v1,linear_dependency-high-s23,23,linear_dependency,high,PRA_TASK_STRUCT,paper7_native_hybrid,task_structural,2,2,1.0,0.0,1,1,0,0.1324112000875175,1,4,2,1,82,114,114,8192,466944,77824,4898816,0.43839389993809164,0.1883041998371482,2.2130519999191165,1875,0.0,8
paper8-production-pra-oracle-scope-v1,join-high-s37,37,join,high,PRA_SESSION_LEXICAL,lexical_recency_control,session,8,8,1.0,0.5,1,0,0,0.0003737998194992542,,,,,,,,,,,,,,,,,
paper8-production-pra-oracle-scope-v1,join-high-s37,37,join,high,PRA_SESSION,paper7_native_hybrid,session,8,6,0.6666666666666666,0.5,0,0,0,0.3154044998809695,1,8,3,0,82,460,232,36864,1884160,196608,11800576,1.8473475999198854,0.16858420008793473,5.333469700068235,4138,0.0,8
paper8-production-pra-oracle-scope-v1,join-high-s37,37,join,high,PRA_TASK_LOCAL_LEXICAL,lexical_recency_control,task_local,1,1,0.0,0.0,0,0,0,0.00039330008439719677,,,,,,,,,,,,,,,,,
paper8-production-pra-oracle-scope-v1,join-high-s37,37,join,high,PRA_TASK_LOCAL,paper7_native_hybrid,task_local,1,1,0.0,0.0,0,0,0,0.14375780010595918,1,3,3,0,82,74,74,6144,303104,53248,3231744,0.216624999884516,0.1679375001695007,1.3670300000812858,1228,0.0,8
paper8-production-pra-oracle-scope-v1,join-high-s37,37,join,high,PRA_TASK_STRUCT_LEXICAL,lexical_recency_control,task_structural,4,4,1.0,0.0,1,0,0,0.00030099996365606785,,,,,,,,,,,,,,,,,
paper8-production-pra-oracle-scope-v1,join-high-s37,37,join,high,PRA_TASK_STRUCT,paper7_native_hybrid,task_structural,4,4,1.0,0.0,1,0,0,0.2172616000752896,1,8,3,0,82,228,203,18432,933888,155648,9543680,0.9857317998539656,0.17826079996302724,4.354669499909505,3575,0.0,8
paper8-production-pra-oracle-scope-v1,resumption-high-s53,53,resumption,high,PRA_SESSION_LEXICAL,lexical_recency_control,session,8,8,1.0,0.875,1,0,0,0.0001633001957088709,,,,,,,,,,,,,,,,,
paper8-production-pra-oracle-scope-v1,resumption-high-s53,53,resumption,high,PRA_SESSION,paper7_native_hybrid,session,8,6,1.0,0.8333333333333334,1,0,0,0.2997913998551667,1,8,1,0,76,445,233,32768,1822720,192512,11714560,1.8449892001226544,0.17961709992960095,5.403578599914908,4142,0.0,8
paper8-production-pra-oracle-scope-v1,resumption-high-s53,53,resumption,high,PRA_TASK_LOCAL_LEXICAL,lexical_recency_control,task_local,1,1,1.0,0.0,1,0,0,0.00032829982228577137,,,,,,,,,,,,,,,,,
paper8-production-pra-oracle-scope-v1,resumption-high-s53,53,resumption,high,PRA_TASK_LOCAL,paper7_native_hybrid,task_local,1,1,1.0,0.0,1,1,0,0.10940079996362329,1,2,1,1,76,46,46,4096,188416,36864,2240512,0.2216503000818193,0.1823625999968499,1.1069990999531,874,0.0,8
paper8-production-pra-oracle-scope-v1,resumption-high-s53,53,resumption,high,PRA_TASK_STRUCT_LEXICAL,lexical_recency_control,task_structural,1,1,1.0,0.0,1,0,0,0.0003684000112116337,,,,,,,,,,,,,,,,,
paper8-production-pra-oracle-scope-v1,resumption-high-s53,53,resumption,high,PRA_TASK_STRUCT,paper7_native_hybrid,task_structural,1,1,1.0,0.0,1,1,0,0.11082020006142557,1,2,1,1,76,46,46,4096,188416,36864,2277376,0.24200779991224408,0.2013059000018984,1.0609981999732554,874,0.0,8
paper8-production-pra-oracle-scope-v1,conflicting_state-high-s71,71,conflicting_state,high,PRA_SESSION_LEXICAL,lexical_recency_control,session,8,8,1.0,0.875,1,0,0,0.00020870007574558258,,,,,,,,,,,,,,,,,
paper8-production-pra-oracle-scope-v1,conflicting_state-high-s71,71,conflicting_state,high,PRA_SESSION,paper7_native_hybrid,session,8,6,1.0,0.8333333333333334,1,0,0,0.27731899986974895,1,8,1,0,74,432,253,32768,1769472,192512,11816960,1.8567703000735492,0.18322100001387298,5.288406300125644,4283,0.0,8
paper8-production-pra-oracle-scope-v1,conflicting_state-high-s71,71,conflicting_state,high,PRA_TASK_LOCAL_LEXICAL,lexical_recency_control,task_local,1,1,1.0,0.0,1,0,0,0.000327700050547719,,,,,,,,,,,,,,,,,
paper8-production-pra-oracle-scope-v1,conflicting_state-high-s71,71,conflicting_state,high,PRA_TASK_LOCAL,paper7_native_hybrid,task_local,1,1,1.0,0.0,1,1,0,0.09196630003862083,1,2,1,1,74,49,49,4096,200704,38912,2355200,0.22084750002250075,0.27112779999151826,1.1399651998654008,909,0.0,8
paper8-production-pra-oracle-scope-v1,conflicting_state-high-s71,71,conflicting_state,high,PRA_TASK_STRUCT_LEXICAL,lexical_recency_control,task_structural,1,1,1.0,0.0,1,0,0,0.00028680008836090565,,,,,,,,,,,,,,,,,
paper8-production-pra-oracle-scope-v1,conflicting_state-high-s71,71,conflicting_state,high,PRA_TASK_STRUCT,paper7_native_hybrid,task_structural,1,1,1.0,0.0,1,1,0,0.08067760011181235,1,2,1,1,74,49,49,4096,200704,38912,2367488,0.3788461999502033,0.20247619994916022,1.0512292999774218,909,0.0,8
