active_native_kv_tokens,backend,comparisons,consumer_layers,cpu_reference_bytes,device,dtype,encode_granularity_tokens,evidence_recall,gpu_active_kv_bytes,h2d_bytes,index_build_seconds,layer_token_kv_states,logical_to_active_ratio,logical_tokens,materialize_granularity_tokens,measured,measurement_scope,memory_nodes,path_recall,peak_device_bytes,probes,queries_per_second,requested_active_kv_tokens,root_recall,routing_index_bytes,search_granularity_tokens,search_latency_p50_seconds,search_latency_p95_seconds,seed,task_accuracy,total_layers,training_regime
32,coarse_to_fine,1024,2,524288,cuda,float32,32,1.0,32768,32768,0.005381800001487136,64,4096.0,131072,8,True,controlled fixed-working-set retrieval,4096,1.0,12838400,1,3893.891373769331,32,1.0,1064960,32,0.002054500044323504,0.0026628399500623345,17,1.0,8,PRA-native routing surrogate; no LM checkpoint
32,coarse_to_fine,2560,2,524288,cuda,float32,32,1.0,32768,32768,0.005381800001487136,64,4096.0,131072,8,True,controlled fixed-working-set retrieval,4096,1.0,12838400,4,3772.161299987144,32,1.0,1064960,32,0.002120800083503127,0.0028196800267323847,17,1.0,8,PRA-native routing surrogate; no LM checkpoint
32,coarse_to_fine,8704,2,524288,cuda,float32,32,1.0,32768,32768,0.005381800001487136,64,4096.0,131072,8,True,controlled fixed-working-set retrieval,4096,1.0,12838400,16,3015.3406066839534,32,1.0,1064960,32,0.002653099945746362,0.0028171300305984913,17,1.0,8,PRA-native routing surrogate; no LM checkpoint
64,exact_gemm,32768,2,524288,cuda,float32,32,1.0,65536,65536,0.005381800001487136,128,2048.0,131072,8,True,controlled fixed-working-set retrieval,4096,1.0,12838400,64,28001.40364053617,64,1.0,1064960,32,0.0002856999635696411,0.0002949800342321396,17,1.0,8,PRA-native routing surrogate; no LM checkpoint
64,coarse_to_fine,1024,2,524288,cuda,float32,32,1.0,65536,65536,0.005381800001487136,128,2048.0,131072,8,True,controlled fixed-working-set retrieval,4096,1.0,12838400,1,3881.6109110699335,64,1.0,1064960,32,0.002060999977402389,0.002432790014427155,17,1.0,8,PRA-native routing surrogate; no LM checkpoint
64,coarse_to_fine,2560,2,524288,cuda,float32,32,1.0,65536,65536,0.005381800001487136,128,2048.0,131072,8,True,controlled fixed-working-set retrieval,4096,1.0,12838400,4,3862.681782578262,64,1.0,1064960,32,0.0020710999378934503,0.002589669998269528,17,1.0,8,PRA-native routing surrogate; no LM checkpoint
64,coarse_to_fine,8704,2,524288,cuda,float32,32,1.0,65536,65536,0.005381800001487136,128,2048.0,131072,8,True,controlled fixed-working-set retrieval,4096,1.0,12838400,16,3748.301632579971,64,1.0,1064960,32,0.002134299953468144,0.0023906599381007254,17,1.0,8,PRA-native routing surrogate; no LM checkpoint
128,exact_gemm,32768,2,524288,cuda,float32,32,1.0,131072,131072,0.005381800001487136,256,1024.0,131072,8,True,controlled fixed-working-set retrieval,4096,1.0,12838400,64,27624.310034590948,128,1.0,1064960,32,0.00028959999326616526,0.0003137200139462948,17,1.0,8,PRA-native routing surrogate; no LM checkpoint
128,coarse_to_fine,1024,2,524288,cuda,float32,32,1.0,131072,131072,0.005381800001487136,256,1024.0,131072,8,True,controlled fixed-working-set retrieval,4096,1.0,12838400,1,3179.5239291071807,128,1.0,1064960,32,0.002516099950298667,0.003612559975590556,17,1.0,8,PRA-native routing surrogate; no LM checkpoint
128,coarse_to_fine,2560,2,524288,cuda,float32,32,1.0,131072,131072,0.005381800001487136,256,1024.0,131072,8,True,controlled fixed-working-set retrieval,4096,1.0,12838400,4,3164.9324990104906,128,1.0,1064960,32,0.00252770003862679,0.0029233200359158216,17,1.0,8,PRA-native routing surrogate; no LM checkpoint
128,coarse_to_fine,8704,2,524288,cuda,float32,32,1.0,131072,131072,0.005381800001487136,256,1024.0,131072,8,True,controlled fixed-working-set retrieval,4096,1.0,12838400,16,3782.148187147313,128,1.0,1064960,32,0.0021152000408619642,0.0024580600205808874,17,1.0,8,PRA-native routing surrogate; no LM checkpoint
256,exact_gemm,32768,2,524288,cuda,float32,32,1.0,262144,262144,0.005381800001487136,512,512.0,131072,8,True,controlled fixed-working-set retrieval,4096,1.0,12838400,64,29940.113538027326,256,1.0,1064960,32,0.0002672000555321574,0.00027906994801014663,17,1.0,8,PRA-native routing surrogate; no LM checkpoint
256,coarse_to_fine,1024,2,524288,cuda,float32,32,1.0,262144,262144,0.005381800001487136,512,512.0,131072,8,True,controlled fixed-working-set retrieval,4096,1.0,12838400,1,3895.4084357775355,256,1.0,1064960,32,0.0020536999218165874,0.002448889974039048,17,1.0,8,PRA-native routing surrogate; no LM checkpoint
