concurrency,device,end_to_end_throughput,logical_tokens,measured,measurement_scope,memory_nodes,routing_latency_p50_seconds,routing_latency_p95_seconds,routing_queries_per_second,seed,tpot_seconds,ttft_seconds
8,cuda,,131072,True,routing-only batched GEMM; not end-to-end serving,4096,0.0002528000622987747,0.00039804999250918626,31645.561821678297,29,,
1,cuda,,524288,True,routing-only batched GEMM; not end-to-end serving,16384,0.00045220006722956896,0.0004642299609258771,2211.410551366258,29,,
4,cuda,,524288,True,routing-only batched GEMM; not end-to-end serving,16384,0.0005387000273913145,0.000721440021879971,7425.282711363924,29,,
8,cuda,,524288,True,routing-only batched GEMM; not end-to-end serving,16384,0.0006443000165745616,0.0007172499783337116,12416.575809717056,29,,
1,cuda,,2097152,True,routing-only batched GEMM; not end-to-end serving,65536,0.0011194999096915126,0.0012313400162383913,893.2559898781575,29,,
4,cuda,,2097152,True,routing-only batched GEMM; not end-to-end serving,65536,0.0016540000215172768,0.0017578199971467257,2418.3796541493684,29,,
8,cuda,,2097152,True,routing-only batched GEMM; not end-to-end serving,65536,0.001796599943190813,0.0019348800065927207,4452.85553432211,29,,
1,cuda,,8388608,True,routing-only batched GEMM; not end-to-end serving,262144,0.003448600065894425,0.0036042800056748092,289.97273702151983,29,,
4,cuda,,8388608,True,routing-only batched GEMM; not end-to-end serving,262144,0.005083999945782125,0.005124800023622811,786.7820697595696,29,,
8,cuda,,8388608,True,routing-only batched GEMM; not end-to-end serving,262144,0.005925900069996715,0.0060409300378523765,1350.0058903295742,29,,
1,cuda,,32768,True,routing-only batched GEMM; not end-to-end serving,1024,0.00017310003750026226,0.00021258994238451123,5777.00625858319,41,,
4,cuda,,32768,True,routing-only batched GEMM; not end-to-end serving,1024,0.00017429993022233248,0.0001812499831430614,22948.94779876104,41,,
8,cuda,,32768,True,routing-only batched GEMM; not end-to-end serving,1024,0.00018480001017451286,0.0002039300394244492,43290.04090662837,41,,
1,cuda,,131072,True,routing-only batched GEMM; not end-to-end serving,4096,0.00021030008792877197,0.0002586300252005458,4755.109756961667,41,,
4,cuda,,131072,True,routing-only batched GEMM; not end-to-end serving,4096,0.0002578999847173691,0.0003482599509879946,15509.888472399773,41,,
8,cuda,,131072,True,routing-only batched GEMM; not end-to-end serving,4096,0.00024590000975877047,0.00025691001210361716,32533.548932543974,41,,
1,cuda,,524288,True,routing-only batched GEMM; not end-to-end serving,16384,0.00047910003922879696,0.0005946499877609313,2087.2467504066394,41,,
4,cuda,,524288,True,routing-only batched GEMM; not end-to-end serving,16384,0.0004893000004813075,0.0005126699805259704,8174.943789219984,41,,
8,cuda,,524288,True,routing-only batched GEMM; not end-to-end serving,16384,0.0006331000477075577,0.0006638600025326014,12636.233449938658,41,,
1,cuda,,2097152,True,routing-only batched GEMM; not end-to-end serving,65536,0.001080599962733686,0.0011790499673224985,925.4118401690619,41,,
4,cuda,,2097152,True,routing-only batched GEMM; not end-to-end serving,65536,0.001421900000423193,0.0015522600151598454,2813.1373505939237,41,,
8,cuda,,2097152,True,routing-only batched GEMM; not end-to-end serving,65536,0.0017482000403106213,0.0019224900403060018,4576.13534809126,41,,
1,cuda,,8388608,True,routing-only batched GEMM; not end-to-end serving,262144,0.00345509999897331,0.003622829949017614,289.42722361064864,41,,
4,cuda,,8388608,True,routing-only batched GEMM; not end-to-end serving,262144,0.0050475000170990825,0.005371390015352517,792.4715178701266,41,,
8,cuda,,8388608,True,routing-only batched GEMM; not end-to-end serving,262144,0.005930499988608062,0.0060034799855202435,1348.9587750387411,41,,
1,cuda,,32768,True,routing-only batched GEMM; not end-to-end serving,1024,0.00017120002303272486,0.00021332999458536505,5841.120709480571,53,,
4,cuda,,32768,True,routing-only batched GEMM; not end-to-end serving,1024,0.0001759999431669712,0.0002134299953468144,22727.28006625092,53,,
8,cuda,,32768,True,routing-only batched GEMM; not end-to-end serving,1024,0.0001873000292107463,0.00022924003424122928,42712.219713530096,53,,
1,cuda,,131072,True,routing-only batched GEMM; not end-to-end serving,4096,0.00025749998167157173,0.00035153001081198446,3883.4954220519116,53,,
4,cuda,,131072,True,routing-only batched GEMM; not end-to-end serving,4096,0.00026809994596987963,0.00030316001502797004,14919.809049306523,53,,
8,cuda,,131072,True,routing-only batched GEMM; not end-to-end serving,4096,0.00028719997499138117,0.0003448199830017984,27855.155628896133,53,,
1,cuda,,524288,True,routing-only batched GEMM; not end-to-end serving,16384,0.0004344000481069088,0.00044251002836972477,2302.0255277547603,53,,
4,cuda,,524288,True,routing-only batched GEMM; not end-to-end serving,16384,0.0005385000258684158,0.0005434799822978675,7428.040497397139,53,,
8,cuda,,524288,True,routing-only batched GEMM; not end-to-end serving,16384,0.0006216999609023333,0.0006522499956190586,12867.943546898132,53,,
1,cuda,,2097152,True,routing-only batched GEMM; not end-to-end serving,65536,0.001069099991582334,0.0012082200148142873,935.366203230381,53,,
4,cuda,,2097152,True,routing-only batched GEMM; not end-to-end serving,65536,0.0014130999334156513,0.001521349954418838,2830.6561379077175,53,,
8,cuda,,2097152,True,routing-only batched GEMM; not end-to-end serving,65536,0.0015570999821648002,0.0016866000136360525,5137.756143878304,53,,
1,cuda,,8388608,True,routing-only batched GEMM; not end-to-end serving,262144,0.003538800054229796,0.0035896899993531407,282.5816617711242,53,,
4,cuda,,8388608,True,routing-only batched GEMM; not end-to-end serving,262144,0.005045300000347197,0.005083579977508634,792.8170772252862,53,,
8,cuda,,8388608,True,routing-only batched GEMM; not end-to-end serving,262144,0.00590420002117753,0.005933560011908412,1354.9676452872754,53,,
1,cuda,,32768,True,routing-only batched GEMM; not end-to-end serving,1024,0.0001721000298857689,0.0002025799825787544,5810.574237922842,67,,
4,cuda,,32768,True,routing-only batched GEMM; not end-to-end serving,1024,0.00027600000612437725,0.00033998001599684353,14492.753301597504,67,,
8,cuda,,32768,True,routing-only batched GEMM; not end-to-end serving,1024,0.0002125001046806574,0.0002475399407558143,37647.040278038,67,,
1,cuda,,131072,True,routing-only batched GEMM; not end-to-end serving,4096,0.0002128999913111329,0.0002288099960424006,4697.041055950988,67,,
4,cuda,,131072,True,routing-only batched GEMM; not end-to-end serving,4096,0.0002332000294700265,0.0002707299659959972,17152.65649447152,67,,
8,cuda,,131072,True,routing-only batched GEMM; not end-to-end serving,4096,0.00025459995958954096,0.00028233997290953993,31421.843164851165,67,,
1,cuda,,524288,True,routing-only batched GEMM; not end-to-end serving,16384,0.0004493000451475382,0.0004578699939884245,2225.6841743063405,67,,
4,cuda,,524288,True,routing-only batched GEMM; not end-to-end serving,16384,0.0005222000181674957,0.0005259800120256842,7659.900154804283,67,,
8,cuda,,524288,True,routing-only batched GEMM; not end-to-end serving,16384,0.0006922000320628285,0.0007373799802735448,11557.352830740505,67,,
1,cuda,,2097152,True,routing-only batched GEMM; not end-to-end serving,65536,0.001047500059939921,0.001118490018416196,954.6538833204027,67,,
4,cuda,,2097152,True,routing-only batched GEMM; not end-to-end serving,65536,0.0016199999954551458,0.0018903299816884099,2469.1358093962112,67,,
8,cuda,,2097152,True,routing-only batched GEMM; not end-to-end serving,65536,0.0017934999195858836,0.0019200099282898008,4460.5521933043565,67,,
1,cuda,,8388608,True,routing-only batched GEMM; not end-to-end serving,262144,0.0034476000582799315,0.0036462199757806954,290.05684623955995,67,,
4,cuda,,8388608,True,routing-only batched GEMM; not end-to-end serving,262144,0.005063299904577434,0.005228920048102736,789.9986323906734,67,,
8,cuda,,8388608,True,routing-only batched GEMM; not end-to-end serving,262144,0.005835699965246022,0.005985109938774258,1370.872397080602,67,,
