active_native_kv_tokens,chain_depth,device,evidence_nodes,evidence_recall,evidence_regions,first_budget_meeting_target,layer_token_kv_states,logical_tokens,max_evidence_distance_tokens,measured,measurement_scope,meets_90pct_recall,search_latency_p50_seconds,seed,source_dispersion_fraction,task_accuracy,training_regime
32,1,cuda,1,1.0,1,True,64,524288,0,True,controlled difficulty scaling,True,0.0005949999904260039,17,0.0,1.0,PRA-native routing surrogate; no LM checkpoint
512,1,cuda,2,1.0,2,False,1024,524288,262144,True,controlled difficulty scaling,True,0.0006209999555721879,17,0.5,1.0,PRA-native routing surrogate; no LM checkpoint
1024,1,cuda,2,1.0,2,False,2048,524288,262144,True,controlled difficulty scaling,True,0.0006562999915331602,17,0.5,1.0,PRA-native routing surrogate; no LM checkpoint
32,2,cuda,4,1.0,2,True,64,524288,262144,True,controlled difficulty scaling,True,0.0006203999510034919,17,0.5,1.0,PRA-native routing surrogate; no LM checkpoint
64,2,cuda,4,1.0,2,False,128,524288,262144,True,controlled difficulty scaling,True,0.0005942999850958586,17,0.5,1.0,PRA-native routing surrogate; no LM checkpoint
128,2,cuda,4,1.0,2,False,256,524288,262144,True,controlled difficulty scaling,True,0.0006015000399202108,17,0.5,1.0,PRA-native routing surrogate; no LM checkpoint
256,2,cuda,4,1.0,2,False,512,524288,262144,True,controlled difficulty scaling,True,0.000623399973846972,17,0.5,1.0,PRA-native routing surrogate; no LM checkpoint
512,2,cuda,4,1.0,2,False,1024,524288,262144,True,controlled difficulty scaling,True,0.0006292000180110335,17,0.5,1.0,PRA-native routing surrogate; no LM checkpoint
1024,2,cuda,4,1.0,2,False,2048,524288,262144,True,controlled difficulty scaling,True,0.0006203999510034919,17,0.5,1.0,PRA-native routing surrogate; no LM checkpoint
32,4,cuda,8,0.5,2,False,64,524288,262144,True,controlled difficulty scaling,False,0.0006452999077737331,17,0.5,0.0,PRA-native routing surrogate; no LM checkpoint
64,4,cuda,8,1.0,2,True,128,524288,262144,True,controlled difficulty scaling,True,0.0006163000361993909,17,0.5,1.0,PRA-native routing surrogate; no LM checkpoint
128,4,cuda,8,1.0,2,False,256,524288,262144,True,controlled difficulty scaling,True,0.0005777999758720398,17,0.5,1.0,PRA-native routing surrogate; no LM checkpoint
256,4,cuda,8,1.0,2,False,512,524288,262144,True,controlled difficulty scaling,True,0.0006080999737605453,17,0.5,1.0,PRA-native routing surrogate; no LM checkpoint
512,4,cuda,8,1.0,2,False,1024,524288,262144,True,controlled difficulty scaling,True,0.0006304000271484256,17,0.5,1.0,PRA-native routing surrogate; no LM checkpoint
1024,4,cuda,8,1.0,2,False,2048,524288,262144,True,controlled difficulty scaling,True,0.0006308000301942229,17,0.5,1.0,PRA-native routing surrogate; no LM checkpoint
32,1,cuda,4,1.0,4,True,64,524288,393216,True,controlled difficulty scaling,True,0.0006698999786749482,17,0.75,1.0,PRA-native routing surrogate; no LM checkpoint
64,1,cuda,4,1.0,4,False,128,524288,393216,True,controlled difficulty scaling,True,0.0005866000428795815,17,0.75,1.0,PRA-native routing surrogate; no LM checkpoint
128,1,cuda,4,1.0,4,False,256,524288,393216,True,controlled difficulty scaling,True,0.0006084000924602151,17,0.75,1.0,PRA-native routing surrogate; no LM checkpoint
256,1,cuda,4,1.0,4,False,512,524288,393216,True,controlled difficulty scaling,True,0.0006087999790906906,17,0.75,1.0,PRA-native routing surrogate; no LM checkpoint
512,1,cuda,4,1.0,4,False,1024,524288,393216,True,controlled difficulty scaling,True,0.000618400052189827,17,0.75,1.0,PRA-native routing surrogate; no LM checkpoint
1024,1,cuda,4,1.0,4,False,2048,524288,393216,True,controlled difficulty scaling,True,0.0006402999861165881,17,0.75,1.0,PRA-native routing surrogate; no LM checkpoint
32,2,cuda,8,0.5,4,False,64,524288,393216,True,controlled difficulty scaling,False,0.000624299980700016,17,0.75,0.0,PRA-native routing surrogate; no LM checkpoint
64,2,cuda,8,1.0,4,True,128,524288,393216,True,controlled difficulty scaling,True,0.0005877000512555242,17,0.75,1.0,PRA-native routing surrogate; no LM checkpoint
128,2,cuda,8,1.0,4,False,256,524288,393216,True,controlled difficulty scaling,True,0.000589099945500493,17,0.75,1.0,PRA-native routing surrogate; no LM checkpoint
256,2,cuda,8,1.0,4,False,512,524288,393216,True,controlled difficulty scaling,True,0.0006221000803634524,17,0.75,1.0,PRA-native routing surrogate; no LM checkpoint
512,2,cuda,8,1.0,4,False,1024,524288,393216,True,controlled difficulty scaling,True,0.0006299999076873064,17,0.75,1.0,PRA-native routing surrogate; no LM checkpoint
1024,2,cuda,8,1.0,4,False,2048,524288,393216,True,controlled difficulty scaling,True,0.0006321000400930643,17,0.75,1.0,PRA-native routing surrogate; no LM checkpoint
32,4,cuda,16,0.25,4,False,64,524288,393216,True,controlled difficulty scaling,False,0.0005923999706283212,17,0.75,0.0,PRA-native routing surrogate; no LM checkpoint
64,4,cuda,16,0.5,4,False,128,524288,393216,True,controlled difficulty scaling,False,0.0006500999443233013,17,0.75,0.0,PRA-native routing surrogate; no LM checkpoint
128,4,cuda,16,1.0,4,True,256,524288,393216,True,controlled difficulty scaling,True,0.0005840999074280262,17,0.75,1.0,PRA-native routing surrogate; no LM checkpoint
256,4,cuda,16,1.0,4,False,512,524288,393216,True,controlled difficulty scaling,True,0.0005811000009998679,17,0.75,1.0,PRA-native routing surrogate; no LM checkpoint
512,4,cuda,16,1.0,4,False,1024,524288,393216,True,controlled difficulty scaling,True,0.0006228999700397253,17,0.75,1.0,PRA-native routing surrogate; no LM checkpoint
1024,4,cuda,16,1.0,4,False,2048,524288,393216,True,controlled difficulty scaling,True,0.0006313000340014696,17,0.75,1.0,PRA-native routing surrogate; no LM checkpoint
32,1,cuda,8,0.5,8,False,64,524288,458752,True,controlled difficulty scaling,False,0.00061039999127388,17,0.875,0.0,PRA-native routing surrogate; no LM checkpoint
64,1,cuda,8,1.0,8,True,128,524288,458752,True,controlled difficulty scaling,True,0.0005909999599680305,17,0.875,1.0,PRA-native routing surrogate; no LM checkpoint
128,1,cuda,8,1.0,8,False,256,524288,458752,True,controlled difficulty scaling,True,0.0006027999334037304,17,0.875,1.0,PRA-native routing surrogate; no LM checkpoint
256,1,cuda,8,1.0,8,False,512,524288,458752,True,controlled difficulty scaling,True,0.0006080999737605453,17,0.875,1.0,PRA-native routing surrogate; no LM checkpoint
512,1,cuda,8,1.0,8,False,1024,524288,458752,True,controlled difficulty scaling,True,0.0006464000325649977,17,0.875,1.0,PRA-native routing surrogate; no LM checkpoint
1024,1,cuda,8,1.0,8,False,2048,524288,458752,True,controlled difficulty scaling,True,0.0006157999159768224,17,0.875,1.0,PRA-native routing surrogate; no LM checkpoint
32,2,cuda,16,0.25,8,False,64,524288,458752,True,controlled difficulty scaling,False,0.0006315999198704958,17,0.875,0.0,PRA-native routing surrogate; no LM checkpoint
64,2,cuda,16,0.5,8,False,128,524288,458752,True,controlled difficulty scaling,False,0.0006316000362858176,17,0.875,0.0,PRA-native routing surrogate; no LM checkpoint
128,2,cuda,16,1.0,8,True,256,524288,458752,True,controlled difficulty scaling,True,0.000632300041615963,17,0.875,1.0,PRA-native routing surrogate; no LM checkpoint
256,2,cuda,16,1.0,8,False,512,524288,458752,True,controlled difficulty scaling,True,0.0006057999562472105,17,0.875,1.0,PRA-native routing surrogate; no LM checkpoint
512,2,cuda,16,1.0,8,False,1024,524288,458752,True,controlled difficulty scaling,True,0.0005947999889031053,17,0.875,1.0,PRA-native routing surrogate; no LM checkpoint
1024,2,cuda,16,1.0,8,False,2048,524288,458752,True,controlled difficulty scaling,True,0.0006406999891623855,17,0.875,1.0,PRA-native routing surrogate; no LM checkpoint
32,4,cuda,32,0.125,8,False,64,524288,458752,True,controlled difficulty scaling,False,0.0006225999677553773,17,0.875,0.0,PRA-native routing surrogate; no LM checkpoint
64,4,cuda,32,0.25,8,False,128,524288,458752,True,controlled difficulty scaling,False,0.0006311999168246984,17,0.875,0.0,PRA-native routing surrogate; no LM checkpoint
128,4,cuda,32,0.5,8,False,256,524288,458752,True,controlled difficulty scaling,False,0.0006423000013455749,17,0.875,0.0,PRA-native routing surrogate; no LM checkpoint
256,4,cuda,32,1.0,8,True,512,524288,458752,True,controlled difficulty scaling,True,0.0005859000375494361,17,0.875,1.0,PRA-native routing surrogate; no LM checkpoint
512,4,cuda,32,1.0,8,False,1024,524288,458752,True,controlled difficulty scaling,True,0.0005937999812886119,17,0.875,1.0,PRA-native routing surrogate; no LM checkpoint
1024,4,cuda,32,1.0,8,False,2048,524288,458752,True,controlled difficulty scaling,True,0.000623399973846972,17,0.875,1.0,PRA-native routing surrogate; no LM checkpoint
32,1,cuda,1,1.0,1,True,64,524288,0,True,controlled difficulty scaling,True,0.0006634000455960631,29,0.0,1.0,PRA-native routing surrogate; no LM checkpoint
64,1,cuda,1,1.0,1,False,128,524288,0,True,controlled difficulty scaling,True,0.000610099988989532,29,0.0,1.0,PRA-native routing surrogate; no LM checkpoint
128,1,cuda,1,1.0,1,False,256,524288,0,True,controlled difficulty scaling,True,0.0006581000052392483,29,0.0,1.0,PRA-native routing surrogate; no LM checkpoint
256,1,cuda,1,1.0,1,False,512,524288,0,True,controlled difficulty scaling,True,0.0006195000605657697,29,0.0,1.0,PRA-native routing surrogate; no LM checkpoint
512,1,cuda,1,1.0,1,False,1024,524288,0,True,controlled difficulty scaling,True,0.0006076000863686204,29,0.0,1.0,PRA-native routing surrogate; no LM checkpoint
1024,1,cuda,1,1.0,1,False,2048,524288,0,True,controlled difficulty scaling,True,0.0005920000839978456,29,0.0,1.0,PRA-native routing surrogate; no LM checkpoint
32,2,cuda,2,1.0,1,True,64,524288,0,True,controlled difficulty scaling,True,0.0005850000306963921,29,0.0,1.0,PRA-native routing surrogate; no LM checkpoint
64,2,cuda,2,1.0,1,False,128,524288,0,True,controlled difficulty scaling,True,0.0005916000809520483,29,0.0,1.0,PRA-native routing surrogate; no LM checkpoint
128,2,cuda,2,1.0,1,False,256,524288,0,True,controlled difficulty scaling,True,0.0006150000263005495,29,0.0,1.0,PRA-native routing surrogate; no LM checkpoint
256,2,cuda,2,1.0,1,False,512,524288,0,True,controlled difficulty scaling,True,0.0006392999785020947,29,0.0,1.0,PRA-native routing surrogate; no LM checkpoint
512,2,cuda,2,1.0,1,False,1024,524288,0,True,controlled difficulty scaling,True,0.0006518999580293894,29,0.0,1.0,PRA-native routing surrogate; no LM checkpoint
1024,2,cuda,2,1.0,1,False,2048,524288,0,True,controlled difficulty scaling,True,0.0006167999235913157,29,0.0,1.0,PRA-native routing surrogate; no LM checkpoint
32,4,cuda,4,1.0,1,True,64,524288,0,True,controlled difficulty scaling,True,0.0005674000130966306,29,0.0,1.0,PRA-native routing surrogate; no LM checkpoint
64,4,cuda,4,1.0,1,False,128,524288,0,True,controlled difficulty scaling,True,0.0005570000503212214,29,0.0,1.0,PRA-native routing surrogate; no LM checkpoint
128,4,cuda,4,1.0,1,False,256,524288,0,True,controlled difficulty scaling,True,0.0006344000576063991,29,0.0,1.0,PRA-native routing surrogate; no LM checkpoint
256,4,cuda,4,1.0,1,False,512,524288,0,True,controlled difficulty scaling,True,0.000596199999563396,29,0.0,1.0,PRA-native routing surrogate; no LM checkpoint
512,4,cuda,4,1.0,1,False,1024,524288,0,True,controlled difficulty scaling,True,0.0006188000552356243,29,0.0,1.0,PRA-native routing surrogate; no LM checkpoint
1024,4,cuda,4,1.0,1,False,2048,524288,0,True,controlled difficulty scaling,True,0.0006400999845936894,29,0.0,1.0,PRA-native routing surrogate; no LM checkpoint
32,1,cuda,2,1.0,2,True,64,524288,262144,True,controlled difficulty scaling,True,0.0005975000094622374,29,0.5,1.0,PRA-native routing surrogate; no LM checkpoint
64,1,cuda,2,1.0,2,False,128,524288,262144,True,controlled difficulty scaling,True,0.0006102999905124307,29,0.5,1.0,PRA-native routing surrogate; no LM checkpoint
128,1,cuda,2,1.0,2,False,256,524288,262144,True,controlled difficulty scaling,True,0.0005741999484598637,29,0.5,1.0,PRA-native routing surrogate; no LM checkpoint
256,1,cuda,2,1.0,2,False,512,524288,262144,True,controlled difficulty scaling,True,0.0005960999988019466,29,0.5,1.0,PRA-native routing surrogate; no LM checkpoint
512,1,cuda,2,1.0,2,False,1024,524288,262144,True,controlled difficulty scaling,True,0.0006178999319672585,29,0.5,1.0,PRA-native routing surrogate; no LM checkpoint
1024,1,cuda,2,1.0,2,False,2048,524288,262144,True,controlled difficulty scaling,True,0.000623999978415668,29,0.5,1.0,PRA-native routing surrogate; no LM checkpoint
32,2,cuda,4,1.0,2,True,64,524288,262144,True,controlled difficulty scaling,True,0.0005915999645367265,29,0.5,1.0,PRA-native routing surrogate; no LM checkpoint
64,2,cuda,4,1.0,2,False,128,524288,262144,True,controlled difficulty scaling,True,0.0006709999870508909,29,0.5,1.0,PRA-native routing surrogate; no LM checkpoint
128,2,cuda,4,1.0,2,False,256,524288,262144,True,controlled difficulty scaling,True,0.000641500111669302,29,0.5,1.0,PRA-native routing surrogate; no LM checkpoint
256,2,cuda,4,1.0,2,False,512,524288,262144,True,controlled difficulty scaling,True,0.0006309000309556723,29,0.5,1.0,PRA-native routing surrogate; no LM checkpoint
512,2,cuda,4,1.0,2,False,1024,524288,262144,True,controlled difficulty scaling,True,0.0006339999381452799,29,0.5,1.0,PRA-native routing surrogate; no LM checkpoint
1024,2,cuda,4,1.0,2,False,2048,524288,262144,True,controlled difficulty scaling,True,0.0006596000166609883,29,0.5,1.0,PRA-native routing surrogate; no LM checkpoint
32,4,cuda,8,0.5,2,False,64,524288,262144,True,controlled difficulty scaling,False,0.0006198000628501177,29,0.5,0.0,PRA-native routing surrogate; no LM checkpoint
64,4,cuda,8,1.0,2,True,128,524288,262144,True,controlled difficulty scaling,True,0.0005898999515920877,29,0.5,1.0,PRA-native routing surrogate; no LM checkpoint
128,4,cuda,8,1.0,2,False,256,524288,262144,True,controlled difficulty scaling,True,0.0005946001037955284,29,0.5,1.0,PRA-native routing surrogate; no LM checkpoint
256,4,cuda,8,1.0,2,False,512,524288,262144,True,controlled difficulty scaling,True,0.000597400008700788,29,0.5,1.0,PRA-native routing surrogate; no LM checkpoint
512,4,cuda,8,1.0,2,False,1024,524288,262144,True,controlled difficulty scaling,True,0.0006289000157266855,29,0.5,1.0,PRA-native routing surrogate; no LM checkpoint
1024,4,cuda,8,1.0,2,False,2048,524288,262144,True,controlled difficulty scaling,True,0.0006222999654710293,29,0.5,1.0,PRA-native routing surrogate; no LM checkpoint
32,1,cuda,4,1.0,4,True,64,524288,393216,True,controlled difficulty scaling,True,0.0005808001151308417,29,0.75,1.0,PRA-native routing surrogate; no LM checkpoint
64,1,cuda,4,1.0,4,False,128,524288,393216,True,controlled difficulty scaling,True,0.0005625000922009349,29,0.75,1.0,PRA-native routing surrogate; no LM checkpoint
128,1,cuda,4,1.0,4,False,256,524288,393216,True,controlled difficulty scaling,True,0.0005990000208839774,29,0.75,1.0,PRA-native routing surrogate; no LM checkpoint
256,1,cuda,4,1.0,4,False,512,524288,393216,True,controlled difficulty scaling,True,0.0006036999402567744,29,0.75,1.0,PRA-native routing surrogate; no LM checkpoint
512,1,cuda,4,1.0,4,False,1024,524288,393216,True,controlled difficulty scaling,True,0.0006085999775677919,29,0.75,1.0,PRA-native routing surrogate; no LM checkpoint
1024,1,cuda,4,1.0,4,False,2048,524288,393216,True,controlled difficulty scaling,True,0.0006552999839186668,29,0.75,1.0,PRA-native routing surrogate; no LM checkpoint
32,2,cuda,8,0.5,4,False,64,524288,393216,True,controlled difficulty scaling,False,0.0005808999994769692,29,0.75,0.0,PRA-native routing surrogate; no LM checkpoint
64,2,cuda,8,1.0,4,True,128,524288,393216,True,controlled difficulty scaling,True,0.0006137000164017081,29,0.75,1.0,PRA-native routing surrogate; no LM checkpoint
128,2,cuda,8,1.0,4,False,256,524288,393216,True,controlled difficulty scaling,True,0.0006001000292599201,29,0.75,1.0,PRA-native routing surrogate; no LM checkpoint
256,2,cuda,8,1.0,4,False,512,524288,393216,True,controlled difficulty scaling,True,0.0005710000405088067,29,0.75,1.0,PRA-native routing surrogate; no LM checkpoint
512,2,cuda,8,1.0,4,False,1024,524288,393216,True,controlled difficulty scaling,True,0.0006320999236777425,29,0.75,1.0,PRA-native routing surrogate; no LM checkpoint
1024,2,cuda,8,1.0,4,False,2048,524288,393216,True,controlled difficulty scaling,True,0.0006129000103101134,29,0.75,1.0,PRA-native routing surrogate; no LM checkpoint
32,4,cuda,16,0.25,4,False,64,524288,393216,True,controlled difficulty scaling,False,0.0007333001121878624,29,0.75,0.0,PRA-native routing surrogate; no LM checkpoint
64,4,cuda,16,0.5,4,False,128,524288,393216,True,controlled difficulty scaling,False,0.0007183999987319112,29,0.75,0.0,PRA-native routing surrogate; no LM checkpoint
128,4,cuda,16,1.0,4,True,256,524288,393216,True,controlled difficulty scaling,True,0.0006179999327287078,29,0.75,1.0,PRA-native routing surrogate; no LM checkpoint
256,4,cuda,16,1.0,4,False,512,524288,393216,True,controlled difficulty scaling,True,0.0006238000933080912,29,0.75,1.0,PRA-native routing surrogate; no LM checkpoint
512,4,cuda,16,1.0,4,False,1024,524288,393216,True,controlled difficulty scaling,True,0.0005785999819636345,29,0.75,1.0,PRA-native routing surrogate; no LM checkpoint
1024,4,cuda,16,1.0,4,False,2048,524288,393216,True,controlled difficulty scaling,True,0.0006252999883145094,29,0.75,1.0,PRA-native routing surrogate; no LM checkpoint
32,1,cuda,8,0.5,8,False,64,524288,458752,True,controlled difficulty scaling,False,0.0006159000331535935,29,0.875,0.0,PRA-native routing surrogate; no LM checkpoint
64,1,cuda,8,1.0,8,True,128,524288,458752,True,controlled difficulty scaling,True,0.0006117000011727214,29,0.875,1.0,PRA-native routing surrogate; no LM checkpoint
128,1,cuda,8,1.0,8,False,256,524288,458752,True,controlled difficulty scaling,True,0.0006114999996498227,29,0.875,1.0,PRA-native routing surrogate; no LM checkpoint
256,1,cuda,8,1.0,8,False,512,524288,458752,True,controlled difficulty scaling,True,0.0006157000316306949,29,0.875,1.0,PRA-native routing surrogate; no LM checkpoint
512,1,cuda,8,1.0,8,False,1024,524288,458752,True,controlled difficulty scaling,True,0.0006479000439867377,29,0.875,1.0,PRA-native routing surrogate; no LM checkpoint
1024,1,cuda,8,1.0,8,False,2048,524288,458752,True,controlled difficulty scaling,True,0.0006181999342516065,29,0.875,1.0,PRA-native routing surrogate; no LM checkpoint
32,2,cuda,16,0.25,8,False,64,524288,458752,True,controlled difficulty scaling,False,0.0006086999783292413,29,0.875,0.0,PRA-native routing surrogate; no LM checkpoint
64,2,cuda,16,0.5,8,False,128,524288,458752,True,controlled difficulty scaling,False,0.0006407999899238348,29,0.875,0.0,PRA-native routing surrogate; no LM checkpoint
128,2,cuda,16,1.0,8,True,256,524288,458752,True,controlled difficulty scaling,True,0.0006077999714761972,29,0.875,1.0,PRA-native routing surrogate; no LM checkpoint
256,2,cuda,16,1.0,8,False,512,524288,458752,True,controlled difficulty scaling,True,0.0005851000314578414,29,0.875,1.0,PRA-native routing surrogate; no LM checkpoint
512,2,cuda,16,1.0,8,False,1024,524288,458752,True,controlled difficulty scaling,True,0.0006572999991476536,29,0.875,1.0,PRA-native routing surrogate; no LM checkpoint
1024,2,cuda,16,1.0,8,False,2048,524288,458752,True,controlled difficulty scaling,True,0.0006319999229162931,29,0.875,1.0,PRA-native routing surrogate; no LM checkpoint
32,4,cuda,32,0.125,8,False,64,524288,458752,True,controlled difficulty scaling,False,0.0006334000499919057,29,0.875,0.0,PRA-native routing surrogate; no LM checkpoint
64,4,cuda,32,0.25,8,False,128,524288,458752,True,controlled difficulty scaling,False,0.0006210999563336372,29,0.875,0.0,PRA-native routing surrogate; no LM checkpoint
128,4,cuda,32,0.5,8,False,256,524288,458752,True,controlled difficulty scaling,False,0.0006351000629365444,29,0.875,0.0,PRA-native routing surrogate; no LM checkpoint
256,4,cuda,32,1.0,8,True,512,524288,458752,True,controlled difficulty scaling,True,0.0005928999744355679,29,0.875,1.0,PRA-native routing surrogate; no LM checkpoint
512,4,cuda,32,1.0,8,False,1024,524288,458752,True,controlled difficulty scaling,True,0.0006491000531241298,29,0.875,1.0,PRA-native routing surrogate; no LM checkpoint
1024,4,cuda,32,1.0,8,False,2048,524288,458752,True,controlled difficulty scaling,True,0.0006630999268963933,29,0.875,1.0,PRA-native routing surrogate; no LM checkpoint
32,1,cuda,1,1.0,1,True,64,524288,0,True,controlled difficulty scaling,True,0.0005787999834865332,41,0.0,1.0,PRA-native routing surrogate; no LM checkpoint
64,1,cuda,1,1.0,1,False,128,524288,0,True,controlled difficulty scaling,True,0.0006328000454232097,41,0.0,1.0,PRA-native routing surrogate; no LM checkpoint
128,1,cuda,1,1.0,1,False,256,524288,0,True,controlled difficulty scaling,True,0.0006321000400930643,41,0.0,1.0,PRA-native routing surrogate; no LM checkpoint
256,1,cuda,1,1.0,1,False,512,524288,0,True,controlled difficulty scaling,True,0.0005989000201225281,41,0.0,1.0,PRA-native routing surrogate; no LM checkpoint
512,1,cuda,1,1.0,1,False,1024,524288,0,True,controlled difficulty scaling,True,0.0006237000925466418,41,0.0,1.0,PRA-native routing surrogate; no LM checkpoint
1024,1,cuda,1,1.0,1,False,2048,524288,0,True,controlled difficulty scaling,True,0.0006253999890759587,41,0.0,1.0,PRA-native routing surrogate; no LM checkpoint
32,2,cuda,2,1.0,1,True,64,524288,0,True,controlled difficulty scaling,True,0.0005755999591201544,41,0.0,1.0,PRA-native routing surrogate; no LM checkpoint
64,2,cuda,2,1.0,1,False,128,524288,0,True,controlled difficulty scaling,True,0.0006000000284984708,41,0.0,1.0,PRA-native routing surrogate; no LM checkpoint
128,2,cuda,2,1.0,1,False,256,524288,0,True,controlled difficulty scaling,True,0.000632600043900311,41,0.0,1.0,PRA-native routing surrogate; no LM checkpoint
256,2,cuda,2,1.0,1,False,512,524288,0,True,controlled difficulty scaling,True,0.0005867000436410308,41,0.0,1.0,PRA-native routing surrogate; no LM checkpoint
512,2,cuda,2,1.0,1,False,1024,524288,0,True,controlled difficulty scaling,True,0.0006092999828979373,41,0.0,1.0,PRA-native routing surrogate; no LM checkpoint
1024,2,cuda,2,1.0,1,False,2048,524288,0,True,controlled difficulty scaling,True,0.0006215999601408839,41,0.0,1.0,PRA-native routing surrogate; no LM checkpoint
32,4,cuda,4,1.0,1,True,64,524288,0,True,controlled difficulty scaling,True,0.0005991000216454268,41,0.0,1.0,PRA-native routing surrogate; no LM checkpoint
64,4,cuda,4,1.0,1,False,128,524288,0,True,controlled difficulty scaling,True,0.0005865999264642596,41,0.0,1.0,PRA-native routing surrogate; no LM checkpoint
128,4,cuda,4,1.0,1,False,256,524288,0,True,controlled difficulty scaling,True,0.0006198000628501177,41,0.0,1.0,PRA-native routing surrogate; no LM checkpoint
256,4,cuda,4,1.0,1,False,512,524288,0,True,controlled difficulty scaling,True,0.0006164000369608402,41,0.0,1.0,PRA-native routing surrogate; no LM checkpoint
512,4,cuda,4,1.0,1,False,1024,524288,0,True,controlled difficulty scaling,True,0.0006085000932216644,41,0.0,1.0,PRA-native routing surrogate; no LM checkpoint
1024,4,cuda,4,1.0,1,False,2048,524288,0,True,controlled difficulty scaling,True,0.0005964000010862947,41,0.0,1.0,PRA-native routing surrogate; no LM checkpoint
32,1,cuda,2,1.0,2,True,64,524288,262144,True,controlled difficulty scaling,True,0.0005874000489711761,41,0.5,1.0,PRA-native routing surrogate; no LM checkpoint
64,1,cuda,2,1.0,2,False,128,524288,262144,True,controlled difficulty scaling,True,0.000618400052189827,41,0.5,1.0,PRA-native routing surrogate; no LM checkpoint
128,1,cuda,2,1.0,2,False,256,524288,262144,True,controlled difficulty scaling,True,0.0006642999360337853,41,0.5,1.0,PRA-native routing surrogate; no LM checkpoint
256,1,cuda,2,1.0,2,False,512,524288,262144,True,controlled difficulty scaling,True,0.0005916999652981758,41,0.5,1.0,PRA-native routing surrogate; no LM checkpoint
