model,dataset,condition,examples,evidence_recall,precision,mrr,em,f1,answer_contained,gold_mean_token_logprob,gold_logprob_delta_vs_disabled,materialized_unique_tokens,active_kv_fraction,teacher_forced_seconds,generation_seconds
smollm2_135m,hotpotqa,approximate,50,0.5933333333333334,0.26,0.9566666666666667,0.0,0.032046620046620046,0.04,-6.811726984977722,0.16605593681335448,128.0,0.09139481905486412,0.08932913201395422,1.3596738619962707
smollm2_135m,hotpotqa,bm25,50,0.6616666666666667,0.315,0.7116666666666667,0.0,0.042484570984570987,0.08,-6.825639359951019,0.15214356184005737,127.54,0.09107718467182405,0.08921033601276576,1.3618224080093204
smollm2_135m,hotpotqa,bounded_direct_context,50,0.0,0.0,0.0,0.0,0.09161634443987385,0.22,-5.271884078979492,1.7058988428115844,0.0,0.0,1.7016036900039762,2.626710178004578
smollm2_135m,hotpotqa,disabled,50,0.0,0.0,0.0,0.0,0.05159954424660307,0.1,-6.977782921791077,0.0,0.0,0.0,0.07594707801472396,1.183748897984624
smollm2_135m,hotpotqa,empty,50,0.0,0.0,0.0,0.0,0.05159954424660307,0.1,-6.977782921791077,0.0,0.0,0.0,0.07677573199849576,1.1845398419769482
smollm2_135m,hotpotqa,exact,50,0.45,0.185,0.66,0.0,0.03603379953379954,0.06,-6.850784659385681,0.1269982624053955,128.0,0.09139481905486412,0.08588388398755342,1.3083793120039626
smollm2_135m,hotpotqa,hybrid,50,0.42166666666666663,0.195,0.3416666666666666,0.0,0.03356493506493507,0.06,-6.862900197505951,0.11488272428512573,127.84,0.0912830872112887,0.08969774399418384,1.3627798120025545
smollm2_135m,hotpotqa,irrelevant,50,0.0,0.0,0.0,0.0,0.03878051360404302,0.08,-6.920387811660767,0.05739511013031006,128.0,0.09139481905486412,0.08938556603621692,1.352288827993907
smollm2_135m,hotpotqa,oracle,50,1.0,0.84,1.0,0.0,0.04661688311688311,0.1,-6.664569509029389,0.31321341276168824,128.0,0.09139481905486412,0.08996249401941896,1.3760185679933057
smollm2_135m,hotpotqa,semantic,50,0.32,0.14,0.2333333333333333,0.0,0.03332051282051282,0.06,-6.792794289588929,0.18498863220214845,128.0,0.09139481905486412,0.21682770000770688,1.3231923839868978
smollm2_135m,hotpotqa,shuffled,50,0.21,0.105,0.21,0.0,0.03178227328227329,0.04,-6.9544885540008545,0.02329436779022217,126.64,0.08936859505106941,0.08928912601433694,1.3595329940225929
smollm2_135m,qasper,adaptive,50,0.4455555555555556,0.155,0.38666666666666666,0.0,0.016237096237096238,0.1,-12.871666450500488,-0.05540019989013672,128.0,0.08333333333333331,0.08469844400417059,1.3054283160110935
smollm2_135m,qasper,approximate,50,0.7833333333333333,0.255,0.5866666666666667,0.0,0.017824397824397823,0.1,-12.82399013519287,-0.007723884582519531,128.0,0.08333333333333331,0.08557863000314683,1.3060591820161789
smollm2_135m,qasper,bm25,50,0.3277777777777778,0.145,0.19,0.0,0.013826839826839828,0.08,-12.877864570617676,-0.061598320007324216,128.0,0.08333333333333331,0.08215564000420272,1.3063016719929874
smollm2_135m,qasper,bounded_direct_context,50,0.0,0.0,0.0,0.0,0.07021156621156621,0.38,-12.55988157272339,0.2563846778869629,0.0,0.0,1.7886622819816693,2.681870896015316
smollm2_135m,qasper,disabled,50,0.0,0.0,0.0,0.0,0.08002886002886003,0.44,-12.81626625061035,0.0,0.0,0.0,0.07420231799595058,1.1516612280113623
smollm2_135m,qasper,empty,50,0.0,0.0,0.0,0.0,0.08002886002886003,0.44,-12.81626625061035,0.0,0.0,0.0,0.07353772200178355,1.1415114980051293
smollm2_135m,qasper,exact,50,0.6088888888888888,0.18,0.5333333333333333,0.0,0.019570429570429572,0.12,-12.906830444335938,-0.09056419372558594,128.0,0.08333333333333331,0.07994612001348286,1.243887606007047
smollm2_135m,qasper,hybrid,50,0.43666666666666665,0.195,0.31666666666666665,0.0,0.028271284271284274,0.16,-12.833827323913575,-0.017561073303222655,128.0,0.08333333333333331,0.083696327987127,1.3042376859905198
smollm2_135m,qasper,irrelevant,50,0.0,0.0,0.0,0.0,0.04887490287490287,0.26,-12.915857849121094,-0.09959159851074219,128.0,0.08333333333333331,0.08427221599034965,1.318513321983628
smollm2_135m,qasper,oracle,50,1.0,0.9,1.0,0.0,0.06004040404040405,0.32,-12.824760780334472,-0.008494529724121094,128.0,0.08333333333333331,0.08583514800295233,1.2982334319967777
smollm2_135m,qasper,semantic,50,0.3477777777777778,0.14,0.24833333333333332,0.0,0.02353868353868354,0.14,-12.760155410766602,0.05611083984375,128.0,0.08333333333333331,0.1945712739927694,1.253638760005124
smollm2_135m,qasper,shuffled,50,0.3522222222222222,0.135,0.22166666666666668,0.0,0.027954267954267954,0.16,-12.836999492645264,-0.02073324203491211,128.0,0.08333333333333331,0.08451985599473119,1.3119048200175165
