partition,target_architecture,representation,router_seed,dataset,example_id,model_seed,selected_config,oracle_config,quality,retrieval_cost,total_cost,oracle_cost,oracle_regret,allocation_outcome,prefill_cost,prefill_latency_seconds,processed_token_layers,recomputed_query_tokens
test,global_frozen_profile,S0_observable,1,hotpotqa,5adc93a4554299438c868e01,11,F2_R2_K4_H1_Bs4_Bkv4,F1_R1_K2_H1_Bs2_Bkv2,1.0,30.0,30.0,13.0,17.0,over_allocation,0.0,0.0,0,0
test,global_frozen_profile,S0_observable,1,hotpotqa,5adc93a4554299438c868e01,23,F2_R2_K4_H1_Bs4_Bkv4,F1_R1_K2_H1_Bs4_Bkv4,1.0,28.703125,28.703125,17.703125,11.0,over_allocation,0.0,0.0,0,0
test,global_frozen_profile,S0_observable,1,hotpotqa,5adc93a4554299438c868e01,37,F2_R2_K4_H1_Bs4_Bkv4,F1_R1_K2_H1_Bs2_Bkv2,1.0,30.0,30.0,13.0,17.0,over_allocation,0.0,0.0,0,0
test,global_frozen_profile,S0_observable,1,hotpotqa,5adc93a4554299438c868e01,53,F2_R2_K4_H1_Bs4_Bkv4,F1_R1_K2_H1_Bs2_Bkv2,1.0,30.0,30.0,13.0,17.0,over_allocation,0.0,0.0,0,0
test,global_frozen_profile,S0_observable,1,hotpotqa,5adc93a4554299438c868e01,71,F2_R2_K4_H1_Bs4_Bkv4,F1_R1_K2_H1_Bs2_Bkv2,1.0,30.0,30.0,13.0,17.0,over_allocation,0.0,0.0,0,0
test,global_frozen_profile,S0_observable,1,hotpotqa,5a8888e35542997e5c09a5f6,11,F1_R1_K2_H0_Bs2_Bkv2,F1_R2_K2_H0_Bs2_Bkv2,0.0,6.28125,6.28125,10.28125,-4.0,under_allocation,0.0,0.0,0,0
test,global_frozen_profile,S0_observable,1,hotpotqa,5a8888e35542997e5c09a5f6,23,F2_R2_K4_H1_Bs4_Bkv4,F1_R1_K2_H1_Bs4_Bkv4,1.0,29.28125,29.28125,18.28125,11.0,over_allocation,0.0,0.0,0,0
test,global_frozen_profile,S0_observable,1,hotpotqa,5a8888e35542997e5c09a5f6,37,F2_R2_K4_H1_Bs4_Bkv4,F1_R1_K2_H1_Bs4_Bkv4,1.0,29.28125,29.28125,18.28125,11.0,over_allocation,0.0,0.0,0,0
test,global_frozen_profile,S0_observable,1,hotpotqa,5a8888e35542997e5c09a5f6,53,F2_R2_K4_H1_Bs4_Bkv4,F4_R4_K2_H0_Bs4_Bkv4,0.0,29.28125,29.28125,23.28125,6.0,under_allocation,0.0,0.0,0,0
test,global_frozen_profile,S0_observable,1,hotpotqa,5a8888e35542997e5c09a5f6,71,F2_R2_K4_H1_Bs4_Bkv4,F1_R1_K2_H1_Bs4_Bkv4,1.0,29.28125,29.28125,18.28125,11.0,over_allocation,0.0,0.0,0,0
test,global_frozen_profile,S0_observable,1,hotpotqa,5a8c8502554299585d9e36d0,11,F2_R2_K4_H1_Bs4_Bkv4,F1_R4_K2_H0_Bs4_Bkv4,0.0,29.171875,29.171875,21.0,8.171875,under_allocation,0.0,0.0,0,0
test,global_frozen_profile,S0_observable,1,hotpotqa,5a8c8502554299585d9e36d0,23,F2_R2_K4_H1_Bs4_Bkv4,F1_R1_K8_H1_Bs8_Bkv8,0.0,29.171875,29.171875,42.171875,-13.0,under_allocation,0.0,0.0,0,0
test,global_frozen_profile,S0_observable,1,hotpotqa,5a8c8502554299585d9e36d0,37,F4_R4_K8_H3_Bs8_Bkv8,F1_R4_K2_H0_Bs4_Bkv4,1.0,51.171875,51.171875,21.0,30.171875,over_allocation,0.0,0.0,0,0
test,global_frozen_profile,S0_observable,1,hotpotqa,5a8c8502554299585d9e36d0,53,F2_R2_K4_H1_Bs4_Bkv4,F1_R4_K2_H0_Bs4_Bkv4,0.0,29.171875,29.171875,21.0,8.171875,under_allocation,0.0,0.0,0,0
test,global_frozen_profile,S0_observable,1,hotpotqa,5a8c8502554299585d9e36d0,71,F2_R2_K4_H1_Bs4_Bkv4,F1_R2_K2_H0_Bs2_Bkv2,1.0,29.171875,29.171875,11.0,18.171875,over_allocation,0.0,0.0,0,0
test,global_frozen_profile,S0_observable,1,hotpotqa,5a80d6be55429938b6142206,11,F4_R4_K8_H3_Bs8_Bkv8,F1_R1_K4_H1_Bs8_Bkv8,1.0,45.015625,45.015625,32.015625,13.0,over_allocation,0.0,0.0,0,0
test,global_frozen_profile,S0_observable,1,hotpotqa,5a80d6be55429938b6142206,23,F2_R2_K4_H1_Bs4_Bkv4,F1_R1_K8_H1_Bs8_Bkv8,0.0,29.015625,29.015625,37.015625,-8.0,under_allocation,0.0,0.0,0,0
test,global_frozen_profile,S0_observable,1,hotpotqa,5a80d6be55429938b6142206,37,F4_R4_K8_H3_Bs8_Bkv8,F1_R1_K8_H1_Bs8_Bkv8,1.0,45.015625,45.015625,37.015625,8.0,over_allocation,0.0,0.0,0,0
test,global_frozen_profile,S0_observable,1,hotpotqa,5a80d6be55429938b6142206,53,F4_R4_K8_H3_Bs8_Bkv8,F1_R1_K8_H1_Bs8_Bkv8,1.0,45.015625,45.015625,37.015625,8.0,over_allocation,0.0,0.0,0,0
test,global_frozen_profile,S0_observable,1,hotpotqa,5a80d6be55429938b6142206,71,F2_R2_K4_H1_Bs4_Bkv4,F1_R1_K8_H1_Bs8_Bkv8,0.0,29.015625,29.015625,37.015625,-8.0,under_allocation,0.0,0.0,0,0
test,global_frozen_profile,S0_observable,1,hotpotqa,5ab88c075542991b5579efbe,11,F2_R2_K4_H1_Bs4_Bkv4,F1_R1_K4_H1_Bs8_Bkv8,0.0,30.0,30.0,33.0,-3.0,under_allocation,0.0,0.0,0,0
test,global_frozen_profile,S0_observable,1,hotpotqa,5ab88c075542991b5579efbe,23,F2_R2_K4_H1_Bs4_Bkv4,F1_R4_K2_H0_Bs4_Bkv4,0.0,30.0,30.0,21.0,9.0,under_allocation,0.0,0.0,0,0
test,global_frozen_profile,S0_observable,1,hotpotqa,5ab88c075542991b5579efbe,37,F2_R2_K4_H1_Bs4_Bkv4,F1_R4_K2_H0_Bs4_Bkv4,1.0,30.0,30.0,21.0,9.0,over_allocation,0.0,0.0,0,0
test,global_frozen_profile,S0_observable,1,hotpotqa,5ab88c075542991b5579efbe,53,F2_R2_K4_H1_Bs4_Bkv4,F1_R1_K2_H1_Bs2_Bkv2,1.0,30.0,30.0,13.0,17.0,over_allocation,0.0,0.0,0,0
test,global_frozen_profile,S0_observable,1,hotpotqa,5ab88c075542991b5579efbe,71,F2_R2_K4_H1_Bs4_Bkv4,F1_R4_K2_H0_Bs4_Bkv4,0.0,30.0,30.0,21.0,9.0,under_allocation,0.0,0.0,0,0
test,global_frozen_profile,S0_observable,1,qasper,2003.11562:fc4ae12576ea3a85ea6d150b46938890d63a7d18,11,F1_R1_K2_H0_Bs2_Bkv2,F1_R1_K2_H0_Bs2_Bkv2,1.0,7.0,7.0,7.0,0.0,matched,0.0,0.0,0,0
test,global_frozen_profile,S0_observable,1,qasper,2003.11562:fc4ae12576ea3a85ea6d150b46938890d63a7d18,23,F2_R2_K4_H1_Bs4_Bkv4,F1_R2_K2_H0_Bs2_Bkv2,1.0,29.859375,29.859375,10.859375,19.0,over_allocation,0.0,0.0,0,0
test,global_frozen_profile,S0_observable,1,qasper,2003.11562:fc4ae12576ea3a85ea6d150b46938890d63a7d18,37,F1_R1_K2_H0_Bs2_Bkv2,F1_R2_K2_H0_Bs2_Bkv2,0.0,6.859375,6.859375,10.859375,-4.0,under_allocation,0.0,0.0,0,0
test,global_frozen_profile,S0_observable,1,qasper,2003.11562:fc4ae12576ea3a85ea6d150b46938890d63a7d18,53,F2_R2_K4_H1_Bs4_Bkv4,F1_R1_K2_H0_Bs2_Bkv2,1.0,29.859375,29.859375,7.0,22.859375,over_allocation,0.0,0.0,0,0
test,global_frozen_profile,S0_observable,1,qasper,2003.11562:fc4ae12576ea3a85ea6d150b46938890d63a7d18,71,F2_R2_K4_H1_Bs4_Bkv4,F1_R1_K2_H0_Bs2_Bkv2,1.0,29.859375,29.859375,7.0,22.859375,over_allocation,0.0,0.0,0,0
test,global_frozen_profile,S0_observable,1,qasper,2003.11645:c2d1387e08cf25cb6b1f482178cca58030e85b70,11,F2_R2_K4_H1_Bs4_Bkv4,F1_R4_K2_H0_Bs4_Bkv4,0.0,30.0,30.0,21.0,9.0,under_allocation,0.0,0.0,0,0
test,global_frozen_profile,S0_observable,1,qasper,2003.11645:c2d1387e08cf25cb6b1f482178cca58030e85b70,23,F1_R1_K2_H0_Bs2_Bkv2,F1_R1_K2_H0_Bs2_Bkv2,1.0,7.0,7.0,7.0,0.0,matched,0.0,0.0,0,0
test,global_frozen_profile,S0_observable,1,qasper,2003.11645:c2d1387e08cf25cb6b1f482178cca58030e85b70,37,F4_R4_K8_H3_Bs8_Bkv8,F1_R1_K2_H0_Bs2_Bkv2,1.0,59.5,59.5,7.0,52.5,over_allocation,0.0,0.0,0,0
test,global_frozen_profile,S0_observable,1,qasper,2003.11645:c2d1387e08cf25cb6b1f482178cca58030e85b70,53,F1_R1_K2_H0_Bs2_Bkv2,F1_R1_K2_H0_Bs2_Bkv2,1.0,7.0,7.0,7.0,0.0,matched,0.0,0.0,0,0
test,global_frozen_profile,S0_observable,1,qasper,2003.11645:c2d1387e08cf25cb6b1f482178cca58030e85b70,71,F1_R1_K2_H0_Bs2_Bkv2,F1_R1_K2_H0_Bs2_Bkv2,1.0,7.0,7.0,7.0,0.0,matched,0.0,0.0,0,0
test,global_frozen_profile,S0_observable,1,qasper,1912.03804:2ccc26e11df4eb26fcccdd1f446dc749aff5d572,11,F2_R2_K4_H1_Bs4_Bkv4,F1_R1_K2_H0_Bs2_Bkv2,0.0,30.0,30.0,7.0,23.0,over_allocation,0.0,0.0,0,0
test,global_frozen_profile,S0_observable,1,qasper,1912.03804:2ccc26e11df4eb26fcccdd1f446dc749aff5d572,23,F1_R1_K2_H0_Bs2_Bkv2,F1_R2_K2_H0_Bs2_Bkv2,0.0,7.0,7.0,11.0,-4.0,matched,0.0,0.0,0,0
test,global_frozen_profile,S0_observable,1,qasper,1912.03804:2ccc26e11df4eb26fcccdd1f446dc749aff5d572,37,F2_R2_K4_H1_Bs4_Bkv4,F1_R1_K2_H0_Bs2_Bkv2,0.0,30.0,30.0,7.0,23.0,over_allocation,0.0,0.0,0,0
test,global_frozen_profile,S0_observable,1,qasper,1912.03804:2ccc26e11df4eb26fcccdd1f446dc749aff5d572,53,F1_R1_K2_H0_Bs2_Bkv2,F1_R4_K2_H0_Bs4_Bkv4,0.0,7.0,7.0,21.0,-14.0,matched,0.0,0.0,0,0
test,global_frozen_profile,S0_observable,1,qasper,1912.03804:2ccc26e11df4eb26fcccdd1f446dc749aff5d572,71,F2_R2_K4_H1_Bs4_Bkv4,F1_R1_K2_H0_Bs2_Bkv2,0.0,30.0,30.0,7.0,23.0,over_allocation,0.0,0.0,0,0
test,global_frozen_profile,S0_observable,1,qasper,2002.04181:1329280df5ee9e902b2742bde4a97bc3e6573ff3,11,F2_R2_K4_H1_Bs4_Bkv4,F1_R1_K2_H0_Bs2_Bkv2,1.0,29.671875,29.671875,7.0,22.671875,over_allocation,0.0,0.0,0,0
test,global_frozen_profile,S0_observable,1,qasper,2002.04181:1329280df5ee9e902b2742bde4a97bc3e6573ff3,23,F1_R1_K2_H0_Bs2_Bkv2,F1_R1_K2_H0_Bs2_Bkv2,1.0,7.0,7.0,7.0,0.0,matched,0.0,0.0,0,0
test,global_frozen_profile,S0_observable,1,qasper,2002.04181:1329280df5ee9e902b2742bde4a97bc3e6573ff3,37,F2_R2_K4_H1_Bs4_Bkv4,F1_R1_K2_H0_Bs2_Bkv2,1.0,29.671875,29.671875,7.0,22.671875,over_allocation,0.0,0.0,0,0
test,global_frozen_profile,S0_observable,1,qasper,2002.04181:1329280df5ee9e902b2742bde4a97bc3e6573ff3,53,F2_R2_K4_H1_Bs4_Bkv4,F1_R2_K2_H0_Bs2_Bkv2,1.0,29.671875,29.671875,11.0,18.671875,over_allocation,0.0,0.0,0,0
test,global_frozen_profile,S0_observable,1,qasper,2002.04181:1329280df5ee9e902b2742bde4a97bc3e6573ff3,71,F1_R1_K2_H0_Bs2_Bkv2,F1_R1_K2_H0_Bs2_Bkv2,1.0,7.0,7.0,7.0,0.0,matched,0.0,0.0,0,0
test,global_frozen_profile,S0_observable,1,qasper,2002.03407:b5608076d91450b0d295ad14c3e3a90d7e168d0e,11,F4_R4_K8_H3_Bs8_Bkv8,F2_R2_K2_H0_Bs2_Bkv2,1.0,60.0,60.0,12.0,48.0,over_allocation,0.0,0.0,0,0
test,global_frozen_profile,S0_observable,1,qasper,2002.03407:b5608076d91450b0d295ad14c3e3a90d7e168d0e,23,F2_R2_K4_H1_Bs4_Bkv4,F1_R1_K2_H0_Bs2_Bkv2,1.0,30.0,30.0,7.0,23.0,over_allocation,0.0,0.0,0,0
test,global_frozen_profile,S0_observable,1,qasper,2002.03407:b5608076d91450b0d295ad14c3e3a90d7e168d0e,37,F2_R2_K4_H1_Bs4_Bkv4,F1_R1_K2_H0_Bs2_Bkv2,1.0,30.0,30.0,7.0,23.0,over_allocation,0.0,0.0,0,0
test,global_frozen_profile,S0_observable,1,qasper,2002.03407:b5608076d91450b0d295ad14c3e3a90d7e168d0e,53,F1_R1_K2_H0_Bs2_Bkv2,F1_R1_K2_H0_Bs2_Bkv2,1.0,7.0,7.0,7.0,0.0,matched,0.0,0.0,0,0
test,global_frozen_profile,S0_observable,1,qasper,2002.03407:b5608076d91450b0d295ad14c3e3a90d7e168d0e,71,F4_R4_K8_H3_Bs8_Bkv8,F1_R1_K2_H0_Bs2_Bkv2,1.0,60.0,60.0,7.0,53.0,over_allocation,0.0,0.0,0,0
test,global_frozen_profile,S0_observable,1,qasper,1611.03599:e330e162ec29722f5ec9f83853d129c9e0693d65,11,F1_R1_K2_H0_Bs2_Bkv2,F1_R2_K4_H1_Bs8_Bkv8,0.0,7.0,7.0,45.0,-38.0,under_allocation,0.0,0.0,0,0
test,global_frozen_profile,S0_observable,1,qasper,1611.03599:e330e162ec29722f5ec9f83853d129c9e0693d65,23,F1_R1_K2_H0_Bs2_Bkv2,F1_R1_K2_H0_Bs2_Bkv2,1.0,7.0,7.0,7.0,0.0,matched,0.0,0.0,0,0
test,global_frozen_profile,S0_observable,1,qasper,1611.03599:e330e162ec29722f5ec9f83853d129c9e0693d65,37,F2_R2_K4_H1_Bs4_Bkv4,F1_R4_K2_H0_Bs4_Bkv4,0.0,28.15625,28.15625,19.15625,9.0,under_allocation,0.0,0.0,0,0
test,global_frozen_profile,S0_observable,1,qasper,1611.03599:e330e162ec29722f5ec9f83853d129c9e0693d65,53,F1_R1_K2_H0_Bs2_Bkv2,F1_R1_K2_H0_Bs2_Bkv2,1.0,7.0,7.0,7.0,0.0,matched,0.0,0.0,0,0
test,global_frozen_profile,S0_observable,1,qasper,1611.03599:e330e162ec29722f5ec9f83853d129c9e0693d65,71,F2_R2_K4_H1_Bs4_Bkv4,F1_R2_K2_H0_Bs2_Bkv2,1.0,30.0,30.0,11.0,19.0,over_allocation,0.0,0.0,0,0
test,global_frozen_profile,S0_observable,7,hotpotqa,5ab2b863554299295394685a,11,F2_R2_K4_H1_Bs4_Bkv4,F1_R1_K2_H0_Bs2_Bkv2,1.0,29.890625,29.890625,7.0,22.890625,over_allocation,0.0,0.0,0,0
test,global_frozen_profile,S0_observable,7,hotpotqa,5ab2b863554299295394685a,23,F4_R4_K8_H3_Bs8_Bkv8,F1_R1_K2_H0_Bs2_Bkv2,1.0,45.890625,45.890625,7.0,38.890625,over_allocation,0.0,0.0,0,0
test,global_frozen_profile,S0_observable,7,hotpotqa,5ab2b863554299295394685a,37,F4_R4_K8_H3_Bs8_Bkv8,F1_R1_K2_H0_Bs2_Bkv2,1.0,45.890625,45.890625,7.0,38.890625,over_allocation,0.0,0.0,0,0
test,global_frozen_profile,S0_observable,7,hotpotqa,5ab2b863554299295394685a,53,F2_R2_K4_H1_Bs4_Bkv4,F1_R1_K2_H0_Bs2_Bkv2,1.0,29.890625,29.890625,7.0,22.890625,over_allocation,0.0,0.0,0,0
test,global_frozen_profile,S0_observable,7,hotpotqa,5ab2b863554299295394685a,71,F4_R4_K8_H3_Bs8_Bkv8,F1_R2_K2_H0_Bs2_Bkv2,1.0,45.890625,45.890625,11.0,34.890625,over_allocation,0.0,0.0,0,0
test,global_frozen_profile,S0_observable,7,hotpotqa,5a710a915542994082a3e504,11,F2_R2_K4_H1_Bs4_Bkv4,F1_R1_K2_H1_Bs4_Bkv4,1.0,28.0,28.0,19.0,9.0,over_allocation,0.0,0.0,0,0
test,global_frozen_profile,S0_observable,7,hotpotqa,5a710a915542994082a3e504,23,F2_R2_K4_H1_Bs4_Bkv4,F1_R4_K2_H0_Bs4_Bkv4,0.0,28.0,28.0,21.0,7.0,under_allocation,0.0,0.0,0,0
test,global_frozen_profile,S0_observable,7,hotpotqa,5a710a915542994082a3e504,37,F2_R2_K4_H1_Bs4_Bkv4,F1_R1_K2_H1_Bs4_Bkv4,1.0,28.0,28.0,19.0,9.0,over_allocation,0.0,0.0,0,0
test,global_frozen_profile,S0_observable,7,hotpotqa,5a710a915542994082a3e504,53,F2_R2_K4_H1_Bs4_Bkv4,F1_R1_K2_H1_Bs4_Bkv4,1.0,28.0,28.0,19.0,9.0,over_allocation,0.0,0.0,0,0
test,global_frozen_profile,S0_observable,7,hotpotqa,5a710a915542994082a3e504,71,F4_R4_K8_H3_Bs8_Bkv8,F1_R4_K2_H0_Bs4_Bkv4,1.0,38.0,38.0,19.0,19.0,over_allocation,0.0,0.0,0,0
test,global_frozen_profile,S0_observable,7,hotpotqa,5adc93a4554299438c868e01,11,F2_R2_K4_H1_Bs4_Bkv4,F1_R1_K2_H1_Bs2_Bkv2,1.0,30.0,30.0,13.0,17.0,over_allocation,0.0,0.0,0,0
test,global_frozen_profile,S0_observable,7,hotpotqa,5adc93a4554299438c868e01,23,F2_R2_K4_H1_Bs4_Bkv4,F1_R1_K2_H1_Bs4_Bkv4,1.0,28.703125,28.703125,17.703125,11.0,over_allocation,0.0,0.0,0,0
test,global_frozen_profile,S0_observable,7,hotpotqa,5adc93a4554299438c868e01,37,F2_R2_K4_H1_Bs4_Bkv4,F1_R1_K2_H1_Bs2_Bkv2,1.0,30.0,30.0,13.0,17.0,over_allocation,0.0,0.0,0,0
test,global_frozen_profile,S0_observable,7,hotpotqa,5adc93a4554299438c868e01,53,F2_R2_K4_H1_Bs4_Bkv4,F1_R1_K2_H1_Bs2_Bkv2,1.0,30.0,30.0,13.0,17.0,over_allocation,0.0,0.0,0,0
test,global_frozen_profile,S0_observable,7,hotpotqa,5adc93a4554299438c868e01,71,F2_R2_K4_H1_Bs4_Bkv4,F1_R1_K2_H1_Bs2_Bkv2,1.0,30.0,30.0,13.0,17.0,over_allocation,0.0,0.0,0,0
test,global_frozen_profile,S0_observable,7,hotpotqa,5a8888e35542997e5c09a5f6,11,F1_R1_K2_H0_Bs2_Bkv2,F1_R2_K2_H0_Bs2_Bkv2,0.0,6.28125,6.28125,10.28125,-4.0,under_allocation,0.0,0.0,0,0
test,global_frozen_profile,S0_observable,7,hotpotqa,5a8888e35542997e5c09a5f6,23,F2_R2_K4_H1_Bs4_Bkv4,F1_R1_K2_H1_Bs4_Bkv4,1.0,29.28125,29.28125,18.28125,11.0,over_allocation,0.0,0.0,0,0
test,global_frozen_profile,S0_observable,7,hotpotqa,5a8888e35542997e5c09a5f6,37,F2_R2_K4_H1_Bs4_Bkv4,F1_R1_K2_H1_Bs4_Bkv4,1.0,29.28125,29.28125,18.28125,11.0,over_allocation,0.0,0.0,0,0
test,global_frozen_profile,S0_observable,7,hotpotqa,5a8888e35542997e5c09a5f6,53,F2_R2_K4_H1_Bs4_Bkv4,F4_R4_K2_H0_Bs4_Bkv4,0.0,29.28125,29.28125,23.28125,6.0,under_allocation,0.0,0.0,0,0
test,global_frozen_profile,S0_observable,7,hotpotqa,5a8888e35542997e5c09a5f6,71,F2_R2_K4_H1_Bs4_Bkv4,F1_R1_K2_H1_Bs4_Bkv4,1.0,29.28125,29.28125,18.28125,11.0,over_allocation,0.0,0.0,0,0
test,global_frozen_profile,S0_observable,7,hotpotqa,5a8c8502554299585d9e36d0,11,F2_R2_K4_H1_Bs4_Bkv4,F1_R4_K2_H0_Bs4_Bkv4,0.0,29.171875,29.171875,21.0,8.171875,under_allocation,0.0,0.0,0,0
test,global_frozen_profile,S0_observable,7,hotpotqa,5a8c8502554299585d9e36d0,23,F2_R2_K4_H1_Bs4_Bkv4,F1_R1_K8_H1_Bs8_Bkv8,0.0,29.171875,29.171875,42.171875,-13.0,under_allocation,0.0,0.0,0,0
test,global_frozen_profile,S0_observable,7,hotpotqa,5a8c8502554299585d9e36d0,37,F4_R4_K8_H3_Bs8_Bkv8,F1_R4_K2_H0_Bs4_Bkv4,1.0,51.171875,51.171875,21.0,30.171875,over_allocation,0.0,0.0,0,0
test,global_frozen_profile,S0_observable,7,hotpotqa,5a8c8502554299585d9e36d0,53,F2_R2_K4_H1_Bs4_Bkv4,F1_R4_K2_H0_Bs4_Bkv4,0.0,29.171875,29.171875,21.0,8.171875,under_allocation,0.0,0.0,0,0
test,global_frozen_profile,S0_observable,7,hotpotqa,5a8c8502554299585d9e36d0,71,F2_R2_K4_H1_Bs4_Bkv4,F1_R2_K2_H0_Bs2_Bkv2,1.0,29.171875,29.171875,11.0,18.171875,over_allocation,0.0,0.0,0,0
test,global_frozen_profile,S0_observable,7,hotpotqa,5a80d6be55429938b6142206,11,F4_R4_K8_H3_Bs8_Bkv8,F1_R1_K4_H1_Bs8_Bkv8,1.0,45.015625,45.015625,32.015625,13.0,over_allocation,0.0,0.0,0,0
test,global_frozen_profile,S0_observable,7,hotpotqa,5a80d6be55429938b6142206,23,F2_R2_K4_H1_Bs4_Bkv4,F1_R1_K8_H1_Bs8_Bkv8,0.0,29.015625,29.015625,37.015625,-8.0,under_allocation,0.0,0.0,0,0
test,global_frozen_profile,S0_observable,7,hotpotqa,5a80d6be55429938b6142206,37,F4_R4_K8_H3_Bs8_Bkv8,F1_R1_K8_H1_Bs8_Bkv8,1.0,45.015625,45.015625,37.015625,8.0,over_allocation,0.0,0.0,0,0
test,global_frozen_profile,S0_observable,7,hotpotqa,5a80d6be55429938b6142206,53,F4_R4_K8_H3_Bs8_Bkv8,F1_R1_K8_H1_Bs8_Bkv8,1.0,45.015625,45.015625,37.015625,8.0,over_allocation,0.0,0.0,0,0
test,global_frozen_profile,S0_observable,7,hotpotqa,5a80d6be55429938b6142206,71,F2_R2_K4_H1_Bs4_Bkv4,F1_R1_K8_H1_Bs8_Bkv8,0.0,29.015625,29.015625,37.015625,-8.0,under_allocation,0.0,0.0,0,0
test,global_frozen_profile,S0_observable,7,hotpotqa,5ab88c075542991b5579efbe,11,F2_R2_K4_H1_Bs4_Bkv4,F1_R1_K4_H1_Bs8_Bkv8,0.0,30.0,30.0,33.0,-3.0,under_allocation,0.0,0.0,0,0
test,global_frozen_profile,S0_observable,7,hotpotqa,5ab88c075542991b5579efbe,23,F2_R2_K4_H1_Bs4_Bkv4,F1_R4_K2_H0_Bs4_Bkv4,0.0,30.0,30.0,21.0,9.0,under_allocation,0.0,0.0,0,0
test,global_frozen_profile,S0_observable,7,hotpotqa,5ab88c075542991b5579efbe,37,F2_R2_K4_H1_Bs4_Bkv4,F1_R4_K2_H0_Bs4_Bkv4,1.0,30.0,30.0,21.0,9.0,over_allocation,0.0,0.0,0,0
test,global_frozen_profile,S0_observable,7,hotpotqa,5ab88c075542991b5579efbe,53,F2_R2_K4_H1_Bs4_Bkv4,F1_R1_K2_H1_Bs2_Bkv2,1.0,30.0,30.0,13.0,17.0,over_allocation,0.0,0.0,0,0
test,global_frozen_profile,S0_observable,7,hotpotqa,5ab88c075542991b5579efbe,71,F2_R2_K4_H1_Bs4_Bkv4,F1_R4_K2_H0_Bs4_Bkv4,0.0,30.0,30.0,21.0,9.0,under_allocation,0.0,0.0,0,0
test,global_frozen_profile,S0_observable,7,qasper,2003.11562:fc4ae12576ea3a85ea6d150b46938890d63a7d18,11,F4_R4_K8_H3_Bs8_Bkv8,F1_R1_K2_H0_Bs2_Bkv2,1.0,59.859375,59.859375,7.0,52.859375,over_allocation,0.0,0.0,0,0
test,global_frozen_profile,S0_observable,7,qasper,2003.11562:fc4ae12576ea3a85ea6d150b46938890d63a7d18,23,F2_R2_K4_H1_Bs4_Bkv4,F1_R2_K2_H0_Bs2_Bkv2,1.0,29.859375,29.859375,10.859375,19.0,over_allocation,0.0,0.0,0,0
test,global_frozen_profile,S0_observable,7,qasper,2003.11562:fc4ae12576ea3a85ea6d150b46938890d63a7d18,37,F1_R1_K2_H0_Bs2_Bkv2,F1_R2_K2_H0_Bs2_Bkv2,0.0,6.859375,6.859375,10.859375,-4.0,under_allocation,0.0,0.0,0,0
