end_error,layout,method,n,payload_type,region_confidence,region_precision,region_recall,span_iou,start_error
0.0,L1_query_context,structural,24,prose,0.98,1.0,1.0,1.0,0.0
82.0,L1_query_context,suffix,24,prose,0.5,0.0,0.0,0.0,57.0
0.0,L1_query_context,auto_retry,24,urls,0.98,1.0,1.0,1.0,0.0
37.0,L1_query_context,broad,24,urls,1.0,0.1590909090909091,1.0,0.1590909090909091,0.0
0.0,L1_query_context,explicit,24,urls,1.0,1.0,1.0,1.0,0.0
37.0,L1_query_context,head,24,urls,0.5,0.0,0.0,0.0,28.0
0.0,L1_query_context,structural,24,urls,0.98,1.0,1.0,1.0,0.0
37.0,L1_query_context,suffix,24,urls,0.5,0.0,0.0,0.0,12.0
0.0,L2_context_query_context,auto_retry,24,logs,0.98,1.0,1.0,1.0,0.0
102.0,L2_context_query_context,broad,24,logs,1.0,0.03482587064676617,1.0,0.03482587064676617,92.0
0.0,L2_context_query_context,explicit,24,logs,1.0,1.0,1.0,1.0,0.0
102.0,L2_context_query_context,head,24,logs,0.5,0.0,0.0,0.0,93.0
0.0,L2_context_query_context,structural,24,logs,0.98,1.0,1.0,1.0,0.0
102.0,L2_context_query_context,suffix,24,logs,0.5,0.0,0.0,0.0,77.0
0.0,L2_context_query_context,auto_retry,24,prose,0.98,1.0,1.0,1.0,0.0
44.0,L2_context_query_context,broad,24,prose,1.0,0.07865168539325842,1.0,0.07865168539325842,38.0
0.0,L2_context_query_context,explicit,24,prose,1.0,1.0,1.0,1.0,0.0
44.0,L2_context_query_context,head,24,prose,0.5,0.0,0.0,0.0,35.0
0.0,L2_context_query_context,structural,24,prose,0.98,1.0,1.0,1.0,0.0
44.0,L2_context_query_context,suffix,24,prose,0.5,0.0,0.0,0.0,19.0
0.0,L2_context_query_context,auto_retry,24,urls,0.98,1.0,1.0,1.0,0.0
17.0,L2_context_query_context,broad,24,urls,1.0,0.1590909090909091,1.0,0.1590909090909091,20.0
0.0,L2_context_query_context,explicit,24,urls,1.0,1.0,1.0,1.0,0.0
17.0,L2_context_query_context,head,24,urls,0.5,0.0,0.0,0.0,8.0
0.0,L2_context_query_context,structural,24,urls,0.98,1.0,1.0,1.0,0.0
17.0,L2_context_query_context,suffix,24,urls,0.5,0.21875,1.0,0.21875,8.0
0.0,L3_instruction_context_query,auto_retry,24,logs,0.5,0.4375,1.0,0.4375,9.0
0.0,L3_instruction_context_query,broad,24,logs,1.0,0.03349282296650718,1.0,0.03349282296650718,202.0
0.0,L3_instruction_context_query,explicit,24,logs,1.0,1.0,1.0,1.0,0.0
0.0,L3_instruction_context_query,head,24,logs,0.5,0.4375,1.0,0.4375,9.0
0.0,L3_instruction_context_query,structural,24,logs,0.98,1.0,1.0,1.0,0.0
0.0,L3_instruction_context_query,suffix,24,logs,0.5,0.21875,1.0,0.21875,25.0
0.0,L3_instruction_context_query,auto_retry,24,prose,0.5,0.4375,1.0,0.4375,9.0
0.0,L3_instruction_context_query,broad,24,prose,1.0,0.07216494845360824,1.0,0.07216494845360824,90.0
0.0,L3_instruction_context_query,explicit,24,prose,1.0,1.0,1.0,1.0,0.0
0.0,L3_instruction_context_query,head,24,prose,0.5,0.4375,1.0,0.4375,9.0
0.0,L3_instruction_context_query,structural,24,prose,0.98,1.0,1.0,1.0,0.0
0.0,L3_instruction_context_query,suffix,24,prose,0.5,0.21875,1.0,0.21875,25.0
0.0,L3_instruction_context_query,auto_retry,24,urls,0.5,0.4375,1.0,0.4375,9.0
0.0,L3_instruction_context_query,broad,24,urls,1.0,0.1346153846153846,1.0,0.1346153846153846,45.0
0.0,L3_instruction_context_query,explicit,24,urls,1.0,1.0,1.0,1.0,0.0
0.0,L3_instruction_context_query,head,24,urls,0.5,0.4375,1.0,0.4375,9.0
0.0,L3_instruction_context_query,structural,24,urls,0.98,1.0,1.0,1.0,0.0
0.0,L3_instruction_context_query,suffix,24,urls,0.5,0.21875,1.0,0.21875,25.0
0.0,L4_query_long_payload,auto_retry,24,logs,0.98,1.0,1.0,1.0,0.0
194.0,L4_query_long_payload,broad,24,logs,1.0,0.03398058252427184,1.0,0.03398058252427184,5.0
0.0,L4_query_long_payload,explicit,24,logs,1.0,1.0,1.0,1.0,0.0
194.0,L4_query_long_payload,head,24,logs,0.5,0.0,0.0,0.0,185.0
0.0,L4_query_long_payload,structural,24,logs,0.98,1.0,1.0,1.0,0.0
194.0,L4_query_long_payload,suffix,24,logs,0.5,0.0,0.0,0.0,169.0
0.0,L4_query_long_payload,auto_retry,24,prose,0.98,1.0,1.0,1.0,0.0
82.0,L4_query_long_payload,broad,24,prose,1.0,0.07446808510638298,1.0,0.07446808510638298,5.0
0.0,L4_query_long_payload,explicit,24,prose,1.0,1.0,1.0,1.0,0.0
82.0,L4_query_long_payload,head,24,prose,0.5,0.0,0.0,0.0,73.0
0.0,L4_query_long_payload,structural,24,prose,0.98,1.0,1.0,1.0,0.0
82.0,L4_query_long_payload,suffix,24,prose,0.5,0.0,0.0,0.0,57.0
0.0,L4_query_long_payload,auto_retry,24,urls,0.98,1.0,1.0,1.0,0.0
37.0,L4_query_long_payload,broad,24,urls,1.0,0.14285714285714285,1.0,0.14285714285714285,5.0
0.0,L4_query_long_payload,explicit,24,urls,1.0,1.0,1.0,1.0,0.0
37.0,L4_query_long_payload,head,24,urls,0.5,0.0,0.0,0.0,28.0
0.0,L4_query_long_payload,structural,24,urls,0.98,1.0,1.0,1.0,0.0
37.0,L4_query_long_payload,suffix,24,urls,0.5,0.0,0.0,0.0,12.0
