controller,cost_regret,dataset,example_id,oracle_effort,quality_matched,seed,selected_effort
learned,0.0,hotpotqa,5a8888e35542997e5c09a5f6,E2_high,1,71,E2_high
hand_rule,0.0,hotpotqa,5a8c8502554299585d9e36d0,E2_high,1,11,E2_high
learned,0.0,hotpotqa,5a8c8502554299585d9e36d0,E2_high,1,11,E2_high
hand_rule,0.0,hotpotqa,5a8c8502554299585d9e36d0,E2_high,1,23,E2_high
learned,0.0,hotpotqa,5a8c8502554299585d9e36d0,E2_high,1,23,E2_high
hand_rule,0.0,hotpotqa,5a8c8502554299585d9e36d0,E2_high,1,37,E2_high
learned,0.0,hotpotqa,5a8c8502554299585d9e36d0,E2_high,1,37,E2_high
hand_rule,0.0,hotpotqa,5a8c8502554299585d9e36d0,E2_high,1,53,E2_high
learned,0.0,hotpotqa,5a8c8502554299585d9e36d0,E2_high,1,53,E2_high
hand_rule,144.0,hotpotqa,5a8c8502554299585d9e36d0,E0_low,1,71,E2_high
learned,144.0,hotpotqa,5a8c8502554299585d9e36d0,E0_low,1,71,E2_high
hand_rule,124.0,hotpotqa,5ab2b863554299295394685a,E1_medium,1,11,E2_high
learned,124.0,hotpotqa,5ab2b863554299295394685a,E1_medium,1,11,E2_high
hand_rule,0.0,hotpotqa,5ab2b863554299295394685a,E2_high,1,23,E2_high
learned,0.0,hotpotqa,5ab2b863554299295394685a,E2_high,1,23,E2_high
hand_rule,144.0,hotpotqa,5ab2b863554299295394685a,E0_low,1,37,E2_high
learned,144.0,hotpotqa,5ab2b863554299295394685a,E0_low,1,37,E2_high
hand_rule,0.0,hotpotqa,5ab2b863554299295394685a,E2_high,1,53,E2_high
learned,0.0,hotpotqa,5ab2b863554299295394685a,E2_high,1,53,E2_high
hand_rule,124.0,hotpotqa,5ab2b863554299295394685a,E1_medium,1,71,E2_high
learned,124.0,hotpotqa,5ab2b863554299295394685a,E1_medium,1,71,E2_high
hand_rule,0.0,hotpotqa,5ab88c075542991b5579efbe,E2_high,1,11,E2_high
learned,0.0,hotpotqa,5ab88c075542991b5579efbe,E2_high,1,11,E2_high
hand_rule,0.0,hotpotqa,5ab88c075542991b5579efbe,E2_high,1,23,E2_high
learned,0.0,hotpotqa,5ab88c075542991b5579efbe,E2_high,1,23,E2_high
hand_rule,0.0,hotpotqa,5ab88c075542991b5579efbe,E2_high,1,37,E2_high
learned,0.0,hotpotqa,5ab88c075542991b5579efbe,E2_high,1,37,E2_high
hand_rule,0.0,hotpotqa,5ab88c075542991b5579efbe,E2_high,1,53,E2_high
learned,0.0,hotpotqa,5ab88c075542991b5579efbe,E2_high,1,53,E2_high
hand_rule,0.0,hotpotqa,5ab88c075542991b5579efbe,E2_high,1,71,E2_high
learned,0.0,hotpotqa,5ab88c075542991b5579efbe,E2_high,1,71,E2_high
hand_rule,0.0,hotpotqa,5adc93a4554299438c868e01,E2_high,1,11,E2_high
learned,0.0,hotpotqa,5adc93a4554299438c868e01,E2_high,1,11,E2_high
hand_rule,0.0,hotpotqa,5adc93a4554299438c868e01,E2_high,1,23,E2_high
learned,0.0,hotpotqa,5adc93a4554299438c868e01,E2_high,1,23,E2_high
hand_rule,0.0,hotpotqa,5adc93a4554299438c868e01,E2_high,1,37,E2_high
learned,0.0,hotpotqa,5adc93a4554299438c868e01,E2_high,1,37,E2_high
hand_rule,0.0,hotpotqa,5adc93a4554299438c868e01,E2_high,1,53,E2_high
learned,0.0,hotpotqa,5adc93a4554299438c868e01,E2_high,1,53,E2_high
hand_rule,0.0,hotpotqa,5adc93a4554299438c868e01,E2_high,1,71,E2_high
learned,0.0,hotpotqa,5adc93a4554299438c868e01,E2_high,1,71,E2_high
hand_rule,-144.0,qasper,1611.03599:e330e162ec29722f5ec9f83853d129c9e0693d65,E2_high,0,11,E0_low
learned,0.0,qasper,1611.03599:e330e162ec29722f5ec9f83853d129c9e0693d65,E2_high,1,11,E2_high
hand_rule,144.0,qasper,1611.03599:e330e162ec29722f5ec9f83853d129c9e0693d65,E0_low,1,23,E2_high
learned,144.0,qasper,1611.03599:e330e162ec29722f5ec9f83853d129c9e0693d65,E0_low,1,23,E2_high
hand_rule,144.0,qasper,1611.03599:e330e162ec29722f5ec9f83853d129c9e0693d65,E0_low,1,37,E2_high
learned,144.0,qasper,1611.03599:e330e162ec29722f5ec9f83853d129c9e0693d65,E0_low,1,37,E2_high
hand_rule,144.0,qasper,1611.03599:e330e162ec29722f5ec9f83853d129c9e0693d65,E0_low,1,53,E2_high
learned,144.0,qasper,1611.03599:e330e162ec29722f5ec9f83853d129c9e0693d65,E0_low,1,53,E2_high
hand_rule,144.0,qasper,1611.03599:e330e162ec29722f5ec9f83853d129c9e0693d65,E0_low,1,71,E2_high
learned,0.0,qasper,1611.03599:e330e162ec29722f5ec9f83853d129c9e0693d65,E0_low,1,71,E0_low
hand_rule,0.0,qasper,1912.03804:2ccc26e11df4eb26fcccdd1f446dc749aff5d572,E2_high,1,11,E2_high
learned,-144.0,qasper,1912.03804:2ccc26e11df4eb26fcccdd1f446dc749aff5d572,E2_high,1,11,E0_low
hand_rule,-124.0,qasper,1912.03804:2ccc26e11df4eb26fcccdd1f446dc749aff5d572,E2_high,0,23,E1_medium
learned,0.0,qasper,1912.03804:2ccc26e11df4eb26fcccdd1f446dc749aff5d572,E2_high,1,23,E2_high
hand_rule,0.0,qasper,1912.03804:2ccc26e11df4eb26fcccdd1f446dc749aff5d572,E2_high,1,37,E2_high
learned,0.0,qasper,1912.03804:2ccc26e11df4eb26fcccdd1f446dc749aff5d572,E2_high,1,37,E2_high
hand_rule,0.0,qasper,1912.03804:2ccc26e11df4eb26fcccdd1f446dc749aff5d572,E2_high,1,53,E2_high
learned,-144.0,qasper,1912.03804:2ccc26e11df4eb26fcccdd1f446dc749aff5d572,E2_high,1,53,E0_low
hand_rule,0.0,qasper,1912.03804:2ccc26e11df4eb26fcccdd1f446dc749aff5d572,E2_high,1,71,E2_high
learned,0.0,qasper,1912.03804:2ccc26e11df4eb26fcccdd1f446dc749aff5d572,E2_high,1,71,E2_high
hand_rule,0.0,qasper,2002.03407:b5608076d91450b0d295ad14c3e3a90d7e168d0e,E0_low,1,11,E0_low
learned,0.0,qasper,2002.03407:b5608076d91450b0d295ad14c3e3a90d7e168d0e,E0_low,1,11,E0_low
hand_rule,144.0,qasper,2002.03407:b5608076d91450b0d295ad14c3e3a90d7e168d0e,E0_low,1,23,E2_high
learned,144.0,qasper,2002.03407:b5608076d91450b0d295ad14c3e3a90d7e168d0e,E0_low,1,23,E2_high
hand_rule,144.0,qasper,2002.03407:b5608076d91450b0d295ad14c3e3a90d7e168d0e,E0_low,1,37,E2_high
learned,0.0,qasper,2002.03407:b5608076d91450b0d295ad14c3e3a90d7e168d0e,E0_low,1,37,E0_low
hand_rule,20.0,qasper,2002.03407:b5608076d91450b0d295ad14c3e3a90d7e168d0e,E0_low,1,53,E1_medium
learned,0.0,qasper,2002.03407:b5608076d91450b0d295ad14c3e3a90d7e168d0e,E0_low,1,53,E0_low
hand_rule,20.0,qasper,2002.03407:b5608076d91450b0d295ad14c3e3a90d7e168d0e,E0_low,1,71,E1_medium
learned,0.0,qasper,2002.03407:b5608076d91450b0d295ad14c3e3a90d7e168d0e,E0_low,1,71,E0_low
hand_rule,144.0,qasper,2002.04181:1329280df5ee9e902b2742bde4a97bc3e6573ff3,E0_low,1,11,E2_high
learned,144.0,qasper,2002.04181:1329280df5ee9e902b2742bde4a97bc3e6573ff3,E0_low,1,11,E2_high
hand_rule,144.0,qasper,2002.04181:1329280df5ee9e902b2742bde4a97bc3e6573ff3,E0_low,1,23,E2_high
learned,144.0,qasper,2002.04181:1329280df5ee9e902b2742bde4a97bc3e6573ff3,E0_low,1,23,E2_high
hand_rule,144.0,qasper,2002.04181:1329280df5ee9e902b2742bde4a97bc3e6573ff3,E0_low,1,37,E2_high
learned,0.0,qasper,2002.04181:1329280df5ee9e902b2742bde4a97bc3e6573ff3,E0_low,1,37,E0_low
hand_rule,144.0,qasper,2002.04181:1329280df5ee9e902b2742bde4a97bc3e6573ff3,E0_low,1,53,E2_high
learned,144.0,qasper,2002.04181:1329280df5ee9e902b2742bde4a97bc3e6573ff3,E0_low,1,53,E2_high
hand_rule,144.0,qasper,2002.04181:1329280df5ee9e902b2742bde4a97bc3e6573ff3,E0_low,1,71,E2_high
learned,0.0,qasper,2002.04181:1329280df5ee9e902b2742bde4a97bc3e6573ff3,E0_low,1,71,E0_low
hand_rule,0.0,qasper,2003.11562:fc4ae12576ea3a85ea6d150b46938890d63a7d18,E0_low,1,11,E0_low
learned,0.0,qasper,2003.11562:fc4ae12576ea3a85ea6d150b46938890d63a7d18,E0_low,1,11,E0_low
hand_rule,144.0,qasper,2003.11562:fc4ae12576ea3a85ea6d150b46938890d63a7d18,E0_low,1,23,E2_high
learned,0.0,qasper,2003.11562:fc4ae12576ea3a85ea6d150b46938890d63a7d18,E0_low,1,23,E0_low
hand_rule,144.0,qasper,2003.11562:fc4ae12576ea3a85ea6d150b46938890d63a7d18,E0_low,1,37,E2_high
learned,0.0,qasper,2003.11562:fc4ae12576ea3a85ea6d150b46938890d63a7d18,E0_low,1,37,E0_low
hand_rule,144.0,qasper,2003.11562:fc4ae12576ea3a85ea6d150b46938890d63a7d18,E0_low,1,53,E2_high
learned,0.0,qasper,2003.11562:fc4ae12576ea3a85ea6d150b46938890d63a7d18,E0_low,1,53,E0_low
hand_rule,144.0,qasper,2003.11562:fc4ae12576ea3a85ea6d150b46938890d63a7d18,E0_low,1,71,E2_high
learned,0.0,qasper,2003.11562:fc4ae12576ea3a85ea6d150b46938890d63a7d18,E0_low,1,71,E0_low
hand_rule,144.0,qasper,2003.11645:c2d1387e08cf25cb6b1f482178cca58030e85b70,E0_low,1,11,E2_high
learned,0.0,qasper,2003.11645:c2d1387e08cf25cb6b1f482178cca58030e85b70,E0_low,1,11,E0_low
hand_rule,20.0,qasper,2003.11645:c2d1387e08cf25cb6b1f482178cca58030e85b70,E0_low,1,23,E1_medium
learned,0.0,qasper,2003.11645:c2d1387e08cf25cb6b1f482178cca58030e85b70,E0_low,1,23,E0_low
hand_rule,144.0,qasper,2003.11645:c2d1387e08cf25cb6b1f482178cca58030e85b70,E0_low,1,37,E2_high
learned,0.0,qasper,2003.11645:c2d1387e08cf25cb6b1f482178cca58030e85b70,E0_low,1,37,E0_low
hand_rule,144.0,qasper,2003.11645:c2d1387e08cf25cb6b1f482178cca58030e85b70,E0_low,1,53,E2_high
learned,0.0,qasper,2003.11645:c2d1387e08cf25cb6b1f482178cca58030e85b70,E0_low,1,53,E0_low
hand_rule,144.0,qasper,2003.11645:c2d1387e08cf25cb6b1f482178cca58030e85b70,E0_low,1,71,E2_high
learned,0.0,qasper,2003.11645:c2d1387e08cf25cb6b1f482178cca58030e85b70,E0_low,1,71,E0_low
