dataset,policy,E,examples,N,K,recovered,R_E,P_E,C_E,K_over_N,K_over_E,rho,eta
qasper,R0_profile,2.0,25,19.0,2.8,0.6,0.3,0.15,0.0,0.14736842105263157,1.4,0.8526315789473685,1.425
qasper,R1_conservative,1.0,125,15.8,2.584,0.84,0.84,0.49184761904761903,0.84,0.17779220779220778,2.584,0.8222077922077922,7.5248
qasper,R1_conservative,2.0,25,19.0,3.32,0.6,0.3,0.16166666666666668,0.0,0.17473684210526316,1.66,0.8252631578947368,1.5358333333333334
qasper,R1_factorized,1.0,125,15.8,2.336,0.824,0.824,0.5257047619047619,0.824,0.1616969696969697,2.336,0.8383030303030302,7.985133333333334
qasper,R1_factorized,2.0,25,19.0,2.8,0.6,0.3,0.188,0.0,0.14736842105263157,1.4,0.8526315789473685,1.786
qasper,R2_conservative,1.0,125,15.8,2.184,0.784,0.784,0.5107333333333334,0.784,0.1654343434343434,2.184,0.8345656565656566,8.064066666666667
qasper,R2_conservative,2.0,25,19.0,4.72,0.6,0.3,0.08800000000000001,0.0,0.24842105263157893,2.36,0.7515789473684211,0.8360000000000001
qasper,R2_query_hash,1.0,125,15.8,1.968,0.744,0.744,0.5211333333333333,0.744,0.1487027417027417,1.968,0.8512972582972583,8.259799999999998
qasper,R2_query_hash,2.0,25,19.0,4.48,0.6,0.3,0.09266666666666666,0.0,0.23578947368421052,2.24,0.7642105263157895,0.8803333333333333
qasper,R3A_factorized,1.0,125,15.8,2.12,0.752,0.752,0.5038761904761905,0.752,0.15845165945165945,2.12,0.8415483405483406,8.094733333333334
qasper,R3A_factorized,2.0,25,19.0,4.12,0.6,0.3,0.10966666666666666,0.0,0.21684210526315786,2.06,0.7831578947368422,1.0418333333333334
qasper,factorized_oracle,1.0,25,15.8,1.68,1.0,1.0,0.8057142857142857,1.0,0.1114069264069264,1.68,0.8885930735930735,12.317142857142859
qasper,factorized_oracle,2.0,5,19.0,1.8,1.0,0.5,0.75,0.0,0.09473684210526315,0.9,0.9052631578947368,7.125
qasper,fixed_E1,1.0,25,15.8,4.0,0.88,0.88,0.22,0.88,0.29018759018759016,4.0,0.7098124098124099,3.33
qasper,fixed_E1,2.0,5,19.0,4.0,0.8,0.4,0.2,0.0,0.21052631578947367,2.0,0.7894736842105263,1.9
qasper,targeted_retry,1.0,25,15.8,2.84,1.0,1.0,0.5557142857142857,1.0,0.20947330447330448,2.84,0.7905266955266955,9.007142857142856
qasper,targeted_retry,2.0,5,19.0,1.8,1.0,0.5,0.75,0.0,0.09473684210526315,0.9,0.9052631578947368,7.125
