partition,target_architecture,representation,router_seed,dataset,example_id,model_seed,invalid_combination_repaired,selected_config,oracle_config,quality,retrieval_cost,total_cost,oracle_cost,oracle_regret,allocation_outcome,prefill_cost,prefill_latency_seconds,processed_token_layers,recomputed_query_tokens
test,group_profiles,S2_embed_last,1,hotpotqa,5a80d6be55429938b6142206,53,0,F1_R1_K2_H1_Bs2_Bkv4,F1_R1_K8_H1_Bs8_Bkv8,0.0,13.0,13.022321428571429,37.015625,-23.99330357142857,under_allocation,0.022321428571428572,2.1407999098300934e-05,0,40
test,group_profiles,S2_embed_last,1,hotpotqa,5a80d6be55429938b6142206,71,0,F1_R2_K2_H0_Bs2_Bkv2,F1_R1_K8_H1_Bs8_Bkv8,0.0,11.0,11.022321428571429,37.015625,-25.99330357142857,under_allocation,0.022321428571428572,2.1407999098300934e-05,0,40
test,group_profiles,S2_embed_last,1,hotpotqa,5ab88c075542991b5579efbe,11,0,F1_R1_K2_H1_Bs4_Bkv2,F1_R1_K4_H1_Bs8_Bkv8,0.0,15.0,15.03515625,33.0,-17.96484375,under_allocation,0.03515625,1.8912000581622124e-05,0,63
test,group_profiles,S2_embed_last,1,hotpotqa,5ab88c075542991b5579efbe,23,0,F1_R1_K2_H1_Bs4_Bkv2,F1_R4_K2_H0_Bs4_Bkv4,0.0,15.0,15.03515625,21.0,-5.96484375,under_allocation,0.03515625,1.8912000581622124e-05,0,63
test,group_profiles,S2_embed_last,1,hotpotqa,5ab88c075542991b5579efbe,37,0,F1_R1_K2_H1_Bs4_Bkv8,F1_R4_K2_H0_Bs4_Bkv4,0.0,19.0,19.03515625,21.0,-1.96484375,under_allocation,0.03515625,1.8912000581622124e-05,0,63
test,group_profiles,S2_embed_last,1,hotpotqa,5ab88c075542991b5579efbe,53,0,F1_R1_K2_H1_Bs4_Bkv4,F1_R1_K2_H1_Bs2_Bkv2,1.0,19.0,19.03515625,13.0,6.03515625,over_allocation,0.03515625,1.8912000581622124e-05,0,63
test,group_profiles,S2_embed_last,1,hotpotqa,5ab88c075542991b5579efbe,71,0,F1_R1_K2_H1_Bs2_Bkv8,F1_R4_K2_H0_Bs4_Bkv4,0.0,13.0,13.03515625,21.0,-7.96484375,under_allocation,0.03515625,1.8912000581622124e-05,0,63
test,group_profiles,S2_embed_last,1,qasper,2003.11562:fc4ae12576ea3a85ea6d150b46938890d63a7d18,11,0,F1_R1_K2_H0_Bs2_Bkv4,F1_R1_K2_H0_Bs2_Bkv2,1.0,7.0,7.015625,7.0,0.015625,matched,0.015625,1.1296000331640243e-05,0,28
test,group_profiles,S2_embed_last,1,qasper,2003.11562:fc4ae12576ea3a85ea6d150b46938890d63a7d18,23,0,F1_R2_K2_H0_Bs2_Bkv4,F1_R2_K2_H0_Bs2_Bkv2,1.0,10.859375,10.875,10.859375,0.015625,matched,0.015625,1.1296000331640243e-05,0,28
test,group_profiles,S2_embed_last,1,qasper,2003.11562:fc4ae12576ea3a85ea6d150b46938890d63a7d18,37,0,F1_R1_K2_H0_Bs2_Bkv2,F1_R2_K2_H0_Bs2_Bkv2,0.0,6.859375,6.875,10.859375,-3.984375,under_allocation,0.015625,1.1296000331640243e-05,0,28
