active_kv_bytes,active_kv_tokens,condition,cost_per_million_tokens,dataset,effort,example_id,gather_materialization_seconds,generated_tokens,gpu_utilization,graph_search_latency_seconds,h2d_bytes,h2d_seconds,measured,measurement_scope,peak_gpu_allocated_bytes,peak_gpu_reserved_bytes,routing_latency_seconds,throughput_requests_per_second,tokens_per_second,total_latency_seconds,tpot_seconds,ttft_seconds
30195712,7372,graph_high,not_measurable_local_hardware,2wikimultihopqa,E2_high,008af56e0bdc11eba7f7acde48001122,0.0334098000312224,7,not_captured,0.004881299915723503,24231936,0.02337319974321872,True,inherited_qwen_gate3_single_request,1255194624,1321205760,0.004881299915723503,0.9269253746812505,6.488477622768753,1.0788354999385774,0.1449164166697301,0.20870069996453822
9863168,2408,graph_sparse,not_measurable_local_hardware,2wikimultihopqa,E0_low,008b58060baf11ebab90acde48001122,0.00631490012165159,15,not_captured,0.005552900023758411,3670016,0.0037281999830156565,True,inherited_qwen_gate3_single_request,1219545088,1249902592,0.005552900023758411,0.5592217824740547,8.388326737110821,1.7881993000628427,0.11634849285474047,0.158688300056383
17727488,4328,graph_balanced,not_measurable_local_hardware,2wikimultihopqa,E1_medium,008b58060baf11ebab90acde48001122,0.01571250008419156,15,not_captured,0.000801999936811626,11534336,0.009996800101362169,True,inherited_qwen_gate3_single_request,1232237568,1270874112,0.000801999936811626,0.5162735888779593,7.744103833169389,1.9369574999436736,0.12593667856916518,0.17309349996503443
28213248,6888,graph_high,not_measurable_local_hardware,2wikimultihopqa,E2_high,008b58060baf11ebab90acde48001122,0.029135600081644952,15,not_captured,0.004020299995318055,22020096,0.019326900015585124,True,inherited_qwen_gate3_single_request,1251323904,1291845632,0.004020299995318055,0.45419491930213324,6.8129237895319985,2.2016978999599814,0.14327566427943697,0.1949025000212714
10272768,2508,graph_sparse,not_measurable_local_hardware,2wikimultihopqa,E0_low,008c393e088411ebbd6dac1f6bf848b6,0.006737700081430376,9,not_captured,0.0036918000550940633,4194304,0.003987000091001391,True,inherited_qwen_gate3_single_request,1219387904,1262485504,0.0036918000550940633,0.9224533162946225,8.302079846651601,1.0840656999498606,0.11480828750063665,0.1649368000216782
18644992,4552,graph_balanced,not_measurable_local_hardware,2wikimultihopqa,E1_medium,008c393e088411ebbd6dac1f6bf848b6,0.018217500066384673,10,not_captured,0.0012981999898329377,12451840,0.011913400143384933,True,inherited_qwen_gate3_single_request,1233490432,1283457024,0.0012981999898329377,0.6777893709907765,6.777893709907765,1.475384599994868,0.14437364445378384,0.1753684999421239
18644992,4552,graph_high,not_measurable_local_hardware,2wikimultihopqa,E2_high,008c393e088411ebbd6dac1f6bf848b6,0.025863600079901516,10,not_captured,0.0008231999818235636,12451840,0.01684890000615269,True,inherited_qwen_gate3_single_request,1233506304,1283457024,0.0008231999818235636,0.7150981168148288,7.150981168148288,1.3984095000196248,0.13524011111197373,0.18059130001347512
10387456,2536,graph_sparse,not_measurable_local_hardware,2wikimultihopqa,E0_low,00a6129c085611ebbd59ac1f6bf848b6,0.008602100075222552,6,not_captured,0.004942400031723082,4194304,0.005010100081562996,True,inherited_qwen_gate3_single_request,1221274624,1296039936,0.004942400031723082,1.2361998377194874,7.417199026316924,0.8089306999463588,0.12906359999906272,0.16285419999621809
19464192,4752,graph_balanced,not_measurable_local_hardware,2wikimultihopqa,E1_medium,00a6129c085611ebbd59ac1f6bf848b6,0.01623720012139529,12,not_captured,0.0008220999734476209,12582912,0.01031489996239543,True,inherited_qwen_gate3_single_request,1236668928,1317011456,0.0008220999734476209,0.6257900991270867,7.50948118952504,1.5979798999615014,0.12828710909128527,0.18618289998266846
22773760,5560,graph_high,not_measurable_local_hardware,2wikimultihopqa,E2_high,00a6129c085611ebbd59ac1f6bf848b6,0.02193349995650351,12,not_captured,0.0010057000909000635,15892480,0.013786300201900303,True,inherited_qwen_gate3_single_request,1242675712,1337982976,0.0010057000909000635,0.566384609005728,6.796615308068736,1.7655847000423819,0.14333879091480578,0.18820450000930578
9142272,2232,graph_sparse,not_measurable_local_hardware,2wikimultihopqa,E0_low,00fc38720bb011ebab90acde48001122,0.010432900162413716,16,not_captured,0.00573830003850162,3407872,0.004982699872925878,True,inherited_qwen_gate3_single_request,1217275392,1256194048,0.00573830003850162,0.48861490624851656,7.817838499976265,2.0466014998964965,0.12572301333614935,0.16009229992050678
17776640,4340,graph_balanced,not_measurable_local_hardware,2wikimultihopqa,E1_medium,00fc38720bb011ebab90acde48001122,0.017831900040619075,16,not_captured,0.0008523000869899988,12042240,0.011312499991618097,True,inherited_qwen_gate3_single_request,1231027712,1277165568,0.0008523000869899988,0.45999539637278813,7.35992634196461,2.173934799968265,0.13341151333103576,0.17213319998700172
28262400,6900,graph_high,not_measurable_local_hardware,2wikimultihopqa,E2_high,00fc38720bb011ebab90acde48001122,0.03023329994175583,16,not_captured,0.0028658000519499183,22528000,0.018895399873144925,True,inherited_qwen_gate3_single_request,1246203392,1298137088,0.0028658000519499183,0.4278872795853979,6.8461964733663665,2.3370641000801697,0.14266334666560093,0.19605820009019226
10158080,2480,graph_sparse,not_measurable_local_hardware,2wikimultihopqa,E0_low,00fe8ebc08e311ebbda4ac1f6bf848b6,0.007408999954350293,4,not_captured,0.0055976000148803,4194304,0.004426599945873022,True,inherited_qwen_gate3_single_request,1221215744,1254096896,0.0055976000148803,1.9494214797051805,7.797685918820722,0.5129727000603452,0.11575626667278509,0.16499610000755638
18268160,4460,graph_balanced,not_measurable_local_hardware,2wikimultihopqa,E1_medium,00fe8ebc08e311ebbda4ac1f6bf848b6,0.018542999867349863,12,not_captured,0.000977699994109571,11386880,0.011700900038704276,True,inherited_qwen_gate3_single_request,1234025472,1275068416,0.000977699994109571,0.6259009061091997,7.510810873310396,1.5976970000192523,0.12860294544688342,0.18247710005380213
22462464,5484,graph_high,not_measurable_local_hardware,2wikimultihopqa,E2_high,00fe8ebc08e311ebbda4ac1f6bf848b6,0.02220759994816035,12,not_captured,0.0012350000906735659,15581184,0.01444419997278601,True,inherited_qwen_gate3_single_request,1242273792,1296039936,0.0012350000906735659,0.5985006361880977,7.182007634257173,1.6708420000504702,0.13425596363165163,0.19299750006757677
9551872,2332,graph_sparse,not_measurable_local_hardware,2wikimultihopqa,E0_low,01057cde0bb011ebab90acde48001122,0.007177500054240227,15,not_captured,0.00841389992274344,3932160,0.004333100048825145,True,inherited_qwen_gate3_single_request,1218040320,1245708288,0.00841389992274344,0.579556167781673,8.693342516725096,1.7254582999739796,0.11189792143081181,0.15823980001732707
16842752,4112,graph_balanced,not_measurable_local_hardware,2wikimultihopqa,E1_medium,01057cde0bb011ebab90acde48001122,0.017283900058828294,14,not_captured,0.0008249999955296516,11337728,0.010913000092841685,True,inherited_qwen_gate3_single_request,1228841472,1266679808,0.0008249999955296516,0.5598092035949922,7.83732885032989,1.7863228999776766,0.12428333077472277,0.1699034000048414
25346048,6188,graph_high,not_measurable_local_hardware,2wikimultihopqa,E2_high,01057cde0bb011ebab90acde48001122,0.026184599963016808,15,not_captured,0.003568099928088486,19726336,0.01796299999114126,True,inherited_qwen_gate3_single_request,1242837504,1287651328,0.003568099928088486,0.4655349140543787,6.98302371081568,2.148066599969752,0.13963371428794094,0.1925564999692142
