dataset,example_id,policy,N,E,K_search,K_admit,search_K_over_N,admit_K_over_N,search_R_E,admit_R_E,KV_active
qasper,2002.03407:b5608076d91450b0d295ad14c3e3a90d7e168d0e,fixed_E1,21,1,4,4,0.19047619047619047,0.19047619047619047,1.0,1.0,1024.0
qasper,2002.03407:b5608076d91450b0d295ad14c3e3a90d7e168d0e,fixed_E1,21,1,4,4,0.19047619047619047,0.19047619047619047,1.0,1.0,1024.0
qasper,2002.03407:b5608076d91450b0d295ad14c3e3a90d7e168d0e,fixed_E1,21,1,4,4,0.19047619047619047,0.19047619047619047,1.0,1.0,1024.0
qasper,1611.03599:e330e162ec29722f5ec9f83853d129c9e0693d65,fixed_E1,24,1,4,4,0.16666666666666666,0.16666666666666666,0.0,0.0,1024.0
qasper,1611.03599:e330e162ec29722f5ec9f83853d129c9e0693d65,fixed_E1,24,1,4,4,0.16666666666666666,0.16666666666666666,1.0,1.0,1024.0
qasper,1611.03599:e330e162ec29722f5ec9f83853d129c9e0693d65,fixed_E1,24,1,4,4,0.16666666666666666,0.16666666666666666,0.0,0.0,906.0
qasper,1611.03599:e330e162ec29722f5ec9f83853d129c9e0693d65,fixed_E1,24,1,4,4,0.16666666666666666,0.16666666666666666,1.0,1.0,1024.0
qasper,1611.03599:e330e162ec29722f5ec9f83853d129c9e0693d65,fixed_E1,24,1,4,4,0.16666666666666666,0.16666666666666666,1.0,1.0,1024.0
hotpotqa,5ab2b863554299295394685a,factorized_oracle,6,2,1,1,0.16666666666666666,0.16666666666666666,0.5,0.5,256.0
hotpotqa,5ab2b863554299295394685a,factorized_oracle,6,2,1,1,0.16666666666666666,0.16666666666666666,0.5,0.5,256.0
hotpotqa,5ab2b863554299295394685a,factorized_oracle,6,2,1,1,0.16666666666666666,0.16666666666666666,0.5,0.5,256.0
hotpotqa,5ab2b863554299295394685a,factorized_oracle,6,2,1,1,0.16666666666666666,0.16666666666666666,0.5,0.5,256.0
hotpotqa,5ab2b863554299295394685a,factorized_oracle,6,2,2,2,0.3333333333333333,0.3333333333333333,0.5,0.5,512.0
hotpotqa,5a710a915542994082a3e504,factorized_oracle,5,2,3,3,0.6,0.6,1.0,1.0,768.0
hotpotqa,5a710a915542994082a3e504,factorized_oracle,5,2,4,4,0.8,0.8,1.0,1.0,1024.0
hotpotqa,5a710a915542994082a3e504,factorized_oracle,5,2,3,3,0.6,0.6,1.0,1.0,768.0
hotpotqa,5a710a915542994082a3e504,factorized_oracle,5,2,3,3,0.6,0.6,1.0,1.0,768.0
hotpotqa,5a710a915542994082a3e504,factorized_oracle,5,2,4,4,0.8,0.8,1.0,1.0,896.0
hotpotqa,5adc93a4554299438c868e01,factorized_oracle,5,3,2,2,0.4,0.4,0.6666666666666666,0.6666666666666666,512.0
hotpotqa,5adc93a4554299438c868e01,factorized_oracle,5,3,3,3,0.6,0.6,0.6666666666666666,0.6666666666666666,685.0
hotpotqa,5adc93a4554299438c868e01,factorized_oracle,5,3,2,2,0.4,0.4,0.6666666666666666,0.6666666666666666,512.0
hotpotqa,5adc93a4554299438c868e01,factorized_oracle,5,3,2,2,0.4,0.4,0.6666666666666666,0.6666666666666666,512.0
hotpotqa,5adc93a4554299438c868e01,factorized_oracle,5,3,2,2,0.4,0.4,0.6666666666666666,0.6666666666666666,512.0
hotpotqa,5a8888e35542997e5c09a5f6,factorized_oracle,5,2,2,2,0.4,0.4,1.0,1.0,466.0
hotpotqa,5a8888e35542997e5c09a5f6,factorized_oracle,5,2,3,3,0.6,0.6,1.0,1.0,722.0
hotpotqa,5a8888e35542997e5c09a5f6,factorized_oracle,5,2,3,3,0.6,0.6,1.0,1.0,722.0
hotpotqa,5a8888e35542997e5c09a5f6,factorized_oracle,5,2,4,4,0.8,0.8,1.0,1.0,978.0
hotpotqa,5a8888e35542997e5c09a5f6,factorized_oracle,5,2,3,3,0.6,0.6,1.0,1.0,722.0
hotpotqa,5a8c8502554299585d9e36d0,factorized_oracle,7,2,4,4,0.5714285714285714,0.5714285714285714,0.5,0.5,1024.0
hotpotqa,5a8c8502554299585d9e36d0,factorized_oracle,7,2,7,7,1.0,1.0,1.0,1.0,1739.0
hotpotqa,5a8c8502554299585d9e36d0,factorized_oracle,7,2,4,4,0.5714285714285714,0.5714285714285714,0.5,0.5,1024.0
hotpotqa,5a8c8502554299585d9e36d0,factorized_oracle,7,2,4,4,0.5714285714285714,0.5714285714285714,0.5,0.5,1024.0
hotpotqa,5a8c8502554299585d9e36d0,factorized_oracle,7,2,2,2,0.2857142857142857,0.2857142857142857,0.5,0.5,512.0
hotpotqa,5a80d6be55429938b6142206,factorized_oracle,6,2,5,5,0.8333333333333334,0.8333333333333334,1.0,1.0,1217.0
hotpotqa,5a80d6be55429938b6142206,factorized_oracle,6,2,6,6,1.0,1.0,1.0,1.0,1473.0
hotpotqa,5a80d6be55429938b6142206,factorized_oracle,6,2,6,6,1.0,1.0,1.0,1.0,1473.0
hotpotqa,5a80d6be55429938b6142206,factorized_oracle,6,2,6,6,1.0,1.0,1.0,1.0,1473.0
hotpotqa,5a80d6be55429938b6142206,factorized_oracle,6,2,6,6,1.0,1.0,1.0,1.0,1473.0
hotpotqa,5ab88c075542991b5579efbe,factorized_oracle,7,2,5,5,0.7142857142857143,0.7142857142857143,1.0,1.0,1280.0
hotpotqa,5ab88c075542991b5579efbe,factorized_oracle,7,2,4,4,0.5714285714285714,0.5714285714285714,1.0,1.0,1024.0
hotpotqa,5ab88c075542991b5579efbe,factorized_oracle,7,2,4,4,0.5714285714285714,0.5714285714285714,1.0,1.0,1024.0
hotpotqa,5ab88c075542991b5579efbe,factorized_oracle,7,2,2,2,0.2857142857142857,0.2857142857142857,1.0,1.0,512.0
hotpotqa,5ab88c075542991b5579efbe,factorized_oracle,7,2,4,4,0.5714285714285714,0.5714285714285714,1.0,1.0,1024.0
qasper,2003.11562:fc4ae12576ea3a85ea6d150b46938890d63a7d18,factorized_oracle,11,1,1,1,0.09090909090909091,0.09090909090909091,1.0,1.0,256.0
qasper,2003.11562:fc4ae12576ea3a85ea6d150b46938890d63a7d18,factorized_oracle,11,1,2,2,0.18181818181818182,0.18181818181818182,1.0,1.0,503.0
qasper,2003.11562:fc4ae12576ea3a85ea6d150b46938890d63a7d18,factorized_oracle,11,1,2,2,0.18181818181818182,0.18181818181818182,1.0,1.0,503.0
qasper,2003.11562:fc4ae12576ea3a85ea6d150b46938890d63a7d18,factorized_oracle,11,1,1,1,0.09090909090909091,0.09090909090909091,1.0,1.0,256.0
qasper,2003.11562:fc4ae12576ea3a85ea6d150b46938890d63a7d18,factorized_oracle,11,1,1,1,0.09090909090909091,0.09090909090909091,1.0,1.0,256.0
qasper,2003.11645:c2d1387e08cf25cb6b1f482178cca58030e85b70,factorized_oracle,14,1,4,4,0.2857142857142857,0.2857142857142857,1.0,1.0,1024.0
qasper,2003.11645:c2d1387e08cf25cb6b1f482178cca58030e85b70,factorized_oracle,14,1,1,1,0.07142857142857142,0.07142857142857142,1.0,1.0,256.0
qasper,2003.11645:c2d1387e08cf25cb6b1f482178cca58030e85b70,factorized_oracle,14,1,1,1,0.07142857142857142,0.07142857142857142,1.0,1.0,256.0
