dataset,example_id,query_representation,contextual_representation,depth,cosine_similarity,cosine_drift
qasper,1912.03804:2ccc26e11df4eb26fcccdd1f446dc749aff5d572,S4_hidden_l14_mean,S8_context_hidden_l14_mean,14,0.9621696472167969,0.037830352783203125
qasper,1912.03804:2ccc26e11df4eb26fcccdd1f446dc749aff5d572,S5_hidden_l28_mean,S8_context_hidden_l28_mean,28,0.9623644351959229,0.03763556480407715
qasper,1912.03804:2ccc26e11df4eb26fcccdd1f446dc749aff5d572,S6_native_q_l13_mean,S8_context_native_q_l13_mean,14,0.9375655055046082,0.062434494495391846
qasper,1912.03804:2ccc26e11df4eb26fcccdd1f446dc749aff5d572,S6_native_q_l23_mean,S8_context_native_q_l23_mean,24,0.9683589339256287,0.03164106607437134
qasper,1910.14599:ee2c9bc24d70daa0c87e38e0558e09ab97feb4f2,S4_hidden_l14_mean,S8_context_hidden_l14_mean,14,0.9626002311706543,0.0373997688293457
qasper,1910.14599:ee2c9bc24d70daa0c87e38e0558e09ab97feb4f2,S5_hidden_l28_mean,S8_context_hidden_l28_mean,28,0.9448482990264893,0.05515170097351074
qasper,1910.14599:ee2c9bc24d70daa0c87e38e0558e09ab97feb4f2,S6_native_q_l13_mean,S8_context_native_q_l13_mean,14,0.9456530809402466,0.05434691905975342
qasper,1910.14599:ee2c9bc24d70daa0c87e38e0558e09ab97feb4f2,S6_native_q_l23_mean,S8_context_native_q_l23_mean,24,0.9642322659492493,0.03576773405075073
qasper,2002.04181:1329280df5ee9e902b2742bde4a97bc3e6573ff3,S4_hidden_l14_mean,S8_context_hidden_l14_mean,14,0.9575515389442444,0.042448461055755615
qasper,2002.04181:1329280df5ee9e902b2742bde4a97bc3e6573ff3,S5_hidden_l28_mean,S8_context_hidden_l28_mean,28,0.9679161906242371,0.03208380937576294
qasper,2002.04181:1329280df5ee9e902b2742bde4a97bc3e6573ff3,S6_native_q_l13_mean,S8_context_native_q_l13_mean,14,0.9037227630615234,0.09627723693847656
qasper,2002.04181:1329280df5ee9e902b2742bde4a97bc3e6573ff3,S6_native_q_l23_mean,S8_context_native_q_l23_mean,24,0.9710082411766052,0.028991758823394775
qasper,1703.04001:4e1a67f8dc68b55a5ce18e6cd385ae9ab90d891f,S4_hidden_l14_mean,S8_context_hidden_l14_mean,14,0.9091659188270569,0.09083408117294312
qasper,1703.04001:4e1a67f8dc68b55a5ce18e6cd385ae9ab90d891f,S5_hidden_l28_mean,S8_context_hidden_l28_mean,28,0.9670802354812622,0.03291976451873779
qasper,1703.04001:4e1a67f8dc68b55a5ce18e6cd385ae9ab90d891f,S6_native_q_l13_mean,S8_context_native_q_l13_mean,14,0.9222133755683899,0.07778662443161011
qasper,1703.04001:4e1a67f8dc68b55a5ce18e6cd385ae9ab90d891f,S6_native_q_l23_mean,S8_context_native_q_l23_mean,24,0.9538545608520508,0.04614543914794922
qasper,2002.03407:b5608076d91450b0d295ad14c3e3a90d7e168d0e,S4_hidden_l14_mean,S8_context_hidden_l14_mean,14,0.9285107851028442,0.07148921489715576
qasper,2002.03407:b5608076d91450b0d295ad14c3e3a90d7e168d0e,S5_hidden_l28_mean,S8_context_hidden_l28_mean,28,0.9449208378791809,0.05507916212081909
