representation,dataset,quality,retrieval_cost,total_cost,oracle_regret,under_allocation,over_allocation,prefill_cost,prefill_latency_seconds,rows
S6_native_q_l23_mean,qasper,0.6466666666666666,17.016770833333332,17.394002976190478,6.964836309523809,0.18666666666666668,0.35333333333333333,0.37723214285714285,0.09551127497355143,150
S6_native_q_l27_mean,hotpotqa,0.5257142857142857,29.870714285714286,30.513571428571428,10.531875,0.4742857142857143,0.5257142857142857,0.6428571428571429,0.12034934561593191,175
S6_native_q_l27_mean,qasper,0.6333333333333333,15.689270833333333,16.129375,5.700208333333333,0.2,0.29333333333333333,0.4401041666666667,0.11105598958333333,150
S6_native_q_l3_mean,hotpotqa,0.76,34.20285714285714,34.29469387755102,14.31299744897959,0.24,0.76,0.09183673469387756,0.019347309385027205,175
S6_native_q_l3_mean,qasper,0.7,19.474895833333335,19.537767857142857,9.108601190476191,0.13333333333333333,0.4866666666666667,0.06287202380952381,0.01794491736094157,150
S7_native_k_l13_mean,hotpotqa,0.5942857142857143,31.18660714285714,31.508035714285715,11.526339285714286,0.4057142857142857,0.5942857142857143,0.32142857142857145,0.06146881375994001,175
S7_native_k_l13_mean,qasper,0.7266666666666667,23.3703125,23.590364583333333,13.161197916666667,0.10666666666666667,0.6066666666666667,0.22005208333333334,0.05667878405253093,150
S7_native_k_l23_mean,hotpotqa,0.5828571428571429,30.53125,31.082270408163264,11.100573979591838,0.41714285714285715,0.5828571428571429,0.5510204081632654,0.10353081948416573,175
S7_native_k_l23_mean,qasper,0.6733333333333333,20.498645833333335,20.875877976190477,10.44671130952381,0.16,0.46,0.37723214285714285,0.09551127497355143,150
S7_native_qk_l13_mean,hotpotqa,0.6285714285714286,31.809464285714284,32.130892857142854,12.149196428571429,0.37142857142857144,0.6285714285714286,0.32142857142857145,0.06146881375994001,175
S7_native_qk_l13_mean,qasper,0.6933333333333334,22.200416666666666,22.42046875,11.991302083333334,0.14,0.5533333333333333,0.22005208333333334,0.05667878405253093,150
S7_native_qk_l23_mean,hotpotqa,0.5828571428571429,30.754107142857144,31.30512755102041,11.32343112244898,0.41714285714285715,0.5828571428571429,0.5510204081632654,0.10353081948416573,175
S7_native_qk_l23_mean,qasper,0.66,20.048125,20.425357142857145,9.996190476190476,0.17333333333333334,0.4266666666666667,0.37723214285714285,0.09551127497355143,150
S8_context_hidden_l14_mean,hotpotqa,0.6628571428571428,32.566964285714285,34.566964285714285,14.585267857142858,0.33714285714285713,0.6628571428571428,2.0,0.1774949907575335,175
S8_context_hidden_l14_mean,qasper,0.6866666666666666,17.693645833333335,19.693645833333335,9.264479166666666,0.14666666666666667,0.4066666666666667,2.0,0.1775983912150065,150
S8_context_hidden_l28_mean,hotpotqa,0.5828571428571429,31.118035714285714,35.11803571428572,15.136339285714286,0.41714285714285715,0.5828571428571429,4.0,0.35376341465541294,175
S8_context_hidden_l28_mean,qasper,0.6333333333333333,15.4109375,19.4109375,8.981770833333334,0.2,0.30666666666666664,4.0,0.35359063720703127,150
S8_context_native_q_l13_mean,hotpotqa,0.6228571428571429,31.11330357142857,33.113303571428574,13.131607142857144,0.37714285714285717,0.6057142857142858,2.0,0.1774949907575335,175
S8_context_native_q_l13_mean,qasper,0.6933333333333334,19.586145833333333,21.586145833333333,11.156979166666666,0.14,0.49333333333333335,2.0,0.1775983912150065,150
S8_context_native_q_l23_mean,hotpotqa,0.6514285714285715,32.355535714285715,35.784107142857145,15.802410714285717,0.3485714285714286,0.6514285714285715,3.4285714285714284,0.3032557939801897,175
S8_context_native_q_l23_mean,qasper,0.66,17.068645833333335,20.497217261904762,10.068050595238097,0.17333333333333334,0.3933333333333333,3.428571428571428,0.3032279205322266,150
