dataset,examples,left_strategy,mean_cosine_similarity,right_strategy
qasper,8,exp_w16_h2.0,0.98541259765625,exp_w16_h4.0
qasper,8,exp_w16_h2.0,0.95751953125,exp_w16_h8.0
qasper,8,exp_w16_h2.0,0.968505859375,linear_w16
qasper,8,exp_w16_h2.0,0.338165283203125,question_exp_h4.0
qasper,8,exp_w16_h2.0,0.324462890625,question_exp_h8.0
qasper,8,exp_w16_h2.0,0.313018798828125,question_mean
qasper,8,exp_w16_h4.0,0.99041748046875,exp_w16_h8.0
qasper,8,exp_w16_h4.0,0.99652099609375,linear_w16
qasper,8,exp_w16_h4.0,0.399139404296875,question_exp_h4.0
qasper,8,exp_w16_h4.0,0.386260986328125,question_exp_h8.0
qasper,8,exp_w16_h4.0,0.374359130859375,question_mean
qasper,8,exp_w16_h8.0,0.99560546875,linear_w16
qasper,8,exp_w16_h8.0,0.498291015625,question_exp_h4.0
qasper,8,exp_w16_h8.0,0.486572265625,question_exp_h8.0
qasper,8,exp_w16_h8.0,0.47412109375,question_mean
qasper,8,last,0.687744140625,exp_w16_h2.0
qasper,8,last,0.6043701171875,exp_w16_h4.0
qasper,8,last,0.5740966796875,exp_w16_h8.0
qasper,8,last,0.55877685546875,linear_w16
qasper,8,last,0.40972900390625,question_exp_h4.0
qasper,8,last,0.39306640625,question_exp_h8.0
qasper,8,last,0.378509521484375,question_mean
qasper,8,last,0.5477294921875,uniform_w16
qasper,8,last,0.6617431640625,uniform_w4
qasper,8,last,0.48773193359375,uniform_w8
qasper,8,linear_w16,0.418914794921875,question_exp_h4.0
qasper,8,linear_w16,0.405975341796875,question_exp_h8.0
qasper,8,linear_w16,0.393402099609375,question_mean
qasper,8,question_exp_h4.0,0.996826171875,question_exp_h8.0
qasper,8,question_mean,0.9862060546875,question_exp_h4.0
qasper,8,question_mean,0.996337890625,question_exp_h8.0
qasper,8,uniform_w16,0.8883056640625,exp_w16_h2.0
qasper,8,uniform_w16,0.94073486328125,exp_w16_h4.0
qasper,8,uniform_w16,0.97760009765625,exp_w16_h8.0
qasper,8,uniform_w16,0.9544677734375,linear_w16
qasper,8,uniform_w16,0.65399169921875,question_exp_h4.0
qasper,8,uniform_w16,0.64471435546875,question_exp_h8.0
qasper,8,uniform_w16,0.63226318359375,question_mean
qasper,8,uniform_w4,0.98284912109375,exp_w16_h2.0
qasper,8,uniform_w4,0.95916748046875,exp_w16_h4.0
qasper,8,uniform_w4,0.92523193359375,exp_w16_h8.0
qasper,8,uniform_w4,0.937255859375,linear_w16
qasper,8,uniform_w4,0.3172607421875,question_exp_h4.0
qasper,8,uniform_w4,0.302520751953125,question_exp_h8.0
qasper,8,uniform_w4,0.2906494140625,question_mean
qasper,8,uniform_w4,0.85089111328125,uniform_w16
qasper,8,uniform_w4,0.9246826171875,uniform_w8
qasper,8,uniform_w8,0.955810546875,exp_w16_h2.0
qasper,8,uniform_w8,0.9759521484375,exp_w16_h4.0
qasper,8,uniform_w8,0.953857421875,exp_w16_h8.0
qasper,8,uniform_w8,0.97674560546875,linear_w16
qasper,8,uniform_w8,0.224884033203125,question_exp_h4.0
qasper,8,uniform_w8,0.2135162353515625,question_exp_h8.0
qasper,8,uniform_w8,0.204193115234375,question_mean
qasper,8,uniform_w8,0.87542724609375,uniform_w16
