protocol,seed,payload_tokens,payload_bytes,record_type,condition,effective_mode,native_index_state,native_index_requested,native_index_built,native_index_skipped_reason,native_index_tokens,native_index_bytes,native_index_latency_ms,agent_compression_ttuc_ms,time_to_usable_context_ms,cheap_index_modes_built,cheap_index_bytes,cheap_search_latency_ms,selected_region_native_latency_ms,selected_region_tokens,lazy_native_regions_encoded,evidence_recall,active_kv_tokens,routing_index_bytes,resident_detail_kv_bytes,search_available,cursor_available,full_materialization_available
paper7-native-index-size-gate-v1,11,16384,178365,terminal_output,CURSOR_SEARCH_ONLY,PRA_SIZE_GATED,SKIPPED_SIZE_LIMIT,1,0,178365 bytes exceed configured limit 0,,178365,0.0,68.2874999474734,72.72360008209944,entity;lexical;rare_term,14005,66.24059984460473,0.0,0,0,1,272,768,86016,1,1,1
paper7-native-index-size-gate-v1,23,16384,178365,terminal_output,FULL_BODY_NATIVE,PRA_NATIVE,BUILT,1,1,,16384,178365,45.415200060233474,71.85130007565022,206.36640000157058,entity;lexical;rare_term,14005,20.79890016466379,0.0,0,0,1,272,33536,4277760,1,1,1
paper7-native-index-size-gate-v1,23,16384,178365,terminal_output,SIZE_GATED_CHEAP,PRA_SIZE_GATED,SKIPPED_SIZE_LIMIT,1,0,178365 bytes exceed configured limit 65536,,178365,0.0,92.08169998601079,96.57950000837445,entity;lexical;rare_term,14005,85.65289992839098,0.0,0,0,1,272,768,86016,1,1,1
paper7-native-index-size-gate-v1,23,16384,178365,terminal_output,SIZE_GATED_LAZY_NATIVE,PRA_SIZE_GATED_LAZY,SKIPPED_SIZE_LIMIT,1,0,178365 bytes exceed configured limit 65536,,178365,0.0,72.59700004942715,76.86020014807582,entity;lexical;rare_term,14005,61.982099898159504,1.2596000451594591,32,1,1,32,896,94208,1,1,1
paper7-native-index-size-gate-v1,23,16384,178365,terminal_output,CURSOR_SEARCH_ONLY,PRA_SIZE_GATED,SKIPPED_SIZE_LIMIT,1,0,178365 bytes exceed configured limit 0,,178365,0.0,67.1779999975115,72.72009993903339,entity;lexical;rare_term,14005,54.122200002893806,0.0,0,0,1,272,768,86016,1,1,1
paper7-native-index-size-gate-v1,37,16384,178365,terminal_output,FULL_BODY_NATIVE,PRA_NATIVE,BUILT,1,1,,16384,178365,48.319699941203,70.47299994155765,212.21540006808937,entity;lexical;rare_term,14005,18.891199957579374,0.0,0,0,1,272,33536,4277760,1,1,1
paper7-native-index-size-gate-v1,37,16384,178365,terminal_output,SIZE_GATED_CHEAP,PRA_SIZE_GATED,SKIPPED_SIZE_LIMIT,1,0,178365 bytes exceed configured limit 65536,,178365,0.0,76.98259991593659,79.8028998542577,entity;lexical;rare_term,14005,76.97020005434752,0.0,0,0,1,272,768,86016,1,1,1
paper7-native-index-size-gate-v1,37,16384,178365,terminal_output,SIZE_GATED_LAZY_NATIVE,PRA_SIZE_GATED_LAZY,SKIPPED_SIZE_LIMIT,1,0,178365 bytes exceed configured limit 65536,,178365,0.0,63.73140006326139,68.62320005893707,entity;lexical;rare_term,14005,67.22630001604557,1.5849999617785215,32,1,1,32,896,94208,1,1,1
paper7-native-index-size-gate-v1,37,16384,178365,terminal_output,CURSOR_SEARCH_ONLY,PRA_SIZE_GATED,SKIPPED_SIZE_LIMIT,1,0,178365 bytes exceed configured limit 0,,178365,0.0,78.1445000320673,84.16680013760924,entity;lexical;rare_term,14005,63.407399924471974,0.0,0,0,1,272,768,86016,1,1,1
paper7-native-index-size-gate-v1,53,16384,178365,terminal_output,FULL_BODY_NATIVE,PRA_NATIVE,BUILT,1,1,,16384,178365,39.348899852484465,76.35580003261566,214.9215000681579,entity;lexical;rare_term,14005,17.84290000796318,0.0,0,0,1,272,33536,4277760,1,1,1
paper7-native-index-size-gate-v1,53,16384,178365,terminal_output,SIZE_GATED_CHEAP,PRA_SIZE_GATED,SKIPPED_SIZE_LIMIT,1,0,178365 bytes exceed configured limit 65536,,178365,0.0,61.3240001257509,67.02230009250343,entity;lexical;rare_term,14005,68.0004998575896,0.0,0,0,1,272,768,86016,1,1,1
paper7-native-index-size-gate-v1,53,16384,178365,terminal_output,SIZE_GATED_LAZY_NATIVE,PRA_SIZE_GATED_LAZY,SKIPPED_SIZE_LIMIT,1,0,178365 bytes exceed configured limit 65536,,178365,0.0,76.12000009976327,81.48110006004572,entity;lexical;rare_term,14005,66.75500003620982,2.0437000785022974,32,1,1,32,896,94208,1,1,1
paper7-native-index-size-gate-v1,53,16384,178365,terminal_output,CURSOR_SEARCH_ONLY,PRA_SIZE_GATED,SKIPPED_SIZE_LIMIT,1,0,178365 bytes exceed configured limit 0,,178365,0.0,76.2690999545157,81.34439983405173,entity;lexical;rare_term,14005,68.81240010261536,0.0,0,0,1,272,768,86016,1,1,1
paper7-native-index-size-gate-v1,71,16384,178365,terminal_output,FULL_BODY_NATIVE,PRA_NATIVE,BUILT,1,1,,16384,178365,44.32569979690015,69.31980000808835,205.4447999689728,entity;lexical;rare_term,14005,16.907100100070238,0.0,0,0,1,272,33536,4277760,1,1,1
paper7-native-index-size-gate-v1,71,16384,178365,terminal_output,SIZE_GATED_CHEAP,PRA_SIZE_GATED,SKIPPED_SIZE_LIMIT,1,0,178365 bytes exceed configured limit 65536,,178365,0.0,70.25190000422299,74.07659990713,entity;lexical;rare_term,14005,62.245499808341265,0.0,0,0,1,272,768,86016,1,1,1
paper7-native-index-size-gate-v1,71,16384,178365,terminal_output,SIZE_GATED_LAZY_NATIVE,PRA_SIZE_GATED_LAZY,SKIPPED_SIZE_LIMIT,1,0,178365 bytes exceed configured limit 65536,,178365,0.0,74.08489985391498,79.549599904567,entity;lexical;rare_term,14005,62.11919989436865,2.3146001622080803,32,1,1,32,896,94208,1,1,1
paper7-native-index-size-gate-v1,71,16384,178365,terminal_output,CURSOR_SEARCH_ONLY,PRA_SIZE_GATED,SKIPPED_SIZE_LIMIT,1,0,178365 bytes exceed configured limit 0,,178365,0.0,75.20950003527105,80.55950002744794,entity;lexical;rare_term,14005,58.86540003120899,0.0,0,0,1,272,768,86016,1,1,1
paper7-native-index-size-gate-v1,11,65536,713647,terminal_output,FULL_BODY_NATIVE,PRA_NATIVE,BUILT,1,1,,65536,713647,125.99519989453256,191.10510009340942,443.1388000957668,entity;lexical;rare_term,14005,41.44950001500547,0.0,0,0,1,272,131840,16860672,1,1,1
paper7-native-index-size-gate-v1,11,65536,713647,terminal_output,SIZE_GATED_CHEAP,PRA_SIZE_GATED,SKIPPED_SIZE_LIMIT,1,0,713647 bytes exceed configured limit 65536,,713647,0.0,229.26370007917285,233.6580001283437,entity;lexical;rare_term,14005,70.23410010151565,0.0,0,0,1,272,768,86016,1,1,1
