candidate_count,condition,examples,failure_class,regime,selector_profile,token_budget
50,PRA_NATIVE_MEMORY_NO_ADAPTOR,5,PRA_SELECTOR_MISS,WARM,pra_generic,2048
50,PRA_NATIVE_MEMORY_NO_ADAPTOR,6,SUCCESS,WARM,pra_generic,2048
50,PRA_NATIVE_MEMORY_NO_ADAPTOR,15,FIRST_STAGE_RETRIEVAL_MISS,COLD,pra_generic,4096
50,PRA_NATIVE_MEMORY_NO_ADAPTOR,5,GENERATION_FAILURE,COLD,pra_generic,4096
50,PRA_NATIVE_MEMORY_NO_ADAPTOR,12,PRA_DISTRACTOR_SELECTION,COLD,pra_generic,4096
50,PRA_NATIVE_MEMORY_NO_ADAPTOR,4,PRA_SELECTOR_MISS,COLD,pra_generic,4096
50,PRA_NATIVE_MEMORY_NO_ADAPTOR,14,SUCCESS,COLD,pra_generic,4096
50,PRA_NATIVE_MEMORY_NO_ADAPTOR,15,FIRST_STAGE_RETRIEVAL_MISS,WARM,pra_generic,4096
50,PRA_NATIVE_MEMORY_NO_ADAPTOR,5,GENERATION_FAILURE,WARM,pra_generic,4096
50,PRA_NATIVE_MEMORY_NO_ADAPTOR,12,PRA_DISTRACTOR_SELECTION,WARM,pra_generic,4096
50,PRA_NATIVE_MEMORY_NO_ADAPTOR,4,PRA_SELECTOR_MISS,WARM,pra_generic,4096
50,PRA_NATIVE_MEMORY_NO_ADAPTOR,14,SUCCESS,WARM,pra_generic,4096
20,PRA_NATIVE_MEMORY_NO_ADAPTOR,23,FIRST_STAGE_RETRIEVAL_MISS,COLD,pra_strong_reranker,2048
20,PRA_NATIVE_MEMORY_NO_ADAPTOR,3,GENERATION_FAILURE,COLD,pra_strong_reranker,2048
20,PRA_NATIVE_MEMORY_NO_ADAPTOR,13,PRA_DISTRACTOR_SELECTION,COLD,pra_strong_reranker,2048
20,PRA_NATIVE_MEMORY_NO_ADAPTOR,3,PRA_SELECTOR_MISS,COLD,pra_strong_reranker,2048
20,PRA_NATIVE_MEMORY_NO_ADAPTOR,8,SUCCESS,COLD,pra_strong_reranker,2048
20,PRA_NATIVE_MEMORY_NO_ADAPTOR,23,FIRST_STAGE_RETRIEVAL_MISS,WARM,pra_strong_reranker,2048
20,PRA_NATIVE_MEMORY_NO_ADAPTOR,3,GENERATION_FAILURE,WARM,pra_strong_reranker,2048
20,PRA_NATIVE_MEMORY_NO_ADAPTOR,13,PRA_DISTRACTOR_SELECTION,WARM,pra_strong_reranker,2048
20,PRA_NATIVE_MEMORY_NO_ADAPTOR,3,PRA_SELECTOR_MISS,WARM,pra_strong_reranker,2048
20,PRA_NATIVE_MEMORY_NO_ADAPTOR,8,SUCCESS,WARM,pra_strong_reranker,2048
20,PRA_NATIVE_MEMORY_NO_ADAPTOR,23,FIRST_STAGE_RETRIEVAL_MISS,COLD,pra_strong_reranker,4096
20,PRA_NATIVE_MEMORY_NO_ADAPTOR,2,GENERATION_FAILURE,COLD,pra_strong_reranker,4096
20,PRA_NATIVE_MEMORY_NO_ADAPTOR,10,PRA_DISTRACTOR_SELECTION,COLD,pra_strong_reranker,4096
20,PRA_NATIVE_MEMORY_NO_ADAPTOR,3,PRA_SELECTOR_MISS,COLD,pra_strong_reranker,4096
20,PRA_NATIVE_MEMORY_NO_ADAPTOR,12,SUCCESS,COLD,pra_strong_reranker,4096
20,PRA_NATIVE_MEMORY_NO_ADAPTOR,23,FIRST_STAGE_RETRIEVAL_MISS,WARM,pra_strong_reranker,4096
20,PRA_NATIVE_MEMORY_NO_ADAPTOR,2,GENERATION_FAILURE,WARM,pra_strong_reranker,4096
20,PRA_NATIVE_MEMORY_NO_ADAPTOR,10,PRA_DISTRACTOR_SELECTION,WARM,pra_strong_reranker,4096
20,PRA_NATIVE_MEMORY_NO_ADAPTOR,3,PRA_SELECTOR_MISS,WARM,pra_strong_reranker,4096
20,PRA_NATIVE_MEMORY_NO_ADAPTOR,12,SUCCESS,WARM,pra_strong_reranker,4096
50,PRA_NATIVE_MEMORY_NO_ADAPTOR,15,FIRST_STAGE_RETRIEVAL_MISS,COLD,pra_strong_reranker,2048
50,PRA_NATIVE_MEMORY_NO_ADAPTOR,5,GENERATION_FAILURE,COLD,pra_strong_reranker,2048
50,PRA_NATIVE_MEMORY_NO_ADAPTOR,19,PRA_DISTRACTOR_SELECTION,COLD,pra_strong_reranker,2048
50,PRA_NATIVE_MEMORY_NO_ADAPTOR,4,PRA_SELECTOR_MISS,COLD,pra_strong_reranker,2048
50,PRA_NATIVE_MEMORY_NO_ADAPTOR,7,SUCCESS,COLD,pra_strong_reranker,2048
50,PRA_NATIVE_MEMORY_NO_ADAPTOR,15,FIRST_STAGE_RETRIEVAL_MISS,WARM,pra_strong_reranker,2048
50,PRA_NATIVE_MEMORY_NO_ADAPTOR,5,GENERATION_FAILURE,WARM,pra_strong_reranker,2048
50,PRA_NATIVE_MEMORY_NO_ADAPTOR,19,PRA_DISTRACTOR_SELECTION,WARM,pra_strong_reranker,2048
50,PRA_NATIVE_MEMORY_NO_ADAPTOR,4,PRA_SELECTOR_MISS,WARM,pra_strong_reranker,2048
50,PRA_NATIVE_MEMORY_NO_ADAPTOR,7,SUCCESS,WARM,pra_strong_reranker,2048
50,PRA_NATIVE_MEMORY_NO_ADAPTOR,15,FIRST_STAGE_RETRIEVAL_MISS,COLD,pra_strong_reranker,4096
50,PRA_NATIVE_MEMORY_NO_ADAPTOR,5,GENERATION_FAILURE,COLD,pra_strong_reranker,4096
50,PRA_NATIVE_MEMORY_NO_ADAPTOR,14,PRA_DISTRACTOR_SELECTION,COLD,pra_strong_reranker,4096
50,PRA_NATIVE_MEMORY_NO_ADAPTOR,3,PRA_SELECTOR_MISS,COLD,pra_strong_reranker,4096
50,PRA_NATIVE_MEMORY_NO_ADAPTOR,13,SUCCESS,COLD,pra_strong_reranker,4096
50,PRA_NATIVE_MEMORY_NO_ADAPTOR,15,FIRST_STAGE_RETRIEVAL_MISS,WARM,pra_strong_reranker,4096
50,PRA_NATIVE_MEMORY_NO_ADAPTOR,5,GENERATION_FAILURE,WARM,pra_strong_reranker,4096
50,PRA_NATIVE_MEMORY_NO_ADAPTOR,14,PRA_DISTRACTOR_SELECTION,WARM,pra_strong_reranker,4096
50,PRA_NATIVE_MEMORY_NO_ADAPTOR,3,PRA_SELECTOR_MISS,WARM,pra_strong_reranker,4096
50,PRA_NATIVE_MEMORY_NO_ADAPTOR,13,SUCCESS,WARM,pra_strong_reranker,4096
20,PRA_SELECTED_CONTEXT_NO_ADAPTOR,23,FIRST_STAGE_RETRIEVAL_MISS,COLD,pra_generic,2048
20,PRA_SELECTED_CONTEXT_NO_ADAPTOR,4,GENERATION_FAILURE,COLD,pra_generic,2048
20,PRA_SELECTED_CONTEXT_NO_ADAPTOR,14,PRA_DISTRACTOR_SELECTION,COLD,pra_generic,2048
20,PRA_SELECTED_CONTEXT_NO_ADAPTOR,3,PRA_SELECTOR_MISS,COLD,pra_generic,2048
20,PRA_SELECTED_CONTEXT_NO_ADAPTOR,6,SUCCESS,COLD,pra_generic,2048
20,PRA_SELECTED_CONTEXT_NO_ADAPTOR,23,FIRST_STAGE_RETRIEVAL_MISS,WARM,pra_generic,2048
20,PRA_SELECTED_CONTEXT_NO_ADAPTOR,4,GENERATION_FAILURE,WARM,pra_generic,2048
20,PRA_SELECTED_CONTEXT_NO_ADAPTOR,14,PRA_DISTRACTOR_SELECTION,WARM,pra_generic,2048
20,PRA_SELECTED_CONTEXT_NO_ADAPTOR,3,PRA_SELECTOR_MISS,WARM,pra_generic,2048
20,PRA_SELECTED_CONTEXT_NO_ADAPTOR,6,SUCCESS,WARM,pra_generic,2048
20,PRA_SELECTED_CONTEXT_NO_ADAPTOR,23,FIRST_STAGE_RETRIEVAL_MISS,COLD,pra_generic,4096
20,PRA_SELECTED_CONTEXT_NO_ADAPTOR,3,GENERATION_FAILURE,COLD,pra_generic,4096
20,PRA_SELECTED_CONTEXT_NO_ADAPTOR,4,PRA_DISTRACTOR_SELECTION,COLD,pra_generic,4096
20,PRA_SELECTED_CONTEXT_NO_ADAPTOR,3,PRA_SELECTOR_MISS,COLD,pra_generic,4096
20,PRA_SELECTED_CONTEXT_NO_ADAPTOR,17,SUCCESS,COLD,pra_generic,4096
20,PRA_SELECTED_CONTEXT_NO_ADAPTOR,23,FIRST_STAGE_RETRIEVAL_MISS,WARM,pra_generic,4096
20,PRA_SELECTED_CONTEXT_NO_ADAPTOR,3,GENERATION_FAILURE,WARM,pra_generic,4096
20,PRA_SELECTED_CONTEXT_NO_ADAPTOR,4,PRA_DISTRACTOR_SELECTION,WARM,pra_generic,4096
20,PRA_SELECTED_CONTEXT_NO_ADAPTOR,3,PRA_SELECTOR_MISS,WARM,pra_generic,4096
20,PRA_SELECTED_CONTEXT_NO_ADAPTOR,17,SUCCESS,WARM,pra_generic,4096
50,PRA_SELECTED_CONTEXT_NO_ADAPTOR,15,FIRST_STAGE_RETRIEVAL_MISS,COLD,pra_generic,2048
50,PRA_SELECTED_CONTEXT_NO_ADAPTOR,4,GENERATION_FAILURE,COLD,pra_generic,2048
50,PRA_SELECTED_CONTEXT_NO_ADAPTOR,20,PRA_DISTRACTOR_SELECTION,COLD,pra_generic,2048
50,PRA_SELECTED_CONTEXT_NO_ADAPTOR,5,PRA_SELECTOR_MISS,COLD,pra_generic,2048
50,PRA_SELECTED_CONTEXT_NO_ADAPTOR,6,SUCCESS,COLD,pra_generic,2048
50,PRA_SELECTED_CONTEXT_NO_ADAPTOR,15,FIRST_STAGE_RETRIEVAL_MISS,WARM,pra_generic,2048
50,PRA_SELECTED_CONTEXT_NO_ADAPTOR,4,GENERATION_FAILURE,WARM,pra_generic,2048
50,PRA_SELECTED_CONTEXT_NO_ADAPTOR,20,PRA_DISTRACTOR_SELECTION,WARM,pra_generic,2048
50,PRA_SELECTED_CONTEXT_NO_ADAPTOR,5,PRA_SELECTOR_MISS,WARM,pra_generic,2048
50,PRA_SELECTED_CONTEXT_NO_ADAPTOR,6,SUCCESS,WARM,pra_generic,2048
50,PRA_SELECTED_CONTEXT_NO_ADAPTOR,15,FIRST_STAGE_RETRIEVAL_MISS,COLD,pra_generic,4096
50,PRA_SELECTED_CONTEXT_NO_ADAPTOR,5,GENERATION_FAILURE,COLD,pra_generic,4096
