active_detail_bytes,answer_quality_publishable,answer_string_availability,candidate_count,completion_latency_ms,condition,document_recall_at_candidate_k,exact_match,examples,failure_counts,false_selected_document_fraction,gold_chunk_recall,ingestion_ms,itl_ms,itl_p50_ms,itl_p95_ms,kv_bytes,logical_candidate_tokens,materialization_avoidance,native_reuse,newly_materialized_tokens,official_multihop_rag_score,official_multihop_rag_score_ci95_high,official_multihop_rag_score_ci95_low,output_tokens_per_second,peak_memory_bytes,physical_context_tokens,prefill_ms,regime,requests_per_second,retained_detail_bytes,selected_native_kv_tokens,selector_profile,status,successful_examples,supporting_document_coverage,supporting_span_coverage,temporary_allocation_bytes,token_budget,token_f1,token_f1_ci95_high,token_f1_ci95_low,tokens_per_second,total_latency_ms,total_latency_ms_ci95_high,total_latency_ms_ci95_low,ttft_ms,ttft_ms_ci95_high,ttft_ms_ci95_low,ttft_p50_ms,ttft_p95_ms,ttft_p99_ms,visible_prompt_tokens,visible_reuse
,True,,50,,PRA_NATIVE_MEMORY_BUNDLE,,,50,"{""None"": 50}",,,,,,,,,,,,,,,,,,,COLD,,,,bundle_exact_qualified,NO_QUALIFIED_ADAPTER,0,,,,2048,,,,,,,,,,,,,,,
,True,,50,,PRA_NATIVE_MEMORY_BUNDLE,,,50,"{""None"": 50}",,,,,,,,,,,,,,,,,,,WARM,,,,bundle_exact_qualified,NO_QUALIFIED_ADAPTER,0,,,,2048,,,,,,,,,,,,,,,
,True,,50,,PRA_NATIVE_MEMORY_BUNDLE,,,50,"{""None"": 50}",,,,,,,,,,,,,,,,,,,COLD,,,,bundle_exact_qualified,NO_QUALIFIED_ADAPTER,0,,,,4096,,,,,,,,,,,,,,,
,True,,50,,PRA_NATIVE_MEMORY_BUNDLE,,,50,"{""None"": 50}",,,,,,,,,,,,,,,,,,,WARM,,,,bundle_exact_qualified,NO_QUALIFIED_ADAPTER,0,,,,4096,,,,,,,,,,,,,,,
0.0,False,0.68,20,0.0,PRA_NATIVE_MEMORY_NO_ADAPTOR,0.675,0.68,50,"{""FIRST_STAGE_RETRIEVAL_MISS"": 23, ""GENERATION_FAILURE"": 4, ""PRA_DISTRACTOR_SELECTION"": 14, ""PRA_SELECTOR_MISS"": 3, ""SUCCESS"": 6}",0.7767460317460317,0.060098575214885465,0.0,0.0,0.0,0.0,0.0,36912.96,0.942628031060647,0.0,2034.36,0.68,0.8,0.54,10413.33209699397,,2034.36,0.11680201627314091,COLD,,0.0,2034.36,pra_generic,MEASURED,6,0.49333333333333335,0.3183333333333333,,2048,0.68,0.8,0.54,10413.33209699397,0.11680201627314091,0.12611852306872606,0.10968306520953774,0.11680201627314091,0.12611852306872606,0.10968306520953774,0.10810000821948051,0.18046994227915997,0.22973811253905282,0.0,0.0
0.0,False,0.68,20,0.0,PRA_NATIVE_MEMORY_NO_ADAPTOR,0.675,0.68,50,"{""FIRST_STAGE_RETRIEVAL_MISS"": 23, ""GENERATION_FAILURE"": 4, ""PRA_DISTRACTOR_SELECTION"": 14, ""PRA_SELECTOR_MISS"": 3, ""SUCCESS"": 6}",0.7767460317460317,0.060098575214885465,0.0,0.0,0.0,0.0,0.0,36912.96,0.942628031060647,1.0,0.0,0.68,0.8,0.54,10282.474161809665,,2034.36,0.11884402483701706,WARM,,0.0,2034.36,pra_generic,MEASURED,6,0.49333333333333335,0.3183333333333333,,2048,0.68,0.8,0.54,10282.474161809665,0.11884402483701706,0.13017909275367856,0.10962710320018232,0.11884402483701706,0.13017909275367856,0.10962710320018232,0.10715029202401638,0.2028649672865867,0.2533447742462157,0.0,0.0
0.0,False,0.8,20,0.0,PRA_NATIVE_MEMORY_NO_ADAPTOR,0.675,0.8,50,"{""FIRST_STAGE_RETRIEVAL_MISS"": 23, ""GENERATION_FAILURE"": 3, ""PRA_DISTRACTOR_SELECTION"": 4, ""PRA_SELECTOR_MISS"": 3, ""SUCCESS"": 17}",0.8241571206571208,0.11979178377885517,0.0,0.0,0.0,0.0,0.0,36912.96,0.8849971705550711,0.0,4078.66,0.8,0.9,0.68,5968.717613098545,,4078.66,0.22462796419858932,COLD,,0.0,4078.66,pra_generic,MEASURED,17,0.6183333333333334,0.42333333333333334,,4096,0.8,0.9,0.68,5968.717613098545,0.22462796419858932,0.23960665031336248,0.21119730826467276,0.22462796419858932,0.23960665031336248,0.21119730826467276,0.20620017312467098,0.35654990933835506,0.3633771510794759,0.0,0.0
0.0,False,0.8,20,0.0,PRA_NATIVE_MEMORY_NO_ADAPTOR,0.675,0.8,50,"{""FIRST_STAGE_RETRIEVAL_MISS"": 23, ""GENERATION_FAILURE"": 3, ""PRA_DISTRACTOR_SELECTION"": 4, ""PRA_SELECTOR_MISS"": 3, ""SUCCESS"": 17}",0.8241571206571208,0.11979178377885517,0.0,0.0,0.0,0.0,0.0,36912.96,0.8849971705550711,1.0,0.0,0.8,0.9,0.68,5911.377289507226,,4078.66,0.22740799002349377,WARM,,0.0,4078.66,pra_generic,MEASURED,17,0.6183333333333334,0.42333333333333334,,4096,0.8,0.9,0.68,5911.377289507226,0.22740799002349377,0.24578479980118573,0.2116212558466941,0.22740799002349377,0.24578479980118573,0.2116212558466941,0.20745000801980495,0.3818749450147152,0.41791203897446383,0.0,0.0
0.0,False,0.76,50,0.0,PRA_NATIVE_MEMORY_NO_ADAPTOR,0.795,0.76,50,"{""FIRST_STAGE_RETRIEVAL_MISS"": 15, ""GENERATION_FAILURE"": 4, ""PRA_DISTRACTOR_SELECTION"": 20, ""PRA_SELECTOR_MISS"": 5, ""SUCCESS"": 6}",0.7953333333333333,0.02453719525640425,0.0,0.0,0.0,0.0,0.0,90454.58,0.9770069048502742,0.0,2037.36,0.76,0.86,0.64,10760.919760751256,,2037.36,0.11939402669668198,COLD,,0.0,2037.36,pra_generic,MEASURED,6,0.505,0.3,,2048,0.76,0.86,0.64,10760.919760751256,0.11939402669668198,0.1291757447179407,0.11128399381414056,0.11939402669668198,0.1291757447179407,0.11128399381414056,0.1054997555911541,0.19261995330452916,0.20893407054245466,0.0,0.0
0.0,False,0.76,50,0.0,PRA_NATIVE_MEMORY_NO_ADAPTOR,0.795,0.76,50,"{""FIRST_STAGE_RETRIEVAL_MISS"": 15, ""GENERATION_FAILURE"": 4, ""PRA_DISTRACTOR_SELECTION"": 20, ""PRA_SELECTOR_MISS"": 5, ""SUCCESS"": 6}",0.7953333333333333,0.02453719525640425,0.0,0.0,0.0,0.0,0.0,90454.58,0.9770069048502742,1.0,0.0,0.76,0.86,0.64,10643.748390565815,,2037.36,0.12175798416137695,WARM,,0.0,2037.36,pra_generic,MEASURED,6,0.505,0.3,,2048,0.76,0.86,0.64,10643.748390565815,0.12175798416137695,0.13243884942494333,0.11212788661941886,0.12175798416137695,0.13243884942494333,0.11212788661941886,0.10615005157887936,0.21822992712259293,0.22454713471233842,0.0,0.0
