candidate_count,catalog_size,context_tokens,hardness_level,language,max_candidates,query_id,required_recall,seed,strategy,unsafe_candidate_count,unsafe_exposure,useful_precision
5,32,462,H1,en,5,search_user-h1-en-1,1,11,A2_topk,1,1,0.2
6,32,542,H1,en,6,search_user-h1-en-1,1,11,A2_topk,1,1,0.16666666666666666
8,32,719,H1,en,8,search_user-h1-en-1,1,11,A2_topk,1,1,0.125
10,32,885,H1,en,10,search_user-h1-en-1,1,11,A2_topk,1,1,0.1
20,32,1786,H1,en,20,search_user-h1-en-1,1,11,A2_topk,2,1,0.05
2,32,150,H1,en,2,search_user-h1-en-1,1,11,A5_topk,0,0,0.5
3,32,253,H1,en,3,search_user-h1-en-1,1,11,A5_topk,0,0,0.3333333333333333
4,32,310,H1,en,4,search_user-h1-en-1,1,11,A5_topk,0,0,0.25
5,32,419,H1,en,5,search_user-h1-en-1,1,11,A5_topk,0,0,0.2
6,32,499,H1,en,6,search_user-h1-en-1,1,11,A5_topk,0,0,0.16666666666666666
8,32,679,H1,en,8,search_user-h1-en-1,1,11,A5_topk,0,0,0.125
10,32,841,H1,en,10,search_user-h1-en-1,1,11,A5_topk,0,0,0.1
20,32,1878,H1,en,20,search_user-h1-en-1,1,11,A5_topk,0,0,0.05
2,32,127,H1,en,2,search_user-h1-en-1,1,11,A6_topk,0,0,0.5
3,32,195,H1,en,3,search_user-h1-en-1,1,11,A6_topk,0,0,0.3333333333333333
4,32,304,H1,en,4,search_user-h1-en-1,1,11,A6_topk,0,0,0.25
5,32,413,H1,en,5,search_user-h1-en-1,1,11,A6_topk,0,0,0.2
6,32,493,H1,en,6,search_user-h1-en-1,1,11,A6_topk,0,0,0.16666666666666666
8,32,705,H1,en,8,search_user-h1-en-1,1,11,A6_topk,0,0,0.125
10,32,885,H1,en,10,search_user-h1-en-1,1,11,A6_topk,0,0,0.1
20,32,1849,H1,en,20,search_user-h1-en-1,1,11,A6_topk,1,1,0.05
2,32,179,H1,en,2,search_user-h1-en-1,1,11,A7_fused_score,0,0,0.5
3,32,236,H1,en,3,search_user-h1-en-1,1,11,A7_fused_score,0,0,0.3333333333333333
4,32,316,H1,en,4,search_user-h1-en-1,1,11,A7_fused_score,0,0,0.25
5,32,419,H1,en,5,search_user-h1-en-1,1,11,A7_fused_score,0,0,0.2
6,32,487,H1,en,6,search_user-h1-en-1,1,11,A7_fused_score,0,0,0.16666666666666666
8,32,705,H1,en,8,search_user-h1-en-1,1,11,A7_fused_score,0,0,0.125
10,32,885,H1,en,10,search_user-h1-en-1,1,11,A7_fused_score,0,0,0.1
20,32,1849,H1,en,20,search_user-h1-en-1,1,11,A7_fused_score,1,1,0.05
2,32,131,H1,en,2,search_user-h1-en-1,1,11,A7_raw_union,0,0,0.5
3,32,240,H1,en,3,search_user-h1-en-1,1,11,A7_raw_union,0,0,0.3333333333333333
4,32,320,H1,en,4,search_user-h1-en-1,1,11,A7_raw_union,0,0,0.25
5,32,429,H1,en,5,search_user-h1-en-1,1,11,A7_raw_union,0,0,0.2
6,32,538,H1,en,6,search_user-h1-en-1,1,11,A7_raw_union,0,0,0.16666666666666666
8,32,750,H1,en,8,search_user-h1-en-1,1,11,A7_raw_union,0,0,0.125
10,32,901,H1,en,10,search_user-h1-en-1,1,11,A7_raw_union,1,1,0.1
20,32,1771,H1,en,20,search_user-h1-en-1,1,11,A7_raw_union,2,1,0.05
2,32,131,H1,en,2,search_user-h1-en-1,1,11,A7_diversity_union,0,0,0.5
3,32,240,H1,en,3,search_user-h1-en-1,1,11,A7_diversity_union,0,0,0.3333333333333333
4,32,349,H1,en,4,search_user-h1-en-1,1,11,A7_diversity_union,0,0,0.25
5,32,458,H1,en,5,search_user-h1-en-1,1,11,A7_diversity_union,0,0,0.2
6,32,538,H1,en,6,search_user-h1-en-1,1,11,A7_diversity_union,0,0,0.16666666666666666
8,32,689,H1,en,8,search_user-h1-en-1,1,11,A7_diversity_union,1,1,0.125
10,32,901,H1,en,10,search_user-h1-en-1,1,11,A7_diversity_union,1,1,0.1
20,32,1771,H1,en,20,search_user-h1-en-1,1,11,A7_diversity_union,2,1,0.05
2,32,177,H2,en,2,search_user-h2-en-1,0,11,A2_topk,0,0,0.0
3,32,234,H2,en,3,search_user-h2-en-1,0,11,A2_topk,0,0,0.0
4,32,304,H2,en,4,search_user-h2-en-1,1,11,A2_topk,0,0,0.25
5,32,413,H2,en,5,search_user-h2-en-1,1,11,A2_topk,0,0,0.2
6,32,474,H2,en,6,search_user-h2-en-1,1,11,A2_topk,0,0,0.16666666666666666
8,32,663,H2,en,8,search_user-h2-en-1,1,11,A2_topk,0,0,0.125
10,32,852,H2,en,10,search_user-h2-en-1,1,11,A2_topk,1,1,0.1
20,32,1764,H2,en,20,search_user-h2-en-1,1,11,A2_topk,2,1,0.05
2,32,173,H2,en,2,search_user-h2-en-1,1,11,A5_topk,0,0,0.5
3,32,253,H2,en,3,search_user-h2-en-1,1,11,A5_topk,0,0,0.3333333333333333
4,32,362,H2,en,4,search_user-h2-en-1,1,11,A5_topk,0,0,0.25
5,32,419,H2,en,5,search_user-h2-en-1,1,11,A5_topk,0,0,0.2
6,32,487,H2,en,6,search_user-h2-en-1,1,11,A5_topk,0,0,0.16666666666666666
8,32,676,H2,en,8,search_user-h2-en-1,1,11,A5_topk,0,0,0.125
10,32,856,H2,en,10,search_user-h2-en-1,1,11,A5_topk,0,0,0.1
20,32,1884,H2,en,20,search_user-h2-en-1,1,11,A5_topk,1,1,0.05
2,32,127,H2,en,2,search_user-h2-en-1,1,11,A6_topk,0,0,0.5
3,32,195,H2,en,3,search_user-h2-en-1,1,11,A6_topk,0,0,0.3333333333333333
4,32,304,H2,en,4,search_user-h2-en-1,1,11,A6_topk,0,0,0.25
5,32,413,H2,en,5,search_user-h2-en-1,1,11,A6_topk,0,0,0.2
6,32,516,H2,en,6,search_user-h2-en-1,1,11,A6_topk,0,0,0.16666666666666666
8,32,705,H2,en,8,search_user-h2-en-1,1,11,A6_topk,0,0,0.125
10,32,894,H2,en,10,search_user-h2-en-1,1,11,A6_topk,0,0,0.1
20,32,1884,H2,en,20,search_user-h2-en-1,1,11,A6_topk,1,1,0.05
2,32,127,H2,en,2,search_user-h2-en-1,1,11,A7_fused_score,0,0,0.5
3,32,195,H2,en,3,search_user-h2-en-1,1,11,A7_fused_score,0,0,0.3333333333333333
4,32,304,H2,en,4,search_user-h2-en-1,1,11,A7_fused_score,0,0,0.25
5,32,413,H2,en,5,search_user-h2-en-1,1,11,A7_fused_score,0,0,0.2
6,32,522,H2,en,6,search_user-h2-en-1,1,11,A7_fused_score,0,0,0.16666666666666666
8,32,734,H2,en,8,search_user-h2-en-1,1,11,A7_fused_score,0,0,0.125
10,32,923,H2,en,10,search_user-h2-en-1,1,11,A7_fused_score,0,0,0.1
20,32,1893,H2,en,20,search_user-h2-en-1,1,11,A7_fused_score,1,1,0.05
2,32,218,H2,en,2,search_user-h2-en-1,0,11,A7_raw_union,0,0,0.0
3,32,288,H2,en,3,search_user-h2-en-1,1,11,A7_raw_union,0,0,0.3333333333333333
4,32,397,H2,en,4,search_user-h2-en-1,1,11,A7_raw_union,0,0,0.25
5,32,458,H2,en,5,search_user-h2-en-1,1,11,A7_raw_union,0,0,0.2
6,32,567,H2,en,6,search_user-h2-en-1,1,11,A7_raw_union,0,0,0.16666666666666666
8,32,738,H2,en,8,search_user-h2-en-1,1,11,A7_raw_union,0,0,0.125
10,32,927,H2,en,10,search_user-h2-en-1,1,11,A7_raw_union,0,0,0.1
20,32,1786,H2,en,20,search_user-h2-en-1,1,11,A7_raw_union,2,1,0.05
2,32,170,H2,en,2,search_user-h2-en-1,0,11,A7_diversity_union,0,0,0.0
3,32,279,H2,en,3,search_user-h2-en-1,0,11,A7_diversity_union,0,0,0.0
4,32,388,H2,en,4,search_user-h2-en-1,0,11,A7_diversity_union,0,0,0.0
5,32,458,H2,en,5,search_user-h2-en-1,1,11,A7_diversity_union,0,0,0.2
6,32,567,H2,en,6,search_user-h2-en-1,1,11,A7_diversity_union,0,0,0.16666666666666666
8,32,744,H2,en,8,search_user-h2-en-1,1,11,A7_diversity_union,0,0,0.125
10,32,927,H2,en,10,search_user-h2-en-1,1,11,A7_diversity_union,0,0,0.1
20,32,1786,H2,en,20,search_user-h2-en-1,1,11,A7_diversity_union,2,1,0.05
2,32,179,H3,en,2,search_user-h3-en-1,1,11,A2_topk,0,0,0.5
3,32,250,H3,en,3,search_user-h3-en-1,1,11,A2_topk,1,1,0.3333333333333333
4,32,359,H3,en,4,search_user-h3-en-1,1,11,A2_topk,1,1,0.25
5,32,462,H3,en,5,search_user-h3-en-1,1,11,A2_topk,1,1,0.2
6,32,542,H3,en,6,search_user-h3-en-1,1,11,A2_topk,1,1,0.16666666666666666
8,32,719,H3,en,8,search_user-h3-en-1,1,11,A2_topk,1,1,0.125
10,32,885,H3,en,10,search_user-h3-en-1,1,11,A2_topk,1,1,0.1
20,32,1786,H3,en,20,search_user-h3-en-1,1,11,A2_topk,2,1,0.05
2,32,173,H3,en,2,search_user-h3-en-1,1,11,A5_topk,0,0,0.5
3,32,253,H3,en,3,search_user-h3-en-1,1,11,A5_topk,0,0,0.3333333333333333
4,32,324,H3,en,4,search_user-h3-en-1,1,11,A5_topk,0,0,0.25
5,32,433,H3,en,5,search_user-h3-en-1,1,11,A5_topk,0,0,0.2
6,32,542,H3,en,6,search_user-h3-en-1,1,11,A5_topk,0,0,0.16666666666666666
8,32,679,H3,en,8,search_user-h3-en-1,1,11,A5_topk,0,0,0.125
10,32,844,H3,en,10,search_user-h3-en-1,1,11,A5_topk,1,1,0.1
20,32,1840,H3,en,20,search_user-h3-en-1,1,11,A5_topk,1,1,0.05
2,32,127,H3,en,2,search_user-h3-en-1,1,11,A6_topk,0,0,0.5
3,32,195,H3,en,3,search_user-h3-en-1,1,11,A6_topk,0,0,0.3333333333333333
4,32,298,H3,en,4,search_user-h3-en-1,1,11,A6_topk,0,0,0.25
5,32,378,H3,en,5,search_user-h3-en-1,1,11,A6_topk,0,0,0.2
6,32,487,H3,en,6,search_user-h3-en-1,1,11,A6_topk,0,0,0.16666666666666666
8,32,667,H3,en,8,search_user-h3-en-1,1,11,A6_topk,0,0,0.125
10,32,885,H3,en,10,search_user-h3-en-1,1,11,A6_topk,0,0,0.1
20,32,1849,H3,en,20,search_user-h3-en-1,1,11,A6_topk,1,1,0.05
2,32,150,H3,en,2,search_user-h3-en-1,1,11,A7_fused_score,0,0,0.5
3,32,259,H3,en,3,search_user-h3-en-1,1,11,A7_fused_score,0,0,0.3333333333333333
4,32,362,H3,en,4,search_user-h3-en-1,1,11,A7_fused_score,0,0,0.25
5,32,433,H3,en,5,search_user-h3-en-1,1,11,A7_fused_score,0,0,0.2
6,32,542,H3,en,6,search_user-h3-en-1,1,11,A7_fused_score,0,0,0.16666666666666666
8,32,667,H3,en,8,search_user-h3-en-1,1,11,A7_fused_score,0,0,0.125
10,32,847,H3,en,10,search_user-h3-en-1,1,11,A7_fused_score,1,1,0.1
20,32,1864,H3,en,20,search_user-h3-en-1,1,11,A7_fused_score,1,1,0.05
2,32,131,H3,en,2,search_user-h3-en-1,1,11,A7_raw_union,0,0,0.5
3,32,211,H3,en,3,search_user-h3-en-1,1,11,A7_raw_union,0,0,0.3333333333333333
4,32,314,H3,en,4,search_user-h3-en-1,1,11,A7_raw_union,0,0,0.25
5,32,423,H3,en,5,search_user-h3-en-1,1,11,A7_raw_union,0,0,0.2
6,32,532,H3,en,6,search_user-h3-en-1,1,11,A7_raw_union,0,0,0.16666666666666666
8,32,750,H3,en,8,search_user-h3-en-1,1,11,A7_raw_union,0,0,0.125
10,32,901,H3,en,10,search_user-h3-en-1,1,11,A7_raw_union,1,1,0.1
20,32,1824,H3,en,20,search_user-h3-en-1,1,11,A7_raw_union,2,1,0.05
2,32,131,H3,en,2,search_user-h3-en-1,1,11,A7_diversity_union,0,0,0.5
3,32,211,H3,en,3,search_user-h3-en-1,1,11,A7_diversity_union,0,0,0.3333333333333333
4,32,320,H3,en,4,search_user-h3-en-1,1,11,A7_diversity_union,0,0,0.25
5,32,429,H3,en,5,search_user-h3-en-1,1,11,A7_diversity_union,0,0,0.2
6,32,532,H3,en,6,search_user-h3-en-1,1,11,A7_diversity_union,0,0,0.16666666666666666
8,32,721,H3,en,8,search_user-h3-en-1,1,11,A7_diversity_union,0,0,0.125
10,32,901,H3,en,10,search_user-h3-en-1,1,11,A7_diversity_union,1,1,0.1
20,32,1824,H3,en,20,search_user-h3-en-1,1,11,A7_diversity_union,2,1,0.05
2,32,218,H4,en,2,search_user-h4-en-1,0,11,A2_topk,0,0,0.0
3,32,286,H4,en,3,search_user-h4-en-1,0,11,A2_topk,0,0,0.0
4,32,356,H4,en,4,search_user-h4-en-1,1,11,A2_topk,0,0,0.25
5,32,465,H4,en,5,search_user-h4-en-1,1,11,A2_topk,0,0,0.2
6,32,574,H4,en,6,search_user-h4-en-1,1,11,A2_topk,1,1,0.16666666666666666
8,32,792,H4,en,8,search_user-h4-en-1,1,11,A2_topk,1,1,0.125
10,32,1010,H4,en,10,search_user-h4-en-1,1,11,A2_topk,2,1,0.1
20,32,1942,H4,en,20,search_user-h4-en-1,1,11,A2_topk,3,1,0.05
2,32,218,H4,en,2,search_user-h4-en-1,0,11,A5_topk,0,0,0.0
3,32,321,H4,en,3,search_user-h4-en-1,0,11,A5_topk,0,0,0.0
4,32,401,H4,en,4,search_user-h4-en-1,0,11,A5_topk,0,0,0.0
5,32,510,H4,en,5,search_user-h4-en-1,0,11,A5_topk,0,0,0.0
6,32,580,H4,en,6,search_user-h4-en-1,1,11,A5_topk,0,0,0.16666666666666666
8,32,769,H4,en,8,search_user-h4-en-1,1,11,A5_topk,1,1,0.125
10,32,972,H4,en,10,search_user-h4-en-1,1,11,A5_topk,1,1,0.1
20,32,1972,H4,en,20,search_user-h4-en-1,1,11,A5_topk,1,1,0.05
2,32,179,H4,en,2,search_user-h4-en-1,1,11,A6_topk,0,0,0.5
3,32,288,H4,en,3,search_user-h4-en-1,1,11,A6_topk,0,0,0.3333333333333333
4,32,345,H4,en,4,search_user-h4-en-1,1,11,A6_topk,0,0,0.25
5,32,413,H4,en,5,search_user-h4-en-1,1,11,A6_topk,0,0,0.2
6,32,522,H4,en,6,search_user-h4-en-1,1,11,A6_topk,0,0,0.16666666666666666
8,32,740,H4,en,8,search_user-h4-en-1,1,11,A6_topk,0,0,0.125
10,32,958,H4,en,10,search_user-h4-en-1,1,11,A6_topk,1,1,0.1
20,32,1984,H4,en,20,search_user-h4-en-1,1,11,A6_topk,3,1,0.05
2,32,218,H4,en,2,search_user-h4-en-1,0,11,A7_fused_score,0,0,0.0
3,32,327,H4,en,3,search_user-h4-en-1,0,11,A7_fused_score,0,0,0.0
4,32,436,H4,en,4,search_user-h4-en-1,0,11,A7_fused_score,1,1,0.0
5,32,506,H4,en,5,search_user-h4-en-1,1,11,A7_fused_score,1,1,0.2
6,32,615,H4,en,6,search_user-h4-en-1,1,11,A7_fused_score,1,1,0.16666666666666666
8,32,833,H4,en,8,search_user-h4-en-1,1,11,A7_fused_score,1,1,0.125
10,32,1051,H4,en,10,search_user-h4-en-1,1,11,A7_fused_score,2,1,0.1
20,32,1943,H4,en,20,search_user-h4-en-1,1,11,A7_fused_score,3,1,0.05
2,32,180,H4,en,2,search_user-h4-en-1,0,11,A7_raw_union,0,0,0.0
3,32,289,H4,en,3,search_user-h4-en-1,0,11,A7_raw_union,0,0,0.0
4,32,398,H4,en,4,search_user-h4-en-1,0,11,A7_raw_union,0,0,0.0
5,32,507,H4,en,5,search_user-h4-en-1,0,11,A7_raw_union,0,0,0.0
6,32,578,H4,en,6,search_user-h4-en-1,0,11,A7_raw_union,0,0,0.0
8,32,755,H4,en,8,search_user-h4-en-1,0,11,A7_raw_union,1,1,0.0
10,32,938,H4,en,10,search_user-h4-en-1,0,11,A7_raw_union,1,1,0.0
20,32,1879,H4,en,20,search_user-h4-en-1,1,11,A7_raw_union,2,1,0.05
2,32,180,H4,en,2,search_user-h4-en-1,0,11,A7_diversity_union,0,0,0.0
3,32,289,H4,en,3,search_user-h4-en-1,0,11,A7_diversity_union,0,0,0.0
4,32,398,H4,en,4,search_user-h4-en-1,0,11,A7_diversity_union,0,0,0.0
5,32,507,H4,en,5,search_user-h4-en-1,0,11,A7_diversity_union,0,0,0.0
6,32,578,H4,en,6,search_user-h4-en-1,0,11,A7_diversity_union,0,0,0.0
8,32,767,H4,en,8,search_user-h4-en-1,0,11,A7_diversity_union,1,1,0.0
10,32,944,H4,en,10,search_user-h4-en-1,0,11,A7_diversity_union,1,1,0.0
20,32,1860,H4,en,20,search_user-h4-en-1,1,11,A7_diversity_union,2,1,0.05
2,32,179,H5,pt,2,search_user-h5-pt-1,1,11,A2_topk,0,0,0.5
3,32,250,H5,pt,3,search_user-h5-pt-1,1,11,A2_topk,1,1,0.3333333333333333
4,32,359,H5,pt,4,search_user-h5-pt-1,1,11,A2_topk,1,1,0.25
5,32,462,H5,pt,5,search_user-h5-pt-1,1,11,A2_topk,1,1,0.2
6,32,542,H5,pt,6,search_user-h5-pt-1,1,11,A2_topk,1,1,0.16666666666666666
8,32,719,H5,pt,8,search_user-h5-pt-1,1,11,A2_topk,1,1,0.125
10,32,885,H5,pt,10,search_user-h5-pt-1,1,11,A2_topk,1,1,0.1
20,32,1786,H5,pt,20,search_user-h5-pt-1,1,11,A2_topk,2,1,0.05
2,32,127,H5,pt,2,search_user-h5-pt-1,1,11,A5_topk,0,0,0.5
3,32,207,H5,pt,3,search_user-h5-pt-1,1,11,A5_topk,0,0,0.3333333333333333
4,32,275,H5,pt,4,search_user-h5-pt-1,1,11,A5_topk,0,0,0.25
5,32,384,H5,pt,5,search_user-h5-pt-1,1,11,A5_topk,0,0,0.2
6,32,493,H5,pt,6,search_user-h5-pt-1,1,11,A5_topk,0,0,0.16666666666666666
8,32,682,H5,pt,8,search_user-h5-pt-1,1,11,A5_topk,0,0,0.125
10,32,894,H5,pt,10,search_user-h5-pt-1,1,11,A5_topk,0,0,0.1
20,32,1906,H5,pt,20,search_user-h5-pt-1,1,11,A5_topk,1,1,0.05
2,32,127,H5,pt,2,search_user-h5-pt-1,1,11,A6_topk,0,0,0.5
3,32,195,H5,pt,3,search_user-h5-pt-1,1,11,A6_topk,0,0,0.3333333333333333
4,32,304,H5,pt,4,search_user-h5-pt-1,1,11,A6_topk,0,0,0.25
5,32,413,H5,pt,5,search_user-h5-pt-1,1,11,A6_topk,0,0,0.2
6,32,493,H5,pt,6,search_user-h5-pt-1,1,11,A6_topk,0,0,0.16666666666666666
8,32,705,H5,pt,8,search_user-h5-pt-1,1,11,A6_topk,0,0,0.125
10,32,923,H5,pt,10,search_user-h5-pt-1,1,11,A6_topk,0,0,0.1
20,32,1878,H5,pt,20,search_user-h5-pt-1,1,11,A6_topk,1,1,0.05
2,32,127,H5,pt,2,search_user-h5-pt-1,1,11,A7_fused_score,0,0,0.5
3,32,195,H5,pt,3,search_user-h5-pt-1,1,11,A7_fused_score,0,0,0.3333333333333333
4,32,275,H5,pt,4,search_user-h5-pt-1,1,11,A7_fused_score,0,0,0.25
5,32,384,H5,pt,5,search_user-h5-pt-1,1,11,A7_fused_score,0,0,0.2
6,32,493,H5,pt,6,search_user-h5-pt-1,1,11,A7_fused_score,0,0,0.16666666666666666
8,32,705,H5,pt,8,search_user-h5-pt-1,1,11,A7_fused_score,0,0,0.125
10,32,885,H5,pt,10,search_user-h5-pt-1,1,11,A7_fused_score,0,0,0.1
20,32,1878,H5,pt,20,search_user-h5-pt-1,1,11,A7_fused_score,1,1,0.05
2,32,131,H5,pt,2,search_user-h5-pt-1,1,11,A7_raw_union,0,0,0.5
3,32,188,H5,pt,3,search_user-h5-pt-1,1,11,A7_raw_union,0,0,0.3333333333333333
4,32,297,H5,pt,4,search_user-h5-pt-1,1,11,A7_raw_union,0,0,0.25
5,32,406,H5,pt,5,search_user-h5-pt-1,1,11,A7_raw_union,0,0,0.2
6,32,486,H5,pt,6,search_user-h5-pt-1,1,11,A7_raw_union,0,0,0.16666666666666666
8,32,666,H5,pt,8,search_user-h5-pt-1,1,11,A7_raw_union,1,1,0.125
10,32,814,H5,pt,10,search_user-h5-pt-1,1,11,A7_raw_union,1,1,0.1
20,32,1824,H5,pt,20,search_user-h5-pt-1,1,11,A7_raw_union,2,1,0.05
2,32,131,H5,pt,2,search_user-h5-pt-1,1,11,A7_diversity_union,0,0,0.5
3,32,240,H5,pt,3,search_user-h5-pt-1,1,11,A7_diversity_union,0,0,0.3333333333333333
4,32,349,H5,pt,4,search_user-h5-pt-1,1,11,A7_diversity_union,0,0,0.25
5,32,406,H5,pt,5,search_user-h5-pt-1,1,11,A7_diversity_union,0,0,0.2
6,32,486,H5,pt,6,search_user-h5-pt-1,1,11,A7_diversity_union,0,0,0.16666666666666666
8,32,666,H5,pt,8,search_user-h5-pt-1,1,11,A7_diversity_union,1,1,0.125
10,32,826,H5,pt,10,search_user-h5-pt-1,1,11,A7_diversity_union,1,1,0.1
20,32,1824,H5,pt,20,search_user-h5-pt-1,1,11,A7_diversity_union,2,1,0.05
2,32,179,H5,es,2,search_user-h5-es-1,1,11,A2_topk,0,0,0.5
3,32,250,H5,es,3,search_user-h5-es-1,1,11,A2_topk,1,1,0.3333333333333333
4,32,359,H5,es,4,search_user-h5-es-1,1,11,A2_topk,1,1,0.25
5,32,462,H5,es,5,search_user-h5-es-1,1,11,A2_topk,1,1,0.2
6,32,542,H5,es,6,search_user-h5-es-1,1,11,A2_topk,1,1,0.16666666666666666
8,32,719,H5,es,8,search_user-h5-es-1,1,11,A2_topk,1,1,0.125
10,32,885,H5,es,10,search_user-h5-es-1,1,11,A2_topk,1,1,0.1
20,32,1786,H5,es,20,search_user-h5-es-1,1,11,A2_topk,2,1,0.05
2,32,150,H5,es,2,search_user-h5-es-1,1,11,A5_topk,0,0,0.5
3,32,259,H5,es,3,search_user-h5-es-1,1,11,A5_topk,0,0,0.3333333333333333
4,32,339,H5,es,4,search_user-h5-es-1,1,11,A5_topk,0,0,0.25
5,32,407,H5,es,5,search_user-h5-es-1,1,11,A5_topk,0,0,0.2
6,32,510,H5,es,6,search_user-h5-es-1,1,11,A5_topk,0,0,0.16666666666666666
8,32,676,H5,es,8,search_user-h5-es-1,1,11,A5_topk,0,0,0.125
10,32,841,H5,es,10,search_user-h5-es-1,1,11,A5_topk,0,0,0.1
20,32,1897,H5,es,20,search_user-h5-es-1,1,11,A5_topk,1,1,0.05
2,32,138,H5,es,2,search_user-h5-es-1,1,11,A6_topk,0,0,0.5
3,32,195,H5,es,3,search_user-h5-es-1,1,11,A6_topk,0,0,0.3333333333333333
4,32,304,H5,es,4,search_user-h5-es-1,1,11,A6_topk,0,0,0.25
5,32,413,H5,es,5,search_user-h5-es-1,1,11,A6_topk,0,0,0.2
6,32,493,H5,es,6,search_user-h5-es-1,1,11,A6_topk,0,0,0.16666666666666666
8,32,705,H5,es,8,search_user-h5-es-1,1,11,A6_topk,0,0,0.125
