catalog_size,strategy,max_candidates,required_recall_mean,required_recall_std,useful_precision_mean,useful_precision_std,unsafe_exposure_mean,unsafe_exposure_std,context_tokens_mean,context_tokens_std
512,A2_topk,8,0.7444444444444445,0.015055196797693592,0.10850694444444445,0.0030690398488999455,0.2694444444444445,0.0625771129226045,845.7763888888888,2.241105748699032
512,A2_topk,10,0.7625,0.007607257743127326,0.09166666666666667,0.001098013076447355,0.3791666666666667,0.08668046542572179,1061.3472222222222,0.9923147003376028
512,A2_topk,20,0.8194444444444444,0.004910463758239886,0.050347222222222224,0.00042525863589985884,0.6875,0.03472222222222223,2143.3430555555556,2.014377335402352
512,A5_topk,2,0.3486111111111111,0.010300275676521739,0.20833333333333334,0.0054900653822367715,0.05277777777777778,0.015987311712807414,204.54166666666669,0.8076929259652545
512,A5_topk,3,0.39722222222222225,0.011410886614690958,0.16157407407407404,0.0030181492616678934,0.07361111111111111,0.01598731171280741,310.50694444444446,0.6284434462411594
512,A5_topk,4,0.4333333333333333,0.014400306495366468,0.13576388888888888,0.0037637991994233983,0.09027777777777778,0.023549756885851623,416.9763888888889,0.488747809505367
512,A5_topk,5,0.4458333333333333,0.01797524875770108,0.11444444444444443,0.003752571135029536,0.10694444444444444,0.028884214365396413,524.3166666666667,0.8389797136263669
512,A5_topk,6,0.45972222222222225,0.017975248757701092,0.09953703703703701,0.004173091754009246,0.12222222222222223,0.02484519974999767,632.0888888888888,1.2943557730716782
512,A5_topk,8,0.49444444444444446,0.01141088661469095,0.08246527777777778,0.0028790145749612883,0.1625,0.03661507312906685,847.0638888888889,1.1603603533779172
512,A5_topk,10,0.5305555555555556,0.01876285567514763,0.07083333333333335,0.0029869184955009123,0.19444444444444442,0.054900653822367695,1063.0833333333335,1.0877425407128205
512,A5_topk,20,0.6263888888888889,0.009054447785003642,0.044375000000000005,0.0006211299937499399,0.3458333333333333,0.06447496882463977,2139.7972222222224,1.3593419624906675
512,A6_topk,2,0.638888888888889,0.008505172717997172,0.3388888888888889,0.003958942448260903,0.06666666666666667,0.02532580906779232,197.44861111111112,0.5413237874888163
512,A6_topk,3,0.701388888888889,0.01964185503295968,0.24907407407407406,0.007059236426841165,0.09861111111111112,0.020483168338545316,304.53333333333336,0.8836433767555428
512,A6_topk,4,0.7430555555555556,0.006944444444444406,0.19895833333333335,0.0019794712241304495,0.1125,0.015055196797693612,412.3,0.7981641261183272
512,A6_topk,5,0.7708333333333333,0.01473139127471971,0.1663888888888889,0.003595049751540213,0.11805555555555555,0.012991865926298413,520.1402777777778,1.1972814338283846
512,A6_topk,6,0.788888888888889,0.011620278146306607,0.143287037037037,0.0015090746308339521,0.12361111111111112,0.010300275676521751,628.1305555555556,0.8696707195794243
512,A6_topk,8,0.825,0.011410886614690951,0.11493055555555556,0.002785903912479377,0.13472222222222224,0.011620278146306607,842.5416666666666,1.1136256269667821
512,A6_topk,10,0.85,0.007917884896521794,0.09736111111111112,0.001863389981249823,0.14722222222222223,0.017975248757701078,1056.5194444444446,1.0772554755340618
512,A6_topk,20,0.8833333333333332,0.005810139073153275,0.05500000000000001,0.0005810139073153311,0.2458333333333333,0.026715811196765766,2135.9375,2.9248356171494474
