catalog_size,hardness_level,language,policy,query_id,rank,recall_at_10,recall_at_3,recall_at_5,seed,top1
32,H3,en,A2_keywords_synonyms,delete_user-h3-en-1,6,1,0,0,11,0
32,H4,en,A2_keywords_synonyms,delete_user-h4-en-1,10,1,0,0,11,0
32,H5,pt,A2_keywords_synonyms,delete_user-h5-pt-1,1,1,1,1,11,1
32,H5,es,A2_keywords_synonyms,delete_user-h5-es-1,1,1,1,1,11,1
32,H5,fr,A2_keywords_synonyms,delete_user-h5-fr-1,1,1,1,1,11,1
32,H0,en,A2_keywords_synonyms,search_document-h0-en-1,1,1,1,1,11,1
32,H1,en,A2_keywords_synonyms,search_document-h1-en-1,2,1,1,1,11,0
32,H2,en,A2_keywords_synonyms,search_document-h2-en-1,2,1,1,1,11,0
32,H3,en,A2_keywords_synonyms,search_document-h3-en-1,2,1,1,1,11,0
32,H4,en,A2_keywords_synonyms,search_document-h4-en-1,1,1,1,1,11,1
32,H5,pt,A2_keywords_synonyms,search_document-h5-pt-1,1,1,1,1,11,1
32,H5,es,A2_keywords_synonyms,search_document-h5-es-1,1,1,1,1,11,1
32,H5,fr,A2_keywords_synonyms,search_document-h5-fr-1,1,1,1,1,11,1
32,H0,en,A2_keywords_synonyms,read_document-h0-en-1,7,1,0,0,11,0
32,H1,en,A2_keywords_synonyms,read_document-h1-en-1,3,1,1,1,11,0
32,H2,en,A2_keywords_synonyms,read_document-h2-en-1,1,1,1,1,11,1
32,H3,en,A2_keywords_synonyms,read_document-h3-en-1,17,0,0,0,11,0
32,H4,en,A2_keywords_synonyms,read_document-h4-en-1,2,1,1,1,11,0
32,H5,pt,A2_keywords_synonyms,read_document-h5-pt-1,1,1,1,1,11,1
32,H5,es,A2_keywords_synonyms,read_document-h5-es-1,1,1,1,1,11,1
32,H5,fr,A2_keywords_synonyms,read_document-h5-fr-1,1,1,1,1,11,1
32,H0,en,A2_keywords_synonyms,extract_metadata-h0-en-1,1,1,1,1,11,1
32,H1,en,A2_keywords_synonyms,extract_metadata-h1-en-1,1,1,1,1,11,1
32,H2,en,A2_keywords_synonyms,extract_metadata-h2-en-1,1,1,1,1,11,1
32,H3,en,A2_keywords_synonyms,extract_metadata-h3-en-1,1,1,1,1,11,1
32,H4,en,A2_keywords_synonyms,extract_metadata-h4-en-1,4,1,0,1,11,0
32,H5,pt,A2_keywords_synonyms,extract_metadata-h5-pt-1,1,1,1,1,11,1
32,H5,es,A2_keywords_synonyms,extract_metadata-h5-es-1,1,1,1,1,11,1
32,H5,fr,A2_keywords_synonyms,extract_metadata-h5-fr-1,1,1,1,1,11,1
32,H0,en,A2_keywords_synonyms,update_document-h0-en-1,1,1,1,1,11,1
32,H1,en,A2_keywords_synonyms,update_document-h1-en-1,29,0,0,0,11,0
32,H2,en,A2_keywords_synonyms,update_document-h2-en-1,31,0,0,0,11,0
32,H3,en,A2_keywords_synonyms,update_document-h3-en-1,29,0,0,0,11,0
32,H4,en,A2_keywords_synonyms,update_document-h4-en-1,1,1,1,1,11,1
32,H5,pt,A2_keywords_synonyms,update_document-h5-pt-1,1,1,1,1,11,1
32,H5,es,A2_keywords_synonyms,update_document-h5-es-1,1,1,1,1,11,1
32,H5,fr,A2_keywords_synonyms,update_document-h5-fr-1,1,1,1,1,11,1
32,H0,en,A2_keywords_synonyms,export_document-h0-en-1,1,1,1,1,11,1
32,H1,en,A2_keywords_synonyms,export_document-h1-en-1,1,1,1,1,11,1
32,H2,en,A2_keywords_synonyms,export_document-h2-en-1,1,1,1,1,11,1
32,H3,en,A2_keywords_synonyms,export_document-h3-en-1,4,1,0,1,11,0
32,H4,en,A2_keywords_synonyms,export_document-h4-en-1,1,1,1,1,11,1
32,H5,pt,A2_keywords_synonyms,export_document-h5-pt-1,1,1,1,1,11,1
32,H5,es,A2_keywords_synonyms,export_document-h5-es-1,1,1,1,1,11,1
32,H5,fr,A2_keywords_synonyms,export_document-h5-fr-1,1,1,1,1,11,1
32,H0,en,A2_keywords_synonyms,search_repository-h0-en-1,1,1,1,1,11,1
32,H1,en,A2_keywords_synonyms,search_repository-h1-en-1,1,1,1,1,11,1
32,H2,en,A2_keywords_synonyms,search_repository-h2-en-1,1,1,1,1,11,1
32,H3,en,A2_keywords_synonyms,search_repository-h3-en-1,1,1,1,1,11,1
32,H4,en,A2_keywords_synonyms,search_repository-h4-en-1,1,1,1,1,11,1
32,H5,pt,A2_keywords_synonyms,search_repository-h5-pt-1,1,1,1,1,11,1
32,H5,es,A2_keywords_synonyms,search_repository-h5-es-1,1,1,1,1,11,1
32,H5,fr,A2_keywords_synonyms,search_repository-h5-fr-1,1,1,1,1,11,1
32,H0,en,A2_keywords_synonyms,get_repository-h0-en-1,1,1,1,1,11,1
32,H1,en,A2_keywords_synonyms,get_repository-h1-en-1,1,1,1,1,11,1
32,H2,en,A2_keywords_synonyms,get_repository-h2-en-1,1,1,1,1,11,1
32,H3,en,A2_keywords_synonyms,get_repository-h3-en-1,13,0,0,0,11,0
32,H4,en,A2_keywords_synonyms,get_repository-h4-en-1,1,1,1,1,11,1
32,H5,pt,A2_keywords_synonyms,get_repository-h5-pt-1,1,1,1,1,11,1
32,H5,es,A2_keywords_synonyms,get_repository-h5-es-1,1,1,1,1,11,1
32,H5,fr,A2_keywords_synonyms,get_repository-h5-fr-1,1,1,1,1,11,1
32,H0,en,A2_keywords_synonyms,create_issue-h0-en-1,1,1,1,1,11,1
32,H1,en,A2_keywords_synonyms,create_issue-h1-en-1,1,1,1,1,11,1
32,H2,en,A2_keywords_synonyms,create_issue-h2-en-1,1,1,1,1,11,1
32,H3,en,A2_keywords_synonyms,create_issue-h3-en-1,2,1,1,1,11,0
32,H4,en,A2_keywords_synonyms,create_issue-h4-en-1,2,1,1,1,11,0
32,H5,pt,A2_keywords_synonyms,create_issue-h5-pt-1,1,1,1,1,11,1
32,H5,es,A2_keywords_synonyms,create_issue-h5-es-1,1,1,1,1,11,1
32,H5,fr,A2_keywords_synonyms,create_issue-h5-fr-1,1,1,1,1,11,1
32,H0,en,A2_keywords_synonyms,update_issue-h0-en-1,1,1,1,1,11,1
32,H1,en,A2_keywords_synonyms,update_issue-h1-en-1,1,1,1,1,11,1
32,H2,en,A2_keywords_synonyms,update_issue-h2-en-1,4,1,0,1,11,0
32,H3,en,A2_keywords_synonyms,update_issue-h3-en-1,1,1,1,1,11,1
32,H4,en,A2_keywords_synonyms,update_issue-h4-en-1,4,1,0,1,11,0
32,H5,pt,A2_keywords_synonyms,update_issue-h5-pt-1,1,1,1,1,11,1
32,H5,es,A2_keywords_synonyms,update_issue-h5-es-1,1,1,1,1,11,1
32,H5,fr,A2_keywords_synonyms,update_issue-h5-fr-1,1,1,1,1,11,1
32,H0,en,A2_keywords_synonyms,create_report-h0-en-1,1,1,1,1,11,1
32,H1,en,A2_keywords_synonyms,create_report-h1-en-1,1,1,1,1,11,1
32,H2,en,A2_keywords_synonyms,create_report-h2-en-1,2,1,1,1,11,0
32,H3,en,A2_keywords_synonyms,create_report-h3-en-1,2,1,1,1,11,0
32,H4,en,A2_keywords_synonyms,create_report-h4-en-1,1,1,1,1,11,1
32,H5,pt,A2_keywords_synonyms,create_report-h5-pt-1,1,1,1,1,11,1
32,H5,es,A2_keywords_synonyms,create_report-h5-es-1,1,1,1,1,11,1
32,H5,fr,A2_keywords_synonyms,create_report-h5-fr-1,1,1,1,1,11,1
32,H0,en,A2_keywords_synonyms,archive_report-h0-en-1,1,1,1,1,11,1
32,H1,en,A2_keywords_synonyms,archive_report-h1-en-1,3,1,1,1,11,0
32,H2,en,A2_keywords_synonyms,archive_report-h2-en-1,1,1,1,1,11,1
32,H3,en,A2_keywords_synonyms,archive_report-h3-en-1,1,1,1,1,11,1
32,H4,en,A2_keywords_synonyms,archive_report-h4-en-1,1,1,1,1,11,1
32,H5,pt,A2_keywords_synonyms,archive_report-h5-pt-1,1,1,1,1,11,1
32,H5,es,A2_keywords_synonyms,archive_report-h5-es-1,1,1,1,1,11,1
32,H5,fr,A2_keywords_synonyms,archive_report-h5-fr-1,1,1,1,1,11,1
32,H0,en,A2_keywords_synonyms,purge_archive-h0-en-1,1,1,1,1,11,1
32,H1,en,A2_keywords_synonyms,purge_archive-h1-en-1,1,1,1,1,11,1
32,H2,en,A2_keywords_synonyms,purge_archive-h2-en-1,2,1,1,1,11,0
32,H3,en,A2_keywords_synonyms,purge_archive-h3-en-1,1,1,1,1,11,1
32,H4,en,A2_keywords_synonyms,purge_archive-h4-en-1,1,1,1,1,11,1
32,H5,pt,A2_keywords_synonyms,purge_archive-h5-pt-1,1,1,1,1,11,1
32,H5,es,A2_keywords_synonyms,purge_archive-h5-es-1,1,1,1,1,11,1
32,H5,fr,A2_keywords_synonyms,purge_archive-h5-fr-1,1,1,1,1,11,1
32,H0,en,A5_embedding,search_user-h0-en-1,1,1,1,1,11,1
32,H1,en,A5_embedding,search_user-h1-en-1,1,1,1,1,11,1
32,H2,en,A5_embedding,search_user-h2-en-1,1,1,1,1,11,1
32,H3,en,A5_embedding,search_user-h3-en-1,1,1,1,1,11,1
32,H4,en,A5_embedding,search_user-h4-en-1,6,1,0,0,11,0
32,H5,pt,A5_embedding,search_user-h5-pt-1,1,1,1,1,11,1
32,H5,es,A5_embedding,search_user-h5-es-1,1,1,1,1,11,1
32,H5,fr,A5_embedding,search_user-h5-fr-1,1,1,1,1,11,1
32,H0,en,A5_embedding,get_user-h0-en-1,1,1,1,1,11,1
32,H1,en,A5_embedding,get_user-h1-en-1,3,1,1,1,11,0
32,H2,en,A5_embedding,get_user-h2-en-1,1,1,1,1,11,1
32,H3,en,A5_embedding,get_user-h3-en-1,8,1,0,0,11,0
32,H4,en,A5_embedding,get_user-h4-en-1,1,1,1,1,11,1
32,H5,pt,A5_embedding,get_user-h5-pt-1,9,1,0,0,11,0
32,H5,es,A5_embedding,get_user-h5-es-1,7,1,0,0,11,0
32,H5,fr,A5_embedding,get_user-h5-fr-1,3,1,1,1,11,0
32,H0,en,A5_embedding,validate_user-h0-en-1,1,1,1,1,11,1
32,H1,en,A5_embedding,validate_user-h1-en-1,1,1,1,1,11,1
32,H2,en,A5_embedding,validate_user-h2-en-1,1,1,1,1,11,1
32,H3,en,A5_embedding,validate_user-h3-en-1,1,1,1,1,11,1
32,H4,en,A5_embedding,validate_user-h4-en-1,13,0,0,0,11,0
32,H5,pt,A5_embedding,validate_user-h5-pt-1,9,1,0,0,11,0
32,H5,es,A5_embedding,validate_user-h5-es-1,9,1,0,0,11,0
32,H5,fr,A5_embedding,validate_user-h5-fr-1,5,1,0,1,11,0
32,H0,en,A5_embedding,update_user-h0-en-1,1,1,1,1,11,1
32,H1,en,A5_embedding,update_user-h1-en-1,1,1,1,1,11,1
32,H2,en,A5_embedding,update_user-h2-en-1,2,1,1,1,11,0
32,H3,en,A5_embedding,update_user-h3-en-1,14,0,0,0,11,0
32,H4,en,A5_embedding,update_user-h4-en-1,2,1,1,1,11,0
32,H5,pt,A5_embedding,update_user-h5-pt-1,28,0,0,0,11,0
32,H5,es,A5_embedding,update_user-h5-es-1,15,0,0,0,11,0
32,H5,fr,A5_embedding,update_user-h5-fr-1,25,0,0,0,11,0
32,H0,en,A5_embedding,notify_user-h0-en-1,1,1,1,1,11,1
32,H1,en,A5_embedding,notify_user-h1-en-1,1,1,1,1,11,1
32,H2,en,A5_embedding,notify_user-h2-en-1,2,1,1,1,11,0
32,H3,en,A5_embedding,notify_user-h3-en-1,1,1,1,1,11,1
32,H4,en,A5_embedding,notify_user-h4-en-1,1,1,1,1,11,1
32,H5,pt,A5_embedding,notify_user-h5-pt-1,9,1,0,0,11,0
32,H5,es,A5_embedding,notify_user-h5-es-1,8,1,0,0,11,0
32,H5,fr,A5_embedding,notify_user-h5-fr-1,4,1,0,1,11,0
32,H0,en,A5_embedding,delete_user-h0-en-1,1,1,1,1,11,1
32,H1,en,A5_embedding,delete_user-h1-en-1,1,1,1,1,11,1
32,H2,en,A5_embedding,delete_user-h2-en-1,3,1,1,1,11,0
32,H3,en,A5_embedding,delete_user-h3-en-1,18,0,0,0,11,0
32,H4,en,A5_embedding,delete_user-h4-en-1,5,1,0,1,11,0
32,H5,pt,A5_embedding,delete_user-h5-pt-1,32,0,0,0,11,0
32,H5,es,A5_embedding,delete_user-h5-es-1,31,0,0,0,11,0
32,H5,fr,A5_embedding,delete_user-h5-fr-1,23,0,0,0,11,0
32,H0,en,A5_embedding,search_document-h0-en-1,1,1,1,1,11,1
32,H1,en,A5_embedding,search_document-h1-en-1,5,1,0,1,11,0
32,H2,en,A5_embedding,search_document-h2-en-1,4,1,0,1,11,0
32,H3,en,A5_embedding,search_document-h3-en-1,6,1,0,0,11,0
32,H4,en,A5_embedding,search_document-h4-en-1,1,1,1,1,11,1
32,H5,pt,A5_embedding,search_document-h5-pt-1,2,1,1,1,11,0
32,H5,es,A5_embedding,search_document-h5-es-1,3,1,1,1,11,0
32,H5,fr,A5_embedding,search_document-h5-fr-1,2,1,1,1,11,0
32,H0,en,A5_embedding,read_document-h0-en-1,5,1,0,1,11,0
32,H1,en,A5_embedding,read_document-h1-en-1,6,1,0,0,11,0
32,H2,en,A5_embedding,read_document-h2-en-1,12,0,0,0,11,0
32,H3,en,A5_embedding,read_document-h3-en-1,12,0,0,0,11,0
32,H4,en,A5_embedding,read_document-h4-en-1,12,0,0,0,11,0
32,H5,pt,A5_embedding,read_document-h5-pt-1,2,1,1,1,11,0
32,H5,es,A5_embedding,read_document-h5-es-1,6,1,0,0,11,0
32,H5,fr,A5_embedding,read_document-h5-fr-1,4,1,0,1,11,0
32,H0,en,A5_embedding,extract_metadata-h0-en-1,2,1,1,1,11,0
32,H1,en,A5_embedding,extract_metadata-h1-en-1,1,1,1,1,11,1
32,H2,en,A5_embedding,extract_metadata-h2-en-1,1,1,1,1,11,1
32,H3,en,A5_embedding,extract_metadata-h3-en-1,1,1,1,1,11,1
32,H4,en,A5_embedding,extract_metadata-h4-en-1,14,0,0,0,11,0
32,H5,pt,A5_embedding,extract_metadata-h5-pt-1,14,0,0,0,11,0
32,H5,es,A5_embedding,extract_metadata-h5-es-1,13,0,0,0,11,0
32,H5,fr,A5_embedding,extract_metadata-h5-fr-1,12,0,0,0,11,0
32,H0,en,A5_embedding,update_document-h0-en-1,1,1,1,1,11,1
32,H1,en,A5_embedding,update_document-h1-en-1,9,1,0,0,11,0
32,H2,en,A5_embedding,update_document-h2-en-1,11,0,0,0,11,0
32,H3,en,A5_embedding,update_document-h3-en-1,1,1,1,1,11,1
32,H4,en,A5_embedding,update_document-h4-en-1,1,1,1,1,11,1
32,H5,pt,A5_embedding,update_document-h5-pt-1,30,0,0,0,11,0
32,H5,es,A5_embedding,update_document-h5-es-1,32,0,0,0,11,0
32,H5,fr,A5_embedding,update_document-h5-fr-1,32,0,0,0,11,0
32,H0,en,A5_embedding,export_document-h0-en-1,1,1,1,1,11,1
32,H1,en,A5_embedding,export_document-h1-en-1,1,1,1,1,11,1
32,H2,en,A5_embedding,export_document-h2-en-1,1,1,1,1,11,1
32,H3,en,A5_embedding,export_document-h3-en-1,1,1,1,1,11,1
32,H4,en,A5_embedding,export_document-h4-en-1,5,1,0,1,11,0
32,H5,pt,A5_embedding,export_document-h5-pt-1,1,1,1,1,11,1
32,H5,es,A5_embedding,export_document-h5-es-1,1,1,1,1,11,1
32,H5,fr,A5_embedding,export_document-h5-fr-1,1,1,1,1,11,1
32,H0,en,A5_embedding,search_repository-h0-en-1,1,1,1,1,11,1
32,H1,en,A5_embedding,search_repository-h1-en-1,1,1,1,1,11,1
32,H2,en,A5_embedding,search_repository-h2-en-1,1,1,1,1,11,1
32,H3,en,A5_embedding,search_repository-h3-en-1,1,1,1,1,11,1
32,H4,en,A5_embedding,search_repository-h4-en-1,1,1,1,1,11,1
32,H5,pt,A5_embedding,search_repository-h5-pt-1,6,1,0,0,11,0
32,H5,es,A5_embedding,search_repository-h5-es-1,2,1,1,1,11,0
32,H5,fr,A5_embedding,search_repository-h5-fr-1,1,1,1,1,11,1
32,H0,en,A5_embedding,get_repository-h0-en-1,1,1,1,1,11,1
32,H1,en,A5_embedding,get_repository-h1-en-1,1,1,1,1,11,1
32,H2,en,A5_embedding,get_repository-h2-en-1,1,1,1,1,11,1
32,H3,en,A5_embedding,get_repository-h3-en-1,1,1,1,1,11,1
32,H4,en,A5_embedding,get_repository-h4-en-1,2,1,1,1,11,0
32,H5,pt,A5_embedding,get_repository-h5-pt-1,2,1,1,1,11,0
32,H5,es,A5_embedding,get_repository-h5-es-1,2,1,1,1,11,0
32,H5,fr,A5_embedding,get_repository-h5-fr-1,1,1,1,1,11,1
32,H0,en,A5_embedding,create_issue-h0-en-1,1,1,1,1,11,1
32,H1,en,A5_embedding,create_issue-h1-en-1,1,1,1,1,11,1
32,H2,en,A5_embedding,create_issue-h2-en-1,1,1,1,1,11,1
32,H3,en,A5_embedding,create_issue-h3-en-1,1,1,1,1,11,1
32,H4,en,A5_embedding,create_issue-h4-en-1,1,1,1,1,11,1
32,H5,pt,A5_embedding,create_issue-h5-pt-1,1,1,1,1,11,1
32,H5,es,A5_embedding,create_issue-h5-es-1,1,1,1,1,11,1
32,H5,fr,A5_embedding,create_issue-h5-fr-1,1,1,1,1,11,1
32,H0,en,A5_embedding,update_issue-h0-en-1,2,1,1,1,11,0
32,H1,en,A5_embedding,update_issue-h1-en-1,2,1,1,1,11,0
32,H2,en,A5_embedding,update_issue-h2-en-1,3,1,1,1,11,0
32,H3,en,A5_embedding,update_issue-h3-en-1,2,1,1,1,11,0
32,H4,en,A5_embedding,update_issue-h4-en-1,1,1,1,1,11,1
32,H5,pt,A5_embedding,update_issue-h5-pt-1,3,1,1,1,11,0
32,H5,es,A5_embedding,update_issue-h5-es-1,2,1,1,1,11,0
32,H5,fr,A5_embedding,update_issue-h5-fr-1,4,1,0,1,11,0
32,H0,en,A5_embedding,create_report-h0-en-1,1,1,1,1,11,1
32,H1,en,A5_embedding,create_report-h1-en-1,1,1,1,1,11,1
32,H2,en,A5_embedding,create_report-h2-en-1,1,1,1,1,11,1
32,H3,en,A5_embedding,create_report-h3-en-1,1,1,1,1,11,1
32,H4,en,A5_embedding,create_report-h4-en-1,1,1,1,1,11,1
32,H5,pt,A5_embedding,create_report-h5-pt-1,2,1,1,1,11,0
32,H5,es,A5_embedding,create_report-h5-es-1,3,1,1,1,11,0
32,H5,fr,A5_embedding,create_report-h5-fr-1,3,1,1,1,11,0
32,H0,en,A5_embedding,archive_report-h0-en-1,1,1,1,1,11,1
32,H1,en,A5_embedding,archive_report-h1-en-1,1,1,1,1,11,1
32,H2,en,A5_embedding,archive_report-h2-en-1,1,1,1,1,11,1
32,H3,en,A5_embedding,archive_report-h3-en-1,1,1,1,1,11,1
32,H4,en,A5_embedding,archive_report-h4-en-1,1,1,1,1,11,1
32,H5,pt,A5_embedding,archive_report-h5-pt-1,1,1,1,1,11,1
32,H5,es,A5_embedding,archive_report-h5-es-1,2,1,1,1,11,0
32,H5,fr,A5_embedding,archive_report-h5-fr-1,1,1,1,1,11,1
32,H0,en,A5_embedding,purge_archive-h0-en-1,1,1,1,1,11,1
32,H1,en,A5_embedding,purge_archive-h1-en-1,1,1,1,1,11,1
32,H2,en,A5_embedding,purge_archive-h2-en-1,1,1,1,1,11,1
32,H3,en,A5_embedding,purge_archive-h3-en-1,1,1,1,1,11,1
32,H4,en,A5_embedding,purge_archive-h4-en-1,1,1,1,1,11,1
32,H5,pt,A5_embedding,purge_archive-h5-pt-1,1,1,1,1,11,1
32,H5,es,A5_embedding,purge_archive-h5-es-1,1,1,1,1,11,1
32,H5,fr,A5_embedding,purge_archive-h5-fr-1,1,1,1,1,11,1
32,H0,en,A6_auto_hybrid,search_user-h0-en-1,1,1,1,1,11,1
32,H1,en,A6_auto_hybrid,search_user-h1-en-1,1,1,1,1,11,1
32,H2,en,A6_auto_hybrid,search_user-h2-en-1,1,1,1,1,11,1
32,H3,en,A6_auto_hybrid,search_user-h3-en-1,1,1,1,1,11,1
32,H4,en,A6_auto_hybrid,search_user-h4-en-1,1,1,1,1,11,1
32,H5,pt,A6_auto_hybrid,search_user-h5-pt-1,1,1,1,1,11,1
32,H5,es,A6_auto_hybrid,search_user-h5-es-1,1,1,1,1,11,1
32,H5,fr,A6_auto_hybrid,search_user-h5-fr-1,1,1,1,1,11,1
32,H0,en,A6_auto_hybrid,get_user-h0-en-1,1,1,1,1,11,1
32,H1,en,A6_auto_hybrid,get_user-h1-en-1,1,1,1,1,11,1
32,H2,en,A6_auto_hybrid,get_user-h2-en-1,1,1,1,1,11,1
32,H3,en,A6_auto_hybrid,get_user-h3-en-1,17,0,0,0,11,0
32,H4,en,A6_auto_hybrid,get_user-h4-en-1,2,1,1,1,11,0
32,H5,pt,A6_auto_hybrid,get_user-h5-pt-1,1,1,1,1,11,1
32,H5,es,A6_auto_hybrid,get_user-h5-es-1,1,1,1,1,11,1
32,H5,fr,A6_auto_hybrid,get_user-h5-fr-1,1,1,1,1,11,1
32,H0,en,A6_auto_hybrid,validate_user-h0-en-1,1,1,1,1,11,1
32,H1,en,A6_auto_hybrid,validate_user-h1-en-1,1,1,1,1,11,1
32,H2,en,A6_auto_hybrid,validate_user-h2-en-1,1,1,1,1,11,1
32,H3,en,A6_auto_hybrid,validate_user-h3-en-1,1,1,1,1,11,1
32,H4,en,A6_auto_hybrid,validate_user-h4-en-1,2,1,1,1,11,0
32,H5,pt,A6_auto_hybrid,validate_user-h5-pt-1,1,1,1,1,11,1
32,H5,es,A6_auto_hybrid,validate_user-h5-es-1,1,1,1,1,11,1
32,H5,fr,A6_auto_hybrid,validate_user-h5-fr-1,1,1,1,1,11,1
32,H0,en,A6_auto_hybrid,update_user-h0-en-1,1,1,1,1,11,1
32,H1,en,A6_auto_hybrid,update_user-h1-en-1,1,1,1,1,11,1
32,H2,en,A6_auto_hybrid,update_user-h2-en-1,2,1,1,1,11,0
32,H3,en,A6_auto_hybrid,update_user-h3-en-1,1,1,1,1,11,1
32,H4,en,A6_auto_hybrid,update_user-h4-en-1,2,1,1,1,11,0
32,H5,pt,A6_auto_hybrid,update_user-h5-pt-1,1,1,1,1,11,1
32,H5,es,A6_auto_hybrid,update_user-h5-es-1,2,1,1,1,11,0
32,H5,fr,A6_auto_hybrid,update_user-h5-fr-1,2,1,1,1,11,0
32,H0,en,A6_auto_hybrid,notify_user-h0-en-1,1,1,1,1,11,1
32,H1,en,A6_auto_hybrid,notify_user-h1-en-1,1,1,1,1,11,1
32,H2,en,A6_auto_hybrid,notify_user-h2-en-1,2,1,1,1,11,0
32,H3,en,A6_auto_hybrid,notify_user-h3-en-1,7,1,0,0,11,0
32,H4,en,A6_auto_hybrid,notify_user-h4-en-1,2,1,1,1,11,0
32,H5,pt,A6_auto_hybrid,notify_user-h5-pt-1,1,1,1,1,11,1
32,H5,es,A6_auto_hybrid,notify_user-h5-es-1,1,1,1,1,11,1
32,H5,fr,A6_auto_hybrid,notify_user-h5-fr-1,1,1,1,1,11,1
32,H0,en,A6_auto_hybrid,delete_user-h0-en-1,1,1,1,1,11,1
32,H1,en,A6_auto_hybrid,delete_user-h1-en-1,1,1,1,1,11,1
32,H2,en,A6_auto_hybrid,delete_user-h2-en-1,9,1,0,0,11,0
32,H3,en,A6_auto_hybrid,delete_user-h3-en-1,18,0,0,0,11,0
32,H4,en,A6_auto_hybrid,delete_user-h4-en-1,9,1,0,0,11,0
32,H5,pt,A6_auto_hybrid,delete_user-h5-pt-1,1,1,1,1,11,1
32,H5,es,A6_auto_hybrid,delete_user-h5-es-1,2,1,1,1,11,0
32,H5,fr,A6_auto_hybrid,delete_user-h5-fr-1,1,1,1,1,11,1
32,H0,en,A6_auto_hybrid,search_document-h0-en-1,1,1,1,1,11,1
32,H1,en,A6_auto_hybrid,search_document-h1-en-1,3,1,1,1,11,0
32,H2,en,A6_auto_hybrid,search_document-h2-en-1,2,1,1,1,11,0
