dataset,policy,E,examples,N,K,recovered,R_E,P_E,C_E,K_over_N,K_over_E,rho,eta
2wikimultihopqa,approx->hybrid_state,2.0,2,43.0,4.0,0.0,0.0,0.0,0.0,0.09307359307359307,2.0,0.9069264069264069,0.0
2wikimultihopqa,approx->hybrid_state,3.0,1,31.0,4.0,0.0,0.0,0.0,0.0,0.12903225806451613,1.3333333333333333,0.8709677419354839,0.0
2wikimultihopqa,approx->hybrid_state,4.0,5,55.2,4.0,0.2,0.05,0.05,0.0,0.0755358985699543,1.0,0.9244641014300458,0.6375
2wikimultihopqa,approx->hybrid_state,5.0,2,49.0,4.0,0.0,0.0,0.0,0.0,0.0828752642706131,0.8,0.9171247357293869,0.0
2wikimultihopqa,approx->hybrid_state,6.0,2,41.5,4.0,0.0,0.0,0.0,0.0,0.09707602339181287,0.6666666666666666,0.9029239766081871,0.0
2wikimultihopqa,approx->hybrid_state,8.0,5,29.6,4.0,1.6,0.2,0.4,0.0,0.13671554252199414,0.5,0.8632844574780059,1.41875
2wikimultihopqa,approx->hybrid_state,9.0,1,41.0,4.0,1.0,0.1111111111111111,0.25,0.0,0.0975609756097561,0.4444444444444444,0.9024390243902439,1.1388888888888888
2wikimultihopqa,approx->native_semantic,2.0,2,43.0,4.0,0.0,0.0,0.0,0.0,0.09307359307359307,2.0,0.9069264069264069,0.0
2wikimultihopqa,approx->native_semantic,3.0,1,31.0,4.0,0.0,0.0,0.0,0.0,0.12903225806451613,1.3333333333333333,0.8709677419354839,0.0
2wikimultihopqa,approx->native_semantic,4.0,5,55.2,4.0,0.4,0.1,0.1,0.0,0.0755358985699543,1.0,0.9244641014300458,1.1125
2wikimultihopqa,approx->native_semantic,5.0,2,49.0,4.0,0.5,0.1,0.125,0.0,0.0828752642706131,0.8,0.9171247357293869,1.0750000000000002
2wikimultihopqa,approx->native_semantic,6.0,2,41.5,4.0,0.0,0.0,0.0,0.0,0.09707602339181287,0.6666666666666666,0.9029239766081871,0.0
2wikimultihopqa,approx->native_semantic,8.0,5,29.6,4.0,2.0,0.25,0.5,0.0,0.13671554252199414,0.5,0.8632844574780059,1.775
2wikimultihopqa,approx->native_semantic,9.0,1,41.0,4.0,0.0,0.0,0.0,0.0,0.0975609756097561,0.4444444444444444,0.9024390243902439,0.0
2wikimultihopqa,bm25->bm25_state,2.0,2,43.0,4.0,0.0,0.0,0.0,0.0,0.09307359307359307,2.0,0.9069264069264069,0.0
2wikimultihopqa,bm25->bm25_state,3.0,1,31.0,4.0,0.0,0.0,0.0,0.0,0.12903225806451613,1.3333333333333333,0.8709677419354839,0.0
2wikimultihopqa,bm25->bm25_state,4.0,5,55.2,4.0,0.2,0.05,0.05,0.0,0.0755358985699543,1.0,0.9244641014300458,0.6375
2wikimultihopqa,bm25->bm25_state,5.0,2,49.0,4.0,0.5,0.1,0.125,0.0,0.0828752642706131,0.8,0.9171247357293869,1.3750000000000002
2wikimultihopqa,bm25->bm25_state,6.0,2,41.5,4.0,1.0,0.16666666666666666,0.25,0.0,0.09707602339181287,0.6666666666666666,0.9029239766081871,1.5833333333333333
2wikimultihopqa,bm25->bm25_state,8.0,5,29.6,4.0,1.6,0.2,0.4,0.0,0.13671554252199414,0.5,0.8632844574780059,1.4375
2wikimultihopqa,bm25->bm25_state,9.0,1,41.0,4.0,0.0,0.0,0.0,0.0,0.0975609756097561,0.4444444444444444,0.9024390243902439,0.0
2wikimultihopqa,bm25->exact_new_address,2.0,2,43.0,4.0,0.0,0.0,0.0,0.0,0.09307359307359307,2.0,0.9069264069264069,0.0
2wikimultihopqa,bm25->exact_new_address,3.0,1,31.0,4.0,0.0,0.0,0.0,0.0,0.12903225806451613,1.3333333333333333,0.8709677419354839,0.0
2wikimultihopqa,bm25->exact_new_address,4.0,5,55.2,4.0,0.4,0.1,0.1,0.0,0.0755358985699543,1.0,0.9244641014300458,1.3875
2wikimultihopqa,bm25->exact_new_address,5.0,2,49.0,4.0,0.0,0.0,0.0,0.0,0.0828752642706131,0.8,0.9171247357293869,0.0
2wikimultihopqa,bm25->exact_new_address,6.0,2,41.5,4.0,0.0,0.0,0.0,0.0,0.09707602339181287,0.6666666666666666,0.9029239766081871,0.0
2wikimultihopqa,bm25->exact_new_address,8.0,5,29.6,4.0,1.4,0.175,0.35,0.0,0.13671554252199414,0.5,0.8632844574780059,1.3
2wikimultihopqa,bm25->exact_new_address,9.0,1,41.0,4.0,0.0,0.0,0.0,0.0,0.0975609756097561,0.4444444444444444,0.9024390243902439,0.0
2wikimultihopqa,bm25->hybrid_state,2.0,2,43.0,4.0,0.0,0.0,0.0,0.0,0.09307359307359307,2.0,0.9069264069264069,0.0
2wikimultihopqa,bm25->hybrid_state,3.0,1,31.0,4.0,0.0,0.0,0.0,0.0,0.12903225806451613,1.3333333333333333,0.8709677419354839,0.0
2wikimultihopqa,bm25->hybrid_state,4.0,5,55.2,4.0,0.2,0.05,0.05,0.0,0.0755358985699543,1.0,0.9244641014300458,0.6375
2wikimultihopqa,bm25->hybrid_state,5.0,2,49.0,4.0,0.0,0.0,0.0,0.0,0.0828752642706131,0.8,0.9171247357293869,0.0
2wikimultihopqa,bm25->hybrid_state,6.0,2,41.5,4.0,0.0,0.0,0.0,0.0,0.09707602339181287,0.6666666666666666,0.9029239766081871,0.0
2wikimultihopqa,bm25->hybrid_state,8.0,5,29.6,4.0,1.6,0.2,0.4,0.0,0.13671554252199414,0.5,0.8632844574780059,1.425
2wikimultihopqa,bm25->hybrid_state,9.0,1,41.0,4.0,0.0,0.0,0.0,0.0,0.0975609756097561,0.4444444444444444,0.9024390243902439,0.0
2wikimultihopqa,bm25->native_semantic,2.0,2,43.0,4.0,0.0,0.0,0.0,0.0,0.09307359307359307,2.0,0.9069264069264069,0.0
2wikimultihopqa,bm25->native_semantic,3.0,1,31.0,4.0,0.0,0.0,0.0,0.0,0.12903225806451613,1.3333333333333333,0.8709677419354839,0.0
2wikimultihopqa,bm25->native_semantic,4.0,5,55.2,4.0,0.6,0.15,0.15,0.0,0.0755358985699543,1.0,0.9244641014300458,1.825
2wikimultihopqa,bm25->native_semantic,5.0,2,49.0,4.0,0.0,0.0,0.0,0.0,0.0828752642706131,0.8,0.9171247357293869,0.0
2wikimultihopqa,bm25->native_semantic,6.0,2,41.5,4.0,0.0,0.0,0.0,0.0,0.09707602339181287,0.6666666666666666,0.9029239766081871,0.0
2wikimultihopqa,bm25->native_semantic,8.0,5,29.6,4.0,1.8,0.225,0.45,0.0,0.13671554252199414,0.5,0.8632844574780059,1.58125
2wikimultihopqa,bm25->native_semantic,9.0,1,41.0,4.0,0.0,0.0,0.0,0.0,0.0975609756097561,0.4444444444444444,0.9024390243902439,0.0
2wikimultihopqa,exact->bm25_state,2.0,2,43.0,4.0,0.0,0.0,0.0,0.0,0.09307359307359307,2.0,0.9069264069264069,0.0
2wikimultihopqa,exact->bm25_state,3.0,1,31.0,4.0,0.0,0.0,0.0,0.0,0.12903225806451613,1.3333333333333333,0.8709677419354839,0.0
2wikimultihopqa,exact->bm25_state,4.0,5,55.2,4.0,0.2,0.05,0.05,0.0,0.0755358985699543,1.0,0.9244641014300458,0.6375
2wikimultihopqa,exact->bm25_state,5.0,2,49.0,4.0,0.0,0.0,0.0,0.0,0.0828752642706131,0.8,0.9171247357293869,0.0
2wikimultihopqa,exact->bm25_state,6.0,2,41.5,4.0,0.5,0.08333333333333333,0.125,0.0,0.09707602339181287,0.6666666666666666,0.9029239766081871,0.9374999999999999
2wikimultihopqa,exact->bm25_state,8.0,5,29.6,4.0,2.0,0.25,0.5,0.0,0.13671554252199414,0.5,0.8632844574780059,1.81875
2wikimultihopqa,exact->bm25_state,9.0,1,41.0,4.0,1.0,0.1111111111111111,0.25,0.0,0.0975609756097561,0.4444444444444444,0.9024390243902439,1.1388888888888888
2wikimultihopqa,exact->exact_new_address,2.0,2,43.0,4.0,0.5,0.25,0.125,0.0,0.09307359307359307,2.0,0.9069264069264069,2.75
2wikimultihopqa,exact->exact_new_address,3.0,1,31.0,4.0,0.0,0.0,0.0,0.0,0.12903225806451613,1.3333333333333333,0.8709677419354839,0.0
2wikimultihopqa,exact->exact_new_address,4.0,5,55.2,4.0,0.4,0.1,0.1,0.0,0.0755358985699543,1.0,0.9244641014300458,1.3875
2wikimultihopqa,exact->exact_new_address,5.0,2,49.0,4.0,0.0,0.0,0.0,0.0,0.0828752642706131,0.8,0.9171247357293869,0.0
2wikimultihopqa,exact->exact_new_address,6.0,2,41.5,4.0,0.5,0.08333333333333333,0.125,0.0,0.09707602339181287,0.6666666666666666,0.9029239766081871,0.9374999999999999
2wikimultihopqa,exact->exact_new_address,8.0,5,29.6,4.0,1.4,0.175,0.35,0.0,0.13671554252199414,0.5,0.8632844574780059,1.25625
2wikimultihopqa,exact->exact_new_address,9.0,1,41.0,4.0,1.0,0.1111111111111111,0.25,0.0,0.0975609756097561,0.4444444444444444,0.9024390243902439,1.1388888888888888
2wikimultihopqa,exact->hybrid_state,2.0,2,43.0,4.0,0.5,0.25,0.125,0.0,0.09307359307359307,2.0,0.9069264069264069,2.75
2wikimultihopqa,exact->hybrid_state,3.0,1,31.0,4.0,0.0,0.0,0.0,0.0,0.12903225806451613,1.3333333333333333,0.8709677419354839,0.0
2wikimultihopqa,exact->hybrid_state,4.0,5,55.2,4.0,0.2,0.05,0.05,0.0,0.0755358985699543,1.0,0.9244641014300458,0.6375
2wikimultihopqa,exact->hybrid_state,5.0,2,49.0,4.0,0.0,0.0,0.0,0.0,0.0828752642706131,0.8,0.9171247357293869,0.0
2wikimultihopqa,exact->hybrid_state,6.0,2,41.5,4.0,0.5,0.08333333333333333,0.125,0.0,0.09707602339181287,0.6666666666666666,0.9029239766081871,0.9374999999999999
2wikimultihopqa,exact->hybrid_state,8.0,5,29.6,4.0,1.4,0.175,0.35,0.0,0.13671554252199414,0.5,0.8632844574780059,1.2125
2wikimultihopqa,exact->hybrid_state,9.0,1,41.0,4.0,1.0,0.1111111111111111,0.25,0.0,0.0975609756097561,0.4444444444444444,0.9024390243902439,1.1388888888888888
2wikimultihopqa,exact->native_semantic,2.0,2,43.0,4.0,0.0,0.0,0.0,0.0,0.09307359307359307,2.0,0.9069264069264069,0.0
2wikimultihopqa,exact->native_semantic,3.0,1,31.0,4.0,0.0,0.0,0.0,0.0,0.12903225806451613,1.3333333333333333,0.8709677419354839,0.0
2wikimultihopqa,exact->native_semantic,4.0,5,55.2,4.0,0.6,0.15,0.15,0.0,0.0755358985699543,1.0,0.9244641014300458,1.825
2wikimultihopqa,exact->native_semantic,5.0,2,49.0,4.0,0.5,0.1,0.125,0.0,0.0828752642706131,0.8,0.9171247357293869,1.0750000000000002
2wikimultihopqa,exact->native_semantic,6.0,2,41.5,4.0,1.0,0.16666666666666666,0.25,0.0,0.09707602339181287,0.6666666666666666,0.9029239766081871,1.8749999999999998
2wikimultihopqa,exact->native_semantic,8.0,5,29.6,4.0,2.2,0.275,0.55,0.0,0.13671554252199414,0.5,0.8632844574780059,1.94375
2wikimultihopqa,exact->native_semantic,9.0,1,41.0,4.0,0.0,0.0,0.0,0.0,0.0975609756097561,0.4444444444444444,0.9024390243902439,0.0
2wikimultihopqa,gist->bm25_state,2.0,2,43.0,4.0,0.0,0.0,0.0,0.0,0.09307359307359307,2.0,0.9069264069264069,0.0
2wikimultihopqa,gist->bm25_state,3.0,1,31.0,4.0,0.0,0.0,0.0,0.0,0.12903225806451613,1.3333333333333333,0.8709677419354839,0.0
2wikimultihopqa,gist->bm25_state,4.0,5,55.2,4.0,0.2,0.05,0.05,0.0,0.0755358985699543,1.0,0.9244641014300458,0.475
2wikimultihopqa,gist->bm25_state,5.0,2,49.0,4.0,0.0,0.0,0.0,0.0,0.0828752642706131,0.8,0.9171247357293869,0.0
2wikimultihopqa,gist->bm25_state,6.0,2,41.5,4.0,0.0,0.0,0.0,0.0,0.09707602339181287,0.6666666666666666,0.9029239766081871,0.0
2wikimultihopqa,gist->bm25_state,8.0,5,29.6,4.0,2.2,0.275,0.55,0.0,0.13671554252199414,0.5,0.8632844574780059,1.9625
2wikimultihopqa,gist->bm25_state,9.0,1,41.0,4.0,0.0,0.0,0.0,0.0,0.0975609756097561,0.4444444444444444,0.9024390243902439,0.0
2wikimultihopqa,gist->exact_new_address,2.0,2,43.0,4.0,0.0,0.0,0.0,0.0,0.09307359307359307,2.0,0.9069264069264069,0.0
2wikimultihopqa,gist->exact_new_address,3.0,1,31.0,4.0,0.0,0.0,0.0,0.0,0.12903225806451613,1.3333333333333333,0.8709677419354839,0.0
2wikimultihopqa,gist->exact_new_address,4.0,5,55.2,4.0,0.2,0.05,0.05,0.0,0.0755358985699543,1.0,0.9244641014300458,0.475
2wikimultihopqa,gist->exact_new_address,5.0,2,49.0,4.0,0.0,0.0,0.0,0.0,0.0828752642706131,0.8,0.9171247357293869,0.0
2wikimultihopqa,gist->exact_new_address,6.0,2,41.5,4.0,0.0,0.0,0.0,0.0,0.09707602339181287,0.6666666666666666,0.9029239766081871,0.0
2wikimultihopqa,gist->exact_new_address,8.0,5,29.6,4.0,2.0,0.25,0.5,0.0,0.13671554252199414,0.5,0.8632844574780059,1.8375
2wikimultihopqa,gist->exact_new_address,9.0,1,41.0,4.0,1.0,0.1111111111111111,0.25,0.0,0.0975609756097561,0.4444444444444444,0.9024390243902439,1.1388888888888888
2wikimultihopqa,gist->hybrid_state,2.0,2,43.0,4.0,0.5,0.25,0.125,0.0,0.09307359307359307,2.0,0.9069264069264069,2.75
2wikimultihopqa,gist->hybrid_state,3.0,1,31.0,4.0,0.0,0.0,0.0,0.0,0.12903225806451613,1.3333333333333333,0.8709677419354839,0.0
2wikimultihopqa,gist->hybrid_state,4.0,5,55.2,4.0,0.4,0.1,0.1,0.0,0.0755358985699543,1.0,0.9244641014300458,1.1125
2wikimultihopqa,gist->hybrid_state,5.0,2,49.0,4.0,0.0,0.0,0.0,0.0,0.0828752642706131,0.8,0.9171247357293869,0.0
2wikimultihopqa,gist->hybrid_state,6.0,2,41.5,4.0,0.0,0.0,0.0,0.0,0.09707602339181287,0.6666666666666666,0.9029239766081871,0.0
2wikimultihopqa,gist->hybrid_state,8.0,5,29.6,4.0,1.8,0.225,0.45,0.0,0.13671554252199414,0.5,0.8632844574780059,1.65
2wikimultihopqa,gist->hybrid_state,9.0,1,41.0,4.0,0.0,0.0,0.0,0.0,0.0975609756097561,0.4444444444444444,0.9024390243902439,0.0
2wikimultihopqa,gist->native_semantic,2.0,2,43.0,4.0,0.0,0.0,0.0,0.0,0.09307359307359307,2.0,0.9069264069264069,0.0
2wikimultihopqa,gist->native_semantic,3.0,1,31.0,4.0,1.0,0.3333333333333333,0.25,0.0,0.12903225806451613,1.3333333333333333,0.8709677419354839,2.5833333333333335
2wikimultihopqa,gist->native_semantic,4.0,5,55.2,4.0,0.4,0.1,0.1,0.0,0.0755358985699543,1.0,0.9244641014300458,1.225
2wikimultihopqa,gist->native_semantic,5.0,2,49.0,4.0,0.0,0.0,0.0,0.0,0.0828752642706131,0.8,0.9171247357293869,0.0
2wikimultihopqa,gist->native_semantic,6.0,2,41.5,4.0,0.0,0.0,0.0,0.0,0.09707602339181287,0.6666666666666666,0.9029239766081871,0.0
2wikimultihopqa,gist->native_semantic,8.0,5,29.6,4.0,1.8,0.225,0.45,0.0,0.13671554252199414,0.5,0.8632844574780059,1.64375
2wikimultihopqa,gist->native_semantic,9.0,1,41.0,4.0,0.0,0.0,0.0,0.0,0.0975609756097561,0.4444444444444444,0.9024390243902439,0.0
2wikimultihopqa,hybrid->bm25_state,2.0,2,43.0,4.0,0.0,0.0,0.0,0.0,0.09307359307359307,2.0,0.9069264069264069,0.0
2wikimultihopqa,hybrid->bm25_state,3.0,1,31.0,4.0,0.0,0.0,0.0,0.0,0.12903225806451613,1.3333333333333333,0.8709677419354839,0.0
2wikimultihopqa,hybrid->bm25_state,4.0,5,55.2,4.0,0.2,0.05,0.05,0.0,0.0755358985699543,1.0,0.9244641014300458,0.6375
2wikimultihopqa,hybrid->bm25_state,5.0,2,49.0,4.0,0.0,0.0,0.0,0.0,0.0828752642706131,0.8,0.9171247357293869,0.0
2wikimultihopqa,hybrid->bm25_state,6.0,2,41.5,4.0,0.5,0.08333333333333333,0.125,0.0,0.09707602339181287,0.6666666666666666,0.9029239766081871,0.9374999999999999
2wikimultihopqa,hybrid->bm25_state,8.0,5,29.6,4.0,2.0,0.25,0.5,0.0,0.13671554252199414,0.5,0.8632844574780059,1.81875
2wikimultihopqa,hybrid->bm25_state,9.0,1,41.0,4.0,1.0,0.1111111111111111,0.25,0.0,0.0975609756097561,0.4444444444444444,0.9024390243902439,1.1388888888888888
2wikimultihopqa,hybrid->exact_new_address,2.0,2,43.0,4.0,0.5,0.25,0.125,0.0,0.09307359307359307,2.0,0.9069264069264069,2.75
2wikimultihopqa,hybrid->exact_new_address,3.0,1,31.0,4.0,0.0,0.0,0.0,0.0,0.12903225806451613,1.3333333333333333,0.8709677419354839,0.0
2wikimultihopqa,hybrid->exact_new_address,4.0,5,55.2,4.0,0.4,0.1,0.1,0.0,0.0755358985699543,1.0,0.9244641014300458,1.3875
2wikimultihopqa,hybrid->exact_new_address,5.0,2,49.0,4.0,0.0,0.0,0.0,0.0,0.0828752642706131,0.8,0.9171247357293869,0.0
2wikimultihopqa,hybrid->exact_new_address,6.0,2,41.5,4.0,0.5,0.08333333333333333,0.125,0.0,0.09707602339181287,0.6666666666666666,0.9029239766081871,0.9374999999999999
2wikimultihopqa,hybrid->exact_new_address,8.0,5,29.6,4.0,1.2,0.15,0.3,0.0,0.13671554252199414,0.5,0.8632844574780059,1.06875
2wikimultihopqa,hybrid->exact_new_address,9.0,1,41.0,4.0,1.0,0.1111111111111111,0.25,0.0,0.0975609756097561,0.4444444444444444,0.9024390243902439,1.1388888888888888
2wikimultihopqa,hybrid->hybrid_state,2.0,2,43.0,4.0,0.5,0.25,0.125,0.0,0.09307359307359307,2.0,0.9069264069264069,2.75
2wikimultihopqa,hybrid->hybrid_state,3.0,1,31.0,4.0,0.0,0.0,0.0,0.0,0.12903225806451613,1.3333333333333333,0.8709677419354839,0.0
2wikimultihopqa,hybrid->hybrid_state,4.0,5,55.2,4.0,0.2,0.05,0.05,0.0,0.0755358985699543,1.0,0.9244641014300458,0.6375
2wikimultihopqa,hybrid->hybrid_state,5.0,2,49.0,4.0,0.0,0.0,0.0,0.0,0.0828752642706131,0.8,0.9171247357293869,0.0
2wikimultihopqa,hybrid->hybrid_state,6.0,2,41.5,4.0,0.5,0.08333333333333333,0.125,0.0,0.09707602339181287,0.6666666666666666,0.9029239766081871,0.9374999999999999
2wikimultihopqa,hybrid->hybrid_state,8.0,5,29.6,4.0,1.4,0.175,0.35,0.0,0.13671554252199414,0.5,0.8632844574780059,1.2125
2wikimultihopqa,hybrid->hybrid_state,9.0,1,41.0,4.0,1.0,0.1111111111111111,0.25,0.0,0.0975609756097561,0.4444444444444444,0.9024390243902439,1.1388888888888888
2wikimultihopqa,hybrid->native_semantic,2.0,2,43.0,4.0,0.0,0.0,0.0,0.0,0.09307359307359307,2.0,0.9069264069264069,0.0
2wikimultihopqa,hybrid->native_semantic,3.0,1,31.0,4.0,0.0,0.0,0.0,0.0,0.12903225806451613,1.3333333333333333,0.8709677419354839,0.0
2wikimultihopqa,hybrid->native_semantic,4.0,5,55.2,4.0,0.4,0.1,0.1,0.0,0.0755358985699543,1.0,0.9244641014300458,1.1125
2wikimultihopqa,hybrid->native_semantic,5.0,2,49.0,4.0,0.5,0.1,0.125,0.0,0.0828752642706131,0.8,0.9171247357293869,1.0750000000000002
2wikimultihopqa,hybrid->native_semantic,6.0,2,41.5,4.0,1.0,0.16666666666666666,0.25,0.0,0.09707602339181287,0.6666666666666666,0.9029239766081871,1.8749999999999998
2wikimultihopqa,hybrid->native_semantic,8.0,5,29.6,4.0,1.8,0.225,0.45,0.0,0.13671554252199414,0.5,0.8632844574780059,1.56875
2wikimultihopqa,hybrid->native_semantic,9.0,1,41.0,4.0,0.0,0.0,0.0,0.0,0.0975609756097561,0.4444444444444444,0.9024390243902439,0.0
hotpotqa,approx->bm25_state,3.0,1,48.0,4.0,0.0,0.0,0.0,0.0,0.08333333333333333,1.3333333333333333,0.9166666666666666,0.0
hotpotqa,approx->bm25_state,4.0,8,50.875,4.0,0.5,0.125,0.125,0.0,0.0936817672494812,1.0,0.9063182327505188,1.8359375
hotpotqa,approx->bm25_state,5.0,4,47.0,4.0,0.0,0.0,0.0,0.0,0.08767942583732058,0.8,0.9123205741626794,0.0
hotpotqa,approx->bm25_state,6.0,1,62.0,4.0,0.0,0.0,0.0,0.0,0.06451612903225806,0.6666666666666666,0.935483870967742,0.0
hotpotqa,approx->bm25_state,7.0,2,48.5,4.0,0.0,0.0,0.0,0.0,0.0825531914893617,0.5714285714285714,0.9174468085106383,0.0
hotpotqa,approx->exact_new_address,3.0,1,48.0,4.0,1.0,0.3333333333333333,0.25,0.0,0.08333333333333333,1.3333333333333333,0.9166666666666666,4.0
hotpotqa,approx->exact_new_address,4.0,8,50.875,4.0,0.375,0.09375,0.09375,0.0,0.0936817672494812,1.0,0.9063182327505188,0.8515625
hotpotqa,approx->exact_new_address,5.0,4,47.0,4.0,0.25,0.05,0.0625,0.0,0.08767942583732058,0.8,0.9123205741626794,0.47500000000000003
hotpotqa,approx->exact_new_address,6.0,1,62.0,4.0,0.0,0.0,0.0,0.0,0.06451612903225806,0.6666666666666666,0.935483870967742,0.0
hotpotqa,approx->exact_new_address,7.0,2,48.5,4.0,0.5,0.07142857142857142,0.125,0.0,0.0825531914893617,0.5714285714285714,0.9174468085106383,0.8392857142857143
hotpotqa,approx->hybrid_state,3.0,1,48.0,4.0,1.0,0.3333333333333333,0.25,0.0,0.08333333333333333,1.3333333333333333,0.9166666666666666,4.0
hotpotqa,approx->hybrid_state,4.0,8,50.875,4.0,0.5,0.125,0.125,0.0,0.0936817672494812,1.0,0.9063182327505188,1.078125
hotpotqa,approx->hybrid_state,5.0,4,47.0,4.0,0.25,0.05,0.0625,0.0,0.08767942583732058,0.8,0.9123205741626794,0.47500000000000003
hotpotqa,approx->hybrid_state,6.0,1,62.0,4.0,0.0,0.0,0.0,0.0,0.06451612903225806,0.6666666666666666,0.935483870967742,0.0
hotpotqa,approx->hybrid_state,7.0,2,48.5,4.0,0.5,0.07142857142857142,0.125,0.0,0.0825531914893617,0.5714285714285714,0.9174468085106383,0.8392857142857143
hotpotqa,approx->native_semantic,3.0,1,48.0,4.0,1.0,0.3333333333333333,0.25,0.0,0.08333333333333333,1.3333333333333333,0.9166666666666666,4.0
hotpotqa,approx->native_semantic,4.0,8,50.875,4.0,0.75,0.1875,0.1875,0.0,0.0936817672494812,1.0,0.9063182327505188,1.6640625
hotpotqa,approx->native_semantic,5.0,4,47.0,4.0,0.25,0.05,0.0625,0.0,0.08767942583732058,0.8,0.9123205741626794,0.6875000000000001
hotpotqa,approx->native_semantic,6.0,1,62.0,4.0,0.0,0.0,0.0,0.0,0.06451612903225806,0.6666666666666666,0.935483870967742,0.0
hotpotqa,approx->native_semantic,7.0,2,48.5,4.0,1.0,0.14285714285714285,0.25,0.0,0.0825531914893617,0.5714285714285714,0.9174468085106383,1.7321428571428572
hotpotqa,bm25->bm25_state,3.0,1,48.0,4.0,0.0,0.0,0.0,0.0,0.08333333333333333,1.3333333333333333,0.9166666666666666,0.0
hotpotqa,bm25->bm25_state,4.0,8,50.875,4.0,0.25,0.0625,0.0625,0.0,0.0936817672494812,1.0,0.9063182327505188,1.2109375
hotpotqa,bm25->bm25_state,5.0,4,47.0,4.0,0.25,0.05,0.0625,0.0,0.08767942583732058,0.8,0.9123205741626794,0.6875000000000001
hotpotqa,bm25->bm25_state,6.0,1,62.0,4.0,0.0,0.0,0.0,0.0,0.06451612903225806,0.6666666666666666,0.935483870967742,0.0
hotpotqa,bm25->bm25_state,7.0,2,48.5,4.0,0.0,0.0,0.0,0.0,0.0825531914893617,0.5714285714285714,0.9174468085106383,0.0
hotpotqa,bm25->exact_new_address,3.0,1,48.0,4.0,0.0,0.0,0.0,0.0,0.08333333333333333,1.3333333333333333,0.9166666666666666,0.0
hotpotqa,bm25->exact_new_address,4.0,8,50.875,4.0,0.375,0.09375,0.09375,0.0,0.0936817672494812,1.0,0.9063182327505188,2.1953125
hotpotqa,bm25->exact_new_address,5.0,4,47.0,4.0,0.5,0.1,0.125,0.0,0.08767942583732058,0.8,0.9123205741626794,1.3750000000000002
hotpotqa,bm25->exact_new_address,6.0,1,62.0,4.0,0.0,0.0,0.0,0.0,0.06451612903225806,0.6666666666666666,0.935483870967742,0.0
hotpotqa,bm25->exact_new_address,7.0,2,48.5,4.0,0.0,0.0,0.0,0.0,0.0825531914893617,0.5714285714285714,0.9174468085106383,0.0
hotpotqa,bm25->hybrid_state,3.0,1,48.0,4.0,0.0,0.0,0.0,0.0,0.08333333333333333,1.3333333333333333,0.9166666666666666,0.0
hotpotqa,bm25->hybrid_state,4.0,8,50.875,4.0,0.5,0.125,0.125,0.0,0.0936817672494812,1.0,0.9063182327505188,2.5078125
hotpotqa,bm25->hybrid_state,5.0,4,47.0,4.0,0.25,0.05,0.0625,0.0,0.08767942583732058,0.8,0.9123205741626794,0.6875000000000001
hotpotqa,bm25->hybrid_state,6.0,1,62.0,4.0,0.0,0.0,0.0,0.0,0.06451612903225806,0.6666666666666666,0.935483870967742,0.0
