dataset,evidence_recall,m,objective,rank,seed,selection_ms,teacher_top4_overlap
hotpotqa,0.10833333333333332,8,oracle_imitation,8,37,39.167275026557036,0.84375
hotpotqa,0.12767857142857142,8,oracle_imitation,8,53,45.63345001952257,0.8125
hotpotqa,0.11726190476190475,8,oracle_imitation,8,71,40.35368128097616,0.875
hotpotqa,0.11517857142857142,4,oracle_imitation,16,11,38.81165622442495,0.8125
hotpotqa,0.08020833333333333,4,oracle_imitation,16,23,41.68547499284614,0.796875
hotpotqa,0.08020833333333333,4,oracle_imitation,16,37,37.309068749891594,0.8125
hotpotqa,0.11517857142857142,4,oracle_imitation,16,53,45.04100627673324,0.78125
hotpotqa,0.08020833333333333,4,oracle_imitation,16,71,44.97225001978222,0.796875
hotpotqa,0.13124999999999998,8,oracle_imitation,16,11,39.85503128205892,0.84375
hotpotqa,0.12083333333333332,8,oracle_imitation,16,23,41.234106247429736,0.859375
hotpotqa,0.12083333333333332,8,oracle_imitation,16,37,47.51399999076966,0.890625
hotpotqa,0.10833333333333332,8,oracle_imitation,16,53,42.06795000936836,0.828125
hotpotqa,0.12083333333333332,8,oracle_imitation,16,71,44.788850034819916,0.875
hotpotqa,0.09955357142857142,4,oracle_imitation,32,11,41.3007749884855,0.796875
hotpotqa,0.09955357142857142,4,oracle_imitation,32,23,34.83467498153914,0.765625
hotpotqa,0.08913690476190475,4,oracle_imitation,32,37,34.65306248108391,0.78125
hotpotqa,0.08913690476190475,4,oracle_imitation,32,53,41.79431250668131,0.765625
hotpotqa,0.10625,4,oracle_imitation,32,71,36.84293125115801,0.796875
hotpotqa,0.12083333333333332,8,oracle_imitation,32,11,38.41087505861651,0.859375
hotpotqa,0.10833333333333332,8,oracle_imitation,32,23,36.72710007231217,0.859375
hotpotqa,0.11875,8,oracle_imitation,32,37,36.65745003672782,0.84375
hotpotqa,0.10833333333333332,8,oracle_imitation,32,53,32.46861252409872,0.828125
hotpotqa,0.10833333333333332,8,oracle_imitation,32,71,36.11806877597701,0.859375
qasper,0.06169642857142857,4,combined,8,11,122.1730999823194,0.296875
qasper,0.0619951923076923,4,combined,8,23,121.44352498580702,0.390625
qasper,0.09500114468864469,4,combined,8,37,124.74466249113902,0.265625
qasper,0.07509043040293041,4,combined,8,53,121.64523122191895,0.375
qasper,0.04189102564102564,4,combined,8,71,114.62121874501463,0.28125
qasper,0.03708333333333333,8,combined,8,11,120.98334376059938,0.359375
qasper,0.19925709706959707,8,combined,8,23,129.36346876085736,0.453125
qasper,0.19444940476190475,8,combined,8,37,112.52284373040311,0.421875
qasper,0.1658035714285714,8,combined,8,53,113.80923747492488,0.40625
qasper,0.04486607142857143,8,combined,8,71,122.3086062236689,0.40625
qasper,0.04897435897435897,4,combined,16,11,120.98753124882933,0.40625
qasper,0.0668452380952381,4,combined,16,23,112.08829999668524,0.328125
qasper,0.06616185897435897,4,combined,16,37,119.87495623179711,0.40625
qasper,0.05717261904761904,4,combined,16,53,118.45096877368633,0.296875
qasper,0.04788690476190476,4,combined,16,71,113.70509998232592,0.1875
qasper,0.05038690476190476,8,combined,16,11,117.01321249711327,0.359375
qasper,0.0793452380952381,8,combined,16,23,104.80241873301566,0.484375
qasper,0.16061011904761904,8,combined,16,37,111.2014312093379,0.34375
qasper,0.13102793040293043,8,combined,16,53,109.62283746630419,0.375
qasper,0.2000904304029304,8,combined,16,71,117.45599374989979,0.375
qasper,0.03998511904761905,4,combined,32,11,105.99179372366052,0.359375
qasper,0.10546130952380951,4,combined,32,23,102.92641249543522,0.40625
qasper,0.10151785714285715,4,combined,32,37,106.52581875910982,0.265625
qasper,0.04897435897435897,4,combined,32,53,112.82838122860994,0.40625
qasper,0.02363095238095238,4,combined,32,71,103.75074998592027,0.296875
qasper,0.11,8,combined,32,11,104.85671873902902,0.515625
qasper,0.07510416666666667,8,combined,32,23,106.94206249900162,0.390625
qasper,0.16958447802197804,8,combined,32,37,108.63532491202932,0.359375
qasper,0.12532852564102565,8,combined,32,53,105.61905000940897,0.515625
qasper,0.10061011904761903,8,combined,32,71,110.14843749580905,0.390625
qasper,0.03328869047619047,4,decision_aware,8,11,124.72441875434015,0.328125
qasper,0.027038690476190473,4,decision_aware,8,23,131.85171877557877,0.28125
qasper,0.01988095238095238,4,decision_aware,8,37,132.88269373879302,0.28125
qasper,0.09623511904761904,4,decision_aware,8,53,128.3214938157471,0.296875
qasper,0.09186011904761905,4,decision_aware,8,71,126.11053125874605,0.328125
qasper,0.12895947802197802,8,decision_aware,8,11,134.50850629305933,0.375
qasper,0.12866185897435897,8,decision_aware,8,23,139.04067501425743,0.375
qasper,0.20455471611721612,8,decision_aware,8,37,127.70674376224633,0.40625
qasper,0.13229281135531135,8,decision_aware,8,53,140.70961251854897,0.34375
qasper,0.11657852564102564,8,decision_aware,8,71,138.04131874348968,0.390625
qasper,0.022559523809523807,4,decision_aware,16,11,135.85597497876734,0.28125
qasper,0.04925709706959707,4,decision_aware,16,23,128.5237124975538,0.359375
qasper,0.07279761904761904,4,decision_aware,16,37,130.0233562797075,0.34375
qasper,0.046294642857142854,4,decision_aware,16,53,125.37038126902189,0.28125
qasper,0.08061011904761904,4,decision_aware,16,71,127.24634373444133,0.25
qasper,0.1603125,8,decision_aware,16,11,125.47318752331194,0.34375
qasper,0.1040625,8,decision_aware,16,23,138.1997812713962,0.421875
qasper,0.10144345238095237,8,decision_aware,16,37,125.4815562570002,0.328125
qasper,0.18849702380952382,8,decision_aware,16,53,126.66478747269139,0.359375
qasper,0.11666781135531135,8,decision_aware,16,71,137.5187312514754,0.34375
qasper,0.10069940476190475,4,decision_aware,32,11,135.96104370662943,0.296875
qasper,0.0803125,4,decision_aware,32,23,121.71424373809714,0.265625
qasper,0.14869047619047618,4,decision_aware,32,37,132.19866249710321,0.296875
qasper,0.04897435897435897,4,decision_aware,32,53,122.02536250697449,0.34375
qasper,0.031205357142857146,4,decision_aware,32,71,121.85249997128267,0.265625
qasper,0.1795684523809524,8,decision_aware,32,11,118.56830000760965,0.359375
qasper,0.16428685897435896,8,decision_aware,32,23,128.441112494329,0.390625
qasper,0.1795684523809524,8,decision_aware,32,37,119.14148123469204,0.40625
qasper,0.17144459706959705,8,decision_aware,32,53,117.18983126047533,0.375
qasper,0.1639434523809524,8,decision_aware,32,71,119.29170624352992,0.34375
qasper,0.05629464285714286,4,listwise,8,11,115.85874373849947,0.203125
qasper,0.04395947802197802,4,listwise,8,23,116.85823123843875,0.28125
qasper,0.04705357142857143,4,listwise,8,37,120.53903126798104,0.234375
qasper,0.04116185897435897,4,listwise,8,53,112.56156252056826,0.328125
qasper,0.12017857142857143,4,listwise,8,71,123.60746873309836,0.328125
qasper,0.044495192307692305,8,listwise,8,11,116.19736252760049,0.390625
qasper,0.10830357142857143,8,listwise,8,23,117.64000001130626,0.390625
qasper,0.052307692307692305,8,listwise,8,37,117.01671250921208,0.453125
qasper,0.1775904304029304,8,listwise,8,53,117.28924374619965,0.4375
qasper,0.044583333333333336,8,listwise,8,71,117.7133749879431,0.59375
qasper,0.08089285714285714,4,listwise,16,11,116.45205623062793,0.390625
qasper,0.060328525641025636,4,listwise,16,23,113.85403751046397,0.21875
qasper,0.034553571428571433,4,listwise,16,37,121.85406255593989,0.203125
qasper,0.04891369047619047,4,listwise,16,53,121.44398124655709,0.328125
qasper,0.04705357142857143,4,listwise,16,71,119.18508748931345,0.21875
qasper,0.0534375,8,listwise,16,11,115.84096247679554,0.453125
qasper,0.0534375,8,listwise,16,23,118.88087500119582,0.515625
qasper,0.1310279304029304,8,listwise,16,37,116.79226876003668,0.34375
qasper,0.13526900183150184,8,listwise,16,53,108.75287502130959,0.484375
qasper,0.13050709706959707,8,listwise,16,71,124.79633124894463,0.34375
qasper,0.050684523809523804,4,listwise,32,11,107.80468127632048,0.203125
qasper,0.033720238095238095,4,listwise,32,23,128.6221125337761,0.265625
qasper,0.057157738095238095,4,listwise,32,37,126.13679998321459,0.25
qasper,0.10872023809523809,4,listwise,32,53,123.38310627092142,0.203125
qasper,0.03736607142857143,4,listwise,32,71,113.67940629133955,0.1875
qasper,0.07217376373626373,8,listwise,32,11,109.628562539001,0.328125
qasper,0.12986607142857143,8,listwise,32,23,105.1226187555585,0.390625
qasper,0.1639434523809524,8,listwise,32,37,105.28385630459525,0.34375
qasper,0.04163690476190476,8,listwise,32,53,113.75059375131968,0.296875
qasper,0.15947916666666667,8,listwise,32,71,117.59309374610893,0.375
qasper,0.1740476190476191,4,oracle_imitation,8,11,127.73477500013541,0.40625
qasper,0.10302197802197802,4,oracle_imitation,8,23,65.737281285692,0.453125
qasper,0.09040178571428571,4,oracle_imitation,8,37,65.65360621607397,0.453125
qasper,0.10385531135531136,4,oracle_imitation,8,53,85.8335250231903,0.484375
qasper,0.11071428571428571,4,oracle_imitation,8,71,87.77966875641141,0.484375
qasper,0.12760531135531136,8,oracle_imitation,8,11,87.62719373044092,0.53125
qasper,0.19814102564102565,8,oracle_imitation,8,23,95.5361499945866,0.59375
qasper,0.18083333333333332,8,oracle_imitation,8,37,110.27216252114158,0.53125
qasper,0.11510531135531135,8,oracle_imitation,8,53,119.3513562757289,0.546875
qasper,0.04814102564102564,8,oracle_imitation,8,71,114.76652498822659,0.53125
qasper,0.17321428571428574,4,oracle_imitation,16,11,106.0876624978846,0.4375
qasper,0.10645947802197803,4,oracle_imitation,16,23,115.01663119997829,0.4375
qasper,0.09040178571428571,4,oracle_imitation,16,37,104.88926246762276,0.484375
qasper,0.09604281135531136,4,oracle_imitation,16,53,118.63224998523947,0.5
qasper,0.17047619047619048,4,oracle_imitation,16,71,121.01443752180785,0.46875
qasper,0.11833333333333333,8,oracle_imitation,16,11,115.16601250332315,0.5625
qasper,0.19814102564102565,8,oracle_imitation,16,23,117.25916246359702,0.578125
qasper,0.12314102564102564,8,oracle_imitation,16,37,126.88974378397688,0.53125
qasper,0.1365338827838828,8,oracle_imitation,16,53,125.64786248549353,0.53125
qasper,0.18083333333333332,8,oracle_imitation,16,71,120.75023127545137,0.546875
qasper,0.15770947802197802,4,oracle_imitation,32,11,116.06549375574104,0.453125
qasper,0.10645947802197803,4,oracle_imitation,32,23,94.24063751066569,0.4375
qasper,0.10645947802197803,4,oracle_imitation,32,37,91.09161249944009,0.453125
qasper,0.11427197802197803,4,oracle_imitation,32,53,114.05229377851356,0.484375
qasper,0.15854281135531137,4,oracle_imitation,32,71,101.94779375160579,0.484375
qasper,0.18564102564102564,8,oracle_imitation,32,11,107.170143732219,0.578125
qasper,0.17314102564102563,8,oracle_imitation,32,23,108.98933753196616,0.609375
qasper,0.07314102564102565,8,oracle_imitation,32,37,102.46585628192406,0.59375
qasper,0.13480769230769232,8,oracle_imitation,32,53,88.47888746822719,0.578125
qasper,0.04814102564102564,8,oracle_imitation,32,71,97.79831251944415,0.5625
