baseline,ci95_high,ci95_low,dataset,losses,m,mean_delta,objective,pairs,rank,ties,wins
QK_mean,0.06008928571428572,-0.03937499999999999,hotpotqa,4,8,0.013125000000000005,combined,16,32,2,10
QK_key_only_m8,0.0524702380952381,-0.028214285714285702,hotpotqa,5,8,0.012708333333333339,combined,16,32,3,8
B0_gist,0.07910714285714288,-0.11660714285714285,hotpotqa,6,8,-0.014107142857142853,combined,16,32,1,9
B1_bm25,-0.12065476190476189,-0.4097916666666667,hotpotqa,13,8,-0.2611309523809524,combined,16,32,0,3
B2_exact,-0.05818452380952381,-0.24068452380952385,hotpotqa,11,8,-0.15026785714285715,combined,16,32,0,5
H5_iterative_hybrid,-0.03321428571428571,-0.2553869047619048,hotpotqa,10,8,-0.14282738095238093,combined,16,32,2,4
QK_mean,0.0799107142857143,-0.009970238095238091,hotpotqa,3,4,0.03616071428571429,decision_aware,16,8,3,10
QK_key_only_m8,0.08342261904761906,-0.006190476190476188,hotpotqa,3,4,0.03574404761904763,decision_aware,16,8,6,7
B0_gist,0.11282738095238097,-0.09425595238095237,hotpotqa,7,4,0.008928571428571435,decision_aware,16,8,1,8
B1_bm25,-0.08193452380952379,-0.3935119047619048,hotpotqa,13,4,-0.23809523809523814,decision_aware,16,8,0,3
B2_exact,-0.020208333333333328,-0.23666666666666664,hotpotqa,10,4,-0.12723214285714285,decision_aware,16,8,1,5
H5_iterative_hybrid,-0.0027083333333333256,-0.2457738095238095,hotpotqa,10,4,-0.11979166666666664,decision_aware,16,8,3,3
QK_mean,0.08217261904761905,0.0005059523809523795,hotpotqa,4,8,0.0399702380952381,decision_aware,16,8,2,10
QK_key_only_m8,0.09193452380952381,-0.01098214285714286,hotpotqa,6,8,0.03955357142857143,decision_aware,16,8,1,9
B0_gist,0.09913690476190477,-0.07749999999999997,hotpotqa,6,8,0.012738095238095241,decision_aware,16,8,1,9
B1_bm25,-0.08017857142857142,-0.38080357142857135,hotpotqa,12,8,-0.2342857142857143,decision_aware,16,8,0,4
B2_exact,-0.03354166666666667,-0.21699404761904764,hotpotqa,11,8,-0.12342261904761904,decision_aware,16,8,0,5
H5_iterative_hybrid,-0.00598214285714287,-0.22651785714285716,hotpotqa,11,8,-0.11598214285714285,decision_aware,16,8,0,5
QK_mean,0.07821428571428571,-0.038184523809523814,hotpotqa,5,4,0.019523809523809527,decision_aware,16,16,2,9
QK_key_only_m8,0.06369047619047619,-0.027291666666666665,hotpotqa,6,4,0.019107142857142857,decision_aware,16,16,2,8
B0_gist,0.09077380952380953,-0.11154761904761906,hotpotqa,6,4,-0.007708333333333335,decision_aware,16,16,1,9
B1_bm25,-0.11473214285714287,-0.3954166666666668,hotpotqa,14,4,-0.2547321428571429,decision_aware,16,16,0,2
B2_exact,-0.05666666666666667,-0.23226190476190475,hotpotqa,12,4,-0.14386904761904765,decision_aware,16,16,1,3
H5_iterative_hybrid,-0.035833333333333335,-0.24854166666666672,hotpotqa,10,4,-0.13642857142857143,decision_aware,16,16,2,4
QK_mean,0.037678571428571436,-0.07017857142857142,hotpotqa,6,8,-0.013482142857142852,decision_aware,16,16,4,6
QK_key_only_m8,0.03589285714285715,-0.06017857142857142,hotpotqa,7,8,-0.013898809523809522,decision_aware,16,16,4,5
B0_gist,0.05500000000000001,-0.14116071428571428,hotpotqa,7,8,-0.04071428571428571,decision_aware,16,16,2,7
B1_bm25,-0.13952380952380952,-0.4358928571428572,hotpotqa,14,8,-0.2877380952380953,decision_aware,16,16,0,2
B2_exact,-0.08392857142857142,-0.27044642857142864,hotpotqa,12,8,-0.17687500000000003,decision_aware,16,16,1,3
H5_iterative_hybrid,-0.06979166666666667,-0.2829166666666667,hotpotqa,11,8,-0.1694345238095238,decision_aware,16,16,3,2
QK_mean,0.040535714285714286,-0.07354166666666667,hotpotqa,5,4,-0.01252976190476191,decision_aware,16,32,4,7
QK_key_only_m8,0.032440476190476186,-0.06375,hotpotqa,6,4,-0.012946428571428565,decision_aware,16,32,5,5
B0_gist,0.0469047619047619,-0.13479166666666667,hotpotqa,6,4,-0.03976190476190476,decision_aware,16,32,3,7
B1_bm25,-0.14723214285714287,-0.4224702380952381,hotpotqa,14,4,-0.2867857142857143,decision_aware,16,32,0,2
B2_exact,-0.08372023809523808,-0.2642857142857143,hotpotqa,12,4,-0.17592261904761905,decision_aware,16,32,0,4
H5_iterative_hybrid,-0.06354166666666665,-0.28333333333333327,hotpotqa,11,4,-0.16848214285714286,decision_aware,16,32,2,3
QK_mean,0.07232142857142858,-0.029821428571428575,hotpotqa,5,8,0.019434523809523808,decision_aware,16,32,3,8
QK_key_only_m8,0.06723214285714287,-0.025178571428571425,hotpotqa,6,8,0.019017857142857142,decision_aware,16,32,1,9
B0_gist,0.08398809523809526,-0.10657738095238095,hotpotqa,7,8,-0.007797619047619045,decision_aware,16,32,2,7
B1_bm25,-0.11017857142857142,-0.4044642857142857,hotpotqa,13,8,-0.2548214285714286,decision_aware,16,32,0,3
B2_exact,-0.040446428571428564,-0.24276785714285717,hotpotqa,11,8,-0.14395833333333335,decision_aware,16,32,1,4
H5_iterative_hybrid,-0.024017857142857143,-0.2536607142857143,hotpotqa,11,8,-0.13651785714285714,decision_aware,16,32,1,4
QK_mean,0.08139880952380953,-0.045714285714285714,hotpotqa,4,4,0.02136904761904762,listwise,16,8,1,11
QK_key_only_m8,0.05925595238095237,-0.01821428571428571,hotpotqa,4,4,0.020952380952380948,listwise,16,8,4,8
B0_gist,0.08312499999999999,-0.10895833333333332,hotpotqa,6,4,-0.005863095238095236,listwise,16,8,1,9
B1_bm25,-0.11607142857142859,-0.39172619047619045,hotpotqa,13,4,-0.2528869047619048,listwise,16,8,2,1
B2_exact,-0.0425,-0.2438095238095238,hotpotqa,11,4,-0.14202380952380952,listwise,16,8,1,4
H5_iterative_hybrid,-0.02089285714285715,-0.2575,hotpotqa,11,4,-0.13458333333333336,listwise,16,8,0,5
QK_mean,0.08172619047619045,-0.020357142857142862,hotpotqa,3,8,0.03071428571428571,listwise,16,8,3,10
QK_key_only_m8,0.06178571428571428,-0.002470238095238099,hotpotqa,3,8,0.030297619047619045,listwise,16,8,4,9
B0_gist,0.09782738095238094,-0.09755952380952379,hotpotqa,5,8,0.003482142857142855,listwise,16,8,2,9
B1_bm25,-0.09595238095238098,-0.39622023809523815,hotpotqa,12,8,-0.24354166666666668,listwise,16,8,0,4
B2_exact,-0.030595238095238102,-0.23589285714285718,hotpotqa,10,8,-0.13267857142857145,listwise,16,8,0,6
H5_iterative_hybrid,-0.013273809523809528,-0.24619047619047624,hotpotqa,10,8,-0.12523809523809523,listwise,16,8,1,5
QK_mean,0.08535714285714285,-0.01157738095238095,hotpotqa,4,4,0.03842261904761905,listwise,16,16,1,11
QK_key_only_m8,0.0811904761904762,-0.004702380952380951,hotpotqa,5,4,0.03800595238095238,listwise,16,16,1,10
B0_gist,0.11651785714285716,-0.09892857142857142,hotpotqa,6,4,0.011190476190476193,listwise,16,16,1,9
B1_bm25,-0.095,-0.3814583333333333,hotpotqa,13,4,-0.23583333333333337,listwise,16,16,0,3
B2_exact,-0.026577380952380956,-0.21809523809523806,hotpotqa,11,4,-0.12497023809523808,listwise,16,16,1,4
H5_iterative_hybrid,-0.005982142857142853,-0.23851190476190476,hotpotqa,12,4,-0.1175297619047619,listwise,16,16,0,4
QK_mean,0.06383928571428572,-0.04080357142857143,hotpotqa,3,8,0.014196428571428568,listwise,16,16,6,7
QK_key_only_m8,0.061339285714285714,-0.039940476190476186,hotpotqa,4,8,0.013779761904761902,listwise,16,16,5,7
B0_gist,0.07821428571428571,-0.119375,hotpotqa,5,8,-0.013035714285714286,listwise,16,16,4,7
B1_bm25,-0.11369047619047619,-0.41309523809523824,hotpotqa,12,8,-0.26005952380952385,listwise,16,16,2,2
B2_exact,-0.05928571428571428,-0.24071428571428574,hotpotqa,10,8,-0.14919642857142856,listwise,16,16,3,3
H5_iterative_hybrid,-0.04107142857142858,-0.24675595238095238,hotpotqa,10,8,-0.14175595238095234,listwise,16,16,3,3
QK_mean,0.06910714285714287,-0.0562202380952381,hotpotqa,5,4,0.007797619047619043,listwise,16,32,5,6
QK_key_only_m8,0.05544642857142858,-0.03886904761904761,hotpotqa,6,4,0.0073809523809523795,listwise,16,32,4,6
B0_gist,0.08791666666666666,-0.13407738095238095,hotpotqa,6,4,-0.019434523809523815,listwise,16,32,3,7
B1_bm25,-0.12875,-0.40229166666666677,hotpotqa,14,4,-0.26645833333333335,listwise,16,32,0,2
B2_exact,-0.052500000000000005,-0.2549702380952381,hotpotqa,12,4,-0.15559523809523812,listwise,16,32,2,2
H5_iterative_hybrid,-0.04398809523809523,-0.26461309523809523,hotpotqa,11,4,-0.1481547619047619,listwise,16,32,3,2
QK_mean,0.06410714285714286,-0.05729166666666666,hotpotqa,5,8,0.0037202380952380924,listwise,16,32,5,6
QK_key_only_m8,0.06419642857142857,-0.053244047619047614,hotpotqa,6,8,0.00330357142857143,listwise,16,32,4,6
B0_gist,0.07032738095238096,-0.11571428571428571,hotpotqa,6,8,-0.02351190476190476,listwise,16,32,3,7
B1_bm25,-0.1362797619047619,-0.3997023809523809,hotpotqa,14,8,-0.2705357142857143,listwise,16,32,0,2
B2_exact,-0.07252976190476189,-0.24464285714285716,hotpotqa,12,8,-0.15967261904761904,listwise,16,32,2,2
H5_iterative_hybrid,-0.061339285714285714,-0.25529761904761905,hotpotqa,11,8,-0.15223214285714284,listwise,16,32,2,3
QK_mean,0.023333333333333338,-0.09583333333333333,hotpotqa,3,4,-0.02824404761904762,oracle_imitation,16,8,11,2
QK_key_only_m8,-0.0067857142857142855,-0.05678571428571429,hotpotqa,5,4,-0.028660714285714286,oracle_imitation,16,8,11,0
B0_gist,0.03729166666666667,-0.15416666666666667,hotpotqa,7,4,-0.05547619047619047,oracle_imitation,16,8,5,4
B1_bm25,-0.16053571428571428,-0.4397321428571429,hotpotqa,13,4,-0.3025,oracle_imitation,16,8,2,1
B2_exact,-0.07952380952380954,-0.31205357142857143,hotpotqa,9,4,-0.19163690476190476,oracle_imitation,16,8,5,2
H5_iterative_hybrid,-0.06232142857142857,-0.31294642857142857,hotpotqa,10,4,-0.18419642857142857,oracle_imitation,16,8,5,1
QK_mean,0.05261904761904762,-0.06264880952380952,hotpotqa,3,8,-0.002440476190476189,oracle_imitation,16,8,9,4
QK_key_only_m8,0.0075000000000000015,-0.01607142857142857,hotpotqa,1,8,-0.0028571428571428567,oracle_imitation,16,8,14,1
B0_gist,0.06547619047619048,-0.1313690476190476,hotpotqa,6,8,-0.029672619047619045,oracle_imitation,16,8,5,5
B1_bm25,-0.14133928571428572,-0.4195535714285714,hotpotqa,12,8,-0.27669642857142857,oracle_imitation,16,8,3,1
B2_exact,-0.05348214285714286,-0.28154761904761905,hotpotqa,8,8,-0.16583333333333333,oracle_imitation,16,8,5,3
H5_iterative_hybrid,-0.039732142857142855,-0.2883928571428571,hotpotqa,8,8,-0.15839285714285714,oracle_imitation,16,8,6,2
QK_mean,0.02604166666666667,-0.09732142857142857,hotpotqa,3,4,-0.02931547619047619,oracle_imitation,16,16,11,2
QK_key_only_m8,-0.005357142857142857,-0.05875,hotpotqa,4,4,-0.029732142857142856,oracle_imitation,16,16,12,0
B0_gist,0.041220238095238095,-0.1575892857142857,hotpotqa,7,4,-0.05654761904761904,oracle_imitation,16,16,5,4
B1_bm25,-0.16741071428571427,-0.4459821428571429,hotpotqa,13,4,-0.30357142857142855,oracle_imitation,16,16,2,1
B2_exact,-0.07619047619047618,-0.309375,hotpotqa,9,4,-0.19270833333333331,oracle_imitation,16,16,5,2
H5_iterative_hybrid,-0.06517857142857143,-0.3209821428571429,hotpotqa,9,4,-0.18526785714285712,oracle_imitation,16,16,6,1
QK_mean,0.0575,-0.06577380952380953,hotpotqa,3,8,-0.003095238095238093,oracle_imitation,16,16,9,4
QK_key_only_m8,0.015416666666666667,-0.026785714285714284,hotpotqa,2,8,-0.003511904761904761,oracle_imitation,16,16,12,2
B0_gist,0.06624999999999999,-0.13095238095238093,hotpotqa,6,8,-0.030327380952380946,oracle_imitation,16,16,5,5
B1_bm25,-0.1400297619047619,-0.4200892857142857,hotpotqa,12,8,-0.2773511904761905,oracle_imitation,16,16,3,1
B2_exact,-0.049791666666666665,-0.290327380952381,hotpotqa,8,8,-0.16648809523809527,oracle_imitation,16,16,5,3
H5_iterative_hybrid,-0.04074404761904762,-0.29791666666666666,hotpotqa,8,8,-0.15904761904761905,oracle_imitation,16,16,6,2
QK_mean,0.03214285714285714,-0.09999999999999999,hotpotqa,3,4,-0.026785714285714288,oracle_imitation,16,32,11,2
QK_key_only_m8,0.0,-0.06148809523809524,hotpotqa,4,4,-0.027202380952380954,oracle_imitation,16,32,11,1
B0_gist,0.04375,-0.15535714285714286,hotpotqa,7,4,-0.05401785714285714,oracle_imitation,16,32,5,4
B1_bm25,-0.16130952380952382,-0.44479166666666664,hotpotqa,13,4,-0.30104166666666665,oracle_imitation,16,32,2,1
B2_exact,-0.07410714285714286,-0.3147321428571429,hotpotqa,9,4,-0.19017857142857145,oracle_imitation,16,32,5,2
H5_iterative_hybrid,-0.0644345238095238,-0.32008928571428574,hotpotqa,9,4,-0.1827380952380952,oracle_imitation,16,32,6,1
QK_mean,0.046875,-0.06848214285714285,hotpotqa,3,8,-0.010595238095238093,oracle_imitation,16,32,9,4
QK_key_only_m8,0.003333333333333335,-0.03279761904761905,hotpotqa,3,8,-0.011011904761904761,oracle_imitation,16,32,12,1
B0_gist,0.059196428571428567,-0.13758928571428575,hotpotqa,6,8,-0.03782738095238095,oracle_imitation,16,32,5,5
B1_bm25,-0.15035714285714286,-0.43303571428571436,hotpotqa,12,8,-0.2848511904761905,oracle_imitation,16,32,3,1
B2_exact,-0.06107142857142856,-0.2927380952380952,hotpotqa,8,8,-0.17398809523809527,oracle_imitation,16,32,5,3
H5_iterative_hybrid,-0.044375,-0.2912202380952381,hotpotqa,8,8,-0.16654761904761903,oracle_imitation,16,32,6,2
QK_mean,0.06308722527472528,-0.17948717948717946,qasper,5,4,-0.0305139652014652,combined,16,8,2,9
QK_key_only_m8,0.016130952380952374,-0.1869642857142857,qasper,8,4,-0.07180288461538463,combined,16,8,3,5
B0_gist,0.0699702380952381,-0.011325549450549446,qasper,4,4,0.02918841575091575,combined,16,8,3,9
B1_bm25,0.07985119047619046,-0.03958333333333333,qasper,4,4,0.025496794871794876,combined,16,8,3,9
B2_exact,-0.03260416666666666,-0.1963782051282051,qasper,11,4,-0.11048534798534798,combined,16,8,3,2
H5_iterative_hybrid,0.05107829670329671,-0.08283653846153846,qasper,6,4,-0.013891941391941392,combined,16,8,2,8
QK_mean,0.12841666666666668,-0.05779441391941392,qasper,4,8,0.03064308608058608,combined,16,8,4,8
QK_key_only_m8,0.026630952380952377,-0.050258928571428586,qasper,7,8,-0.010645833333333335,combined,16,8,5,4
B0_gist,0.20052403846153846,0.0034555860805860817,qasper,3,8,0.09034546703296704,combined,16,8,3,10
B1_bm25,0.20819253663003665,-0.0160625,qasper,4,8,0.08665384615384616,combined,16,8,2,10
B2_exact,0.10635622710622707,-0.18573397435897437,qasper,10,8,-0.049328296703296706,combined,16,8,2,4
H5_iterative_hybrid,0.17057440476190477,-0.0628301282051282,qasper,5,8,0.0472651098901099,combined,16,8,2,9
QK_mean,0.04834569597069597,-0.18208928571428568,qasper,3,4,-0.04024061355311356,combined,16,16,3,10
QK_key_only_m8,0.018589285714285718,-0.21499656593406594,qasper,7,4,-0.08152953296703296,combined,16,16,2,7
B0_gist,0.050780677655677654,-0.014181547619047618,qasper,3,4,0.019461767399267398,combined,16,16,4,9
B1_bm25,0.07148809523809523,-0.04660622710622712,qasper,4,4,0.01577014652014652,combined,16,16,3,9
B2_exact,-0.04875366300366301,-0.2021680402930403,qasper,10,4,-0.12021199633699634,combined,16,16,4,2
H5_iterative_hybrid,0.03038232600732601,-0.08437500000000002,qasper,5,4,-0.023618589743589748,combined,16,16,4,7
QK_mean,0.10341117216117217,-0.05382142857142858,qasper,4,8,0.026643315018315017,combined,16,16,0,12
QK_key_only_m8,0.043232142857142865,-0.08249358974358977,qasper,7,8,-0.014645604395604394,combined,16,16,1,8
B0_gist,0.17898809523809522,0.009744505494505493,qasper,4,8,0.08634569597069598,combined,16,16,0,12
B1_bm25,0.1823118131868132,-0.007616758241758243,qasper,4,8,0.0826540750915751,combined,16,16,0,12
B2_exact,0.07960347985347986,-0.17302518315018317,qasper,11,8,-0.05332806776556776,combined,16,16,1,4
H5_iterative_hybrid,0.1489052197802198,-0.047419184981684986,qasper,6,8,0.04326533882783882,combined,16,16,1,9
QK_mean,0.05743177655677656,-0.1786364468864469,qasper,4,4,-0.03373489010989011,combined,16,32,0,12
QK_key_only_m8,0.012854166666666667,-0.1893244047619048,qasper,8,4,-0.07502380952380952,combined,16,32,1,7
B0_gist,0.0614139194139194,-0.01017811355311355,qasper,4,4,0.025967490842490844,combined,16,32,1,11
B1_bm25,0.07719459706959708,-0.041096153846153845,qasper,4,4,0.022275869963369957,combined,16,32,1,11
B2_exact,-0.0281614010989011,-0.2074919871794872,qasper,11,4,-0.11370627289377289,combined,16,32,2,3
H5_iterative_hybrid,0.03889331501831502,-0.07969871794871797,qasper,6,4,-0.017112866300366306,combined,16,32,2,8
QK_mean,0.13436355311355308,-0.09391025641025642,qasper,4,8,0.018476648351648358,combined,16,32,1,11
QK_key_only_m8,0.0321547619047619,-0.0728926282051282,qasper,8,8,-0.022812271062271065,combined,16,32,2,6
B0_gist,0.18000686813186817,-0.005773809523809524,qasper,4,8,0.0781790293040293,combined,16,32,1,11
B1_bm25,0.1796749084249084,-0.020400183150183156,qasper,4,8,0.07448740842490842,combined,16,32,2,10
B2_exact,0.06925824175824175,-0.17703937728937727,qasper,11,8,-0.061494734432234424,combined,16,32,1,4
H5_iterative_hybrid,0.1503095238095238,-0.06943956043956044,qasper,6,8,0.035098672161172156,combined,16,32,2,8
QK_mean,0.04083333333333333,-0.15985119047619048,qasper,5,4,-0.043988095238095236,decision_aware,16,8,5,6
QK_key_only_m8,-0.012901785714285711,-0.18052083333333335,qasper,8,4,-0.08527701465201465,decision_aware,16,8,5,3
B0_gist,0.06479166666666668,-0.03550595238095238,qasper,3,4,0.01571428571428572,decision_aware,16,8,6,7
B1_bm25,0.06738095238095239,-0.04812728937728937,qasper,3,4,0.012022664835164839,decision_aware,16,8,5,8
B2_exact,-0.025090430402930394,-0.23098443223443227,qasper,11,4,-0.123959478021978,decision_aware,16,8,2,3
H5_iterative_hybrid,0.04172619047619047,-0.10424107142857142,qasper,5,4,-0.02736607142857143,decision_aware,16,8,4,7
QK_mean,0.10611836080586079,-0.00791849816849817,qasper,2,8,0.0445606684981685,decision_aware,16,8,6,8
QK_key_only_m8,0.09740659340659341,-0.10512019230769233,qasper,5,8,0.003271749084249074,decision_aware,16,8,5,6
B0_gist,0.2435725732600733,0.00404761904761905,qasper,3,8,0.10426304945054944,decision_aware,16,8,5,8
B1_bm25,0.25048809523809523,-0.02270833333333333,qasper,3,8,0.10057142857142858,decision_aware,16,8,4,9
B2_exact,0.13828571428571432,-0.1641369047619048,qasper,8,8,-0.03541071428571428,decision_aware,16,8,5,3
H5_iterative_hybrid,0.21918154761904765,-0.07008699633699633,qasper,5,8,0.06118269230769231,decision_aware,16,8,2,9
QK_mean,0.06628891941391941,-0.1931904761904762,qasper,5,4,-0.04334500915750916,decision_aware,16,16,4,7
QK_key_only_m8,-0.011086309523809523,-0.18158333333333335,qasper,8,4,-0.08463392857142857,decision_aware,16,16,5,3
B0_gist,0.07862820512820513,-0.03371703296703297,qasper,3,4,0.016357371794871796,decision_aware,16,16,6,7
B1_bm25,0.08189102564102566,-0.05802472527472527,qasper,3,4,0.012665750915750916,decision_aware,16,16,6,7
B2_exact,-0.01726190476190475,-0.23653754578754582,qasper,11,4,-0.12331639194139193,decision_aware,16,16,3,2
H5_iterative_hybrid,0.0566904761904762,-0.10491071428571427,qasper,5,4,-0.026722985347985347,decision_aware,16,16,4,7
QK_mean,0.20258356227106225,-0.10401785714285713,qasper,4,8,0.03654784798534798,decision_aware,16,16,4,8
QK_key_only_m8,0.06214880952380951,-0.06484523809523808,qasper,6,8,-0.004741071428571429,decision_aware,16,16,5,5
B0_gist,0.25005059523809525,-0.01716666666666667,qasper,4,8,0.09625022893772894,decision_aware,16,16,4,8
B1_bm25,0.2538026556776557,-0.03072916666666667,qasper,4,8,0.09255860805860808,decision_aware,16,16,3,9
B2_exact,0.1361190476190476,-0.18384615384615385,qasper,10,8,-0.043423534798534794,decision_aware,16,16,3,3
H5_iterative_hybrid,0.21827403846153842,-0.08158585164835165,qasper,6,8,0.053169871794871815,decision_aware,16,16,1,9
QK_mean,0.1067055860805861,-0.15033928571428573,qasper,4,4,-0.01567239010989011,decision_aware,16,32,4,8
QK_key_only_m8,-0.005848214285714289,-0.11819642857142856,qasper,7,4,-0.056961309523809525,decision_aware,16,32,5,4
B0_gist,0.13717559523809522,-0.02315705128205128,qasper,3,4,0.04402999084249084,decision_aware,16,32,5,8
B1_bm25,0.13846336996337,-0.04639880952380953,qasper,3,4,0.04033836996336996,decision_aware,16,32,5,8
B2_exact,0.04111217948717948,-0.22267857142857142,qasper,11,4,-0.0956437728937729,decision_aware,16,32,2,3
H5_iterative_hybrid,0.10966987179487178,-0.0937852564102564,qasper,5,4,0.000949633699633707,decision_aware,16,32,3,8
QK_mean,0.21829212454212452,-0.020964285714285713,qasper,3,8,0.07411355311355312,decision_aware,16,32,5,8
QK_key_only_m8,0.10729166666666669,-0.029154532967032964,qasper,6,8,0.032824633699633704,decision_aware,16,32,3,7
B0_gist,0.323239010989011,-0.00819047619047619,qasper,4,8,0.1338159340659341,decision_aware,16,32,4,8
B1_bm25,0.32129693223443223,-0.024935210622710622,qasper,4,8,0.1301243131868132,decision_aware,16,32,3,9
B2_exact,0.20491964285714287,-0.1830899725274725,qasper,11,8,-0.005857829670329676,decision_aware,16,32,2,3
H5_iterative_hybrid,0.2841879578754578,-0.07309226190476191,qasper,6,8,0.09073557692307692,decision_aware,16,32,1,9
QK_mean,0.032019230769230765,-0.1469940476190476,qasper,4,4,-0.03591918498168498,listwise,16,8,4,8
QK_key_only_m8,0.007369505494505493,-0.192967032967033,qasper,6,4,-0.07720810439560441,listwise,16,8,5,5
B0_gist,0.05849702380952381,-0.008616071428571431,qasper,3,4,0.02378319597069597,listwise,16,8,4,9
B1_bm25,0.07678571428571428,-0.03907509157509158,qasper,4,4,0.020091575091575095,listwise,16,8,3,9
B2_exact,-0.02522321428571428,-0.2214434523809524,qasper,10,4,-0.11589056776556775,listwise,16,8,3,3
H5_iterative_hybrid,0.038079212454212454,-0.08298763736263734,qasper,5,4,-0.01929716117216118,listwise,16,8,3,8
QK_mean,0.056902472527472533,-0.10323443223443221,qasper,4,8,-0.01219276556776557,listwise,16,8,5,7
QK_key_only_m8,0.0046398809523809535,-0.14086607142857144,qasper,8,8,-0.053481684981684985,listwise,16,8,4,4
B0_gist,0.1125,-0.007028388278388271,qasper,3,8,0.04750961538461539,listwise,16,8,4,9
B1_bm25,0.1195952380952381,-0.026390338827838828,qasper,4,8,0.043817994505494506,listwise,16,8,3,9
B2_exact,0.023385989010989018,-0.20646474358974357,qasper,10,8,-0.09216414835164834,listwise,16,8,3,3
H5_iterative_hybrid,0.08660714285714285,-0.07153502747252746,qasper,5,8,0.004429258241758233,listwise,16,8,3,8
QK_mean,0.03866666666666667,-0.17979441391941392,qasper,4,4,-0.0433003663003663,listwise,16,16,4,8
QK_key_only_m8,0.01488392857142857,-0.22020833333333334,qasper,7,4,-0.0845892857142857,listwise,16,16,5,4
B0_gist,0.04236950549450549,-0.011895604395604394,qasper,3,4,0.016402014652014654,listwise,16,16,5,8
B1_bm25,0.0666904761904762,-0.04455952380952381,qasper,4,4,0.01271039377289377,listwise,16,16,4,8
B2_exact,-0.04484500915750915,-0.22037889194139193,qasper,10,4,-0.1232717490842491,listwise,16,16,4,2
H5_iterative_hybrid,0.02291391941391941,-0.08407440476190475,qasper,5,4,-0.026678342490842496,listwise,16,16,4,7
