baseline,ci95_high,ci95_low,condition,dataset,losses,mean_delta,metric,pairs,ties,wins
no_memory,0.0,0.0,oracle_evidence,hotpotqa,0,0.0,em,64,64,0
no_memory,3.7491575602907687,2.2438593152619433,direct_evidence,hotpotqa,11,2.9557344347413164,gold_mean_token_logprob,64,0,53
no_memory,0.23938379329004328,0.10528102922404393,direct_evidence,hotpotqa,4,0.16977351182314418,f1,64,32,28
no_memory,0.15625,0.015625,direct_evidence,hotpotqa,0,0.078125,em,64,59,5
no_memory,2.8118140094354747,1.093646375834942,full_context,hotpotqa,14,1.9530695010721684,gold_mean_token_logprob,50,0,36
no_memory,0.11263492063492064,-0.026398268398268393,full_context,hotpotqa,7,0.03925170964301399,f1,50,35,8
no_memory,0.1,0.0,full_context,hotpotqa,0,0.04,em,50,48,2
shuffled_selection,0.07391397992614657,-0.031520777876721695,native_mean,hotpotqa,29,0.022605753314564936,gold_mean_token_logprob,64,0,35
shuffled_selection,0.013849431818181818,0.0,native_mean,hotpotqa,0,0.004971590909090909,f1,64,62,2
shuffled_selection,0.0,0.0,native_mean,hotpotqa,0,0.0,em,64,64,0
irrelevant_bottom,0.17271627869922668,0.06902029737830162,native_mean,hotpotqa,18,0.12197271914919838,gold_mean_token_logprob,64,0,46
irrelevant_bottom,0.021205357142857144,-0.002181412337662339,native_mean,hotpotqa,1,0.007812499999999999,f1,64,60,3
irrelevant_bottom,0.0,0.0,native_mean,hotpotqa,0,0.0,em,64,64,0
shuffled_selection,0.012734252959489822,-0.0895247893204214,exact,hotpotqa,36,-0.03866080353327561,gold_mean_token_logprob,64,0,28
shuffled_selection,0.0,0.0,exact,hotpotqa,0,0.0,f1,64,64,0
shuffled_selection,0.0,0.0,exact,hotpotqa,0,0.0,em,64,64,0
irrelevant_bottom,0.10504850704455748,0.01845605071866885,exact,hotpotqa,23,0.060706162301357836,gold_mean_token_logprob,64,0,41
irrelevant_bottom,0.013392857142857142,-0.004870129870129872,exact,hotpotqa,1,0.00284090909090909,f1,64,62,1
irrelevant_bottom,0.0,0.0,exact,hotpotqa,0,0.0,em,64,64,0
shuffled_selection,3.7051038816571236e-05,-0.10694123375287745,bm25,hotpotqa,36,-0.05227035145799164,gold_mean_token_logprob,64,0,28
shuffled_selection,0.0,-0.013392857142857142,bm25,hotpotqa,1,-0.004464285714285714,f1,64,63,0
shuffled_selection,0.0,0.0,bm25,hotpotqa,0,0.0,em,64,64,0
irrelevant_bottom,0.09128985885763541,0.00037355528911575675,bm25,hotpotqa,27,0.04709661437664181,gold_mean_token_logprob,64,0,37
irrelevant_bottom,0.0,-0.004870129870129872,bm25,hotpotqa,1,-0.001623376623376624,f1,64,63,0
irrelevant_bottom,0.0,0.0,bm25,hotpotqa,0,0.0,em,64,64,0
shuffled_selection,0.05749560741242021,-0.05884250230155885,hybrid,hotpotqa,26,0.003522401675581932,gold_mean_token_logprob,64,0,38
shuffled_selection,0.013849431818181818,0.0,hybrid,hotpotqa,0,0.004971590909090909,f1,64,62,2
shuffled_selection,0.0,0.0,hybrid,hotpotqa,0,0.0,em,64,64,0
irrelevant_bottom,0.15971399641421158,0.04398144826700445,hybrid,hotpotqa,18,0.10288936751021538,gold_mean_token_logprob,64,0,46
irrelevant_bottom,0.021712662337662333,-0.002181412337662339,hybrid,hotpotqa,1,0.007812499999999999,f1,64,60,3
irrelevant_bottom,0.0,0.0,hybrid,hotpotqa,0,0.0,em,64,64,0
shuffled_selection,0.058451057484489866,-0.03629878688661847,lowrank_r16_ensemble,hotpotqa,33,0.009090743827982806,gold_mean_token_logprob,64,0,31
shuffled_selection,0.002130681818181818,-0.017708333333333333,lowrank_r16_ensemble,hotpotqa,2,-0.006054622460872462,f1,64,60,2
shuffled_selection,0.0,0.0,lowrank_r16_ensemble,hotpotqa,0,0.0,em,64,64,0
irrelevant_bottom,0.1872710445895791,0.04536315239965916,lowrank_r16_ensemble,hotpotqa,24,0.10845770966261625,gold_mean_token_logprob,64,0,40
irrelevant_bottom,0.011059253246753244,-0.017536630036630037,lowrank_r16_ensemble,hotpotqa,3,-0.0032137133699633716,f1,64,58,3
irrelevant_bottom,0.0,0.0,lowrank_r16_ensemble,hotpotqa,0,0.0,em,64,64,0
shuffled_selection,0.014883378520607948,-0.0782026182860136,lowrank_r8_kmeans_ensemble,hotpotqa,36,-0.031022270311950706,gold_mean_token_logprob,64,0,28
shuffled_selection,0.004870129870129872,-0.009375000000000001,lowrank_r8_kmeans_ensemble,hotpotqa,1,-0.0015016233766233763,f1,64,62,1
shuffled_selection,0.0,0.0,lowrank_r8_kmeans_ensemble,hotpotqa,0,0.0,em,64,64,0
irrelevant_bottom,0.12600933937937953,0.013763917057076469,lowrank_r8_kmeans_ensemble,hotpotqa,25,0.06834469552268274,gold_mean_token_logprob,64,0,39
irrelevant_bottom,0.013392857142857142,-0.009375000000000001,lowrank_r8_kmeans_ensemble,hotpotqa,1,0.0013392857142857139,f1,64,62,1
irrelevant_bottom,0.0,0.0,lowrank_r8_kmeans_ensemble,hotpotqa,0,0.0,em,64,64,0
shuffled_selection,0.08066718695044983,-0.05492891637550201,oracle_evidence,hotpotqa,31,0.011735354448319413,gold_mean_token_logprob,64,0,33
shuffled_selection,0.003196022727272727,-0.013113839285714284,oracle_evidence,hotpotqa,1,-0.0031199269480519476,f1,64,61,2
shuffled_selection,0.0,0.0,oracle_evidence,hotpotqa,0,0.0,em,64,64,0
irrelevant_bottom,0.17238933432963677,0.05579529725946486,oracle_evidence,hotpotqa,20,0.11110232028295286,gold_mean_token_logprob,64,0,44
irrelevant_bottom,0.003246753246753248,-0.004870129870129871,oracle_evidence,hotpotqa,1,-0.00027901785714285745,f1,64,61,2
irrelevant_bottom,0.0,0.0,oracle_evidence,hotpotqa,0,0.0,em,64,64,0
native_mean,0.04276433686027303,-0.06713985715759918,lowrank_r16_ensemble,hotpotqa,31,-0.01351500948658213,gold_mean_token_logprob,64,0,33
native_mean,0.0001717032967032961,-0.025349130036630037,lowrank_r16_ensemble,hotpotqa,3,-0.01102621336996337,f1,64,60,1
native_mean,0.0,0.0,lowrank_r16_ensemble,hotpotqa,0,0.0,em,64,64,0
exact,0.12392415967769921,-0.019701566954609007,lowrank_r16_ensemble,hotpotqa,33,0.04775154736125842,gold_mean_token_logprob,64,0,31
exact,0.002130681818181818,-0.017708333333333333,lowrank_r16_ensemble,hotpotqa,2,-0.006054622460872462,f1,64,60,2
exact,0.0,0.0,lowrank_r16_ensemble,hotpotqa,0,0.0,em,64,64,0
hybrid,0.06284098209289368,-0.05096744725597091,lowrank_r16_ensemble,hotpotqa,33,0.005568342152400874,gold_mean_token_logprob,64,0,31
hybrid,0.0001717032967032961,-0.025088713369963368,lowrank_r16_ensemble,hotpotqa,3,-0.01102621336996337,f1,64,60,1
hybrid,0.0,0.0,lowrank_r16_ensemble,hotpotqa,0,0.0,em,64,64,0
native_mean,0.0009487732604611665,-0.10798534369678237,lowrank_r8_kmeans_ensemble,hotpotqa,35,-0.05362802362651564,gold_mean_token_logprob,64,0,29
native_mean,0.002181412337662339,-0.018191964285714284,lowrank_r8_kmeans_ensemble,hotpotqa,3,-0.006473214285714285,f1,64,60,1
native_mean,0.0,0.0,lowrank_r8_kmeans_ensemble,hotpotqa,0,0.0,em,64,64,0
exact,0.06776496054953896,-0.053680099779739976,lowrank_r8_kmeans_ensemble,hotpotqa,27,0.007638533221324906,gold_mean_token_logprob,64,0,37
exact,0.004870129870129872,-0.009375000000000001,lowrank_r8_kmeans_ensemble,hotpotqa,1,-0.0015016233766233763,f1,64,62,1
exact,0.0,0.0,lowrank_r8_kmeans_ensemble,hotpotqa,0,0.0,em,64,64,0
hybrid,0.024435893647023477,-0.09304076619446278,lowrank_r8_kmeans_ensemble,hotpotqa,37,-0.03454467198753264,gold_mean_token_logprob,64,0,27
hybrid,0.002181412337662339,-0.01796875,lowrank_r8_kmeans_ensemble,hotpotqa,3,-0.006473214285714285,f1,64,60,1
hybrid,0.0,0.0,lowrank_r8_kmeans_ensemble,hotpotqa,0,0.0,em,64,64,0
no_memory,0.0,0.0,empty_memory,qasper,0,0.0,gold_mean_token_logprob,64,64,0
no_memory,0.0,0.0,empty_memory,qasper,0,0.0,f1,64,64,0
no_memory,0.0,0.0,empty_memory,qasper,0,0.0,em,64,64,0
no_memory,0.0916920006275177,-0.2733796462416649,native_mean,qasper,43,-0.09521560370922089,gold_mean_token_logprob,64,0,21
no_memory,0.02698863636363636,-0.03257575757575758,native_mean,qasper,2,0.00012626262626262534,f1,64,58,4
no_memory,0.0,-0.046875,native_mean,qasper,1,-0.015625,em,64,63,0
no_memory,-0.12429390102624893,-0.4313315600156784,exact,qasper,45,-0.27603092044591904,gold_mean_token_logprob,64,0,19
no_memory,0.01846590909090909,-0.036268939393939395,exact,qasper,1,-0.004450757575757577,f1,64,61,2
no_memory,0.0,-0.046875,exact,qasper,1,-0.015625,em,64,63,0
no_memory,-0.34908151626586914,-0.7163151428103447,bm25,qasper,51,-0.5327825248241425,gold_mean_token_logprob,64,0,13
no_memory,0.026379870129870128,-0.030008793290043294,bm25,qasper,2,0.0020596590909090903,f1,64,58,4
no_memory,0.0,-0.046875,bm25,qasper,1,-0.015625,em,64,63,0
no_memory,0.06898783147335052,-0.3045199066400528,hybrid,qasper,42,-0.11838632822036743,gold_mean_token_logprob,64,0,22
no_memory,0.01893939393939394,-0.03813131313131313,hybrid,qasper,2,-0.005082070707070708,f1,64,59,3
no_memory,0.0,-0.046875,hybrid,qasper,1,-0.015625,em,64,63,0
no_memory,-0.01944386214017868,-0.4078843668103218,lowrank_r16_ensemble,qasper,42,-0.21237049996852875,gold_mean_token_logprob,64,0,22
no_memory,0.01205808080808081,-0.05752840909090909,lowrank_r16_ensemble,qasper,5,-0.017013888888888887,f1,64,56,3
no_memory,0.0,-0.046875,lowrank_r16_ensemble,qasper,1,-0.015625,em,64,63,0
no_memory,0.001922309398651123,-0.39098092913627625,lowrank_r8_kmeans_ensemble,qasper,45,-0.19424908608198166,gold_mean_token_logprob,64,0,19
no_memory,0.003077651515151515,-0.052541035353535354,lowrank_r8_kmeans_ensemble,qasper,5,-0.0188604797979798,f1,64,57,2
no_memory,0.0,-0.046875,lowrank_r8_kmeans_ensemble,qasper,1,-0.015625,em,64,63,0
no_memory,-0.30462596565485,-0.7369541972875595,shuffled_selection,qasper,47,-0.5239048972725868,gold_mean_token_logprob,64,0,17
no_memory,0.03653161075036075,-0.02633703102453102,shuffled_selection,qasper,3,0.0088800955988456,f1,64,55,6
no_memory,0.0,-0.046875,shuffled_selection,qasper,1,-0.015625,em,64,63,0
no_memory,-0.46594446897506714,-0.9104517176747322,irrelevant_bottom,qasper,49,-0.6822600215673447,gold_mean_token_logprob,64,0,15
no_memory,0.029677353896103903,-0.03257575757575758,irrelevant_bottom,qasper,5,0.0022964015151515143,f1,64,52,7
no_memory,0.0,-0.046875,irrelevant_bottom,qasper,1,-0.015625,em,64,63,0
no_memory,0.00832996517419815,-0.18928758054971695,oracle_evidence,qasper,44,-0.0916886255145073,gold_mean_token_logprob,64,0,20
no_memory,0.015277777777777776,-0.03923611111111111,oracle_evidence,qasper,2,-0.007922979797979799,f1,64,60,2
no_memory,0.0,-0.046875,oracle_evidence,qasper,1,-0.015625,em,64,63,0
no_memory,0.7091613262891769,-0.24000448733568192,direct_evidence,qasper,28,0.2247074693441391,gold_mean_token_logprob,64,0,36
no_memory,0.04535195707070707,-0.03804225288600289,direct_evidence,qasper,11,0.0066761363636363615,f1,64,34,19
no_memory,0.0,-0.046875,direct_evidence,qasper,1,-0.015625,em,64,63,0
no_memory,0.8399736404418945,-1.6370391845703125,full_context,qasper,3,-0.38466720581054686,gold_mean_token_logprob,5,0,2
no_memory,0.12714285714285714,0.0,full_context,qasper,0,0.04714285714285714,f1,5,3,2
no_memory,0.0,0.0,full_context,qasper,0,0.0,em,5,5,0
shuffled_selection,0.6027302071452141,0.2558647021651268,native_mean,qasper,15,0.42868929356336594,gold_mean_token_logprob,64,0,49
shuffled_selection,0.003635687229437229,-0.022806186868686868,native_mean,qasper,4,-0.008753832972582972,f1,64,57,3
shuffled_selection,0.0,0.0,native_mean,qasper,0,0.0,em,64,64,0
irrelevant_bottom,0.7788226306438446,0.395126037299633,native_mean,qasper,12,0.5870444178581238,gold_mean_token_logprob,64,0,52
irrelevant_bottom,0.021401515151515154,-0.02403499278499279,native_mean,qasper,6,-0.002170138888888889,f1,64,53,5
irrelevant_bottom,0.0,0.0,native_mean,qasper,0,0.0,em,64,64,0
shuffled_selection,0.42069602757692337,0.0815088152885437,exact,qasper,22,0.24787397682666779,gold_mean_token_logprob,64,0,42
shuffled_selection,-0.0014880952380952389,-0.028645833333333332,exact,qasper,4,-0.013330853174603176,f1,64,58,2
shuffled_selection,0.0,0.0,exact,qasper,0,0.0,em,64,64,0
irrelevant_bottom,0.6263654381036758,0.1733391061425209,exact,qasper,16,0.40622910112142563,gold_mean_token_logprob,64,0,48
irrelevant_bottom,0.00792410714285714,-0.0229978354978355,exact,qasper,5,-0.006747159090909091,f1,64,55,4
irrelevant_bottom,0.0,0.0,exact,qasper,0,0.0,em,64,64,0
shuffled_selection,0.16384361684322357,-0.1969468593597412,bm25,qasper,29,-0.008877627551555634,gold_mean_token_logprob,64,0,35
shuffled_selection,0.010788690476190476,-0.025173611111111112,bm25,qasper,4,-0.006820436507936508,f1,64,57,3
shuffled_selection,0.0,0.0,bm25,qasper,0,0.0,em,64,64,0
irrelevant_bottom,0.39826878905296326,-0.08938069641590118,bm25,qasper,25,0.1494774967432022,gold_mean_token_logprob,64,0,39
irrelevant_bottom,0.013541666666666667,-0.01425189393939394,bm25,qasper,4,-0.00023674242424242403,f1,64,56,4
irrelevant_bottom,0.0,0.0,bm25,qasper,0,0.0,em,64,64,0
shuffled_selection,0.5806634798645973,0.24331941455602646,hybrid,qasper,18,0.4055185690522194,gold_mean_token_logprob,64,0,46
shuffled_selection,0.001042794011544011,-0.031013257575757576,hybrid,qasper,5,-0.013962166305916306,f1,64,56,3
shuffled_selection,0.0,0.0,hybrid,qasper,0,0.0,em,64,64,0
irrelevant_bottom,0.7713435143232346,0.37174101173877716,hybrid,qasper,9,0.5638736933469772,gold_mean_token_logprob,64,0,55
irrelevant_bottom,0.018481691919191915,-0.03098732864357864,hybrid,qasper,7,-0.007378472222222222,f1,64,52,5
irrelevant_bottom,0.0,0.0,hybrid,qasper,0,0.0,em,64,64,0
shuffled_selection,0.4887462556362152,0.13782185316085815,lowrank_r16_ensemble,qasper,19,0.3115343973040581,gold_mean_token_logprob,64,0,45
shuffled_selection,-0.009785353535353536,-0.04468118686868687,lowrank_r16_ensemble,qasper,8,-0.025893984487734487,f1,64,54,2
shuffled_selection,0.0,0.0,lowrank_r16_ensemble,qasper,0,0.0,em,64,64,0
irrelevant_bottom,0.7118307650089264,0.2368631660938263,lowrank_r16_ensemble,qasper,17,0.4698895215988159,gold_mean_token_logprob,64,0,47
irrelevant_bottom,0.006423611111111111,-0.04427534271284272,lowrank_r16_ensemble,qasper,10,-0.019310290404040403,f1,64,50,4
irrelevant_bottom,0.0,0.0,lowrank_r16_ensemble,qasper,0,0.0,em,64,64,0
shuffled_selection,0.5198811441659927,0.15486495941877365,lowrank_r8_kmeans_ensemble,qasper,18,0.32965581119060516,gold_mean_token_logprob,64,0,46
shuffled_selection,-0.00812251984126984,-0.05186237373737374,lowrank_r8_kmeans_ensemble,qasper,7,-0.027740575396825395,f1,64,55,2
shuffled_selection,0.0,0.0,lowrank_r8_kmeans_ensemble,qasper,0,0.0,em,64,64,0
irrelevant_bottom,0.7264422103762627,0.2577262967824936,lowrank_r8_kmeans_ensemble,qasper,14,0.488010935485363,gold_mean_token_logprob,64,0,50
irrelevant_bottom,-0.001166801948051948,-0.04594944985569986,lowrank_r8_kmeans_ensemble,qasper,8,-0.02115688131313131,f1,64,52,4
irrelevant_bottom,0.0,0.0,lowrank_r8_kmeans_ensemble,qasper,0,0.0,em,64,64,0
shuffled_selection,0.6037701666355133,0.2600831165909767,oracle_evidence,qasper,10,0.43221627175807953,gold_mean_token_logprob,64,0,54
shuffled_selection,-0.002914186507936508,-0.03361178751803752,oracle_evidence,qasper,5,-0.016803075396825396,f1,64,57,2
shuffled_selection,0.0,0.0,oracle_evidence,qasper,0,0.0,em,64,64,0
irrelevant_bottom,0.7974291443824768,0.3899316266179085,oracle_evidence,qasper,10,0.5905713960528374,gold_mean_token_logprob,64,0,54
irrelevant_bottom,0.0059399801587301584,-0.027457611832611833,oracle_evidence,qasper,6,-0.010219381313131312,f1,64,54,4
irrelevant_bottom,0.0,0.0,oracle_evidence,qasper,0,0.0,em,64,64,0
native_mean,0.03909213840961456,-0.28062015771865845,lowrank_r16_ensemble,qasper,38,-0.11715489625930786,gold_mean_token_logprob,64,0,26
native_mean,-0.0009943181818181813,-0.03451704545454545,lowrank_r16_ensemble,qasper,6,-0.017140151515151514,f1,64,57,1
native_mean,0.0,0.0,lowrank_r16_ensemble,qasper,0,0.0,em,64,64,0
exact,0.21545832604169846,-0.09317377954721451,lowrank_r16_ensemble,qasper,26,0.06366042047739029,gold_mean_token_logprob,64,0,38
exact,0.007291666666666667,-0.032244318181818186,lowrank_r16_ensemble,qasper,6,-0.012563131313131312,f1,64,56,2
exact,0.0,0.0,lowrank_r16_ensemble,qasper,0,0.0,em,64,64,0
hybrid,0.06135275214910507,-0.2509020119905472,lowrank_r16_ensemble,qasper,39,-0.09398417174816132,gold_mean_token_logprob,64,0,25
hybrid,0.0,-0.026183712121212125,lowrank_r16_ensemble,qasper,5,-0.011931818181818182,f1,64,58,1
hybrid,0.0,0.0,lowrank_r16_ensemble,qasper,0,0.0,em,64,64,0
native_mean,0.07168624550104141,-0.27447842061519623,lowrank_r8_kmeans_ensemble,qasper,37,-0.09903348237276077,gold_mean_token_logprob,64,0,27
native_mean,-0.00023674242424242403,-0.041666666666666664,lowrank_r8_kmeans_ensemble,qasper,5,-0.018986742424242423,f1,64,58,1
native_mean,0.0,0.0,lowrank_r8_kmeans_ensemble,qasper,0,0.0,em,64,64,0
exact,0.27350327372550964,-0.09948205947875977,lowrank_r8_kmeans_ensemble,qasper,27,0.08178183436393738,gold_mean_token_logprob,64,0,37
exact,0.002083333333333334,-0.03628472222222222,lowrank_r8_kmeans_ensemble,qasper,4,-0.014409722222222221,f1,64,59,1
exact,0.0,0.0,lowrank_r8_kmeans_ensemble,qasper,0,0.0,em,64,64,0
hybrid,0.09403106570243835,-0.24799641221761703,lowrank_r8_kmeans_ensemble,qasper,38,-0.07586275786161423,gold_mean_token_logprob,64,0,26
hybrid,0.0,-0.029876893939393936,lowrank_r8_kmeans_ensemble,qasper,5,-0.013778409090909091,f1,64,58,1
hybrid,0.0,0.0,lowrank_r8_kmeans_ensemble,qasper,0,0.0,em,64,64,0
