dataset,profile,geometry,layer,n,residual_divergence_mean,residual_divergence_sd
2wikimultihopqa,even_8,expanded_window,20,16,0.09942017495632172,0.18151698667172336
2wikimultihopqa,even_8,expanded_window,21,16,0.10707983374595642,0.18990858148857284
2wikimultihopqa,even_8,expanded_window,22,16,0.10716907307505608,0.18593757095231572
2wikimultihopqa,even_8,expanded_window,23,16,0.11160005629062653,0.19369449872531694
2wikimultihopqa,even_8,expanded_window,24,16,0.11464143544435501,0.19711596277874746
2wikimultihopqa,even_8,expanded_window,25,16,0.11506839469075203,0.19947930938085723
2wikimultihopqa,even_8,expanded_window,26,16,0.12400147691369057,0.2157047789602006
2wikimultihopqa,even_8,expanded_window,27,16,0.15751765668392181,0.2624144429876608
2wikimultihopqa,even_8,full_selected_record,0,16,0.001369476318359375,0.0014820552817839325
2wikimultihopqa,even_8,full_selected_record,1,16,0.0021584033966064453,0.0018029410817826652
2wikimultihopqa,even_8,full_selected_record,2,16,0.006267797201871872,0.004979291512808684
2wikimultihopqa,even_8,full_selected_record,3,16,0.032115738838911057,0.047494194333183644
2wikimultihopqa,even_8,full_selected_record,4,16,0.03151063993573189,0.046600608249396436
2wikimultihopqa,even_8,full_selected_record,5,16,0.06254522502422333,0.10012124160495868
2wikimultihopqa,even_8,full_selected_record,6,16,0.06579567492008209,0.10621887222378237
2wikimultihopqa,even_8,full_selected_record,7,16,0.07669677212834358,0.1232788426062344
2wikimultihopqa,even_8,full_selected_record,8,16,0.08632691204547882,0.13524857149186817
2wikimultihopqa,even_8,full_selected_record,9,16,0.08192156627774239,0.125633815846322
2wikimultihopqa,even_8,full_selected_record,10,16,0.08223209902644157,0.12596587767254852
2wikimultihopqa,even_8,full_selected_record,11,16,0.0815754272043705,0.12628483215267344
2wikimultihopqa,even_8,full_selected_record,12,16,0.08224845305085182,0.12598880747207342
2wikimultihopqa,even_8,full_selected_record,13,16,0.08381256088614464,0.1277148215981362
2wikimultihopqa,even_8,full_selected_record,14,16,0.08357508108019829,0.13291468516984237
2wikimultihopqa,even_8,full_selected_record,15,16,0.11418471485376358,0.1858878275368817
2wikimultihopqa,even_8,full_selected_record,16,16,0.11899434030056,0.19562350960840014
2wikimultihopqa,even_8,full_selected_record,17,16,0.12464017048478127,0.20264412186153083
2wikimultihopqa,even_8,full_selected_record,18,16,0.13560369983315468,0.2237430520751572
2wikimultihopqa,even_8,full_selected_record,19,16,0.12501269578933716,0.20647698593031674
2wikimultihopqa,even_8,full_selected_record,20,16,0.13313566148281097,0.22190054328958994
2wikimultihopqa,even_8,full_selected_record,21,16,0.14147206395864487,0.2394949701971187
2wikimultihopqa,even_8,full_selected_record,22,16,0.13580350577831268,0.23177827616171445
2wikimultihopqa,even_8,full_selected_record,23,16,0.13485073670744896,0.2317431912884983
2wikimultihopqa,even_8,full_selected_record,24,16,0.14000773429870605,0.2416815027076028
2wikimultihopqa,even_8,full_selected_record,25,16,0.13964395597577095,0.2431833805122116
2wikimultihopqa,even_8,full_selected_record,26,16,0.15048055350780487,0.2622568592713248
2wikimultihopqa,even_8,full_selected_record,27,16,0.19719674810767174,0.326055895090242
2wikimultihopqa,even_8,whole_parent,0,16,0.001369476318359375,0.0014820552817839325
2wikimultihopqa,even_8,whole_parent,1,16,0.0021584033966064453,0.0018029410817826652
2wikimultihopqa,even_8,whole_parent,2,16,0.006267797201871872,0.004979291512808684
2wikimultihopqa,even_8,whole_parent,3,16,0.032115738838911057,0.047494194333183644
2wikimultihopqa,even_8,whole_parent,4,16,0.03151063993573189,0.046600608249396436
2wikimultihopqa,even_8,whole_parent,5,16,0.06254522502422333,0.10012124160495868
2wikimultihopqa,even_8,whole_parent,6,16,0.06579567492008209,0.10621887222378237
2wikimultihopqa,even_8,whole_parent,7,16,0.07669677212834358,0.1232788426062344
2wikimultihopqa,even_8,whole_parent,8,16,0.08632691204547882,0.13524857149186817
2wikimultihopqa,even_8,whole_parent,9,16,0.08192156627774239,0.125633815846322
2wikimultihopqa,even_8,whole_parent,10,16,0.08223209902644157,0.12596587767254852
2wikimultihopqa,even_8,whole_parent,11,16,0.0815754272043705,0.12628483215267344
2wikimultihopqa,even_8,whole_parent,12,16,0.08224845305085182,0.12598880747207342
2wikimultihopqa,even_8,whole_parent,13,16,0.08381256088614464,0.1277148215981362
2wikimultihopqa,even_8,whole_parent,14,16,0.08357508108019829,0.13291468516984237
2wikimultihopqa,even_8,whole_parent,15,16,0.11418471485376358,0.1858878275368817
2wikimultihopqa,even_8,whole_parent,16,16,0.11899434030056,0.19562350960840014
2wikimultihopqa,even_8,whole_parent,17,16,0.12464017048478127,0.20264412186153083
2wikimultihopqa,even_8,whole_parent,18,16,0.13560369983315468,0.2237430520751572
2wikimultihopqa,even_8,whole_parent,19,16,0.12501269578933716,0.20647698593031674
