dataset,profile,geometry,n,gold_mean_logprob_delta_vs_none_mean,gold_mean_logprob_delta_vs_none_sd,gold_mean_logprob_delta_vs_none_ci_low,gold_mean_logprob_delta_vs_none_ci_high,gold_first_token_rank_mean,gold_first_token_rank_sd,evidence_attention_mass_mean,evidence_attention_mass_sd,memory_attention_mass_mean,memory_attention_mass_sd,residual_divergence_mean_mean,residual_divergence_mean_sd,residual_divergence_final_mean,residual_divergence_final_sd,native_kv_token_states_mean,native_kv_token_states_sd,native_kv_bytes_mean,native_kv_bytes_sd,materialized_unique_tokens_mean,materialized_unique_tokens_sd,teacher_forced_seconds_mean,teacher_forced_seconds_sd,consumer_layer_count,consumer_layer_fraction
musique,even_8,exact_core,16,-3.4211200699210167,5.433614690424148,-6.202111080288887,-0.9899688437581062,29524.4375,41751.329266217304,0.5190920820023166,0.20618947990965714,0.5190920820023166,0.20618947990965714,0.1321691967813032,0.16445288628365634,0.27978887036442757,0.3456974410734754,3313.5,1973.4725105762177,13572096.0,8083343.403320188,414.1875,246.6840638220272,0.4151719499932369,0.13507259633528815,8,0.2857142857142857
musique,even_8,expanded_window,16,-3.4396863505244255,5.477000040828463,-6.356779895722866,-1.0138281136751175,30118.5,42665.27047406356,0.517081665850128,0.20678260695106568,0.5212357865966624,0.20458382948983028,0.1320086225335087,0.16370312132824985,0.2800247333943844,0.34565278419598633,3401.5,1989.32595368381,13932544.0,8148279.106288886,425.1875,248.66574421047625,0.42650250626320485,0.08982556340841477,8,0.2857142857142857
musique,even_8,full_selected_record,16,-3.5114418789744377,5.4460327220516085,-6.3027345314621925,-1.1020353585481644,29143.625,41581.17428427647,0.45734985176386544,0.19649004524476235,0.5480651423131349,0.19842293806090938,0.13302550398345503,0.16234731370405153,0.2804071307182312,0.34231514474277874,3890.5,2066.8889060614747,15935488.0,8465976.9592278,486.3125,258.36111325768434,0.3499978812178597,0.037516052998816295,8,0.2857142857142857
musique,even_8,whole_parent,16,-3.5114418789744377,5.4460327220516085,-6.392856851220131,-1.1004333198070526,29143.625,41581.17428427647,0.45734985176386544,0.19649004524476235,0.5480651423131349,0.19842293806090938,0.13302550398345503,0.16234731370405153,0.2804071307182312,0.34231514474277874,3890.5,2066.8889060614747,15935488.0,8465976.9592278,486.3125,258.36111325768434,0.3489040687272791,0.036739416142939615,8,0.2857142857142857
musique,last_14,exact_core,16,1.4644374623894691,1.2235538336155078,0.9089419394731522,2.1006347835063934,7.125,6.66966078597705,0.48820138312709915,0.15185960996790343,0.48820138312709915,0.15185960996790343,0.008775458804198675,0.004759238015642593,0.039206452667713165,0.018269508849429288,5798.625,3453.576893508381,23751168.0,14145850.955810329,414.1875,246.6840638220272,0.5407403437275207,0.08137277296112283,14,0.5
musique,last_14,expanded_window,16,1.4824061691761017,1.2597482053779925,0.8971598595380783,2.1668784394860268,7.9375,7.829980443781453,0.48555958720888676,0.15121803166450426,0.49192977849660174,0.1506944805061799,0.009099321439862251,0.004773503292562785,0.04069492220878601,0.01825891087186214,5952.625,3481.3204189466674,24381952.0,14259488.43600555,425.1875,248.66574421047625,0.504841062502237,0.0684620356825341,14,0.5
musique,last_14,full_selected_record,16,1.4290710613131523,1.1999441779739115,0.872981920838356,2.067411258816719,10.0,10.908712114635714,0.4445156776346266,0.1606298378211169,0.5303212405415252,0.15052168408986213,0.009719742062900747,0.004425916650262796,0.04246162995696068,0.015732037748771015,6808.375,3617.0555856075807,27887104.0,14815459.67864865,486.3125,258.36111325768434,0.43416634999448434,0.04203409776574517,14,0.5
musique,last_14,whole_parent,16,1.4290710613131523,1.1999441779739115,0.8742680624127388,2.0149931833148003,10.0,10.908712114635714,0.4445156776346266,0.1606298378211169,0.5303212405415252,0.15052168408986213,0.009719742062900747,0.004425916650262796,0.04246162995696068,0.015732037748771015,6808.375,3617.0555856075807,27887104.0,14815459.67864865,486.3125,258.36111325768434,0.45379043123102747,0.04288757573318466,14,0.5
musique,last_8,exact_core,16,1.1761960834264755,1.1763914030561602,0.6854490861296654,1.818473942577839,7.75,7.988272654335229,0.5355909559730208,0.1588569734408488,0.5355909559730208,0.1588569734408488,0.0049345457394208226,0.0030967767820611032,0.031068697571754456,0.016357892250745153,3313.5,1973.4725105762177,13572096.0,8083343.403320188,414.1875,246.6840638220272,0.38642686874663923,0.055498284010771046,8,0.2857142857142857
musique,last_8,expanded_window,16,1.1841028779745102,1.1920087959559413,0.6758218184113503,1.8344597443938255,7.8125,7.715396538739924,0.5337204999668756,0.15924041359556412,0.5377590228890767,0.1580706356044163,0.005104557078863893,0.0032202252505897735,0.03210388496518135,0.01684698436103989,3401.5,1989.32595368381,13932544.0,8148279.106288886,425.1875,248.66574421047625,0.41015858750324696,0.06731788771771345,8,0.2857142857142857
musique,last_8,full_selected_record,16,1.1902303621172905,1.1477746831814677,0.6946543976664543,1.817183643579483,8.5,8.609587678861281,0.4912046237877803,0.17317464743419678,0.5769188403792214,0.1586066107493801,0.005197042732366494,0.0029781187351787227,0.03333106264472008,0.015537160510893317,3890.5,2066.8889060614747,15935488.0,8465976.9592278,486.3125,258.36111325768434,0.3463089000142645,0.047084172314073386,8,0.2857142857142857
musique,last_8,whole_parent,16,1.1902303621172905,1.1477746831814677,0.7049971744418144,1.8117859363555908,8.5,8.609587678861281,0.4912046237877803,0.17317464743419678,0.5769188403792214,0.1586066107493801,0.005197042732366494,0.0029781187351787227,0.03333106264472008,0.015537160510893317,3890.5,2066.8889060614747,15935488.0,8465976.9592278,486.3125,258.36111325768434,0.3630375124630518,0.03971747912530608,8,0.2857142857142857
