model,dataset,chunk_tokens,routing_layer_offset,chunk_budget,channel,examples,evidence_recall,precision,mrr,complete_recovery,scored_candidate_fraction
smollm2_135m,qasper,64,-4,2,bm25,8,0.4375,0.375,0.4375,0.375,1.0
smollm2_135m,qasper,64,-4,2,edit,8,0.9583333333333334,0.75,0.75,0.875,1.0
smollm2_135m,qasper,64,-4,2,embedding,8,0.3541666666666667,0.3125,0.4375,0.25,1.0
smollm2_135m,qasper,64,-4,2,exact,8,1.0,0.875,0.875,1.0,1.0
smollm2_135m,qasper,64,-4,2,hybrid,8,0.4791666666666667,0.375,0.5,0.375,1.0
smollm2_135m,qasper,64,-4,2,ngram,8,0.8333333333333334,0.75,0.8125,0.75,1.0
smollm2_135m,qasper,64,-4,2,semantic,8,0.3541666666666667,0.3125,0.375,0.25,1.0
smollm2_135m,qasper,64,-4,4,approximate,8,1.0,0.75,0.7291666666666666,1.0,1.0
smollm2_135m,qasper,64,-4,4,bm25,8,0.5208333333333334,0.3125,0.4791666666666667,0.375,1.0
smollm2_135m,qasper,64,-4,4,edit,8,1.0,0.75,0.7291666666666666,1.0,1.0
smollm2_135m,qasper,64,-4,4,embedding,8,0.5833333333333334,0.3125,0.5208333333333334,0.375,1.0
smollm2_135m,qasper,64,-4,4,exact,8,1.0,0.75,0.8333333333333334,1.0,1.0
smollm2_135m,qasper,64,-4,4,hybrid,8,0.8125,0.5,0.625,0.75,1.0
smollm2_135m,qasper,64,-4,4,ngram,8,1.0,0.65625,0.875,1.0,1.0
smollm2_135m,qasper,64,-4,4,semantic,8,0.6875,0.40625,0.4791666666666667,0.625,1.0
smollm2_135m,qasper,64,-4,8,approximate,8,1.0,0.53125,0.7291666666666666,1.0,1.0
smollm2_135m,qasper,64,-4,8,bm25,8,0.9375,0.390625,0.5729166666666666,0.875,1.0
smollm2_135m,qasper,64,-4,8,edit,8,1.0,0.53125,0.7291666666666666,1.0,1.0
smollm2_135m,qasper,64,-4,8,embedding,8,1.0,0.390625,0.5636904761904762,1.0,1.0
smollm2_135m,qasper,64,-4,8,exact,8,1.0,0.484375,0.8229166666666666,1.0,1.0
smollm2_135m,qasper,64,-4,8,hybrid,8,0.9375,0.4375,0.6428571428571429,0.875,1.0
smollm2_135m,qasper,64,-4,8,ngram,8,1.0,0.484375,0.875,1.0,1.0
smollm2_135m,qasper,64,-4,8,semantic,8,0.9375,0.421875,0.5260416666666666,0.875,1.0
smollm2_135m,qasper,64,-1,2,approximate,8,0.9583333333333334,0.75,0.75,0.875,1.0
smollm2_135m,qasper,64,-1,2,bm25,8,0.4375,0.375,0.4375,0.375,1.0
smollm2_135m,qasper,64,-1,2,edit,8,0.9583333333333334,0.75,0.75,0.875,1.0
smollm2_135m,qasper,64,-1,2,embedding,8,0.3541666666666667,0.3125,0.4375,0.25,1.0
smollm2_135m,qasper,64,-1,2,exact,8,1.0,0.875,0.875,1.0,1.0
smollm2_135m,qasper,64,-1,2,hybrid,8,0.5208333333333334,0.4375,0.5625,0.375,1.0
smollm2_135m,qasper,64,-1,2,ngram,8,0.8333333333333334,0.75,0.8125,0.75,1.0
smollm2_135m,qasper,64,-1,2,semantic,8,0.3333333333333333,0.375,0.5,0.125,1.0
smollm2_135m,qasper,64,-1,4,approximate,8,1.0,0.75,0.7291666666666666,1.0,1.0
smollm2_135m,qasper,64,-1,4,bm25,8,0.5208333333333334,0.3125,0.4791666666666667,0.375,1.0
smollm2_135m,qasper,64,-1,4,edit,8,1.0,0.75,0.7291666666666666,1.0,1.0
smollm2_135m,qasper,64,-1,4,embedding,8,0.5833333333333334,0.3125,0.5208333333333334,0.375,1.0
smollm2_135m,qasper,64,-1,4,exact,8,1.0,0.75,0.8333333333333334,1.0,1.0
smollm2_135m,qasper,64,-1,4,hybrid,8,0.875,0.5,0.6875,0.875,1.0
smollm2_135m,qasper,64,-1,4,ngram,8,1.0,0.65625,0.875,1.0,1.0
smollm2_135m,qasper,64,-1,4,semantic,8,0.8125,0.40625,0.6354166666666666,0.75,1.0
smollm2_135m,qasper,64,-1,8,approximate,8,1.0,0.53125,0.7291666666666666,1.0,1.0
smollm2_135m,qasper,64,-1,8,bm25,8,0.9375,0.390625,0.5729166666666666,0.875,1.0
smollm2_135m,qasper,64,-1,8,edit,8,1.0,0.53125,0.7291666666666666,1.0,1.0
smollm2_135m,qasper,64,-1,8,embedding,8,1.0,0.390625,0.5636904761904762,1.0,1.0
smollm2_135m,qasper,64,-1,8,exact,8,1.0,0.484375,0.8229166666666666,1.0,1.0
smollm2_135m,qasper,64,-1,8,hybrid,8,0.9375,0.390625,0.7053571428571429,0.875,1.0
smollm2_135m,qasper,64,-1,8,ngram,8,1.0,0.484375,0.875,1.0,1.0
smollm2_135m,qasper,64,-1,8,semantic,8,0.9375,0.4375,0.6636904761904762,0.875,1.0
