model,dataset,chunk_tokens,routing_layer_offset,chunk_budget,channel,examples,evidence_recall,precision,mrr,complete_recovery,scored_candidate_fraction
qwen3_0_6b,qasper,32,-1,8,ngram,8,0.9583333333333334,0.5,0.8125,0.875,1.0
qwen3_0_6b,qasper,32,-1,8,semantic,8,0.9583333333333334,0.359375,0.5666666666666667,0.875,1.0
qwen3_0_6b,qasper,64,-4,2,approximate,8,0.9583333333333334,0.8125,0.8125,0.875,1.0
qwen3_0_6b,qasper,64,-4,2,bm25,8,0.2708333333333333,0.25,0.375,0.125,1.0
qwen3_0_6b,qasper,64,-4,2,edit,8,0.9583333333333334,0.8125,0.8125,0.875,1.0
qwen3_0_6b,qasper,64,-4,2,embedding,8,0.6041666666666666,0.4375,0.5,0.375,1.0
qwen3_0_6b,qasper,64,-4,2,exact,8,1.0,0.9375,0.9375,1.0,1.0
qwen3_0_6b,qasper,64,-4,2,hybrid,8,0.625,0.4375,0.6875,0.375,1.0
qwen3_0_6b,qasper,64,-4,2,ngram,8,0.7916666666666666,0.625,0.875,0.625,1.0
qwen3_0_6b,qasper,64,-4,2,semantic,8,0.625,0.4375,0.625,0.375,1.0
qwen3_0_6b,qasper,64,-4,4,approximate,8,1.0,0.71875,0.7916666666666666,1.0,1.0
qwen3_0_6b,qasper,64,-4,4,bm25,8,0.6458333333333334,0.34375,0.4895833333333333,0.5,1.0
qwen3_0_6b,qasper,64,-4,4,edit,8,1.0,0.71875,0.7916666666666666,1.0,1.0
qwen3_0_6b,qasper,64,-4,4,embedding,8,0.8125,0.4375,0.5,0.75,1.0
qwen3_0_6b,qasper,64,-4,4,exact,8,1.0,0.78125,0.9166666666666666,1.0,1.0
qwen3_0_6b,qasper,64,-4,4,hybrid,8,0.8125,0.5,0.6458333333333334,0.75,1.0
qwen3_0_6b,qasper,64,-4,4,ngram,8,1.0,0.5625,0.9375,1.0,1.0
qwen3_0_6b,qasper,64,-4,4,semantic,8,0.8125,0.5,0.5833333333333334,0.75,1.0
qwen3_0_6b,qasper,64,-4,8,approximate,8,1.0,0.46875,0.7916666666666666,1.0,1.0
qwen3_0_6b,qasper,64,-4,8,bm25,8,0.9375,0.375,0.55,0.875,1.0
qwen3_0_6b,qasper,64,-4,8,edit,8,1.0,0.46875,0.7916666666666666,1.0,1.0
