active_layer_tokens,address_index_bytes,address_layer_count,candidate,case_id,consumer_layer_count,consumer_layer_fraction,corrected_transport,delta_vs_full_context,delta_vs_no_memory,detail_kv_bytes,family,full_context_log_probability,full_context_target_rank,latency_seconds,materialization,max_abs_logit_error_vs_full,model_id,model_key,no_memory_log_probability,physical_layers,revision,target_log_probability,target_rank,workload
48,2048,1,even_8,color,8,0.2857142857142857,True,-9.48601919412613,-3.545022487640381,196608,qwen,-0.5497063994407654,1,0.23299629986286163,full_selected_record,25.24609375,Qwen/Qwen3-0.6B,qwen,-6.490703105926514,"[0, 4, 8, 12, 15, 19, 23, 27]",c1899de289a04d12100db370d81485cdf75e47ca,-10.035725593566895,200,semantic_smoke
24,2048,1,early_4,color,4,0.14285714285714285,True,-14.917574942111969,-8.97657823562622,98304,qwen,-0.5497063994407654,1,0.2100400000344962,full_selected_record,19.677734375,Qwen/Qwen3-0.6B,qwen,-6.490703105926514,"[0, 1, 2, 3]",c1899de289a04d12100db370d81485cdf75e47ca,-15.467281341552734,9642,semantic_smoke
24,2048,1,middle_4,color,4,0.14285714285714285,True,-5.293026030063629,0.6479706764221191,98304,qwen,-0.5497063994407654,1,0.21682590013369918,full_selected_record,5.689453125,Qwen/Qwen3-0.6B,qwen,-6.490703105926514,"[12, 13, 14, 15]",c1899de289a04d12100db370d81485cdf75e47ca,-5.8427324295043945,43,semantic_smoke
48,2048,1,early_8,color,8,0.2857142857142857,True,-11.848288595676422,-5.907291889190674,196608,qwen,-0.5497063994407654,1,0.22998129995539784,full_selected_record,20.732421875,Qwen/Qwen3-0.6B,qwen,-6.490703105926514,"[0, 1, 2, 3, 4, 5, 6, 7]",c1899de289a04d12100db370d81485cdf75e47ca,-12.397994995117188,3325,semantic_smoke
48,2048,1,middle_8,color,8,0.2857142857142857,True,-4.418839514255524,1.5221571922302246,196608,qwen,-0.5497063994407654,1,0.24569189990870655,full_selected_record,4.857421875,Qwen/Qwen3-0.6B,qwen,-6.490703105926514,"[10, 11, 12, 13, 14, 15, 16, 17]",c1899de289a04d12100db370d81485cdf75e47ca,-4.968545913696289,23,semantic_smoke
224,2048,1,all_layers,code,28,1.0,True,-1.2636184692382812e-05,1.6122063100337982,917504,qwen,-0.4479803144931793,1,0.3541143999900669,full_selected_record,0.01953125,Qwen/Qwen3-0.6B,qwen,-2.06019926071167,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27]",c1899de289a04d12100db370d81485cdf75e47ca,-0.4479929506778717,1,semantic_smoke
8,2048,1,last_1,code,1,0.03571428571428571,True,-1.5855236947536469,0.02669525146484375,32768,qwen,-0.4479803144931793,1,0.22902980004437268,full_selected_record,4.50390625,Qwen/Qwen3-0.6B,qwen,-2.06019926071167,[27],c1899de289a04d12100db370d81485cdf75e47ca,-2.033504009246826,2,semantic_smoke
32,2048,1,last_4,code,4,0.14285714285714285,True,-1.4160480201244354,0.19617092609405518,131072,qwen,-0.4479803144931793,1,0.22322279983200133,full_selected_record,4.400390625,Qwen/Qwen3-0.6B,qwen,-2.06019926071167,"[24, 25, 26, 27]",c1899de289a04d12100db370d81485cdf75e47ca,-1.8640283346176147,2,semantic_smoke
64,2048,1,last_8,code,8,0.2857142857142857,True,-1.1578591763973236,0.454359769821167,262144,qwen,-0.4479803144931793,1,0.22691399999894202,full_selected_record,4.48046875,Qwen/Qwen3-0.6B,qwen,-2.06019926071167,"[20, 21, 22, 23, 24, 25, 26, 27]",c1899de289a04d12100db370d81485cdf75e47ca,-1.605839490890503,1,semantic_smoke
96,2048,1,last_12,code,12,0.42857142857142855,True,-1.0477233827114105,0.5644955635070801,393216,qwen,-0.4479803144931793,1,0.251860500080511,full_selected_record,4.19140625,Qwen/Qwen3-0.6B,qwen,-2.06019926071167,"[16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27]",c1899de289a04d12100db370d81485cdf75e47ca,-1.4957036972045898,1,semantic_smoke
112,2048,1,last_14,code,14,0.5,True,-1.0655178725719452,0.5467010736465454,458752,qwen,-0.4479803144931793,1,0.22792210010811687,full_selected_record,4.1171875,Qwen/Qwen3-0.6B,qwen,-2.06019926071167,"[14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27]",c1899de289a04d12100db370d81485cdf75e47ca,-1.5134981870651245,1,semantic_smoke
128,2048,1,last_16,code,16,0.5714285714285714,True,-0.8442369401454926,0.767982006072998,524288,qwen,-0.4479803144931793,1,0.20461739995516837,full_selected_record,3.7685546875,Qwen/Qwen3-0.6B,qwen,-2.06019926071167,"[12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27]",c1899de289a04d12100db370d81485cdf75e47ca,-1.2922172546386719,1,semantic_smoke
160,2048,1,last_20,code,20,0.7142857142857143,True,-0.6259871423244476,0.986231803894043,655360,qwen,-0.4479803144931793,1,0.26365450001321733,full_selected_record,3.43408203125,Qwen/Qwen3-0.6B,qwen,-2.06019926071167,"[8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27]",c1899de289a04d12100db370d81485cdf75e47ca,-1.073967456817627,1,semantic_smoke
