dataset,chunk_size,K,edge_recall,strict_complete_path_survival,preserved_path_survival,product_model_path_survival,mean_preserved_path_length
2wikimultihopqa,64,4,0.36,0.2222222222222222,0.23529411764705882,0.262005006827492,1.3888888888888888
2wikimultihopqa,64,6,0.56,0.3888888888888889,0.4117647058823529,0.4407525413442573,1.3888888888888888
2wikimultihopqa,64,8,0.76,0.6111111111111112,0.6470588235294118,0.6492123097152682,1.3888888888888888
2wikimultihopqa,64,11,0.84,0.7222222222222222,0.7647058823529411,0.7419776968593537,1.3888888888888888
2wikimultihopqa,128,1,0.16,0.05555555555555555,0.058823529411764705,0.10822839225206089,1.3888888888888888
2wikimultihopqa,128,2,0.32,0.2222222222222222,0.23529411764705882,0.22940373236231226,1.3888888888888888
2wikimultihopqa,128,4,0.72,0.5555555555555556,0.5882352941176471,0.6049157942649067,1.3888888888888888
2wikimultihopqa,128,6,0.88,0.7777777777777778,0.8235294117647058,0.7905224295756841,1.3888888888888888
2wikimultihopqa,128,8,1.0,0.9444444444444444,1.0,0.9452599504374652,1.3888888888888888
2wikimultihopqa,128,11,1.0,0.9444444444444444,1.0,0.9452599504374652,1.3888888888888888
2wikimultihopqa,256,1,0.20833333333333334,0.05555555555555555,0.058823529411764705,0.13721362463966014,1.3333333333333333
2wikimultihopqa,256,2,0.4166666666666667,0.2777777777777778,0.29411764705882354,0.2956051180903252,1.3333333333333333
2wikimultihopqa,256,4,0.875,0.7222222222222222,0.8235294117647058,0.7419776968593537,1.3333333333333333
2wikimultihopqa,256,6,1.0,0.8888888888888888,1.0,0.8921256258534365,1.3333333333333333
2wikimultihopqa,256,8,1.0,0.8888888888888888,1.0,0.8921256258534365,1.3333333333333333
2wikimultihopqa,256,11,1.0,0.8888888888888888,1.0,0.8921256258534365,1.3333333333333333
