dataset,chunk_size,K,B,complete_recovery,node_recall,selected_source_fraction,evidence_density,nodes_expanded
2wikimultihopqa,64,6,16,0.7916666666666666,0.90625,0.5142871783543415,0.10600380676905825,9.75
2wikimultihopqa,64,6,none,0.7916666666666666,0.90625,0.5142871783543415,0.10600380676905825,9.75
2wikimultihopqa,64,8,6,0.6666666666666666,0.8479166666666668,0.30782244588673924,0.15931429032772604,2.0
2wikimultihopqa,64,8,16,0.9166666666666666,0.9583333333333334,0.6873460163904538,0.08914752723690128,12.166666666666666
2wikimultihopqa,64,8,none,0.9166666666666666,0.9583333333333334,0.6914771808624395,0.08827790416415188,13.208333333333334
2wikimultihopqa,128,1,6,0.625,0.8270833333333334,0.35271015991792787,0.15431809270910715,3.4583333333333335
2wikimultihopqa,128,1,16,0.625,0.8270833333333334,0.35271015991792787,0.15431809270910715,3.4583333333333335
2wikimultihopqa,128,1,none,0.625,0.8270833333333334,0.35271015991792787,0.15431809270910715,3.4583333333333335
2wikimultihopqa,128,2,6,0.7083333333333334,0.8791666666666668,0.4593175710310537,0.12294794891824769,4.375
2wikimultihopqa,128,2,16,0.7083333333333334,0.8791666666666668,0.4620967963220039,0.1225284082278993,4.708333333333333
2wikimultihopqa,128,2,none,0.7083333333333334,0.8791666666666668,0.4620967963220039,0.1225284082278993,4.708333333333333
2wikimultihopqa,128,4,6,0.9166666666666666,0.9583333333333334,0.5672198676984844,0.10739322740746472,3.5416666666666665
2wikimultihopqa,128,4,16,0.9166666666666666,0.9583333333333334,0.5825083584871624,0.10489610725634778,5.958333333333333
2wikimultihopqa,128,4,none,0.9166666666666666,0.9583333333333334,0.5825083584871624,0.10489610725634778,5.958333333333333
2wikimultihopqa,128,6,6,0.9166666666666666,0.9583333333333334,0.5969548384538786,0.10252895659895767,2.0
2wikimultihopqa,128,6,16,0.9583333333333334,0.9791666666666666,0.770179099254667,0.0864864815059706,6.5
2wikimultihopqa,128,6,none,0.9583333333333334,0.9791666666666666,0.770179099254667,0.0864864815059706,6.5
2wikimultihopqa,128,8,6,0.9166666666666666,0.9583333333333334,0.5969548384538786,0.10252895659895767,2.0
2wikimultihopqa,128,8,16,1.0,1.0,0.9176515178649297,0.07951169098479416,7.125
2wikimultihopqa,128,8,none,1.0,1.0,0.9176515178649297,0.07951169098479416,7.125
2wikimultihopqa,256,1,6,0.5,0.7791666666666667,0.5687279709075251,0.10680092440139664,2.9166666666666665
2wikimultihopqa,256,1,16,0.5,0.7791666666666667,0.5687279709075251,0.10680092440139664,2.9166666666666665
