dataset,example_id,chunk_size,source_tokens,parent_count,local_count,native_dot_products,adjacency_build_seconds,feature_build_seconds,routing_search_cache_bytes,h2d_bytes,h2d_seconds,peak_gpu_allocated_bytes,peak_gpu_reserved_bytes
2wikimultihopqa,00223e06084a11ebbd55ac1f6bf848b6,64,939,15,30,14107536,0.06573500001104549,1.8966322999913245,900,5899440,0.002242300019133836,64529408,65011712
2wikimultihopqa,00223e06084a11ebbd55ac1f6bf848b6,128,939,8,30,14107536,0.06706239999039099,1.8966322999913245,256,5899440,0.0020809000125154853,64530432,65011712
2wikimultihopqa,00223e06084a11ebbd55ac1f6bf848b6,256,939,4,30,14107536,0.06632710003759712,1.8966322999913245,64,5899440,0.0019907999667339027,63218688,65011712
2wikimultihopqa,002e925e0bde11eba7f7acde48001122,64,1115,18,35,19891600,0.09187080000992864,2.1688743000268005,1296,6882680,0.004863800015300512,70851584,88080384
2wikimultihopqa,002e925e0bde11eba7f7acde48001122,128,1115,9,35,19891600,0.08994039997924119,2.1688743000268005,324,6882680,0.00214679999044165,71311360,90177536
2wikimultihopqa,002e925e0bde11eba7f7acde48001122,256,1115,5,35,19891600,0.09013599995523691,2.1688743000268005,100,6882680,0.0042195999994874,71309824,90177536
2wikimultihopqa,002f12240bde11eba7f7acde48001122,64,979,16,31,15335056,0.07059949997346848,1.9692743999767117,1024,6096088,0.002618999977130443,64416256,85983232
2wikimultihopqa,002f12240bde11eba7f7acde48001122,128,979,8,31,15335056,0.06950530002359301,1.9692743999767117,256,6096088,0.0041102999821305275,64286208,85983232
2wikimultihopqa,002f12240bde11eba7f7acde48001122,256,979,4,31,15335056,0.06983980000950396,1.9692743999767117,64,6096088,0.002126300008967519,64416256,85983232
2wikimultihopqa,00310dc8094611ebbdaeac1f6bf848b6,64,817,13,26,10679824,0.05257639999035746,1.6567090000025928,676,5112848,0.0015894999960437417,56658944,65011712
2wikimultihopqa,00310dc8094611ebbdaeac1f6bf848b6,128,817,7,26,10679824,0.05319439998129383,1.6567090000025928,196,5112848,0.0018989000236615539,56200704,65011712
2wikimultihopqa,00310dc8094611ebbdaeac1f6bf848b6,256,817,4,26,10679824,0.05476570001337677,1.6567090000025928,64,5112848,0.0024117999710142612,56199680,65011712
2wikimultihopqa,003285a80bde11eba7f7acde48001122,64,1919,30,60,58920976,0.2467476999736391,3.5290630999952555,3600,11798880,0.0050752999959513545,109919232,130023424
2wikimultihopqa,003285a80bde11eba7f7acde48001122,128,1919,15,60,58920976,0.24810929998056963,3.5290630999952555,900,11798880,0.0036999000003561378,109920768,130023424
2wikimultihopqa,003285a80bde11eba7f7acde48001122,256,1919,8,60,58920976,0.2500069999950938,3.5290630999952555,256,11798880,0.003658899979200214,109916672,130023424
2wikimultihopqa,003f41f80bde11eba7f7acde48001122,64,732,12,23,8573184,0.04023480002069846,1.4871863999869674,576,4522904,0.0014860000228509307,51815936,60817408
2wikimultihopqa,003f41f80bde11eba7f7acde48001122,128,732,6,23,8573184,0.042573200014885515,1.4871863999869674,144,4522904,0.0019479000475257635,51816448,60817408
2wikimultihopqa,003f41f80bde11eba7f7acde48001122,256,732,3,23,8573184,0.04168620001291856,1.4871863999869674,36,4522904,0.00152749998960644,51815424,60817408
2wikimultihopqa,004430780bde11eba7f7acde48001122,64,2041,32,64,66650896,0.27947790001053363,3.7708151999977417,4096,12585472,0.005438499967567623,115627008,134217728
2wikimultihopqa,004430780bde11eba7f7acde48001122,128,2041,16,64,66650896,0.2787440000101924,3.7708151999977417,1024,12585472,0.003826300031505525,115629056,134217728
2wikimultihopqa,004430780bde11eba7f7acde48001122,256,2041,8,64,66650896,0.2800584000069648,3.7708151999977417,256,12585472,0.003961499955039471,115624448,134217728
2wikimultihopqa,0051fad20bde11eba7f7acde48001122,64,1742,28,55,48553024,0.20972089999122545,3.265915500000119,3136,10815640,0.0037134999874979258,102352896,123731968
2wikimultihopqa,0051fad20bde11eba7f7acde48001122,128,1742,14,55,48553024,0.21267969999462366,3.265915500000119,784,10815640,0.002829600009135902,102617088,123731968
2wikimultihopqa,0051fad20bde11eba7f7acde48001122,256,1742,7,55,48553024,0.21004209999227896,3.265915500000119,196,10815640,0.0035029000137001276,102350848,123731968
2wikimultihopqa,005238da0bde11eba7f7acde48001122,64,1381,22,44,30514576,0.13920760003384203,2.6300172999617644,1936,8652512,0.0027206999948248267,84715520,96468992
2wikimultihopqa,005238da0bde11eba7f7acde48001122,128,1381,11,44,30514576,0.1402331999852322,2.6300172999617644,484,8652512,0.004580100008752197,84716544,96468992
2wikimultihopqa,005238da0bde11eba7f7acde48001122,256,1381,6,44,30514576,0.14064710005186498,2.6300172999617644,144,8652512,0.0031773000373505056,84714496,96468992
2wikimultihopqa,0056b9ff08e711ebbda5ac1f6bf848b6,64,1621,26,51,42042256,0.18441560002975166,3.1237148999935016,2704,10029048,0.00565959996310994,96251392,104857600
2wikimultihopqa,0056b9ff08e711ebbda5ac1f6bf848b6,128,1621,13,51,42042256,0.18566909997025505,3.1237148999935016,676,10029048,0.0028111000428907573,96252928,119537664
2wikimultihopqa,0056b9ff08e711ebbda5ac1f6bf848b6,256,1621,7,51,42042256,0.18352219997905195,3.1237148999935016,196,10029048,0.00357509998138994,96249856,104857600
2wikimultihopqa,0063e31f08eb11ebbda7ac1f6bf848b6,64,416,7,13,2768896,0.015235099999699742,0.9909402999910526,196,2556424,0.0011038000229746103,34978304,50331648
2wikimultihopqa,0063e31f08eb11ebbda7ac1f6bf848b6,128,416,4,13,2768896,0.01599849999183789,0.9909402999910526,64,2556424,0.0013519999920390546,34978816,50331648
2wikimultihopqa,0063e31f08eb11ebbda7ac1f6bf848b6,256,416,2,13,2768896,0.016305900004226714,0.9909402999910526,16,2556424,0.001061999995727092,34978304,50331648
2wikimultihopqa,0069c0220bde11eba7f7acde48001122,64,2284,36,72,83466496,0.3514699999941513,4.184468299965374,5184,14158656,0.006497900001704693,128361472,144703488
2wikimultihopqa,0069c0220bde11eba7f7acde48001122,128,2284,18,72,83466496,0.35126650001620874,4.184468299965374,1296,14158656,0.006828499957919121,128364544,165675008
2wikimultihopqa,0069c0220bde11eba7f7acde48001122,256,2284,9,72,83466496,0.35157080000499263,4.184468299965374,324,14158656,0.0045131000224500895,128358400,146800640
2wikimultihopqa,006b525c08e111ebbda2ac1f6bf848b6,64,1600,25,50,40960000,0.1797855999902822,3.016965299961157,2500,9832400,0.0030583000043407083,95447040,119537664
2wikimultihopqa,006b525c08e111ebbda2ac1f6bf848b6,128,1600,13,50,40960000,0.1780538999591954,3.016965299961157,676,9832400,0.0026445999974384904,95448064,119537664
2wikimultihopqa,006b525c08e111ebbda2ac1f6bf848b6,256,1600,7,50,40960000,0.18003899999894202,3.016965299961157,196,9832400,0.003204600012395531,95445504,119537664
2wikimultihopqa,006d81bc0bde11eba7f7acde48001122,64,1797,29,57,51667344,0.22770990000572056,3.5492268000380136,3364,11208936,0.004092499963007867,104491008,130023424
2wikimultihopqa,006d81bc0bde11eba7f7acde48001122,128,1797,15,57,51667344,0.22836690000258386,3.5492268000380136,900,11208936,0.0038131000474095345,104492544,130023424
2wikimultihopqa,006d81bc0bde11eba7f7acde48001122,256,1797,8,57,51667344,0.22936230001505464,3.5492268000380136,256,11208936,0.00540640001418069,104488960,130023424
2wikimultihopqa,007b76e80bdc11eba7f7acde48001122,64,991,16,31,15713296,0.07246999995550141,1.9339328999631107,1024,6096088,0.0021987000363878906,64154112,81788928
2wikimultihopqa,007b76e80bdc11eba7f7acde48001122,128,991,8,31,15713296,0.07121359999291599,1.9339328999631107,256,6096088,0.0023852000012993813,64154624,81788928
2wikimultihopqa,007b76e80bdc11eba7f7acde48001122,256,991,4,31,15713296,0.07124299998395145,1.9339328999631107,64,6096088,0.002215599990449846,64546816,65011712
2wikimultihopqa,0083038e0bde11eba7f7acde48001122,64,1198,19,38,22963264,0.10497589997248724,2.339577900012955,1444,7472624,0.004836699983570725,76344832,90177536
2wikimultihopqa,0083038e0bde11eba7f7acde48001122,128,1198,10,38,22963264,0.10473610000917688,2.339577900012955,400,7472624,0.0026635999674908817,76345344,90177536
2wikimultihopqa,0083038e0bde11eba7f7acde48001122,256,1198,5,38,22963264,0.10516630002530292,2.339577900012955,100,7472624,0.0024073999957181513,76343808,90177536
2wikimultihopqa,008af56e0bdc11eba7f7acde48001122,64,1607,26,51,41319184,0.18511159997433424,3.0646966999629512,2704,10029048,0.002854799968190491,95989248,119537664
2wikimultihopqa,008af56e0bdc11eba7f7acde48001122,128,1607,13,51,41319184,0.1856133000110276,3.0646966999629512,676,10029048,0.0034930999972857535,95991808,119537664
2wikimultihopqa,008af56e0bdc11eba7f7acde48001122,256,1607,7,51,41319184,0.18432070000562817,3.0646966999629512,196,10029048,0.002739700023084879,95988224,117440512
2wikimultihopqa,008b58060baf11ebab90acde48001122,64,1344,21,42,28901376,0.1289534000097774,2.573342900024727,1764,8259216,0.0032887000124901533,84155904,96468992
2wikimultihopqa,008b58060baf11ebab90acde48001122,128,1344,11,42,28901376,0.12985540000954643,2.573342900024727,484,8259216,0.004180299991276115,84156416,94371840
2wikimultihopqa,008b58060baf11ebab90acde48001122,256,1344,6,42,28901376,0.1299575000302866,2.573342900024727,144,8259216,0.0035454999888315797,84154368,96468992
2wikimultihopqa,008c393e088411ebbd6dac1f6bf848b6,64,760,12,24,9241600,0.045927700004540384,1.4975744999828748,576,4719552,0.004242099996190518,52161536,60817408
2wikimultihopqa,008c393e088411ebbd6dac1f6bf848b6,128,760,6,24,9241600,0.04427719995146617,1.4975744999828748,144,4719552,0.001967200019862503,52162048,60817408
2wikimultihopqa,008c393e088411ebbd6dac1f6bf848b6,256,760,3,24,9241600,0.044179100019391626,1.4975744999828748,36,4719552,0.001704599999357015,52161024,60817408
2wikimultihopqa,0098436208e011ebbda1ac1f6bf848b6,64,810,13,26,10497600,0.054561000026296824,1.6645332000334747,676,5112848,0.0020477999933063984,56713216,79691776
2wikimultihopqa,0098436208e011ebbda1ac1f6bf848b6,128,810,7,26,10497600,0.05269940005382523,1.6645332000334747,196,5112848,0.004130600020289421,56790528,65011712
2wikimultihopqa,0098436208e011ebbda1ac1f6bf848b6,256,810,4,26,10497600,0.05267880001338199,1.6645332000334747,64,5112848,0.0020338999456726015,56789504,65011712
2wikimultihopqa,00a6129c085611ebbd59ac1f6bf848b6,64,970,16,31,15054400,0.07095149997621775,1.9347151000401936,1024,6096088,0.002802999981213361,64929280,85983232
2wikimultihopqa,00a6129c085611ebbd59ac1f6bf848b6,128,970,8,31,15054400,0.0699398000142537,1.9347151000401936,256,6096088,0.004262100032065064,64286720,85983232
2wikimultihopqa,00a6129c085611ebbd59ac1f6bf848b6,256,970,4,31,15054400,0.07024819997604936,1.9347151000401936,64,6096088,0.002084099978674203,64547328,65011712
2wikimultihopqa,00a68bf208cc11ebbd93ac1f6bf848b6,64,752,12,24,9048064,0.04504280001856387,1.5057969000190496,576,4719552,0.0015456000110134482,52030464,60817408
2wikimultihopqa,00a68bf208cc11ebbd93ac1f6bf848b6,128,752,6,24,9048064,0.04497809999156743,1.5057969000190496,144,4719552,0.0015053999959491193,52030976,60817408
2wikimultihopqa,00a68bf208cc11ebbd93ac1f6bf848b6,256,752,3,24,9048064,0.04513829998904839,1.5057969000190496,36,4719552,0.0017229999648407102,51964416,60817408
2wikimultihopqa,00c2089e089911ebbd77ac1f6bf848b6,64,643,11,21,6615184,0.037983299989718944,1.4207603000104427,484,4129608,0.0019678999669849873,48240640,62914560
2wikimultihopqa,00c2089e089911ebbd77ac1f6bf848b6,128,643,6,21,6615184,0.03722639998886734,1.4207603000104427,144,4129608,0.0013117999769747257,48241152,62914560
2wikimultihopqa,00c2089e089911ebbd77ac1f6bf848b6,256,643,3,21,6615184,0.036512000020593405,1.4207603000104427,36,4129608,0.001581899996381253,48633856,62914560
2wikimultihopqa,00ce250d095f11ebbdafac1f6bf848b6,64,939,15,30,14107536,0.06738590000895783,1.8959690999472514,900,5899440,0.0018074999679811299,63218688,65011712
2wikimultihopqa,00ce250d095f11ebbdafac1f6bf848b6,128,939,8,30,14107536,0.06722570001147687,1.8959690999472514,256,5899440,0.0023747000377625227,63219200,65011712
2wikimultihopqa,00ce250d095f11ebbdafac1f6bf848b6,256,939,4,30,14107536,0.06742420000955462,1.8959690999472514,64,5899440,0.002814600011333823,63218176,65011712
2wikimultihopqa,00dd3bd608ac11ebbd82ac1f6bf848b6,64,1284,21,41,26378496,0.1251110999728553,2.5505081999581307,1764,8062568,0.004731699998956174,79549952,94371840
2wikimultihopqa,00dd3bd608ac11ebbd82ac1f6bf848b6,128,1284,11,41,26378496,0.12453760002972558,2.5505081999581307,484,8062568,0.0027179999742656946,79551488,94371840
2wikimultihopqa,00dd3bd608ac11ebbd82ac1f6bf848b6,256,1284,6,41,26378496,0.12307869998039678,2.5505081999581307,144,8062568,0.0023027000133879483,79548928,94371840
2wikimultihopqa,00de046a0bb011ebab90acde48001122,64,1447,23,46,33500944,0.1506278999731876,2.7954793999670073,2116,9045808,0.0029273999971337616,90126336,111149056
2wikimultihopqa,00de046a0bb011ebab90acde48001122,128,1447,12,46,33500944,0.15016540000215173,2.7954793999670073,576,9045808,0.003554800001438707,89275392,111149056
2wikimultihopqa,00de046a0bb011ebab90acde48001122,256,1447,6,46,33500944,0.15001030004350469,2.7954793999670073,144,9045808,0.002824900031555444,89272832,98566144
2wikimultihopqa,00efceca0bb011ebab90acde48001122,64,822,13,26,10810944,0.05299140000715852,1.66787080001086,676,5112848,0.001753999968059361,56724480,65011712
2wikimultihopqa,00efceca0bb011ebab90acde48001122,128,822,7,26,10810944,0.054034699976909906,1.66787080001086,196,5112848,0.0027276999899186194,56200704,65011712
2wikimultihopqa,00efceca0bb011ebab90acde48001122,256,822,4,26,10810944,0.05564039997989312,1.66787080001086,64,5112848,0.001941499998793006,56199680,65011712
2wikimultihopqa,00fc38720bb011ebab90acde48001122,64,1375,22,43,30250000,0.13396810000995174,2.6170823000138626,1936,8455864,0.004641700012143701,83255808,96468992
2wikimultihopqa,00fc38720bb011ebab90acde48001122,128,1375,11,43,30250000,0.1343751999665983,2.6170823000138626,484,8455864,0.0025863000191748142,83256320,94371840
2wikimultihopqa,00fc38720bb011ebab90acde48001122,256,1375,6,43,30250000,0.1340846000239253,2.6170823000138626,144,8455864,0.004126699990592897,83254272,96468992
2wikimultihopqa,00fe8ebc08e311ebbda4ac1f6bf848b6,64,951,15,30,14470416,0.06725580000784248,1.9015378000331111,900,5899440,0.0019668000168167055,63404032,85983232
2wikimultihopqa,00fe8ebc08e311ebbda4ac1f6bf848b6,128,951,8,30,14470416,0.06548079999629408,1.9015378000331111,256,5899440,0.003839300014078617,63416320,85983232
2wikimultihopqa,00fe8ebc08e311ebbda4ac1f6bf848b6,256,951,4,30,14470416,0.06668529997114092,1.9015378000331111,64,5899440,0.0019100999925285578,63404032,85983232
2wikimultihopqa,01057cde0bb011ebab90acde48001122,64,1204,19,38,23193856,0.10461410001153126,2.332767200015951,1444,7472624,0.004097500001080334,76672512,90177536
2wikimultihopqa,01057cde0bb011ebab90acde48001122,128,1204,10,38,23193856,0.10483440000098199,2.332767200015951,400,7472624,0.003014500020071864,76673024,90177536
2wikimultihopqa,01057cde0bb011ebab90acde48001122,256,1204,5,38,23193856,0.10471640003379434,2.332767200015951,100,7472624,0.004398099961690605,76671488,90177536
2wikimultihopqa,0105fd120bb011ebab90acde48001122,64,1796,29,57,51609856,0.22745959996245801,3.4497208000393584,3364,11208936,0.00347440002951771,105539584,130023424
2wikimultihopqa,0105fd120bb011ebab90acde48001122,128,1796,15,57,51609856,0.2304967999807559,3.4497208000393584,900,11208936,0.003653199994005263,105542144,130023424
2wikimultihopqa,0105fd120bb011ebab90acde48001122,256,1796,8,57,51609856,0.23233530001016334,3.4497208000393584,256,11208936,0.0037001000018790364,104489472,130023424
2wikimultihopqa,010bdf4408df11ebbd9fac1f6bf848b6,64,1097,18,35,19254544,0.09129349997965619,2.1953116000513546,1296,6882680,0.0029387999675236642,70510080,88080384
2wikimultihopqa,010bdf4408df11ebbd9fac1f6bf848b6,128,1097,9,35,19254544,0.09209779999218881,2.1953116000513546,324,6882680,0.0044006999814882874,70525440,88080384
2wikimultihopqa,010bdf4408df11ebbd9fac1f6bf848b6,256,1097,5,35,19254544,0.09132519998820499,2.1953116000513546,100,6882680,0.0026200999855063856,70509056,88080384
2wikimultihopqa,010d6cab08c711ebbd91ac1f6bf848b6,64,755,12,24,9120400,0.044442799990065396,1.5233051999821328,576,4719552,0.001836199953686446,52816896,60817408
2wikimultihopqa,010d6cab08c711ebbd91ac1f6bf848b6,128,755,6,24,9120400,0.045339500007685274,1.5233051999821328,144,4719552,0.00185339996824041,52686848,60817408
2wikimultihopqa,010d6cab08c711ebbd91ac1f6bf848b6,256,755,3,24,9120400,0.04567829996813089,1.5233051999821328,36,4719552,0.0014221000019460917,52685824,60817408
2wikimultihopqa,0120a36108d611ebbd98ac1f6bf848b6,64,555,9,18,4928400,0.03162200003862381,1.2303928000037558,324,3539664,0.0012744999839924276,44123648,69206016
2wikimultihopqa,0120a36108d611ebbd98ac1f6bf848b6,128,555,5,18,4928400,0.03126439999323338,1.2303928000037558,100,3539664,0.0014386000111699104,43337728,69206016
2wikimultihopqa,0120a36108d611ebbd98ac1f6bf848b6,256,555,3,18,4928400,0.030803700035903603,1.2303928000037558,36,3539664,0.0013967999839223921,42419712,69206016
2wikimultihopqa,01245b60088411ebbd6dac1f6bf848b6,64,1291,21,41,26666896,0.12332939996849746,2.6114908000454307,1764,8062568,0.004587700008414686,80729600,94371840
2wikimultihopqa,01245b60088411ebbd6dac1f6bf848b6,128,1291,11,41,26666896,0.12378480000188574,2.6114908000454307,484,8062568,0.002605699992273003,80731648,94371840
2wikimultihopqa,01245b60088411ebbd6dac1f6bf848b6,256,1291,6,41,26666896,0.12383830000180751,2.6114908000454307,144,8062568,0.0047088999999687076,80729088,94371840
2wikimultihopqa,016c84f508ab11ebbd81ac1f6bf848b6,64,937,15,30,14047504,0.06600699998671189,1.9253758999984711,900,5899440,0.001811699999962002,62563840,85983232
2wikimultihopqa,016c84f508ab11ebbd81ac1f6bf848b6,128,937,8,30,14047504,0.06651919998694211,1.9253758999984711,256,5899440,0.003941599978134036,62563840,85983232
2wikimultihopqa,016c84f508ab11ebbd81ac1f6bf848b6,256,937,4,30,14047504,0.06661829998483881,1.9253758999984711,64,5899440,0.0017593000084161758,63218176,65011712
2wikimultihopqa,01a204d20bb011ebab90acde48001122,64,1713,27,54,46949904,0.20434600004227832,3.3088270999724045,2916,10618992,0.005336000001989305,102203392,123731968
2wikimultihopqa,01a204d20bb011ebab90acde48001122,128,1713,14,54,46949904,0.20394789997953922,3.3088270999724045,784,10618992,0.0036447999882511795,101811712,123731968
2wikimultihopqa,01a204d20bb011ebab90acde48001122,256,1713,7,54,46949904,0.20386660000076517,3.3088270999724045,196,10618992,0.0037691000034101307,101808640,123731968
2wikimultihopqa,024207d40bb011ebab90acde48001122,64,1350,22,43,29160000,0.13537229999201372,2.7251594999688677,1936,8455864,0.0023569000186398625,84435456,96468992
2wikimultihopqa,024207d40bb011ebab90acde48001122,128,1350,11,43,29160000,0.13428639998892322,2.7251594999688677,484,8455864,0.004830399993807077,84437504,96468992
2wikimultihopqa,024207d40bb011ebab90acde48001122,256,1350,6,43,29160000,0.13620569999329746,2.7251594999688677,144,8455864,0.002896199992392212,84434944,96468992
2wikimultihopqa,024761e80bb011ebab90acde48001122,64,1741,28,55,48497296,0.21062430000165477,3.4095644999761134,3136,10815640,0.004574500024318695,102353408,123731968
2wikimultihopqa,024761e80bb011ebab90acde48001122,128,1741,14,55,48497296,0.2119317000033334,3.4095644999761134,784,10815640,0.0032955000060610473,102354944,123731968
2wikimultihopqa,024761e80bb011ebab90acde48001122,256,1741,7,55,48497296,0.21034549997420982,3.4095644999761134,196,10815640,0.003740200016181916,102612992,123731968
2wikimultihopqa,0290cd840baf11ebab90acde48001122,64,2005,32,63,64320400,0.2730636999476701,3.8595082000247203,4096,12388824,0.003384200041182339,115150336,134217728
2wikimultihopqa,0290cd840baf11ebab90acde48001122,128,2005,16,63,64320400,0.27624430001014844,3.8595082000247203,1024,12388824,0.004265299998223782,115458048,134217728
2wikimultihopqa,0290cd840baf11ebab90acde48001122,256,2005,8,63,64320400,0.2729591999668628,3.8595082000247203,256,12388824,0.005940700008068234,115475968,134217728
2wikimultihopqa,0360770a0baf11ebab90acde48001122,64,1434,23,45,32901696,0.14469779998762533,2.878675700048916,2116,8849160,0.0031153999734669924,86045184,98566144
2wikimultihopqa,0360770a0baf11ebab90acde48001122,128,1434,12,45,32901696,0.14461920002941042,2.878675700048916,576,8849160,0.0025215999921783805,86045696,98566144
2wikimultihopqa,0360770a0baf11ebab90acde48001122,256,1434,6,45,32901696,0.14504189998842776,2.878675700048916,144,8849160,0.0046861000009812415,86043136,98566144
2wikimultihopqa,036c82480baf11ebab90acde48001122,64,2238,35,70,80138304,0.3344372000428848,4.342753399978392,4900,13765360,0.00405199994565919,127604224,144703488
2wikimultihopqa,036c82480baf11ebab90acde48001122,128,2238,18,70,80138304,0.3345788000151515,4.342753399978392,1296,13765360,0.004512399958912283,127279104,144703488
2wikimultihopqa,036c82480baf11ebab90acde48001122,256,2238,9,70,80138304,0.3344644000171684,4.342753399978392,324,13765360,0.004044600005727261,127273472,144703488
2wikimultihopqa,03e971d208d911ebbd9cac1f6bf848b6,64,1056,17,33,17842176,0.08525369997369125,2.2131540999980643,1156,6489384,0.0025049999821931124,66555904,85983232
2wikimultihopqa,03e971d208d911ebbd9cac1f6bf848b6,128,1056,9,33,17842176,0.08304950001183897,2.2131540999980643,324,6489384,0.0029264999902807176,66294784,88080384
2wikimultihopqa,03e971d208d911ebbd9cac1f6bf848b6,256,1056,5,33,17842176,0.08176530001219362,2.2131540999980643,100,6489384,0.00402539997594431,66293248,88080384
2wikimultihopqa,06326df2088611ebbd6dac1f6bf848b6,64,860,14,27,11833600,0.05622059997403994,1.8296064999885857,784,5309496,0.0018232000293210149,57266688,65011712
2wikimultihopqa,06326df2088611ebbd6dac1f6bf848b6,128,860,7,27,11833600,0.05753380001988262,1.8296064999885857,196,5309496,0.0016949999844655395,57267712,62914560
2wikimultihopqa,06326df2088611ebbd6dac1f6bf848b6,256,860,4,27,11833600,0.057060300023294985,1.8296064999885857,64,5309496,0.0026172000216320157,57266688,62914560
musique,2hop__10017_18974,64,2430,38,76,94478400,0.3915675000171177,4.7066104000550695,5776,14945248,0.006909599993377924,136106496,150994944
musique,2hop__10017_18974,128,2430,19,76,94478400,0.39416859997436404,4.7066104000550695,1444,14945248,0.0040351999923586845,136110080,150994944
musique,2hop__10017_18974,256,2430,10,76,94478400,0.39246709999861196,4.7066104000550695,400,14945248,0.00435589998960495,136102912,150994944
musique,2hop__10114_599630,64,2686,42,84,115433536,0.4796455000177957,5.230265700025484,7056,16518432,0.006887499999720603,147464192,182452224
musique,2hop__10114_599630,128,2686,21,84,115433536,0.4804442999884486,5.230265700025484,1764,16518432,0.005425299983471632,147467264,182452224
musique,2hop__10114_599630,256,2686,11,84,115433536,0.47882050002226606,5.230265700025484,484,16518432,0.006395399977918714,147459584,182452224
musique,2hop__10122_18974,64,3168,50,99,160579584,0.6548518000054173,6.244282600004226,10000,19468152,0.0057468999875709414,172388864,203423744
musique,2hop__10122_18974,128,3168,25,99,160579584,0.6579503999673761,6.244282600004226,2500,19468152,0.009952499996870756,172393984,218103808
musique,2hop__10122_18974,256,3168,13,99,160579584,0.6567332000122406,6.244282600004226,676,19468152,0.006008700001984835,172382720,197132288
musique,2hop__103889_86452,64,2297,36,72,84419344,0.351063999987673,4.531214300019201,5184,14158656,0.005869199987500906,128363008,146800640
musique,2hop__103889_86452,128,2297,18,72,84419344,0.3520626000245102,4.531214300019201,1296,14158656,0.004860499990172684,128366592,144703488
musique,2hop__103889_86452,256,2297,9,72,84419344,0.35235000000102445,4.531214300019201,324,14158656,0.004333200049586594,128359424,144703488
musique,2hop__104095_40501,64,2802,44,88,125619264,0.5186716000316665,5.563528399972711,7744,17305024,0.007527800044044852,154746368,186646528
musique,2hop__104095_40501,128,2802,22,88,125619264,0.5194934000028297,5.563528399972711,1936,17305024,0.005385999975260347,154749440,186646528
musique,2hop__104095_40501,256,2802,11,88,125619264,0.5205358999664895,5.563528399972711,484,17305024,0.008583199989516288,154740224,186646528
musique,2hop__104095_40502,64,2289,36,72,83832336,0.35107209999114275,4.536750699975528,5184,14158656,0.004265900002792478,130459136,146800640
musique,2hop__104095_40502,128,2289,18,72,83832336,0.3511523000197485,4.536750699975528,1296,14158656,0.003811200032941997,130461696,144703488
musique,2hop__104095_40502,256,2289,9,72,83832336,0.3523562999907881,4.536750699975528,324,14158656,0.004865800030529499,130455552,144703488
musique,2hop__10515_21567,64,3477,55,109,193432464,0.7911369000212289,6.897354000015184,12100,21434632,0.008846100012306124,188566016,232783872
musique,2hop__10515_21567,128,3477,28,109,193432464,0.7926544999936596,6.897354000015184,3136,21434632,0.006758000003173947,187658240,232783872
musique,2hop__10515_21567,256,3477,14,109,193432464,0.7898896000115201,6.897354000015184,784,21434632,0.010268499958328903,188036608,226492416
musique,2hop__10620_49084,64,2163,34,68,74857104,0.31540010002208874,4.339012900018133,4624,13372064,0.003724500013049692,122458624,155189248
