dataset,example_id,partition,seed,scale,facet_count,mean_score,score_std,scale_max
2wikimultihopqa,0017cac508be11ebbd8aac1f6bf848b6,test,37,4,17,-0.17886751890182495,0.11029228568077087,0.10477536916732788
2wikimultihopqa,0017cac508be11ebbd8aac1f6bf848b6,test,37,8,13,-0.17468425631523132,0.10434941202402115,0.07413671910762787
2wikimultihopqa,0017cac508be11ebbd8aac1f6bf848b6,test,37,16,5,-0.18824222683906555,0.10169142484664917,0.04499288648366928
2wikimultihopqa,0017cac508be11ebbd8aac1f6bf848b6,test,53,global,1,-0.2915058732032776,0.18376904726028442,0.09376905858516693
2wikimultihopqa,0017cac508be11ebbd8aac1f6bf848b6,test,53,1,20,0.017202945426106453,0.13296674191951752,0.33945682644844055
2wikimultihopqa,0017cac508be11ebbd8aac1f6bf848b6,test,53,2,19,0.024220459163188934,0.12872837483882904,0.3461381494998932
2wikimultihopqa,0017cac508be11ebbd8aac1f6bf848b6,test,53,4,17,0.034417830407619476,0.11797774583101273,0.32248640060424805
2wikimultihopqa,0017cac508be11ebbd8aac1f6bf848b6,test,53,8,13,0.03477270528674126,0.11421184241771698,0.31508806347846985
2wikimultihopqa,0017cac508be11ebbd8aac1f6bf848b6,test,53,16,5,0.040497928857803345,0.11653638631105423,0.2960664629936218
2wikimultihopqa,0017cac508be11ebbd8aac1f6bf848b6,test,71,global,1,-0.36998847126960754,0.08925079554319382,-0.24963365495204926
2wikimultihopqa,0017cac508be11ebbd8aac1f6bf848b6,test,71,1,20,-0.08726910501718521,0.11047052592039108,0.19862736761569977
2wikimultihopqa,0017cac508be11ebbd8aac1f6bf848b6,test,71,2,19,-0.0971364974975586,0.09577347338199615,0.12761324644088745
2wikimultihopqa,0017cac508be11ebbd8aac1f6bf848b6,test,71,4,17,-0.1088935062289238,0.08097139745950699,0.05707557499408722
2wikimultihopqa,0017cac508be11ebbd8aac1f6bf848b6,test,71,8,13,-0.11180310696363449,0.07211500406265259,0.024327129125595093
2wikimultihopqa,0017cac508be11ebbd8aac1f6bf848b6,test,71,16,5,-0.12105144560337067,0.07005278021097183,-0.009819917380809784
2wikimultihopqa,00199e40098211ebbdb0ac1f6bf848b6,validation,11,global,1,-0.153319850564003,0.13799963891506195,-0.003880217671394348
2wikimultihopqa,00199e40098211ebbdb0ac1f6bf848b6,validation,11,1,19,-0.27700498700141907,0.13951577246189117,0.11900760978460312
2wikimultihopqa,00199e40098211ebbdb0ac1f6bf848b6,validation,11,2,18,-0.29838812351226807,0.12944678962230682,0.014479026198387146
2wikimultihopqa,00199e40098211ebbdb0ac1f6bf848b6,validation,11,4,16,-0.31238579750061035,0.11491559445858002,-0.015359189361333847
2wikimultihopqa,00199e40098211ebbdb0ac1f6bf848b6,validation,11,8,12,-0.32685381174087524,0.09474680572748184,-0.17560826241970062
2wikimultihopqa,00199e40098211ebbdb0ac1f6bf848b6,validation,11,16,4,-0.34560921788215637,0.08724819123744965,-0.2431984692811966
2wikimultihopqa,00199e40098211ebbdb0ac1f6bf848b6,validation,23,global,1,0.05028080567717552,0.214107945561409,0.41975295543670654
2wikimultihopqa,00199e40098211ebbdb0ac1f6bf848b6,validation,23,1,19,0.007924802601337433,0.21397028863430023,0.3858179450035095
2wikimultihopqa,00199e40098211ebbdb0ac1f6bf848b6,validation,23,2,18,0.015668954700231552,0.21844278275966644,0.3977869749069214
2wikimultihopqa,00199e40098211ebbdb0ac1f6bf848b6,validation,23,4,16,0.029594704508781433,0.2137688547372818,0.34988951683044434
2wikimultihopqa,00199e40098211ebbdb0ac1f6bf848b6,validation,23,8,12,0.024191193282604218,0.20647487044334412,0.2755134701728821
2wikimultihopqa,00199e40098211ebbdb0ac1f6bf848b6,validation,23,16,4,0.02458018995821476,0.2003529816865921,0.2470661997795105
2wikimultihopqa,00199e40098211ebbdb0ac1f6bf848b6,validation,37,global,1,-0.4486263692378998,0.11806391179561615,-0.30892854928970337
2wikimultihopqa,00199e40098211ebbdb0ac1f6bf848b6,validation,37,1,19,-0.265680193901062,0.1355525106191635,0.06035982072353363
2wikimultihopqa,00199e40098211ebbdb0ac1f6bf848b6,validation,37,2,18,-0.2832625210285187,0.12728099524974823,0.008818738162517548
2wikimultihopqa,00199e40098211ebbdb0ac1f6bf848b6,validation,37,4,16,-0.3010489046573639,0.11138975620269775,-0.04548104852437973
2wikimultihopqa,00199e40098211ebbdb0ac1f6bf848b6,validation,37,8,12,-0.3339119553565979,0.08483381569385529,-0.20146064460277557
2wikimultihopqa,00199e40098211ebbdb0ac1f6bf848b6,validation,37,16,4,-0.34081149101257324,0.08001236617565155,-0.24340516328811646
2wikimultihopqa,00199e40098211ebbdb0ac1f6bf848b6,validation,53,global,1,-0.13674241304397583,0.11056410521268845,-0.002282986417412758
2wikimultihopqa,00199e40098211ebbdb0ac1f6bf848b6,validation,53,1,19,-0.1549815684556961,0.15587207674980164,0.24210910499095917
2wikimultihopqa,00199e40098211ebbdb0ac1f6bf848b6,validation,53,2,18,-0.16088451445102692,0.1578337848186493,0.26478058099746704
2wikimultihopqa,00199e40098211ebbdb0ac1f6bf848b6,validation,53,4,16,-0.1615375131368637,0.147945374250412,0.2432432472705841
2wikimultihopqa,00199e40098211ebbdb0ac1f6bf848b6,validation,53,8,12,-0.17499317228794098,0.11385517567396164,0.030755937099456787
2wikimultihopqa,00199e40098211ebbdb0ac1f6bf848b6,validation,53,16,4,-0.19122813642024994,0.08992544561624527,-0.055870186537504196
2wikimultihopqa,00199e40098211ebbdb0ac1f6bf848b6,validation,71,global,1,-0.13202230632305145,0.20567560195922852,0.08571689575910568
2wikimultihopqa,00199e40098211ebbdb0ac1f6bf848b6,validation,71,1,19,0.050760552287101746,0.14518126845359802,0.3137892484664917
2wikimultihopqa,00199e40098211ebbdb0ac1f6bf848b6,validation,71,2,18,0.055910490453243256,0.13787178695201874,0.3247394263744354
2wikimultihopqa,00199e40098211ebbdb0ac1f6bf848b6,validation,71,4,16,0.0589124858379364,0.12746870517730713,0.2783297300338745
2wikimultihopqa,00199e40098211ebbdb0ac1f6bf848b6,validation,71,8,12,0.06756644695997238,0.11794008314609528,0.27340471744537354
2wikimultihopqa,00199e40098211ebbdb0ac1f6bf848b6,validation,71,16,4,0.06654445827007294,0.11538548022508621,0.2671891450881958
2wikimultihopqa,001ad110086911ebbd5eac1f6bf848b6,test,11,global,1,0.05263707786798477,0.14731758832931519,0.30020615458488464
2wikimultihopqa,001ad110086911ebbd5eac1f6bf848b6,test,11,1,18,-0.1185610219836235,0.14270026981830597,0.2460266500711441
2wikimultihopqa,001ad110086911ebbd5eac1f6bf848b6,test,11,2,17,-0.1288137137889862,0.13553273677825928,0.21708834171295166
2wikimultihopqa,001ad110086911ebbd5eac1f6bf848b6,test,11,4,15,-0.13460558652877808,0.1270892322063446,0.1610960066318512
2wikimultihopqa,001ad110086911ebbd5eac1f6bf848b6,test,11,8,11,-0.13825450837612152,0.12674547731876373,0.1056264340877533
2wikimultihopqa,001ad110086911ebbd5eac1f6bf848b6,test,11,16,3,-0.1527988314628601,0.12711846828460693,0.030201196670532227
2wikimultihopqa,001ad110086911ebbd5eac1f6bf848b6,test,23,global,1,0.3078020513057709,0.11236883699893951,0.4915468096733093
2wikimultihopqa,001ad110086911ebbd5eac1f6bf848b6,test,23,1,18,0.23601564764976501,0.15964117646217346,0.5824273824691772
2wikimultihopqa,001ad110086911ebbd5eac1f6bf848b6,test,23,2,17,0.25290045142173767,0.14599168300628662,0.5651886463165283
2wikimultihopqa,001ad110086911ebbd5eac1f6bf848b6,test,23,4,15,0.27424299716949463,0.12986785173416138,0.5110538601875305
2wikimultihopqa,001ad110086911ebbd5eac1f6bf848b6,test,23,8,11,0.270895391702652,0.10955516993999481,0.4687645137310028
2wikimultihopqa,001ad110086911ebbd5eac1f6bf848b6,test,23,16,3,0.30842313170433044,0.09864643216133118,0.46408596634864807
2wikimultihopqa,001ad110086911ebbd5eac1f6bf848b6,test,37,global,1,-0.4690506160259247,0.12353827059268951,-0.24728474020957947
2wikimultihopqa,001ad110086911ebbd5eac1f6bf848b6,test,37,1,18,-0.17381824553012848,0.1363563984632492,0.15427309274673462
2wikimultihopqa,001ad110086911ebbd5eac1f6bf848b6,test,37,2,17,-0.18502160906791687,0.12236230820417404,0.08465741574764252
2wikimultihopqa,001ad110086911ebbd5eac1f6bf848b6,test,37,4,15,-0.19282136857509613,0.1142527312040329,0.08047590404748917
2wikimultihopqa,001ad110086911ebbd5eac1f6bf848b6,test,37,8,11,-0.20652809739112854,0.11233992129564285,0.03185145556926727
2wikimultihopqa,001ad110086911ebbd5eac1f6bf848b6,test,37,16,3,-0.21802081167697906,0.11183501780033112,0.011651567183434963
2wikimultihopqa,001ad110086911ebbd5eac1f6bf848b6,test,53,global,1,0.07555325329303741,0.10830165445804596,0.26412174105644226
2wikimultihopqa,001ad110086911ebbd5eac1f6bf848b6,test,53,1,18,0.028187112882733345,0.13237343728542328,0.29524385929107666
2wikimultihopqa,001ad110086911ebbd5eac1f6bf848b6,test,53,2,17,0.024802077561616898,0.13740578293800354,0.29915833473205566
2wikimultihopqa,001ad110086911ebbd5eac1f6bf848b6,test,53,4,15,0.01967059262096882,0.1383700966835022,0.2781180739402771
2wikimultihopqa,001ad110086911ebbd5eac1f6bf848b6,test,53,8,11,-0.0006759879179298878,0.13054119050502777,0.25105899572372437
2wikimultihopqa,001ad110086911ebbd5eac1f6bf848b6,test,53,16,3,0.020158108323812485,0.11704439669847488,0.190048485994339
2wikimultihopqa,001ad110086911ebbd5eac1f6bf848b6,test,71,global,1,0.01897098496556282,0.15778352320194244,0.24226458370685577
2wikimultihopqa,001ad110086911ebbd5eac1f6bf848b6,test,71,1,18,0.018804684281349182,0.13011440634727478,0.38653990626335144
2wikimultihopqa,001ad110086911ebbd5eac1f6bf848b6,test,71,2,17,0.006904251407831907,0.12119556963443756,0.3065715730190277
2wikimultihopqa,001ad110086911ebbd5eac1f6bf848b6,test,71,4,15,-0.002222831826657057,0.1037227213382721,0.18912437558174133
2wikimultihopqa,001ad110086911ebbd5eac1f6bf848b6,test,71,8,11,-0.013677453622221947,0.08404432982206345,0.18941420316696167
2wikimultihopqa,001ad110086911ebbd5eac1f6bf848b6,test,71,16,3,0.0013682354474440217,0.07515028119087219,0.1083335280418396
2wikimultihopqa,00223e06084a11ebbd55ac1f6bf848b6,test,11,global,1,0.04348248988389969,0.2389458268880844,0.48547667264938354
2wikimultihopqa,00223e06084a11ebbd55ac1f6bf848b6,test,11,1,20,-0.06981566548347473,0.14362020790576935,0.19969762861728668
2wikimultihopqa,00223e06084a11ebbd55ac1f6bf848b6,test,11,2,19,-0.07358293235301971,0.1324930340051651,0.15899647772312164
2wikimultihopqa,00223e06084a11ebbd55ac1f6bf848b6,test,11,4,17,-0.07694807648658752,0.12874151766300201,0.11754505336284637
2wikimultihopqa,00223e06084a11ebbd55ac1f6bf848b6,test,11,8,13,-0.07584825158119202,0.12706883251667023,0.07261717319488525
2wikimultihopqa,00223e06084a11ebbd55ac1f6bf848b6,test,11,16,5,-0.0833929106593132,0.13101106882095337,0.05597776919603348
2wikimultihopqa,00223e06084a11ebbd55ac1f6bf848b6,test,23,global,1,0.2824174463748932,0.18616490066051483,0.5791230201721191
2wikimultihopqa,00223e06084a11ebbd55ac1f6bf848b6,test,23,1,20,0.214173823595047,0.1532912701368332,0.5015644431114197
2wikimultihopqa,00223e06084a11ebbd55ac1f6bf848b6,test,23,2,19,0.2336944341659546,0.1480521708726883,0.5207985639572144
2wikimultihopqa,00223e06084a11ebbd55ac1f6bf848b6,test,23,4,17,0.24802166223526,0.1367725133895874,0.5272510051727295
2wikimultihopqa,00223e06084a11ebbd55ac1f6bf848b6,test,23,8,13,0.25259658694267273,0.1263277530670166,0.5091614723205566
2wikimultihopqa,00223e06084a11ebbd55ac1f6bf848b6,test,23,16,5,0.27257004380226135,0.12450992316007614,0.4651351571083069
2wikimultihopqa,00223e06084a11ebbd55ac1f6bf848b6,test,37,global,1,-0.34721410274505615,0.1255742609500885,-0.24791647493839264
2wikimultihopqa,00223e06084a11ebbd55ac1f6bf848b6,test,37,1,20,-0.14293017983436584,0.12444620579481125,0.1395513117313385
2wikimultihopqa,00223e06084a11ebbd55ac1f6bf848b6,test,37,2,19,-0.15554504096508026,0.11172635108232498,0.05379072204232216
2wikimultihopqa,00223e06084a11ebbd55ac1f6bf848b6,test,37,4,17,-0.16860254108905792,0.08842671662569046,0.04142186790704727
2wikimultihopqa,00223e06084a11ebbd55ac1f6bf848b6,test,37,8,13,-0.18015845119953156,0.08428020775318146,0.0007147416472434998
2wikimultihopqa,00223e06084a11ebbd55ac1f6bf848b6,test,37,16,5,-0.18142883479595184,0.0852128267288208,-0.02736840769648552
2wikimultihopqa,00223e06084a11ebbd55ac1f6bf848b6,test,53,global,1,0.11433067172765732,0.18898671865463257,0.4092215895652771
2wikimultihopqa,00223e06084a11ebbd55ac1f6bf848b6,test,53,1,20,0.10370700061321259,0.12775515019893646,0.36034446954727173
2wikimultihopqa,00223e06084a11ebbd55ac1f6bf848b6,test,53,2,19,0.1162165105342865,0.12089016288518906,0.35521167516708374
2wikimultihopqa,00223e06084a11ebbd55ac1f6bf848b6,test,53,4,17,0.1304030567407608,0.11037744581699371,0.33938321471214294
2wikimultihopqa,00223e06084a11ebbd55ac1f6bf848b6,test,53,8,13,0.1430467814207077,0.10411932319402695,0.3178328275680542
2wikimultihopqa,00223e06084a11ebbd55ac1f6bf848b6,test,53,16,5,0.1404910385608673,0.10502153635025024,0.30059176683425903
2wikimultihopqa,00223e06084a11ebbd55ac1f6bf848b6,test,71,global,1,0.04213419556617737,0.1828950047492981,0.3177235722541809
2wikimultihopqa,00223e06084a11ebbd55ac1f6bf848b6,test,71,1,20,0.10525082051753998,0.15246808528900146,0.46394598484039307
2wikimultihopqa,00223e06084a11ebbd55ac1f6bf848b6,test,71,2,19,0.100680872797966,0.12420520186424255,0.46301937103271484
2wikimultihopqa,00223e06084a11ebbd55ac1f6bf848b6,test,71,4,17,0.08858472853899002,0.08884328603744507,0.3051214814186096
2wikimultihopqa,00223e06084a11ebbd55ac1f6bf848b6,test,71,8,13,0.08082257956266403,0.06061340495944023,0.2296263575553894
2wikimultihopqa,00223e06084a11ebbd55ac1f6bf848b6,test,71,16,5,0.09319589287042618,0.05062410980463028,0.17153300344944
2wikimultihopqa,002e925e0bde11eba7f7acde48001122,validation,11,global,1,0.07536954432725906,0.24871526658535004,0.47870001196861267
2wikimultihopqa,002e925e0bde11eba7f7acde48001122,validation,11,1,16,-0.11554709821939468,0.2119121104478836,0.2748004198074341
2wikimultihopqa,002e925e0bde11eba7f7acde48001122,validation,11,2,15,-0.12436934560537338,0.22637821733951569,0.25611811876296997
2wikimultihopqa,002e925e0bde11eba7f7acde48001122,validation,11,4,13,-0.1299671232700348,0.23565109074115753,0.2436574250459671
2wikimultihopqa,002e925e0bde11eba7f7acde48001122,validation,11,8,9,-0.13813094794750214,0.24745507538318634,0.20747148990631104
2wikimultihopqa,002e925e0bde11eba7f7acde48001122,validation,11,16,1,-0.1474781036376953,0.2565513253211975,0.1612674593925476
2wikimultihopqa,002e925e0bde11eba7f7acde48001122,validation,23,global,1,0.19562260806560516,0.22425705194473267,0.4539213180541992
2wikimultihopqa,002e925e0bde11eba7f7acde48001122,validation,23,1,16,0.15194962918758392,0.22171001136302948,0.4924457371234894
2wikimultihopqa,002e925e0bde11eba7f7acde48001122,validation,23,2,15,0.1703801453113556,0.22893522679805756,0.47020870447158813
2wikimultihopqa,002e925e0bde11eba7f7acde48001122,validation,23,4,13,0.18391916155815125,0.23539769649505615,0.4728332459926605
2wikimultihopqa,002e925e0bde11eba7f7acde48001122,validation,23,8,9,0.19632498919963837,0.24705277383327484,0.47263044118881226
2wikimultihopqa,002e925e0bde11eba7f7acde48001122,validation,23,16,1,0.19059626758098602,0.24904359877109528,0.4547203779220581
2wikimultihopqa,002e925e0bde11eba7f7acde48001122,validation,37,global,1,-0.4717986285686493,0.09997566789388657,-0.2926778197288513
2wikimultihopqa,002e925e0bde11eba7f7acde48001122,validation,37,1,16,-0.2579084634780884,0.11531179398298264,-0.03263043612241745
2wikimultihopqa,002e925e0bde11eba7f7acde48001122,validation,37,2,15,-0.27970007061958313,0.10919712483882904,-0.06049013137817383
2wikimultihopqa,002e925e0bde11eba7f7acde48001122,validation,37,4,13,-0.2859393358230591,0.104456327855587,-0.08439810574054718
2wikimultihopqa,002e925e0bde11eba7f7acde48001122,validation,37,8,9,-0.2909206449985504,0.10281762480735779,-0.11831527948379517
2wikimultihopqa,002e925e0bde11eba7f7acde48001122,validation,37,16,1,-0.3148495852947235,0.10795669257640839,-0.15834084153175354
2wikimultihopqa,002e925e0bde11eba7f7acde48001122,validation,53,global,1,0.0985051691532135,0.222549170255661,0.4288346767425537
2wikimultihopqa,002e925e0bde11eba7f7acde48001122,validation,53,1,16,-0.007002541795372963,0.17188546061515808,0.2920551598072052
2wikimultihopqa,002e925e0bde11eba7f7acde48001122,validation,53,2,15,-0.005433053709566593,0.17504285275936127,0.2875972390174866
2wikimultihopqa,002e925e0bde11eba7f7acde48001122,validation,53,4,13,-0.00919706653803587,0.17924971878528595,0.2669276297092438
2wikimultihopqa,002e925e0bde11eba7f7acde48001122,validation,53,8,9,-0.014486553147435188,0.18769338726997375,0.24985608458518982
2wikimultihopqa,002e925e0bde11eba7f7acde48001122,validation,53,16,1,-0.008627843111753464,0.1891341209411621,0.2011456936597824
2wikimultihopqa,002e925e0bde11eba7f7acde48001122,validation,71,global,1,-0.14945128560066223,0.17351536452770233,0.0767536610364914
2wikimultihopqa,002e925e0bde11eba7f7acde48001122,validation,71,1,16,0.0859755128622055,0.16421981155872345,0.39646631479263306
2wikimultihopqa,002e925e0bde11eba7f7acde48001122,validation,71,2,15,0.08326500654220581,0.13982653617858887,0.3117211163043976
2wikimultihopqa,002e925e0bde11eba7f7acde48001122,validation,71,4,13,0.09287603199481964,0.12911003828048706,0.2767946422100067
2wikimultihopqa,002e925e0bde11eba7f7acde48001122,validation,71,8,9,0.0915440246462822,0.13525106012821198,0.2408434897661209
2wikimultihopqa,002e925e0bde11eba7f7acde48001122,validation,71,16,1,0.0992952287197113,0.1357206255197525,0.22218984365463257
2wikimultihopqa,002f12240bde11eba7f7acde48001122,test,11,global,1,-0.29140910506248474,0.10845688730478287,-0.11910228431224823
2wikimultihopqa,002f12240bde11eba7f7acde48001122,test,11,1,20,-0.10119052231311798,0.10493085533380508,0.180109441280365
2wikimultihopqa,002f12240bde11eba7f7acde48001122,test,11,2,19,-0.11267920583486557,0.09340211004018784,0.14354059100151062
2wikimultihopqa,002f12240bde11eba7f7acde48001122,test,11,4,17,-0.1231248676776886,0.0824042409658432,0.02652803063392639
2wikimultihopqa,002f12240bde11eba7f7acde48001122,test,11,8,13,-0.1330489069223404,0.08210098743438721,-0.006808735430240631
2wikimultihopqa,002f12240bde11eba7f7acde48001122,test,11,16,5,-0.13382437825202942,0.0824958011507988,-0.040758561342954636
2wikimultihopqa,002f12240bde11eba7f7acde48001122,test,23,global,1,-0.012105120345950127,0.07843869924545288,0.08948919177055359
2wikimultihopqa,002f12240bde11eba7f7acde48001122,test,23,1,20,0.12251685559749603,0.12930254638195038,0.4022979140281677
2wikimultihopqa,002f12240bde11eba7f7acde48001122,test,23,2,19,0.14327149093151093,0.10196714848279953,0.36219388246536255
2wikimultihopqa,002f12240bde11eba7f7acde48001122,test,23,4,17,0.1545192152261734,0.08066237717866898,0.3029480576515198
2wikimultihopqa,002f12240bde11eba7f7acde48001122,test,23,8,13,0.15758396685123444,0.07075199484825134,0.29111623764038086
2wikimultihopqa,002f12240bde11eba7f7acde48001122,test,23,16,5,0.16385391354560852,0.06965591013431549,0.2659386992454529
2wikimultihopqa,002f12240bde11eba7f7acde48001122,test,37,global,1,-0.5502091646194458,0.06277463585138321,-0.44720035791397095
2wikimultihopqa,002f12240bde11eba7f7acde48001122,test,37,1,20,-0.294820636510849,0.08890919387340546,0.012212630361318588
2wikimultihopqa,002f12240bde11eba7f7acde48001122,test,37,2,19,-0.3197619915008545,0.07172022759914398,-0.0939323753118515
2wikimultihopqa,002f12240bde11eba7f7acde48001122,test,37,4,17,-0.3348150849342346,0.06020122393965721,-0.19319865107536316
2wikimultihopqa,002f12240bde11eba7f7acde48001122,test,37,8,13,-0.34753015637397766,0.05655096098780632,-0.2310473769903183
2wikimultihopqa,002f12240bde11eba7f7acde48001122,test,37,16,5,-0.35454490780830383,0.051156461238861084,-0.27234894037246704
2wikimultihopqa,002f12240bde11eba7f7acde48001122,test,53,global,1,-0.0016386527568101883,0.09347096085548401,0.11799889802932739
2wikimultihopqa,002f12240bde11eba7f7acde48001122,test,53,1,20,0.04494451358914375,0.10961717367172241,0.3017520308494568
2wikimultihopqa,002f12240bde11eba7f7acde48001122,test,53,2,19,0.05712774023413658,0.10764995217323303,0.2841039299964905
2wikimultihopqa,002f12240bde11eba7f7acde48001122,test,53,4,17,0.07103337347507477,0.10103777796030045,0.29446762800216675
2wikimultihopqa,002f12240bde11eba7f7acde48001122,test,53,8,13,0.08561698347330093,0.08898813277482986,0.2558395266532898
2wikimultihopqa,002f12240bde11eba7f7acde48001122,test,53,16,5,0.08071599900722504,0.08389998972415924,0.2117033749818802
2wikimultihopqa,002f12240bde11eba7f7acde48001122,test,71,global,1,-0.28190621733665466,0.07198967039585114,-0.19550666213035583
2wikimultihopqa,002f12240bde11eba7f7acde48001122,test,71,1,20,0.03631700202822685,0.13156624138355255,0.27884578704833984
2wikimultihopqa,002f12240bde11eba7f7acde48001122,test,71,2,19,0.031186310574412346,0.12046604603528976,0.25863808393478394
2wikimultihopqa,002f12240bde11eba7f7acde48001122,test,71,4,17,0.01998600922524929,0.09533952921628952,0.2474251091480255
2wikimultihopqa,002f12240bde11eba7f7acde48001122,test,71,8,13,0.011758849024772644,0.05995607748627663,0.1409476399421692
2wikimultihopqa,002f12240bde11eba7f7acde48001122,test,71,16,5,0.017377521842718124,0.055438656359910965,0.10168956220149994
2wikimultihopqa,00310dc8094611ebbdaeac1f6bf848b6,test,11,global,1,0.0199204683303833,0.26601335406303406,0.44911810755729675
