dataset,example_id,partition,seed,root_mode,R_root,K,H,B,correct_root_present,oracle_node_recall,complete_graph,conditional_complete_graph,visited_count,nodes_expanded,search_comparisons,search_seconds
2wikimultihopqa,002f12240bde11eba7f7acde48001122,test,11,bounded_contextual_facets,2,6,4,16,1,1.0,1,1,8,4,24,0.0039366999990306795
2wikimultihopqa,002f12240bde11eba7f7acde48001122,test,11,bounded_contextual_facets,4,6,4,16,1,1.0,1,1,8,6,36,0.0034904000349342823
2wikimultihopqa,002f12240bde11eba7f7acde48001122,test,23,bounded_contextual_facets,1,6,4,16,0,1.0,1,,8,3,18,0.002217500004917383
2wikimultihopqa,002f12240bde11eba7f7acde48001122,test,23,bounded_contextual_facets,2,6,4,16,0,1.0,1,,8,4,24,0.002517899964004755
2wikimultihopqa,002f12240bde11eba7f7acde48001122,test,23,bounded_contextual_facets,4,6,4,16,1,1.0,1,1,8,6,36,0.003194899996742606
2wikimultihopqa,002f12240bde11eba7f7acde48001122,test,37,bounded_contextual_facets,1,6,4,16,1,1.0,1,1,8,3,18,0.0028712000348605216
2wikimultihopqa,002f12240bde11eba7f7acde48001122,test,37,bounded_contextual_facets,2,6,4,16,1,1.0,1,1,8,4,24,0.0030716999899595976
2wikimultihopqa,002f12240bde11eba7f7acde48001122,test,37,bounded_contextual_facets,4,6,4,16,1,1.0,1,1,8,3,18,0.0019705999875441194
2wikimultihopqa,002f12240bde11eba7f7acde48001122,test,53,bounded_contextual_facets,1,6,4,16,0,1.0,1,,8,3,18,0.0022659999667666852
2wikimultihopqa,002f12240bde11eba7f7acde48001122,test,53,bounded_contextual_facets,2,6,4,16,1,1.0,1,1,8,4,24,0.0025120999780483544
2wikimultihopqa,002f12240bde11eba7f7acde48001122,test,53,bounded_contextual_facets,4,6,4,16,1,1.0,1,1,8,6,36,0.0032136999652720988
2wikimultihopqa,002f12240bde11eba7f7acde48001122,test,71,bounded_contextual_facets,1,6,4,16,0,1.0,1,,8,3,18,0.0029066000133752823
2wikimultihopqa,002f12240bde11eba7f7acde48001122,test,71,bounded_contextual_facets,2,6,4,16,0,1.0,1,,8,4,24,0.0021246999967843294
2wikimultihopqa,002f12240bde11eba7f7acde48001122,test,71,bounded_contextual_facets,4,6,4,16,1,1.0,1,1,8,6,36,0.002658099983818829
2wikimultihopqa,00310dc8094611ebbdaeac1f6bf848b6,test,11,bounded_contextual_facets,1,6,4,16,0,1.0,1,,7,2,12,0.0010697999969124794
2wikimultihopqa,00310dc8094611ebbdaeac1f6bf848b6,test,11,bounded_contextual_facets,2,6,4,16,0,1.0,1,,7,2,12,0.0009809000184759498
2wikimultihopqa,00310dc8094611ebbdaeac1f6bf848b6,test,11,bounded_contextual_facets,4,6,4,16,1,1.0,1,1,7,2,12,0.0008367999689653516
2wikimultihopqa,00310dc8094611ebbdaeac1f6bf848b6,test,23,bounded_contextual_facets,1,6,4,16,0,1.0,1,,7,2,12,0.0010508000268600881
2wikimultihopqa,00310dc8094611ebbdaeac1f6bf848b6,test,23,bounded_contextual_facets,2,6,4,16,0,1.0,1,,7,2,12,0.000977699994109571
2wikimultihopqa,00310dc8094611ebbdaeac1f6bf848b6,test,23,bounded_contextual_facets,4,6,4,16,1,1.0,1,1,7,2,12,0.0008354000165127218
2wikimultihopqa,00310dc8094611ebbdaeac1f6bf848b6,test,37,bounded_contextual_facets,1,6,4,16,0,1.0,1,,7,2,12,0.0010490999557077885
2wikimultihopqa,00310dc8094611ebbdaeac1f6bf848b6,test,37,bounded_contextual_facets,2,6,4,16,0,1.0,1,,7,2,12,0.0009780999971553683
2wikimultihopqa,00310dc8094611ebbdaeac1f6bf848b6,test,37,bounded_contextual_facets,4,6,4,16,1,1.0,1,1,7,2,12,0.0017844999674707651
